SL_PWM,U,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
950.00000,0.00000,0.00041,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00172,0.00001,0.00000,0.00000,0.00000
950.00000,0.00000,0.04695,79.19431,0.00000,0.00000,-0.00001,-0.00115,0.00999,-0.00119,0.00000,0.00719,-0.05868,-3.36141
950.00000,0.00000,0.17028,129.72160,0.00000,0.00000,-0.00009,-0.00704,0.00990,-0.00731,0.00000,0.02515,-0.13053,-0.95202
950.00000,0.00000,0.39463,253.29091,0.00000,0.00000,-0.00072,-0.03304,0.00925,-0.03424,0.00000,-0.17963,-0.09939,-0.07664
950.00000,0.00000,0.70295,303.55639,-0.00628,-0.26180,-0.00184,-0.04796,0.00753,-0.07254,0.00000,-0.15208,-0.11137,-0.02515
987.00000,0.00000,1.01074,321.62055,-0.01571,-0.39270,-0.00315,-0.07583,0.00537,-0.09981,-0.01095,1.64658,0.27782,-0.18322
987.00000,0.00000,1.33833,321.62055,-0.02670,-0.39270,-0.00501,-0.08857,0.00282,-0.11153,-0.01095,0.34967,-0.08981,-0.14610
987.00000,0.00000,1.67304,300.28390,-0.04398,-0.65450,-0.00728,-0.04374,-0.00116,-0.10831,0.01095,1.30289,-0.37243,0.40356
987.00000,0.00000,2.03316,276.32925,-0.06912,-0.91630,-0.00835,-0.00926,-0.00414,-0.08934,-0.01095,1.34840,-0.13652,-0.21076
-19.00000,0.00000,2.28822,267.42807,-0.09425,-0.91630,-0.00874,0.03510,-0.00661,-0.07077,0.02189,0.93765,-0.37722,0.45984
-19.00000,0.00000,2.44127,157.60323,-0.12095,-0.91630,-0.00763,0.05475,-0.00761,-0.02923,0.01095,0.24070,0.04551,-0.06706
-19.00000,0.00000,2.49973,71.60213,-0.14137,-0.65450,-0.00672,0.02741,-0.00795,-0.01436,-0.01095,-0.79754,0.21435,-0.54966
-19.00000,0.00000,2.51240,10.73377,-0.15708,-0.65450,-0.00538,0.03974,-0.00809,-0.00074,0.00000,-2.01182,-0.34249,0.31734
-19.00000,0.00000,2.49943,-15.31526,-0.16179,-0.13090,-0.00472,0.00343,-0.00803,0.00371,-0.01095,-3.06083,-0.16406,0.02635
-522.00000,0.00000,2.48268,-18.84956,-0.16179,0.00000,-0.00462,0.00401,-0.00792,0.00433,0.00000,-3.18059,0.00719,-0.22753
-522.00000,0.00000,2.44887,-41.75700,-0.16022,0.00000,-0.00454,0.00941,-0.00770,0.01007,0.00000,-0.44068,-0.08143,0.35925
-522.00000,0.00000,2.38761,-86.91740,-0.15865,0.13090,-0.00428,0.00255,-0.00730,0.02388,0.01095,-0.34848,0.23711,-0.24908
-522.00000,0.00000,2.28986,-99.61467,-0.15394,0.13090,-0.00404,0.01147,-0.00679,0.03294,0.01095,-0.35087,0.04311,0.07185
-522.00000,0.00000,2.17511,-148.57115,-0.14765,0.26180,-0.00358,0.01609,-0.00582,0.03721,-0.00000,-0.91130,-0.15328,0.34009
