SL_PWM,U,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
496.00000,0.00000,0.00239,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,-0.00000,-0.00882,0.00000,0.00000,0.00000
496.00000,0.00000,0.03346,39.26991,-0.00157,-0.13090,0.00014,0.02315,0.01000,-0.00032,0.01095,0.03233,-0.11496,-3.27399
496.00000,0.00000,0.09080,73.43473,-0.00157,0.00000,0.00011,-0.00208,0.00997,-0.00214,0.00000,0.07425,-0.12694,-0.91490
496.00000,0.00000,0.16543,94.24778,-0.00471,-0.13090,0.00029,0.01793,0.00987,-0.00547,0.01095,0.16166,-0.09341,-0.26824
496.00000,0.00000,0.24584,97.91297,-0.00785,-0.13090,0.00030,-0.00773,0.00974,-0.00792,-0.01095,0.23950,-0.12095,-0.03832
496.00000,0.00000,0.33185,91.76069,-0.01257,-0.26180,0.00058,0.01505,0.00946,-0.00803,0.00000,0.87897,0.00479,-0.32812
-265.00000,0.00000,0.37349,27.09624,-0.01728,-0.13090,0.00085,0.02050,0.00931,-0.00233,0.01095,0.39039,-0.19879,-0.05030
-265.00000,0.00000,0.35778,-29.45243,-0.01885,0.00000,0.00104,0.00474,0.00936,0.00480,0.00000,-0.91969,-0.23112,-0.09580
-265.00000,0.00000,0.31206,-47.64749,-0.01728,0.13090,0.00103,-0.01712,0.00950,0.00576,0.01095,-0.90891,-0.12813,-0.05748
-265.00000,0.00000,0.26657,-56.54867,-0.01571,0.13090,0.00104,-0.01718,0.00964,0.00578,0.01095,-0.22274,-0.07544,0.10299
-265.00000,0.00000,0.21314,-60.08296,-0.01414,0.13090,0.00102,0.00488,0.00977,0.00493,-0.01095,-0.31495,0.00000,0.00120
-645.00000,0.00000,0.16228,-58.77396,-0.01100,0.13090,0.00085,-0.01944,0.00987,0.00368,0.01095,-0.23351,-0.03233,0.09700
-645.00000,0.00000,0.11404,-52.35988,-0.00942,0.13090,0.00078,0.00232,0.00993,0.00233,-0.01095,-0.19519,0.00000,0.04670
-645.00000,0.00000,0.07469,-49.08739,-0.00628,0.13090,0.00067,0.00155,0.00997,0.00155,0.00000,-0.01796,0.03114,0.00958
-645.00000,0.00000,0.04269,-46.07669,-0.00471,0.00000,0.00041,-0.02245,0.00999,0.00089,0.01095,0.17005,0.01557,0.03114
-645.00000,0.00000,0.00707,-43.98230,-0.00314,0.13090,0.00028,0.00021,0.01000,0.00020,-0.01095,0.09939,0.03353,-0.05628
190.00000,0.00000,-0.01746,-28.53613,-0.00157,0.13090,0.00014,-0.02357,0.01000,-0.00010,0.01095,0.04670,-0.02275,-0.00359
190.00000,0.00000,-0.02055,-0.26180,-0.00157,0.00000,0.00014,0.00002,0.01000,0.00002,0.00000,0.16047,-0.08862,0.05628
190.00000,0.00000,-0.01956,0.39270,-0.00157,0.00000,0.00014,0.00000,0.01000,0.00000,0.00000,0.22154,-0.06347,-0.06347
190.00000,0.00000,-0.01956,0.00000,-0.00157,0.00000,0.00014,0.00000,0.01000,0.00000,0.00000,0.21196,-0.10418,-0.03353
190.00000,0.00000,-0.01956,0.00000,-0.00157,0.00000,0.00014,0.00000,0.01000,0.00000,0.00000,0.06946,-0.09820,-0.04670
607.00000,0.00000,-0.01045,14.26807,-0.00157,0.00000,0.00014,0.00011,0.01000,0.00012,0.00000,0.02874,-0.06946,-0.02635
607.00000,0.00000,0.04812,73.95833,-0.00157,0.00000,0.00013,-0.00093,0.00999,-0.00094,0.00000,0.05269,-0.09939,0.08143
607.00000,0.00000,0.13617,114.01363,-0.00471,-0.13090,0.00033,0.01813,0.00991,-0.00529,0.01095,0.18442,-0.07185,0.05030
607.00000,0.00000,0.26750,133.38679,-0.00942,-0.26180,0.00053,0.01166,0.00969,-0.01167,0.00000,0.43709,-0.07305,0.16286
607.00000,0.00000,0.37349,132.33959,-0.01571,-0.26180,0.00060,0.00625,0.00934,-0.01694,-0.00000,1.04902,0.24908,-0.47062
816.00000,0.00000,0.48665,133.25589,-0.02356,-0.39270,0.00094,0.00015,0.00885,-0.02273,-0.01095,1.06938,-0.19879,0.24549
816.00000,0.00000,0.60473,139.01547,-0.03299,-0.39270,0.00115,0.01892,0.00839,-0.02606,0.01095,0.33411,-0.17484,-0.14969
816.00000,0.00000,0.72426,145.03686,-0.04398,-0.52360,0.00118,-0.01230,0.00761,-0.03459,-0.01095,0.42991,-0.16166,-0.03712
816.00000,0.00000,0.85086,143.33516,-0.05498,-0.52360,0.00136,0.00407,0.00673,-0.03955,-0.00000,0.31614,0.00120,-0.22753
816.00000,0.00000,0.97471,144.64416,-0.06597,-0.52360,0.00125,-0.02239,0.00572,-0.04386,-0.01095,0.14370,-0.12454,0.14011
-105.00000,0.00000,1.09290,143.07337,-0.07854,-0.52360,0.00124,0.00053,0.00468,-0.04173,-0.00000,-0.22274,0.11496,-0.25866
-105.00000,0.00000,1.13804,60.99926,-0.08796,-0.39270,0.00150,0.01368,0.00420,-0.00724,-0.01095,-0.66821,-0.07904,0.02874
-105.00000,0.00000,1.12280,-15.96976,-0.08796,0.00000,0.00188,0.02996,0.00432,0.00905,0.01095,-0.31135,-0.30776,-10.12016
-105.00000,0.00000,1.08770,-38.61541,-0.08639,0.00000,0.00195,-0.00705,0.00464,0.01383,0.01095,-1.78668,-0.16166,0.11855
-105.00000,0.00000,1.04543,-47.12389,-0.08482,0.00000,0.00219,-0.00494,0.00501,0.01597,0.01095,-0.32213,0.03593,0.07425
460.00000,0.00000,1.00286,-52.35988,-0.08168,0.13090,0.00231,-0.00949,0.00538,0.01152,0.01095,-0.31375,0.14370,-0.12454
460.00000,0.00000,1.01284,16.62426,-0.08168,0.00000,0.00227,-0.00742,0.00534,-0.00740,0.00000,-0.15687,-0.08862,0.18322
460.00000,0.00000,1.04811,44.24410,-0.08168,0.00000,0.00198,-0.01488,0.00504,-0.01483,0.00000,0.50176,-0.02156,0.14729
460.00000,0.00000,1.09284,55.63237,-0.08482,-0.13090,0.00181,0.00236,0.00463,-0.01858,0.01095,0.22872,0.13173,-0.13532
460.00000,0.00000,1.13775,56.02507,-0.08639,0.00000,0.00160,0.00257,0.00429,-0.01832,0.01095,0.27183,0.02754,0.16526
460.00000,0.00000,1.17710,49.48008,-0.08954,-0.13090,0.00145,0.00516,0.00389,-0.01566,0.01095,0.31016,0.04431,-0.06347
742.00000,0.00000,1.21728,48.17109,-0.09268,-0.13090,0.00129,0.00281,0.00349,-0.01793,0.01095,0.31974,-0.02515,-0.18681
742.00000,0.00000,1.26061,59.69026,-0.09739,-0.26180,0.00122,0.00787,0.00317,-0.01281,-0.00000,0.32333,-0.25986,0.10059
742.00000,0.00000,1.31643,68.59144,-0.10210,-0.13090,0.00103,-0.00430,0.00260,-0.02485,0.01095,0.50655,-0.10538,-0.04431
742.00000,0.00000,1.38329,79.84881,-0.10838,-0.26180,0.00085,-0.00932,0.00194,-0.02974,0.00000,0.40596,-0.02036,-0.04670
742.00000,0.00000,1.46312,90.71349,-0.11467,-0.39270,0.00068,-0.01371,0.00116,-0.03398,-0.01095,0.04910,-0.04670,0.01796
-142.00000,0.00000,1.52858,65.97345,-0.12252,-0.26180,0.00050,-0.00030,0.00049,-0.02050,0.00000,0.14131,-0.00719,0.00359
-142.00000,0.00000,1.52490,-9.94838,-0.12409,-0.13090,0.00069,0.00555,0.00043,0.00554,-0.01095,-0.45386,0.03233,-0.08502
-142.00000,0.00000,1.50026,-31.54683,-0.12409,0.00000,0.00094,0.01274,0.00069,0.01272,0.00000,-1.56634,0.00000,-0.19040
-142.00000,0.00000,1.46388,-45.16039,-0.12252,0.13090,0.00119,0.01717,0.00106,0.01714,-0.01095,-0.28860,-0.08742,0.17484
-142.00000,0.00000,1.42183,-49.61098,-0.12095,0.00000,0.00141,-0.00105,0.00140,0.01910,0.01095,-0.32572,0.06227,-0.06586
-584.00000,0.00000,1.37564,-56.02507,-0.11781,0.13090,0.00166,0.00057,0.00189,0.02076,0.01095,-0.07544,0.04072,-0.02275
-584.00000,0.00000,1.32507,-56.91116,-0.11467,0.12083,0.00193,-0.00001,0.00241,0.02025,0.01095,-0.27303,-0.04551,0.15807
-584.00000,0.00000,1.27994,-52.88348,-0.10996,0.26180,0.00203,-0.00176,0.00286,0.01859,0.00000,-0.60474,0.06706,-0.15208
-584.00000,0.00000,1.24554,-52.46460,-0.10524,0.20944,0.00199,-0.01435,0.00319,0.01294,0.00788,-0.34009,-0.01078,0.12813
-584.00000,0.00000,1.19129,-54.71607,-0.10053,0.13090,0.00219,0.01917,0.00364,0.01908,-0.01095,0.00000,-0.00120,0.18801
-805.00000,0.00000,1.14078,-59.69026,-0.09582,0.26180,0.00218,-0.00018,0.00412,0.02046,-0.00000,0.18921,0.17364,-0.23112
-805.00000,0.00000,1.08765,-62.57005,-0.09111,0.26180,0.00230,0.00022,0.00462,0.02097,-0.00000,0.09341,-0.01916,0.04551
-805.00000,0.00000,1.03649,-62.43915,-0.08639,0.26180,0.00242,0.02033,0.00498,0.02024,-0.01095,0.00359,-0.04790,0.03712
-805.00000,0.00000,0.99048,-62.43915,-0.08011,0.26180,0.00235,-0.00093,0.00542,0.02005,0.00000,-0.15089,0.02754,-0.14131
-805.00000,0.00000,0.92344,-66.42224,-0.07383,0.22440,0.00237,-0.00076,0.00594,0.02039,-0.00219,-0.03473,-0.10059,0.10538
-915.00000,0.00000,0.86341,-70.16224,-0.06912,0.26180,0.00235,-0.00114,0.00643,0.02018,-0.00000,0.08383,-0.03473,0.01317
-915.00000,0.00000,0.80595,-69.90044,-0.06283,0.26180,0.00230,-0.00255,0.00690,0.01895,0.00000,0.08981,0.08502,-0.19400
-915.00000,0.00000,0.75357,-70.03134,-0.05812,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
-915.00000,0.00000,0.69138,-70.03134,-0.05341,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
-915.00000,0.00000,0.61851,-70.03134,-0.04712,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
-970.00000,0.00000,0.56175,-70.03134,-0.04084,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
-970.00000,0.00000,0.49915,-70.03134,-0.03613,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
-970.00000,0.00000,0.44245,-70.03134,-0.03142,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
-970.00000,0.00000,0.38628,-70.03134,-0.02827,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
-970.00000,0.00000,0.32660,-70.03134,-0.02356,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
-970.00000,0.00000,0.28175,-70.03134,-0.02042,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
27.00000,0.00000,0.23270,-70.03134,-0.01728,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
27.00000,0.00000,0.18639,-70.03134,-0.01414,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
27.00000,0.00000,0.14271,-70.03134,-0.01100,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
27.00000,0.00000,0.10569,-70.03134,-0.00942,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
27.00000,0.00000,0.07603,-70.03134,-0.00785,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
526.00000,0.00000,0.06978,-70.03134,-0.00628,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
526.00000,0.00000,0.11247,-70.03134,-0.00628,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
526.00000,0.00000,0.18511,-70.03134,-0.00785,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
526.00000,0.00000,0.27714,-70.03134,-0.01100,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
526.00000,0.00000,0.36158,-70.03134,-0.01571,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
775.00000,0.00000,0.45191,-70.03134,-0.02356,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
775.00000,0.00000,0.55036,-70.03134,-0.02985,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
775.00000,0.00000,0.64642,-70.03134,-0.03770,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
775.00000,0.00000,0.75141,-70.03134,-0.04712,0.13090,0.00239,-0.00316,0.00712,0.01839,0.01095,0.19759,0.03952,-0.01078
