SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
379.72079,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00167,0.00001,0.00000,0.00000,0.00000
674.48053,1.57080,13.87537,0.00864,0.51581,0.00000,0.00000,-0.00000,-0.00003,0.01000,-0.00003,0.00000,0.00359,-0.14131,-3.31590
653.55841,1.57080,59.95206,0.04829,2.22870,0.00000,0.00000,-0.00001,-0.00087,0.00999,-0.00091,0.00000,0.03233,-0.37003,-0.96160
206.94040,1.57080,72.51843,0.10593,2.69585,0.00000,0.00000,-0.00004,-0.00225,0.00995,-0.00234,0.00000,0.02874,-0.41554,-0.31614
-206.59898,1.57080,27.48894,0.13880,1.02189,-0.00157,0.00000,0.00005,-0.00132,0.00991,-0.00137,-0.01095,0.00599,-0.19160,-0.18202
-127.42525,1.57080,-10.47198,0.13635,-0.38929,-0.00157,0.00000,0.00005,0.00052,0.00991,0.00053,0.00000,-0.05868,-0.17723,-0.07185
333.58075,1.57080,-14.39897,0.12380,-0.53528,-0.00157,0.00000,0.00006,0.00066,0.00992,0.00068,0.00000,-0.03353,-0.07544,-0.05509
861.68280,1.57080,73.82743,0.16893,2.74451,-0.00157,0.00000,0.00003,-0.00370,0.00989,-0.00382,0.00000,0.04670,-0.28620,0.08263
-430.00348,1.57080,87.96459,0.26593,3.27006,-0.00471,0.00000,-0.00005,-0.00792,0.00966,-0.00817,0.00000,0.31495,-0.17005,0.11496
-830.29126,1.57080,0.78540,0.27340,0.02920,-0.00471,0.00000,0.00003,-0.00008,0.00960,-0.00008,0.00000,0.11257,-0.36404,-0.27423
344.93002,1.57080,-132.20869,0.16998,-4.91482,-0.00314,0.26180,0.00010,-0.01345,0.00982,0.01003,0.01095,-0.52930,-0.28740,-0.17963
890.43475,1.57080,-29.05973,0.11363,-1.08029,-0.00157,0.00000,0.00008,0.00120,0.00994,0.00124,-0.01095,-0.39278,-0.23232,0.07185
890.43475,1.57080,136.39748,0.21296,5.07054,-0.00314,-0.26180,0.00011,0.01495,0.00983,-0.00858,-0.01095,0.38201,-0.01916,-0.04551
-417.20871,1.57080,225.40927,0.40625,8.37953,-0.00785,-0.26180,-0.00007,-0.00392,0.00917,-0.03012,-0.00000,0.73527,-0.29459,0.29698
-890.43475,1.57080,28.53613,0.51410,1.06082,-0.01257,-0.26180,-0.00016,0.01765,0.00870,-0.00520,0.00000,0.68617,0.05389,-0.69216
-890.43475,1.57080,-185.61577,0.38785,-6.90021,-0.01414,-0.26180,0.00058,0.05095,0.00918,0.02876,0.01095,-0.12334,-0.02515,-0.14490
359.96481,1.57080,-209.96311,0.19025,-7.80532,-0.00785,0.26180,0.00062,-0.00539,0.00978,0.01798,-0.00000,-2.15193,-0.16765,-0.37243
890.43475,1.57080,-18.58776,0.11790,-0.69099,-0.00314,0.26180,0.00021,-0.02249,0.00993,0.00082,-0.00000,-1.44180,-0.27662,0.54127
890.43475,1.57080,111.00294,0.19515,4.12650,-0.00314,-0.26180,0.00015,0.01714,0.00986,-0.00965,-0.01095,0.80353,-0.46344,0.74485
890.43475,1.57080,226.45647,0.39930,8.41846,-0.00785,-0.26180,0.00001,-0.00526,0.00930,-0.02901,-0.00000,2.07409,-0.00599,-0.28141
282.89227,1.57080,213.36650,0.61244,7.93184,-0.01571,-0.26180,-0.00038,-0.01868,0.00834,-0.04227,0.01095,1.35798,0.00240,-0.23591
-890.43475,1.57080,-76.96902,0.63807,-2.86130,-0.02670,-0.26180,0.00018,0.03966,0.00794,0.01758,-0.00000,0.01198,0.46104,-0.67540
-609.90857,1.57080,-229.59806,0.43393,-8.53524,-0.02199,0.52360,0.00100,-0.00730,0.00905,0.03831,0.01095,-2.56147,0.29339,-0.61792
890.43475,1.57080,-95.03318,0.27813,-3.53283,-0.01414,0.52360,0.00086,-0.03568,0.00960,0.01023,0.01095,-3.11472,-0.14011,-0.09820
890.43475,1.57080,96.08038,0.31848,3.57176,-0.01100,0.00000,0.00050,-0.01043,0.00952,-0.01064,0.00000,-0.36165,-0.37602,1.30409
890.43475,1.57080,195.56414,0.46873,7.27004,-0.01414,-0.26180,0.00024,-0.00726,0.00897,-0.03068,-0.00000,3.24765,-0.05149,-0.39638
672.72711,1.57080,216.50809,0.67334,8.04863,-0.02356,-0.52360,-0.00009,-0.00162,0.00794,-0.04738,0.01095,2.30401,-0.30896,-0.24788
-890.43475,1.57080,39.26991,0.77611,1.45985,-0.03456,-0.26180,0.00003,0.01210,0.00712,-0.01014,-0.01095,0.78078,0.32812,-0.19879
-890.43475,1.57080,-176.19099,0.64163,-6.54985,-0.03456,0.26180,0.00092,0.02476,0.00804,0.04736,-0.00000,-1.83698,0.23950,-0.44667
890.43475,1.57080,-218.07889,0.45822,-8.10702,-0.02670,0.26180,0.00144,0.01744,0.00881,0.02880,0.01095,-3.42727,-0.00240,-0.41075
890.43475,1.57080,45.55309,0.44006,1.69342,-0.01885,0.26180,0.00078,-0.02955,0.00910,-0.00698,-0.00000,-1.89207,-0.19879,1.04543
890.43475,1.57080,160.48302,0.56870,5.96591,-0.02042,-0.26180,0.00041,-0.00660,0.00858,-0.02969,-0.01095,3.47637,-0.20717,-0.02395
130.24165,1.57080,218.07889,0.78400,8.10702,-0.02985,-0.26180,-0.00028,-0.03182,0.00721,-0.05483,0.00000,2.48723,0.11376,-0.66103
-890.43475,1.57080,43.98230,0.88000,1.63503,-0.03927,-0.52360,-0.00020,0.03149,0.00635,-0.01250,0.00000,0.84903,-0.28740,0.28860
-890.43475,1.57080,-187.18656,0.75147,-6.95861,-0.04241,0.00000,0.00094,0.04965,0.00710,0.05726,0.01095,-1.17236,-0.12574,0.22992
890.43475,1.57080,-208.65411,0.54277,-7.75666,-0.03299,0.52360,0.00139,-0.00053,0.00835,0.03769,-0.01095,-2.81295,-0.62989,0.14490
890.43475,1.57080,-21.20575,0.49320,-0.78832,-0.02356,0.26180,0.00106,-0.01883,0.00883,0.00371,-0.01095,-3.08000,0.26824,0.99992
890.43475,1.57080,129.85250,0.59194,4.82723,-0.02356,0.26180,0.00042,-0.04728,0.00846,-0.03039,0.00000,2.06570,0.11017,-0.09820
890.43475,1.57080,208.13051,0.76852,7.73719,-0.02985,-0.52360,-0.00013,-0.00714,0.00722,-0.05229,-0.00000,3.28357,0.32572,-1.19871
-890.43475,1.57080,171.21680,0.94265,6.36494,-0.04241,-0.52360,-0.00051,-0.00651,0.00590,-0.05074,-0.00000,1.61424,-0.39039,0.40356
-890.43475,1.57080,-97.65117,0.93086,-3.63016,-0.05027,-0.52360,0.00024,0.07288,0.00587,0.02969,0.01095,-0.24309,-0.24309,0.30057
288.97836,1.57080,-230.38346,0.75322,-8.56444,-0.04712,0.26180,0.00131,0.03887,0.00721,0.06099,-0.01095,-2.15073,0.06227,-0.26465
890.43475,1.57080,-120.16592,0.60274,-4.46713,-0.03613,0.52360,0.00140,-0.01863,0.00823,0.02587,0.00000,-3.24405,-0.25507,0.25986
890.43475,1.57080,37.17551,0.60654,1.38199,-0.02985,0.52360,0.00091,-0.05228,0.00828,-0.00776,0.01095,-2.54591,0.18442,0.53768
890.43475,1.57080,165.71901,0.76414,6.16056,-0.03299,-0.26180,0.00021,-0.01773,0.00743,-0.04043,0.01095,3.65240,0.17843,-0.29459
