SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
95.96510,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00168,0.00001,0.00000,0.00000,0.00000
191.93019,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
287.89529,1.57080,0.00000,0.00076,0.00000,0.00000,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
381.85333,1.57080,0.00000,0.00385,0.00000,0.00000,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
474.22833,1.57080,0.00000,0.00596,0.00000,0.00000,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
567.55072,1.57080,0.00000,0.01559,0.00000,0.00000,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
712.00610,1.57080,0.00000,0.05331,0.00000,-0.00157,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
731.55865,1.57080,0.00000,0.12730,0.00000,-0.00157,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
711.88757,1.57080,0.00000,0.24560,0.00000,-0.00471,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
668.82379,1.57080,0.00000,0.35579,0.00000,-0.00785,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
622.45941,1.57080,0.00000,0.45547,0.00000,-0.01100,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
575.74866,1.57080,0.00000,0.53962,0.00000,-0.01728,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
575.90497,1.57080,0.00000,0.59246,0.00000,-0.02356,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
593.83569,1.57080,0.00000,0.62592,0.00000,-0.02513,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
628.30994,1.57080,0.00000,0.64204,0.00000,-0.02670,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
671.37347,1.57080,0.00000,0.65565,0.00000,-0.02670,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
752.04144,1.57080,0.00000,0.67971,0.00000,-0.02827,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
752.30231,1.57080,0.00000,0.74154,0.00000,-0.02985,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
725.03125,1.57080,0.00000,0.82347,0.00000,-0.03299,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
686.05646,1.57080,0.00000,0.89080,0.00000,-0.03613,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
657.52325,1.57080,0.00000,0.93267,0.00000,-0.03927,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
654.40698,1.57080,0.00000,0.95719,0.00000,-0.04241,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
690.67279,1.57080,0.00000,0.96800,0.00000,-0.04398,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
722.99744,1.57080,0.00000,0.97132,0.00000,-0.04398,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
752.35413,1.57080,0.00000,0.98148,0.00000,-0.04555,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
755.86389,1.57080,0.00000,1.02762,0.00000,-0.04712,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
732.08044,1.57080,0.00000,1.09454,0.00000,-0.04869,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
694.26459,1.57080,0.00000,1.14329,0.00000,-0.05184,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
651.41718,1.57080,0.00000,1.18072,0.00000,-0.05498,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
655.68402,1.57080,0.00000,1.19632,0.00000,-0.05655,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
672.83533,1.57080,0.00000,1.19970,0.00000,-0.05812,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
695.50665,1.57080,0.00000,1.20017,0.00000,-0.05969,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
716.76569,1.57080,0.00000,1.20251,0.00000,-0.05969,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
734.83453,1.57080,0.00000,1.21448,0.00000,-0.06126,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
738.26489,1.57080,0.00000,1.24712,0.00000,-0.06283,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
719.07965,1.57080,0.00000,1.29699,0.00000,-0.06597,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
662.43048,1.57080,0.00000,1.33243,0.00000,-0.06754,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
649.30133,1.57080,0.00000,1.35129,0.00000,-0.07069,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
656.67493,1.57080,0.00000,1.35164,0.00000,-0.07226,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
670.06384,1.57080,0.00000,1.35170,0.00000,-0.07226,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
683.37811,1.57080,0.00000,1.35345,0.00000,-0.07383,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
694.01294,1.57080,0.00000,1.36215,0.00000,-0.07383,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
697.40759,1.57080,0.00000,1.37366,0.00000,-0.07540,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
688.16766,1.57080,0.00000,1.39316,0.00000,-0.07697,0.00000,-0.00000,0.00000,0.01000,0.00000,0.00000,0.00120,-0.07664,-4.54934
679.31250,1.57080,38.38546,1.41021,1.42697,-0.07854,-0.07799,-0.00171,-0.00170,0.00161,-0.00833,0.00002,0.00120,-0.07664,-4.54934
670.83588,1.57080,13.35177,1.42417,0.49635,-0.08011,0.00000,-0.00172,-0.00491,0.00147,-0.00491,-0.01095,-0.01078,-0.07305,-0.01317
668.30267,1.57080,10.99557,1.43351,0.40876,-0.08168,-0.26180,-0.00170,0.01687,0.00137,-0.00405,0.01095,-0.09221,-0.09221,-0.03952
667.80414,1.57080,0.00000,1.43561,0.00000,-0.08168,0.00000,-0.00172,0.00000,0.00135,0.00000,0.00000,-0.18202,-0.08263,-0.02754
675.70892,1.57080,0.00000,1.43561,0.00000,-0.08325,0.00000,-0.00160,0.00000,0.00135,0.00000,-0.01095,-0.16526,-0.07185,0.04790
683.96759,1.57080,0.00000,1.43561,0.00000,-0.08325,0.00000,-0.00160,0.00000,0.00135,0.00000,0.00000,-0.06586,-0.04191,-0.05149
700.48492,1.57080,0.00000,1.43561,0.00000,-0.08325,0.00000,-0.00160,0.00000,0.00135,0.00000,0.00000,-0.04072,-0.01796,0.01437
708.66943,1.57080,0.00000,1.43573,0.00000,-0.08482,0.00000,-0.00147,-0.00012,0.00135,-0.00012,0.00000,-0.06347,-0.01317,-0.00479
716.40430,1.57080,0.96664,1.43684,0.03593,-0.08482,0.00000,-0.00148,-0.00104,0.00134,-0.00104,0.00000,-0.04191,0.01677,-0.04311
720.32300,1.57080,17.80236,1.44566,0.66180,-0.08482,0.00000,-0.00157,-0.00657,0.00125,-0.00656,0.00000,0.00120,0.01796,0.01437
708.27570,1.57080,33.77212,1.47287,1.25547,-0.08639,-0.26180,-0.00165,0.00843,0.00105,-0.01238,0.01095,0.16645,0.00240,0.04072
