SL_PWM,U,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
496.00000,0.00000,0.00035,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00177,0.00001,0.00000,0.00000,0.00000
496.00000,0.00000,0.02686,46.86209,0.00000,0.00000,-0.00000,-0.00035,0.01000,-0.00036,0.00000,0.02275,-0.10299,-3.29435
496.00000,0.00000,0.08999,82.99041,-0.00157,-0.26180,0.00010,0.02103,0.00996,-0.00245,0.01095,0.06107,-0.15927,-0.88496
496.00000,0.00000,0.16671,95.29498,-0.00314,-0.26180,0.00017,0.01849,0.00989,-0.00496,0.01095,0.12574,-0.12334,-0.40715
496.00000,0.00000,0.25314,101.31636,-0.00785,0.00000,0.00028,-0.00833,0.00971,-0.00855,-0.01095,0.49816,-0.06826,-0.16526
496.00000,0.00000,0.33524,99.22197,-0.01257,-0.26180,0.00058,0.01156,0.00946,-0.01160,0.00000,0.95082,-0.13532,-0.16166
-265.00000,0.00000,0.39141,28.79793,-0.01728,0.00000,0.00078,-0.00399,0.00924,-0.00405,-0.01095,0.57001,-0.24309,-0.23711
-265.00000,0.00000,0.36128,-39.26991,-0.01885,0.00000,0.00100,0.00523,0.00932,0.00530,0.00000,-0.46703,-0.34608,0.15807
-265.00000,0.00000,0.29816,-77.49262,-0.01728,0.00000,0.00118,0.00909,0.00951,0.00918,0.00000,-1.71962,-0.05628,-0.18442
-265.00000,0.00000,0.21804,-91.36799,-0.01414,0.26180,0.00102,-0.01530,0.00976,0.00775,0.01095,-0.36764,-0.05748,0.13891
-265.00000,0.00000,0.14452,-95.03318,-0.01100,0.26180,0.00086,-0.01731,0.00988,0.00583,0.01095,-0.55205,-0.07305,0.22393
-645.00000,0.00000,0.04683,-129.59070,-0.00471,0.26180,0.00054,-0.01943,0.00998,0.00386,-0.00000,-0.70414,0.05988,-0.04431
-645.00000,0.00000,-0.08409,-145.56046,0.00157,0.26180,-0.00002,-0.02583,0.00998,-0.00239,-0.00000,-0.42631,-0.07664,0.31495
-645.00000,0.00000,-0.24777,-174.62019,0.00785,0.26180,-0.00079,-0.03613,0.00977,-0.01262,-0.00000,-0.05030,0.27064,-0.50415
-645.00000,0.00000,-0.38949,-187.71016,0.00942,0.00000,-0.00150,-0.02303,0.00934,-0.02359,0.00000,1.46575,-0.22034,0.52690
-645.00000,0.00000,-0.54867,-159.69763,0.01100,0.00000,-0.00242,-0.02920,0.00854,-0.02993,0.00000,0.73288,-0.27782,0.13292
190.00000,0.00000,-0.68759,-115.45353,0.01100,0.00000,-0.00316,-0.02589,0.00778,-0.02652,0.00000,0.12454,0.06946,-0.47421
190.00000,0.00000,-0.73816,-37.17551,0.01100,0.00000,-0.00353,-0.00903,0.00741,-0.00924,0.00000,0.13412,-0.24429,0.26465
190.00000,0.00000,-0.73985,6.28319,0.01100,0.00000,-0.00357,0.00155,0.00737,0.00158,0.00000,0.05868,0.05748,-0.21435
190.00000,0.00000,-0.72321,20.42035,0.01100,0.00000,-0.00347,0.00488,0.00747,0.00499,0.00000,-0.00359,0.08383,-0.02515
