SL_PWM,U,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
950.00000,0.00000,0.00041,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00180,0.00001,0.00000,0.00000,0.00000
950.00000,0.00000,0.03597,63.35545,0.00000,0.00000,-0.00001,-0.00057,0.00999,-0.00060,0.00000,0.03952,-0.07784,-3.30034
950.00000,0.00000,0.12175,111.52654,-0.00157,-0.26180,0.00010,0.02003,0.00995,-0.00348,0.01095,0.09820,-0.11616,-0.81910
950.00000,0.00000,0.27328,161.26842,-0.00785,-0.26180,0.00037,0.00916,0.00967,-0.01428,-0.00000,0.26585,-0.06347,-0.20956
950.00000,0.00000,0.43813,181.16518,-0.01414,-0.26180,0.00042,-0.00253,0.00915,-0.02588,-0.00000,1.09213,0.07544,-0.11496
987.00000,0.00000,0.60163,194.51695,-0.02199,-0.26180,0.00017,-0.01533,0.00834,-0.03855,-0.00000,0.79275,0.30896,-0.59636
987.00000,0.00000,0.77810,196.87314,-0.03142,-0.26180,-0.00010,-0.02642,0.00725,-0.04928,-0.01095,0.54247,-0.70414,0.44907
987.00000,0.00000,0.95328,193.73155,-0.04398,-0.52360,-0.00035,-0.01289,0.00594,-0.05709,-0.00000,0.60714,-0.39039,0.27782
987.00000,0.00000,1.15065,185.35397,-0.05812,-0.52360,-0.00088,-0.01920,0.00410,-0.06233,-0.00000,0.58678,-0.08263,-0.08502
987.00000,0.00000,1.32046,179.07078,-0.07383,-0.78540,-0.00113,-0.00067,0.00257,-0.06407,0.01095,0.37841,0.48619,-0.01437
-19.00000,0.00000,1.48957,161.26842,-0.09268,-0.52360,-0.00141,-0.01795,0.00103,-0.05951,-0.01095,0.07065,-0.02156,-0.64785
-19.00000,0.00000,1.55637,29.58333,-0.10838,-0.52360,-0.00082,0.02990,0.00015,-0.01100,-0.01095,-0.39039,-0.38201,0.44188
-19.00000,0.00000,1.54183,-28.27433,-0.11938,-0.52360,0.00015,0.05103,0.00026,0.01051,-0.00000,-1.10650,-0.26944,-0.01796
-19.00000,0.00000,1.51001,-43.19690,-0.12252,0.26180,0.00073,-0.00421,0.00060,0.01594,0.01095,-1.83219,0.00120,-0.42991
-19.00000,0.00000,1.46972,-46.60029,-0.12252,0.00000,0.00114,0.01727,0.00100,0.01724,-0.01095,-2.43573,-0.06586,-0.09939
-522.00000,0.00000,1.42102,-47.64749,-0.11938,0.00000,0.00144,0.01749,0.00142,0.01745,0.00000,-0.21196,-0.11376,0.39398
-522.00000,0.00000,1.34312,-82.72861,-0.11624,0.26180,0.00175,0.00994,0.00210,0.03013,-0.00000,-0.46224,0.10897,-0.13053
-522.00000,0.00000,1.25886,-104.71976,-0.10838,0.26180,0.00207,0.01711,0.00291,0.03737,0.00000,-0.79515,0.01796,-0.15568
