SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
-800.00000,1.57080,-0.00055,-0.00047,-0.00002,0.00628,0.00109,-0.00000,-0.00000,0.01000,0.00174,0.00001,0.00000,0.00000,0.00000
-800.00000,1.57080,-134.56489,-0.07498,-5.00241,0.00785,0.26180,-0.00017,-0.02661,0.00997,-0.00287,0.01095,-0.06826,-0.06107,-3.37458
-800.00000,1.57080,-226.98007,-0.27177,-8.43792,0.01100,0.26180,-0.00073,-0.04230,0.00969,-0.01867,0.01095,-0.68617,-0.10418,-1.03465
-800.00000,1.57080,-289.02652,-0.59468,-10.74448,0.01571,0.00000,-0.00233,-0.05240,0.00851,-0.05351,-0.01095,-0.22393,-0.20118,0.30297
-800.00000,1.57080,-323.58404,-0.92111,-12.02915,0.01414,-0.26180,-0.00443,-0.06519,0.00622,-0.09160,0.01095,1.32804,-0.14969,0.01557
-800.00000,1.57080,-315.46826,-1.23562,-11.72744,0.00314,-0.26180,-0.00606,-0.08054,0.00380,-0.10682,0.01095,2.34832,0.08622,-0.07425
-800.00000,1.57080,-291.12092,-1.50814,-10.82234,-0.01100,-0.52360,-0.00762,-0.05721,0.00059,-0.10679,-0.01095,2.35670,-0.00599,-0.32213
-800.00000,1.57080,-275.15116,-1.74639,-10.22867,-0.02827,-0.78540,-0.00832,-0.02668,-0.00186,-0.09870,-0.00000,1.65616,-0.30297,0.33530
800.00000,1.57080,-173.57299,-1.96992,-6.45253,-0.05027,-0.78540,-0.00848,0.01023,-0.00386,-0.05998,-0.01095,0.80832,-0.29219,0.05269
800.00000,1.57080,21.99115,-1.98306,0.81751,-0.06283,-0.52360,-0.00773,0.05488,-0.00410,0.00745,-0.00000,-0.13173,0.14490,-0.43949
800.00000,1.57080,168.07521,-1.85196,6.24815,-0.06126,0.26180,-0.00656,0.03678,-0.00309,0.05914,0.00000,-4.10626,0.06826,-0.64426
800.00000,1.57080,250.54201,-1.64875,9.31383,-0.04712,0.52360,-0.00572,0.04518,-0.00114,0.09219,0.00000,-5.11217,-0.17124,0.46703
800.00000,1.57080,300.02210,-1.37926,11.15324,-0.02199,1.04720,-0.00517,0.01298,0.00202,0.11105,0.01095,-4.34097,0.10538,-0.09820
800.00000,1.57080,339.55381,-1.05319,12.62282,0.00471,0.78540,-0.00484,0.03773,0.00474,0.11340,-0.02189,-1.57233,-0.22393,0.39518
800.00000,1.57080,315.20646,-0.65319,11.49387,0.02042,0.00000,-0.00288,0.06503,0.00840,0.06623,0.00000,5.82588,0.37841,-0.36524
800.00000,1.57080,315.46826,-0.17594,11.72744,0.01257,-0.26180,-0.00111,0.05377,0.00989,0.02224,0.01095,2.65967,0.21435,0.49577
800.00000,1.57080,319.91885,0.23556,11.89289,0.00157,-0.52360,0.00020,0.02623,0.00977,-0.02142,0.00000,1.65855,0.28980,-0.43949
800.00000,1.57080,279.33995,0.50482,10.38438,-0.01100,-0.52360,0.00031,0.00212,0.00888,-0.04480,-0.00000,1.51245,0.24309,0.19400
800.00000,1.57080,235.61945,0.78055,8.75909,-0.03142,-0.52360,0.00035,-0.01318,0.00727,-0.05854,0.00000,0.90053,-0.12694,-0.37841
-800.00000,1.57080,51.05088,0.89518,1.89780,-0.04869,-0.78540,0.00079,0.05086,0.00625,-0.01475,0.01095,0.44068,0.05389,0.11616
