SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
-800.00000,90.00000,0.00000,-0.09703,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00135,0.00000,0.00000,0.00000,0.00000
-800.00000,90.00000,-135.61208,-4.71078,-5.04134,0.00000,0.00000,-0.00003,-0.00283,0.00997,-0.00294,0.00000,-0.08023,-0.04191,-3.36979
-800.00000,90.00000,-226.19467,-15.05242,-8.40872,0.00157,0.00000,-0.00044,-0.01800,0.00969,-0.01862,-0.01095,0.08263,-0.03473,-0.86460
-800.00000,90.00000,-275.41296,-29.31859,-10.23840,0.00000,-0.26180,-0.00110,-0.01925,0.00886,-0.04476,0.01095,0.09101,0.05628,-0.56403
-800.00000,90.00000,-295.04791,-44.66877,-10.96832,-0.00157,0.00000,-0.00238,-0.06909,0.00739,-0.07122,0.00000,0.07305,0.12933,-0.61073
-800.00000,90.00000,-290.33552,-63.19740,-10.79314,-0.00471,-0.26180,-0.00456,-0.08969,0.00430,-0.09145,-0.01095,-0.04431,-0.39638,0.06467
-800.00000,90.00000,-282.74334,-78.73829,-10.51090,-0.00628,0.00000,-0.00730,-0.09853,0.00192,-0.09953,0.00000,-0.06826,0.18322,-0.33890
-800.00000,90.00000,-261.27579,-94.60372,-9.71285,-0.00942,0.00000,-0.00936,-0.09726,-0.00044,-0.09730,0.00000,0.06706,-0.08502,-0.15328
800.00000,90.00000,-231.43066,-106.64164,-8.60337,-0.01414,-0.26180,-0.01113,-0.05999,-0.00264,-0.08362,0.01095,0.29578,-0.08981,-0.14250
800.00000,90.00000,43.19690,-107.43123,1.60583,-0.01885,0.00000,-0.01133,0.01544,-0.00313,0.01523,0.00000,0.37362,-0.01078,-0.37961
800.00000,90.00000,196.87314,-98.10000,7.31870,-0.02199,-0.26180,-0.00912,0.08324,-0.00137,0.08268,-0.01095,-0.58438,-0.09939,-0.17364
800.00000,90.00000,281.17254,-84.07807,10.45251,-0.02199,0.00000,-0.00669,0.10932,0.00106,0.10985,0.00000,-0.49457,0.21675,-0.48140
800.00000,90.00000,339.81561,-58.87138,12.05834,-0.01728,0.26180,-0.00307,0.07873,0.00518,0.10547,0.00000,-0.83466,0.14490,-0.25866
800.00000,90.00000,311.80307,-38.46580,11.57173,-0.00942,0.26180,-0.00111,0.04891,0.00780,0.07562,-0.01095,-1.18434,-0.03712,-0.33171
