SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
950.00000,0.00000,0.00000,0.00298,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,-0.00000,-0.00755,0.00000,0.00000,0.00000
950.00000,0.00000,66.75884,0.05150,2.48174,0.00000,0.00000,-0.00001,-0.00065,0.00999,-0.00068,0.00000,0.02515,-0.10059,-2.36748
950.00000,0.00000,124.09291,0.15136,4.61312,-0.00314,-0.26180,0.00020,0.01818,0.00992,-0.00530,0.01095,0.18442,-0.09820,-0.92568
950.00000,0.00000,169.12240,0.30149,6.28708,-0.00942,-0.26180,0.00036,0.00806,0.00954,-0.01840,0.01095,1.35558,0.01437,-0.10179
950.00000,0.00000,197.39674,0.51352,7.33817,-0.02199,-0.26180,0.00059,0.01065,0.00869,-0.03510,0.01095,1.39151,0.23471,-0.47900
987.00000,0.00000,214.15190,0.74639,7.96104,-0.03927,-0.52360,0.00076,-0.00793,0.00732,-0.05252,0.00000,0.83347,0.19879,-0.21316
987.00000,0.00000,214.67550,0.95305,7.98050,-0.05655,-0.52360,0.00065,-0.01987,0.00589,-0.06340,0.00000,0.52930,0.11975,-0.34369
987.00000,0.00000,208.39231,1.16391,7.74693,-0.07540,-0.78540,0.00046,-0.00557,0.00386,-0.07057,-0.00000,0.29818,-0.09700,0.28620
987.00000,0.00000,205.25072,1.35491,7.63014,-0.09425,-0.78540,0.00004,-0.03255,0.00211,-0.07390,0.00000,-0.08143,-0.55564,0.46344
987.00000,0.00000,206.29792,1.54487,7.66907,-0.11153,-0.78540,-0.00042,-0.01548,0.00030,-0.07667,0.00000,-0.44188,-0.22393,0.12215
-19.00000,0.00000,97.12757,1.66977,3.61069,-0.12723,-0.52360,-0.00057,0.00450,-0.00095,-0.03588,-0.01095,-0.68857,0.27423,-0.33530
-19.00000,0.00000,13.87537,1.70411,0.51581,-0.13823,-0.26180,0.00001,0.01474,-0.00133,-0.00521,-0.01095,-1.05620,0.36045,-0.40715
-19.00000,0.00000,-20.68215,1.69150,-0.76885,-0.13980,0.00000,0.00021,0.00760,-0.00124,0.00763,-0.01095,-2.04175,-0.36165,0.14729
-19.00000,0.00000,-30.10693,1.66738,-1.11922,-0.13823,0.26180,0.00031,-0.00881,-0.00103,0.01113,0.01095,-2.17228,-0.13652,0.45984
-19.00000,0.00000,-36.65191,1.63596,-1.36252,-0.13823,0.00000,0.00061,0.01365,-0.00073,0.01368,0.00000,-0.31495,0.18801,0.00000
-522.00000,0.00000,-96.60397,1.57278,-3.59123,-0.13509,0.26180,0.00097,0.01602,-0.00012,0.03600,0.01095,-0.11736,0.01916,0.04431
-522.00000,0.00000,-161.00662,1.44945,-5.98538,-0.12881,0.52360,0.00173,0.01961,0.00111,0.05959,0.01095,-0.61432,-0.27782,0.31854
-522.00000,0.00000,-209.96311,1.23906,-7.80532,-0.11153,0.52360,0.00263,0.03413,0.00322,0.07447,0.00000,-2.19504,-0.34967,-0.12095
-522.00000,0.00000,-224.10028,1.02534,-8.33087,-0.08954,1.04720,0.00265,-0.00739,0.00533,0.07362,-0.00657,-2.70996,-0.22753,0.09700
-774.00000,0.00000,-263.63198,0.74803,-9.80045,-0.05655,1.04720,0.00228,-0.01546,0.00714,0.07066,-0.01095,-1.79626,0.11975,-0.18921
-774.00000,0.00000,-329.34363,0.33401,-12.24326,-0.02042,1.04720,0.00132,-0.04382,0.00937,0.04699,0.00000,0.60354,-0.03593,-0.13771
-774.00000,0.00000,-309.70868,-0.00251,-11.82477,0.00157,0.78540,-0.00014,-0.06609,0.01000,0.00437,0.00000,1.28493,-0.17484,-0.16765
-774.00000,0.00000,-323.58404,-0.42073,-12.02915,0.00942,0.00000,-0.00173,-0.02662,0.00879,-0.05215,0.00000,3.44643,-0.21196,-0.13771
125.00000,0.00000,-239.80824,-0.86914,-8.91480,-0.00314,-0.52360,-0.00298,-0.03116,0.00643,-0.05701,-0.01095,3.13029,-0.01677,0.20358
125.00000,0.00000,-99.74557,-0.97448,-3.70801,-0.01257,-0.52360,-0.00311,0.01931,0.00574,-0.03005,0.01095,0.68737,0.01198,-0.14011
125.00000,0.00000,-11.78097,-0.99556,-0.43795,-0.01571,0.00000,-0.00311,-0.00358,0.00544,-0.00367,-0.01095,-1.17595,0.02994,-0.05389
125.00000,0.00000,21.72935,-0.98055,0.80778,-0.01571,0.00000,-0.00286,0.00663,0.00555,0.00681,0.00000,-1.90763,-0.14370,0.18202
125.00000,0.00000,36.12832,-0.95392,1.34306,-0.01414,0.00000,-0.00278,0.01062,0.00578,0.01091,0.00000,-0.28860,0.08742,-0.04670
-450.00000,0.00000,-9.68658,-0.95159,-0.36010,-0.01414,0.00000,-0.00273,-0.00284,0.00583,-0.00292,0.00000,-0.21196,0.10658,0.08383
-450.00000,0.00000,-61.52286,-1.00035,-2.28710,-0.01571,-0.26180,-0.00298,0.00553,0.00543,-0.01920,0.01095,-0.00359,-0.04431,-0.07425
-450.00000,0.00000,-78.01622,-1.06312,-2.90023,-0.01728,-0.26180,-0.00337,-0.00036,0.00487,-0.02520,0.01095,0.14011,-0.31375,-10.11656
-450.00000,0.00000,-81.94321,-1.12969,-3.04622,-0.01885,0.00000,-0.00373,-0.02677,0.00436,-0.02737,-0.01095,0.25866,-0.14250,0.14490
-450.00000,0.00000,-75.92182,-1.19357,-2.82237,-0.02356,-0.26180,-0.00392,-0.00139,0.00372,-0.02611,-0.00000,0.65863,0.07664,-0.18921
-738.00000,0.00000,-86.39380,-1.25705,-3.21167,-0.02827,-0.26180,-0.00407,-0.00562,0.00327,-0.03034,0.00000,0.67659,-0.15089,-0.06946
