SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
-800.00000,90.00000,0.00000,-0.00669,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00171,0.00001,0.00000,0.00000,0.00000
-800.00000,90.00000,-131.16149,-4.15204,-4.87589,0.00157,0.26180,-0.00016,-0.02619,0.00998,-0.00269,0.01095,-0.04551,-0.08143,-3.34824
-800.00000,90.00000,-208.91591,-13.38625,-7.76639,0.00314,0.00000,-0.00032,-0.04172,0.00970,-0.01851,0.01095,-0.34848,-0.16286,-1.21068
-800.00000,90.00000,-273.05676,-27.39814,-10.15081,0.00471,0.26180,-0.00153,-0.06806,0.00886,-0.04536,0.00000,-0.16765,-0.52211,0.36045
-800.00000,90.00000,-309.97048,-44.05651,-11.52307,0.00314,0.00000,-0.00288,-0.07337,0.00733,-0.07542,-0.01095,0.36404,-0.56522,0.40236
-800.00000,90.00000,-310.49407,-60.55428,-11.54253,-0.00314,-0.26180,-0.00452,-0.06990,0.00520,-0.09646,0.00000,0.67779,-0.47900,0.11975
-800.00000,90.00000,-298.45130,-76.54015,-11.09484,-0.00785,0.00000,-0.00698,-0.07987,0.00210,-0.10556,0.01095,0.36524,-0.12933,-0.51493
-800.00000,90.00000,-282.74334,-95.70446,-10.51090,-0.01100,-0.26180,-0.00980,-0.07652,-0.00103,-0.10084,0.01095,-0.78078,-0.66462,0.37841
800.00000,90.00000,-269.91517,-109.35836,-10.03402,-0.01100,0.00000,-0.01213,-0.08945,-0.00334,-0.08833,0.00000,-0.48260,-0.14131,-0.21555
800.00000,90.00000,-45.29129,-113.62082,-1.68369,-0.01257,0.00000,-0.01270,-0.01561,-0.00404,-0.01535,-0.01095,-0.27543,-0.08981,0.08622
800.00000,90.00000,148.96385,-107.58848,5.53769,-0.01100,0.00000,-0.01195,0.05271,-0.00331,0.05195,-0.01095,-0.43230,-0.39278,0.31495
800.00000,90.00000,259.70499,-95.21264,9.65446,-0.01100,0.00000,-0.00955,0.10050,-0.00078,0.10012,0.00000,-0.31495,-0.58798,0.40835
800.00000,90.00000,339.55381,-73.20446,12.62282,-0.01100,0.00000,-0.00543,0.11520,0.00337,0.11685,0.01095,-0.55325,-0.05988,-0.37123
800.00000,90.00000,301.06930,-49.80446,11.76637,-0.00471,0.26180,-0.00303,0.06612,0.00642,0.07935,-0.01095,-2.28605,-0.51852,-0.76281
800.00000,90.00000,315.46826,-21.22862,11.72744,0.00471,0.26180,-0.00090,0.06416,0.00952,0.04135,0.00000,1.59868,0.40117,0.57480
800.00000,90.00000,331.69982,4.63383,12.33085,0.00000,-0.26180,-0.00007,0.01410,0.00993,-0.00973,-0.00000,3.09197,0.49577,-0.18202
800.00000,90.00000,311.01767,25.91933,11.56200,-0.00785,-0.26180,-0.00035,-0.01713,0.00921,-0.04142,0.01095,0.76641,-0.34967,0.33530
800.00000,90.00000,274.10396,42.46394,10.18974,-0.00785,0.00000,-0.00169,-0.06297,0.00715,-0.06529,0.00000,-0.80712,0.10658,-0.05149
-800.00000,90.00000,157.86503,55.98736,5.86859,-0.00942,0.00000,-0.00345,-0.04707,0.00561,-0.04800,0.00000,-0.86101,0.33890,-0.05149
-800.00000,90.00000,-51.31268,55.45204,-1.90753,-0.00785,0.00000,-0.00352,0.01572,0.00554,0.01602,0.00000,-0.26824,0.32932,-0.49337
-800.00000,90.00000,-203.67992,45.73941,-7.57174,-0.00785,0.00000,-0.00222,0.06121,0.00700,0.06264,0.00000,0.00599,-0.47541,-0.08023
-800.00000,90.00000,-309.18508,28.53903,-11.49387,-0.00471,0.26180,-0.00049,0.02568,0.00920,0.05014,-0.00000,-0.16047,0.22633,-0.59037
800.00000,90.00000,-218.86429,7.48773,-8.13622,0.00000,0.26180,-0.00010,-0.00983,0.00989,0.01395,0.01095,-0.80832,0.13771,0.21914
800.00000,90.00000,-26.17994,3.51970,-0.97323,-0.00157,-0.26180,0.00012,0.02402,0.00998,0.00063,0.01095,0.86580,0.15448,0.45026
800.00000,90.00000,74.35103,6.40037,2.76398,-0.00314,0.00000,0.00010,-0.00225,0.00996,-0.00232,0.01095,0.68019,-0.30417,-0.10538
800.00000,90.00000,148.96385,12.86431,5.53769,-0.00314,0.00000,0.00008,-0.00998,0.00979,-0.01029,0.00000,0.18921,-0.48379,0.07425
800.00000,90.00000,192.68435,23.10892,7.16299,-0.00314,0.00000,-0.00048,-0.02561,0.00921,-0.02644,0.00000,0.13532,0.18322,-0.34848
800.00000,90.00000,211.01031,36.24758,7.84425,-0.00471,0.00000,-0.00143,-0.04337,0.00809,-0.04463,0.00000,-0.19639,0.12813,0.03832
800.00000,90.00000,211.79570,47.15130,7.87345,-0.00471,0.00000,-0.00266,-0.05489,0.00683,-0.05628,0.00000,-0.13173,-0.26704,0.27064
