SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
950.00000,0.00000,0.00000,0.00029,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00177,0.00001,0.00000,0.00000,0.00000
950.00000,0.00000,85.60840,0.04526,3.18247,-0.00157,0.00000,0.00013,-0.00106,0.00999,-0.00108,0.00000,-0.00240,-0.08622,-3.32548
950.00000,0.00000,150.79645,0.16543,5.60582,0.00000,0.00000,-0.00008,-0.00613,0.00986,-0.00935,0.00000,0.02874,-0.04910,-1.06219
950.00000,0.00000,233.78685,0.36432,8.69096,-0.00157,0.00000,-0.00048,-0.02743,0.00936,-0.02839,0.00000,0.12454,-0.34369,0.08502
950.00000,0.00000,266.51178,0.59007,9.90750,-0.00628,-0.26180,-0.00110,-0.02894,0.00830,-0.05321,0.00000,0.42392,-0.19759,0.19400
950.00000,0.00000,283.79054,0.84041,10.54983,-0.00942,0.00000,-0.00243,-0.07542,0.00666,-0.07714,0.00000,0.45026,0.20597,-0.44787
987.00000,0.00000,284.31414,1.13494,10.56930,-0.01885,-0.26180,-0.00382,-0.04643,0.00401,-0.09177,0.01095,0.79155,0.08023,-0.08862
987.00000,0.00000,276.19835,1.39170,10.26760,-0.03142,-0.52360,-0.00550,-0.05426,0.00167,-0.09836,0.00000,1.25499,0.01317,0.24309
987.00000,0.00000,258.65780,1.62995,9.61553,-0.04398,-0.52360,-0.00675,-0.05126,-0.00063,-0.09434,-0.01095,1.36516,0.07305,0.05988
987.00000,0.00000,239.28464,1.84472,8.89534,-0.06126,-0.78540,-0.00745,-0.02035,-0.00273,-0.08409,-0.00000,1.38791,0.04311,-0.04311
-19.00000,0.00000,223.31488,2.04081,8.30167,-0.08168,-0.78540,-0.00772,0.01671,-0.00456,-0.06763,0.01095,1.16398,-0.06107,0.00120
-19.00000,0.00000,74.35103,2.14831,2.76398,-0.10524,-1.04720,-0.00664,0.06063,-0.00545,-0.02255,-0.00000,0.42631,-0.33770,0.11975
-19.00000,0.00000,-14.92257,2.15987,-0.55474,-0.12409,-1.04720,-0.00539,0.08645,-0.00557,0.00468,0.02189,-0.81670,-0.13652,0.16406
