SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
826.00000,1.57080,0.00000,0.00035,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00162,0.00001,0.00000,0.00000,0.00000
826.00000,1.57080,117.28613,0.08117,4.36008,-0.00157,0.00000,0.00012,-0.00214,0.00998,-0.00220,-0.01095,0.06467,-0.16047,-3.26800
826.00000,1.57080,192.42255,0.23217,7.15325,-0.00471,-0.26180,0.00020,0.01001,0.00977,-0.01359,0.00000,0.48619,-0.14370,-0.44428
826.00000,1.57080,220.43508,0.45255,8.19461,-0.01100,-0.26180,0.00001,-0.01004,0.00901,-0.03370,0.01095,1.22984,0.16286,-0.84544
826.00000,1.57080,225.14747,0.66032,8.36979,-0.02042,-0.52360,-0.00019,-0.00283,0.00798,-0.04872,0.01095,0.93406,-0.51014,-0.02635
858.00000,1.57080,220.69688,0.88081,8.20435,-0.03142,-0.52360,-0.00069,-0.01469,0.00628,-0.06234,-0.01095,0.31255,-0.43949,0.18801
858.00000,1.57080,225.14747,1.08887,8.36979,-0.04241,-0.52360,-0.00167,-0.02914,0.00460,-0.07323,-0.00000,0.17484,-0.70294,0.33530
858.00000,1.57080,227.76547,1.30919,8.46712,-0.05341,-0.52360,-0.00276,-0.03764,0.00272,-0.08095,-0.00000,0.20717,-0.53529,0.49337
858.00000,1.57080,228.28907,1.53915,8.48658,-0.06754,-0.52360,-0.00375,-0.04204,0.00020,-0.08467,0.01095,0.53409,-0.60594,0.18442
858.00000,1.57080,237.71384,1.77307,8.83695,-0.08482,-0.52360,-0.00482,-0.04548,-0.00187,-0.08730,-0.01095,0.71491,-0.41434,0.22393
-17.00000,1.57080,180.11798,1.96396,6.69584,-0.10210,-0.78540,-0.00526,-0.00051,-0.00369,-0.06281,0.01095,0.24429,-0.17723,-0.35087
-17.00000,1.57080,101.31636,2.06662,3.76641,-0.11938,-0.52360,-0.00495,0.00782,-0.00474,-0.03344,-0.01095,0.04670,0.20597,0.00479
-17.00000,1.57080,46.60029,2.11444,1.73235,-0.13509,-0.78540,-0.00423,0.04615,-0.00512,-0.01484,0.00000,-0.25148,-0.25866,0.03114
-17.00000,1.57080,-10.99557,2.11339,-0.40876,-0.15080,-0.52360,-0.00308,0.04335,-0.00518,0.00349,-0.01095,-0.56762,0.04072,-0.25746
-17.00000,1.57080,-20.94395,2.09839,-0.77859,-0.16179,-0.26180,-0.00188,0.02623,-0.00505,0.00671,-0.01095,-1.01429,-0.01557,0.06706
-454.00000,1.57080,-41.36430,2.07176,-1.53771,-0.16336,0.00000,-0.00153,0.01302,-0.00481,0.01336,0.00000,-3.25962,-0.08622,-0.27782
-454.00000,1.57080,-65.18805,2.02206,-2.42335,-0.16179,0.00000,-0.00131,0.02111,-0.00447,0.02160,-0.01095,-2.67404,-0.27064,0.27782
-454.00000,1.57080,-90.05899,1.95293,-3.34792,-0.16022,0.00000,-0.00079,0.03026,-0.00381,0.03083,-0.01095,-0.55564,-0.06586,0.08023
-454.00000,1.57080,-113.88273,1.84840,-4.23356,-0.15394,0.26180,-0.00027,0.02005,-0.00293,0.04022,0.00000,-0.47541,-0.21435,-0.32932
