SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
1012.00000,1.57080,0.00000,0.00006,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00172,0.00001,0.00000,0.00000,0.00000
1012.00000,1.57080,122.26031,0.07912,4.54499,-0.00157,0.00000,-0.00002,-0.00227,0.00998,-0.00236,0.00000,0.01916,-0.08143,-2.41777
1012.00000,1.57080,234.83405,0.29238,8.72989,-0.00314,-0.26180,-0.00014,-0.00120,0.00957,-0.02517,0.01095,0.33291,0.02515,-0.66941
1012.00000,1.57080,330.65263,0.60175,12.29192,-0.01100,-0.52360,-0.00055,-0.01506,0.00844,-0.06775,-0.02189,1.43701,0.20477,-0.05030
1012.00000,1.57080,313.11207,0.93967,11.63985,-0.02356,-0.52360,-0.00207,-0.05147,0.00548,-0.09723,0.00000,2.07648,0.38440,-0.41554
1018.00000,1.57080,328.55823,1.32712,12.21406,-0.04712,-1.04720,-0.00364,-0.03816,0.00211,-0.12489,-0.00000,2.35550,0.16286,0.04431
1018.00000,1.57080,326.20204,1.75345,12.12647,-0.08325,-0.78540,-0.00499,-0.05508,-0.00217,-0.11779,-0.03284,2.72673,-0.95442,-0.75084
1018.00000,1.57080,373.84953,2.30405,16.52548,-0.16179,-1.57080,-0.00511,0.03666,-0.00845,-0.09136,-0.01095,-0.15328,-0.20956,0.17005
859.00000,1.57080,456.83993,3.27806,16.77852,-0.17122,0.00000,-0.00520,-0.01672,-0.00970,0.03172,0.01095,-8.40293,-0.01796,0.90651
859.00000,1.57080,445.32076,4.07946,16.71039,-0.07383,1.83260,-0.00841,-0.01877,-0.00516,0.13776,-0.01437,-6.22226,-0.33051,-0.87777
779.00000,1.57080,442.17917,4.83397,16.43789,0.00157,1.04720,-0.00789,0.00947,0.00252,0.15894,-0.01095,1.11129,-1.00232,2.08127
779.00000,1.57080,423.85321,5.73574,14.14106,0.03142,-0.52360,-0.00377,0.11094,0.00896,0.06222,0.01095,8.66997,0.05389,-0.59157
779.00000,1.57080,328.55823,6.21813,12.21406,-0.00157,-1.04720,-0.00033,0.11127,0.00995,0.01647,0.02189,3.86197,-0.74605,0.24309
