CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,815.94,90.00,89.22,0.00,-5.40000,0.00000,10.02
100,-815.94,84.40,90.90,0.41,0.00000,6.28160,0.20
100,-815.94,82.03,89.40,1.30,0.00000,6.23000,0.12
100,815.94,84.16,86.29,-3.54,0.18000,6.23000,-0.20
100,815.94,83.46,86.67,-3.54,0.27000,6.23000,-0.20
100,-815.94,83.46,87.80,-0.40,0.27000,6.23000,0.05
100,815.94,83.18,85.47,0.73,0.36000,6.23000,0.91
100,815.94,82.39,85.08,-2.44,0.45000,6.21280,-0.69
100,-815.94,82.92,86.04,1.16,0.36000,6.21280,-0.00
100,815.94,82.92,84.10,1.16,0.45000,6.21280,-0.00
100,200.00,84.05,84.01,-1.90,0.54000,6.23000,-0.25
100,200.00,84.10,83.98,0.11,0.54000,6.23000,0.16
100,200.00,84.40,83.80,-0.15,0.54000,6.23000,0.03
100,815.94,84.65,83.92,-0.04,0.54000,6.23000,0.55
100,200.00,84.65,84.76,-0.04,0.54000,6.23000,0.55
100,200.00,84.28,84.80,0.89,0.54000,6.21280,-0.22
100,815.94,84.16,84.80,-0.01,0.54000,6.23000,0.17
100,815.94,84.89,84.76,0.27,0.54000,6.23000,-0.17
100,200.00,84.45,84.63,-0.42,0.54000,6.23000,0.60
100,200.00,84.45,84.63,-0.42,0.54000,6.23000,0.60
100,200.00,84.63,84.63,0.00,0.54000,6.21280,-0.27
100,200.00,85.21,85.18,0.11,0.54000,6.17840,0.18
100,200.00,85.57,84.94,0.29,0.54000,6.23000,-0.35
100,815.94,85.57,84.74,-0.33,0.54000,6.23000,0.21
100,200.00,85.83,85.35,-0.33,0.54000,6.23000,0.21
100,815.94,85.73,84.76,0.47,0.54000,6.21280,0.10
100,200.00,85.51,85.86,-0.11,0.54000,6.23000,0.42
100,200.00,85.41,85.80,0.72,0.54000,6.23000,0.17
100,200.00,85.41,85.29,-0.50,0.63000,6.23000,-0.07
100,815.94,85.82,84.94,-0.50,0.63000,6.21280,-0.07
100,-815.94,86.31,85.68,-0.25,0.63000,6.23000,-0.17
100,815.94,86.09,85.13,0.14,0.72000,6.21280,0.31
100,-815.94,85.07,86.19,0.51,0.72000,6.23000,0.79
100,815.94,85.07,84.86,-0.73,0.81000,6.23000,1.94
100,815.94,82.61,85.06,-0.73,0.90000,6.19560,1.94
100,-815.94,80.01,84.73,0.27,0.90000,6.21280,1.75
