SL_PWM, U, SL_position, SL_speed, ARM_position, ARM_speed, Deflection, Deflection_speed, Zlin_position, Zlin_speed, Unsprung_acceleration, Sprung_acceleration_x, Sprung_acceleration_y, Sprung_acceleration_z
Initializing I2C devices...
Testing device connections...
MPU6050 connection successful
Initializing DMP...
>....................................................................................................>....................................................................................................-2078.00000,	1646.00000,	2514.00000,	-37.00000,	2.00000,	53.00000

Enabling DMP...
DMP ready! Waiting for first interrupt...
950.00000,0.00000,0.00041,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00175,0.00001,0.00000,0.00000,0.00000
950.00000,0.00000,0.03574,58.77396,0.00000,0.00000,-0.00001,-0.00066,0.00999,-0.00069,0.00000,0.02515,-0.09221,-3.31830
950.00000,0.00000,0.12794,95.68768,-0.00157,0.00000,-0.00005,-0.00401,0.00994,-0.00417,0.00000,0.07664,-0.07305,-0.90053
950.00000,0.00000,0.30791,186.13936,-0.00628,-0.26180,0.00015,0.00546,0.00958,-0.01814,0.00000,0.12215,-0.16765,-0.09580
950.00000,0.00000,0.52303,218.60249,-0.01414,-0.26180,0.00001,-0.01241,0.00864,-0.03947,-0.00000,1.07896,-0.18082,0.25746
987.00000,0.00000,0.74458,229.59806,-0.02199,-0.26180,-0.00059,-0.00978,0.00744,-0.05554,0.01095,0.67540,0.34129,-0.66342
987.00000,0.00000,0.96613,230.38346,-0.03299,-0.52360,-0.00128,-0.04384,0.00592,-0.06670,-0.01095,0.67659,0.28261,-0.25267
987.00000,0.00000,1.15503,222.92218,-0.04555,-0.65450,-0.00192,-0.05042,0.00422,-0.07262,-0.02189,0.91011,0.00120,0.02515
987.00000,0.00000,1.33477,211.79570,-0.05969,-0.65450,-0.00240,-0.01037,0.00245,-0.07464,0.01095,1.01309,-0.19160,-0.11017
987.00000,0.00000,1.52712,198.83664,-0.07854,-0.65450,-0.00288,-0.01031,0.00069,-0.07346,0.01095,0.64067,-0.18202,0.11616
-19.00000,0.00000,1.71059,160.74482,-0.09896,-0.78540,-0.00303,0.00861,-0.00133,-0.05335,-0.00000,0.10418,-0.49816,0.17963
-19.00000,0.00000,1.77202,100.66186,-0.11624,-0.65450,-0.00263,0.03784,-0.00191,-0.02353,0.02189,0.00359,0.36045,-0.06706
-19.00000,0.00000,1.77021,7.46128,-0.13352,-0.65450,-0.00127,0.06565,-0.00201,0.00534,0.00000,-0.63348,0.00719,0.02994
-19.00000,0.00000,1.74656,-28.92883,-0.13666,-0.13090,-0.00054,0.03102,-0.00176,0.01111,0.01095,-2.25491,-0.17005,-0.31614
-19.00000,0.00000,1.72040,-31.67773,-0.13509,0.13090,-0.00045,-0.00877,-0.00155,0.01124,0.01095,-4.24158,0.02275,-0.37602
-522.00000,0.00000,1.69290,-31.41593,-0.13352,0.00000,-0.00029,0.01154,-0.00127,0.01158,0.00000,-1.22984,-0.41793,0.79036
-522.00000,0.00000,1.66166,-37.69911,-0.13195,0.00000,-0.00010,0.01642,-0.00096,0.01646,0.00000,-0.15089,0.14729,-0.04551
-522.00000,0.00000,1.59871,-77.62352,-0.12566,0.26180,0.00020,0.00877,-0.00029,0.02888,-0.00000,-0.53289,0.31974,-0.57720
-522.00000,0.00000,1.49856,-100.00737,-0.11938,0.26180,0.00045,0.00674,0.00044,0.04708,0.01095,-1.21068,-0.28740,0.53289
-522.00000,0.00000,1.37775,-134.69579,-0.10838,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-522.00000,0.00000,1.22131,-134.69579,-0.09111,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-774.00000,0.00000,1.02388,-134.69579,-0.07226,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-774.00000,0.00000,0.84566,-134.69579,-0.05498,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-774.00000,0.00000,0.64011,-134.69579,-0.03613,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-774.00000,0.00000,0.38254,-134.69579,-0.01885,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
125.00000,0.00000,0.14382,-134.69579,-0.00628,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
125.00000,0.00000,-0.01682,-134.69579,0.00157,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
125.00000,0.00000,-0.10388,-134.69579,0.00314,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
125.00000,0.00000,-0.14225,-134.69579,0.00314,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
125.00000,0.00000,-0.15638,-134.69579,0.00314,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-450.00000,0.00000,-0.15755,-134.69579,0.00314,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-450.00000,0.00000,-0.17074,-134.69579,0.00314,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-450.00000,0.00000,-0.22090,-134.69579,0.00314,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-450.00000,0.00000,-0.31468,-134.69579,0.00471,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-450.00000,0.00000,-0.43842,-134.69579,0.00471,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-738.00000,0.00000,-0.57553,-134.69579,0.00314,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-738.00000,0.00000,-0.75725,-134.69579,0.00157,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-738.00000,0.00000,-0.91970,-134.69579,-0.00157,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-738.00000,0.00000,-1.07474,-134.69579,-0.00785,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-738.00000,0.00000,-1.17897,-134.69579,-0.01414,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-881.00000,0.00000,-1.29716,-134.69579,-0.02199,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-881.00000,0.00000,-1.39153,-134.69579,-0.02827,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-881.00000,0.00000,-1.48986,-134.69579,-0.03456,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-881.00000,0.00000,-1.60799,-134.69579,-0.04241,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-881.00000,0.00000,-1.70020,-134.69579,-0.05184,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-953.00000,0.00000,-1.77430,-134.69579,-0.05812,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-953.00000,0.00000,-1.86388,-134.69579,-0.06597,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-953.00000,0.00000,-1.97477,-134.69579,-0.07383,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
-953.00000,0.00000,-2.03748,-134.69579,-0.08011,0.39270,0.00074,0.01556,0.00109,0.05601,0.01095,-1.37714,-0.31016,0.52690
