CONTROLLER_FLAG,SL_PWM,U,SL_position,ARM_position,Sprung_acceleration_x
0,0.00,90.00,0.00,0.00000,10.04
0,810.79,145.70,1.95,0.00000,-0.00
0,810.79,145.70,8.58,-0.00157,0.03
0,810.79,145.70,18.39,-0.00157,-0.05
0,810.79,145.70,30.65,-0.00471,0.14
0,810.79,145.70,43.71,-0.01100,0.67
0,810.79,147.86,56.73,-0.01728,0.98
0,810.79,147.86,69.34,-0.02670,1.01
0,810.79,147.86,81.46,-0.03927,1.10
0,810.79,147.86,93.06,-0.05341,1.19
0,810.79,147.86,103.80,-0.07069,1.14
0,810.79,147.86,114.13,-0.08796,0.92
0,810.79,88.92,124.55,-0.10838,0.61
0,-462.10,88.92,134.91,-0.13352,0.38
0,-810.79,88.92,139.24,-0.15237,0.23
0,-810.79,88.92,135.15,-0.15865,-0.91
0,-810.79,88.92,125.82,-0.15394,-2.66
0,-810.79,59.46,112.19,-0.13666,-2.97
0,810.79,59.46,97.99,-0.11467,-2.65
0,810.79,59.46,90.55,-0.10053,-3.03
0,810.79,59.46,90.35,-0.09111,-2.31
0,-724.97,59.46,92.58,-0.09111,1.07
0,-810.79,59.46,89.18,-0.08954,2.88
0,-77.57,44.72,81.05,-0.08168,0.69
0,810.79,44.72,73.76,-0.06912,-0.39
0,492.66,44.72,71.72,-0.06597,-0.70
0,-577.86,44.72,71.81,-0.06283,0.21
0,-720.54,44.72,68.69,-0.06126,0.21
0,311.34,44.72,62.31,-0.05341,0.85
0,810.79,97.37,58.91,-0.04712,-0.08
0,810.79,97.37,61.50,-0.04712,-0.73
0,810.79,97.37,67.77,-0.05027,0.15
0,810.79,97.37,75.45,-0.05812,1.71
0,4.18,97.37,83.34,-0.06283,1.30
0,-810.79,63.68,87.23,-0.07069,0.95
0,-713.12,63.68,82.69,-0.07540,0.42
0,810.79,63.68,75.09,-0.07069,-0.82
0,810.79,63.68,72.51,-0.06597,-1.38
0,297.86,63.68,75.28,-0.06597,-0.58
0,-810.79,63.68,77.28,-0.06754,0.32
0,-567.34,46.84,73.35,-0.06597,-0.10
0,296.25,46.84,67.29,-0.05969,-0.27
0,767.42,46.84,63.54,-0.05341,-0.73
0,131.51,46.84,63.61,-0.05184,-0.62
0,-473.69,46.84,63.48,-0.05027,0.29
0,-596.22,46.84,61.62,-0.04869,0.77
0,-274.40,38.41,58.00,-0.04555,0.77
0,119.90,38.41,54.36,-0.04084,-0.01
0,571.27,38.41,50.99,-0.03613,-0.66
0,501.87,38.41,49.77,-0.03299,-0.67
0,241.48,38.41,49.21,-0.03142,-0.13
0,-82.99,34.20,48.93,-0.03142,0.62
0,-632.70,34.20,48.87,-0.03142,0.81
0,-454.94,34.20,46.28,-0.02985,0.27
0,229.78,34.20,42.59,-0.02670,-0.01
0,762.02,34.20,40.02,-0.02356,-0.28
0,284.08,34.20,40.94,-0.02356,-0.30
0,641.21,92.11,41.39,-0.02356,0.12
0,810.79,92.11,43.66,-0.02356,0.53
0,810.79,92.11,49.62,-0.02670,0.25
0,810.79,92.11,57.65,-0.03299,0.62
0,-10.97,92.11,65.69,-0.03927,0.93
0,-597.27,92.11,70.49,-0.04555,0.76
0,-568.08,61.05,70.38,-0.05027,0.18
0,-214.72,61.05,68.00,-0.05184,-0.68
0,455.14,61.05,65.04,-0.05027,-0.68
0,754.07,61.05,63.78,-0.05027,-1.14
0,215.33,61.05,65.16,-0.05027,-0.43
0,13.16,61.05,65.24,-0.05027,-0.04
0,810.79,105.53,65.66,-0.05027,-0.14
0,810.79,105.53,69.47,-0.05341,0.03
0,810.79,105.53,75.53,-0.05655,0.18
0,309.04,105.53,82.20,-0.05969,0.32
0,-248.17,105.53,86.65,-0.06440,0.62
0,325.71,127.77,87.48,-0.06912,0.47
0,810.79,127.77,87.82,-0.07383,0.19
0,810.79,127.77,90.86,-0.07854,-0.03
0,810.79,127.77,95.53,-0.08325,0.12
0,810.79,127.77,101.93,-0.09111,0.32
0,507.71,127.77,109.03,-0.09896,0.44
0,-372.92,138.89,114.65,-0.11153,0.56
0,-155.82,138.89,116.73,-0.12095,0.33
0,810.79,138.89,116.27,-0.13038,-0.01
0,810.79,138.89,118.15,-0.13352,-0.92
0,649.50,138.89,122.41,-0.13666,-0.92
0,-45.50,138.89,126.61,-0.14294,-0.74
0,-810.79,84.44,126.81,-0.14608,-0.18
0,-810.79,84.44,120.55,-0.14294,-0.26
0,441.15,84.44,110.65,-0.13195,-0.88
0,810.79,84.44,104.42,-0.12095,-1.06
0,810.79,84.44,104.58,-0.11938,-0.50
0,-765.98,57.22,106.77,-0.12095,-0.07
0,-810.79,57.22,103.92,-0.11938,0.41
0,-810.79,57.22,95.48,-0.10838,-0.06
0,750.18,57.22,84.30,-0.09111,-1.41
0,810.79,57.22,78.34,-0.07854,-2.63
0,810.79,57.22,78.99,-0.07226,-2.00
0,110.53,103.61,81.03,-0.07226,1.27
0,810.79,103.61,81.25,-0.07226,3.14
0,810.79,103.61,83.90,-0.07540,1.89
0,377.48,103.61,88.33,-0.08168,0.75
0,267.47,103.61,90.37,-0.08482,0.52
0,802.01,103.61,90.28,-0.08639,-0.04
0,810.79,126.81,92.50,-0.08796,-0.41
0,810.79,126.81,96.94,-0.09425,-0.41
0,553.55,126.81,103.11,-0.10053,0.21
0,113.20,126.81,107.27,-0.10681,0.60
0,373.02,126.81,108.67,-0.11467,0.65
0,810.79,138.41,109.01,-0.11781,0.24
0,810.79,138.41,112.20,-0.12095,-0.46
0,579.34,138.41,117.54,-0.12881,-0.44
0,117.87,138.41,121.41,-0.13509,0.09
