CONTROLLER_FLAG,SL_PWM,U,SL_position,ARM_position,Sprung_acceleration_x
100,0.00,90.00,0.00,0.00000,10.05
100,810.79,145.70,2.11,0.00000,0.01
100,810.79,145.70,9.08,0.00000,0.01
100,810.79,145.70,19.20,0.00000,0.06
100,810.79,145.70,32.19,-0.00157,0.27
100,810.79,145.70,46.08,-0.00628,0.20
100,810.79,147.86,59.83,-0.01100,0.99
100,810.79,147.86,73.04,-0.01885,1.25
100,810.79,147.86,85.47,-0.03142,1.41
100,810.79,147.86,97.31,-0.04555,1.65
100,810.79,147.86,107.85,-0.06283,1.42
100,810.79,147.86,117.99,-0.08325,1.31
100,810.79,88.92,127.98,-0.10367,1.03
100,-810.79,88.92,136.39,-0.12252,0.42
100,-810.79,88.92,135.49,-0.13980,-0.18
100,-810.79,88.92,127.87,-0.14608,-0.73
100,-810.79,88.92,116.28,-0.14137,-4.12
100,810.79,59.46,103.31,-0.12566,-5.27
100,810.79,59.46,97.56,-0.10053,-5.56
100,95.15,59.46,97.68,-0.08325,-3.50
100,-810.79,59.46,96.11,-0.07697,2.94
100,-209.60,59.46,88.84,-0.07383,4.82
100,810.79,59.46,81.55,-0.06912,1.44
100,498.68,44.72,79.90,-0.06597,-0.88
100,-810.79,44.72,79.80,-0.06126,-0.53
100,-777.94,44.72,74.98,-0.05655,-0.53
100,432.47,44.72,67.22,-0.04869,0.33
100,810.79,44.72,62.63,-0.04084,-0.55
100,257.44,44.72,63.36,-0.03456,-1.23
100,810.79,97.37,63.96,-0.03299,0.39
100,810.79,97.37,66.58,-0.03613,2.18
100,810.79,97.37,71.94,-0.03927,1.48
100,89.12,97.37,78.07,-0.04398,1.12
100,-210.07,97.37,81.21,-0.05027,1.01
100,184.80,63.68,81.38,-0.05655,0.52
100,-181.02,63.68,80.33,-0.05812,0.04
100,-239.05,63.68,78.43,-0.05812,-1.24
100,-44.78,63.68,75.95,-0.05655,-1.02
100,315.06,63.68,73.28,-0.05341,-0.66
100,644.34,63.68,71.13,-0.05027,-0.61
100,154.96,46.84,71.01,-0.04869,-0.31
100,-621.11,46.84,70.48,-0.04712,0.40
100,-526.53,46.84,67.00,-0.04555,0.25
100,293.52,46.84,61.88,-0.04084,-0.78
100,810.79,46.84,58.59,-0.03456,-0.78
100,228.81,46.84,59.19,-0.02985,-1.34
100,-458.85,38.41,59.17,-0.02985,-0.17
100,-741.11,38.41,57.28,-0.02827,1.77
100,118.97,38.41,52.13,-0.02670,0.48
100,810.79,38.41,48.14,-0.02199,-0.32
100,281.94,38.41,49.13,-0.02042,-0.52
100,-420.22,38.41,49.98,-0.02042,0.07
100,-642.04,34.20,48.58,-0.02042,0.80
100,-70.82,34.20,44.94,-0.01885,0.14
100,494.86,34.20,41.81,-0.01571,-0.23
100,618.94,34.20,40.72,-0.01414,-0.53
100,83.97,34.20,41.60,-0.01257,-0.02
100,390.31,92.11,41.45,-0.01257,0.69
100,810.79,92.11,42.99,-0.01257,0.22
100,810.79,92.11,48.59,-0.01414,0.27
100,810.79,92.11,56.67,-0.01885,0.57
100,-0.46,92.11,65.33,-0.02356,0.99
100,-722.34,92.11,70.50,-0.02985,1.00
100,-361.34,61.05,69.77,-0.03770,1.00
100,-58.50,61.05,67.69,-0.04084,0.57
100,494.24,61.05,65.07,-0.03927,-0.66
100,705.19,61.05,64.10,-0.03770,-1.75
100,276.72,61.05,65.08,-0.03770,-0.86
100,112.62,61.05,65.08,-0.03770,0.16
100,810.79,105.53,65.48,-0.03770,-0.08
100,810.79,105.53,69.25,-0.03927,0.13
100,810.79,105.53,75.25,-0.04398,0.26
100,171.30,105.53,82.32,-0.04869,0.82
100,-226.25,105.53,86.24,-0.05341,0.93
100,279.20,127.77,87.09,-0.06126,0.69
100,810.79,127.77,87.29,-0.06754,0.32
100,810.79,127.77,90.42,-0.07226,-0.20
100,810.79,127.77,95.78,-0.07854,-0.26
100,810.79,127.77,102.18,-0.08482,0.11
100,201.62,127.77,109.49,-0.09268,0.29
100,-286.12,138.89,113.63,-0.09896,0.37
100,338.44,138.89,114.56,-0.10681,-0.02
100,810.79,138.89,115.13,-0.11153,-0.02
100,810.79,138.89,118.38,-0.11781,-0.39
100,327.56,138.89,123.16,-0.12252,-0.34
100,245.67,138.89,125.18,-0.12723,0.00
100,-624.06,84.44,125.23,-0.13195,-0.18
100,-810.79,84.44,121.28,-0.13038,-0.74
100,120.30,84.44,112.70,-0.12252,-1.29
100,810.79,84.44,106.26,-0.11310,-1.72
100,575.09,84.44,105.69,-0.10524,-2.44
100,-330.35,84.44,105.89,-0.10053,-0.78
100,-810.79,57.22,102.77,-0.09896,2.49
100,-533.20,57.22,94.40,-0.09268,0.94
100,810.79,57.22,85.02,-0.08325,-1.41
100,810.79,57.22,82.08,-0.06912,-2.88
100,-281.24,57.22,83.20,-0.06126,-1.26
100,-330.29,103.61,81.33,-0.05812,2.88
100,810.79,103.61,78.12,-0.05655,2.35
100,810.79,103.61,79.89,-0.05812,0.46
100,810.79,103.61,84.82,-0.06126,0.62
100,248.13,103.61,91.07,-0.06440,0.62
100,-537.41,103.61,95.02,-0.07069,1.08
100,316.90,126.81,94.71,-0.07697,1.07
100,810.79,126.81,94.92,-0.08011,0.72
100,810.79,126.81,98.14,-0.08482,-0.50
100,810.79,126.81,103.67,-0.08796,-0.69
100,180.93,126.81,109.80,-0.09268,0.09
100,-111.63,126.81,112.62,-0.09739,0.47
100,787.96,138.41,112.59,-0.10367,0.33
100,810.79,138.41,114.18,-0.10838,-0.02
100,810.79,138.41,118.33,-0.11310,-0.22
100,212.89,138.41,123.33,-0.12095,0.13
100,141.90,138.41,125.24,-0.12566,0.43
100,312.24,84.20,125.24,-0.13195,-0.08
100,-810.79,84.20,124.28,-0.13195,-0.87
100,-750.78,84.20,118.11,-0.12881,-1.22
100,560.87,84.20,109.75,-0.12095,-1.64
100,810.79,84.20,105.31,-0.10838,-2.51
100,151.74,84.20,105.87,-0.10210,-1.28
100,-810.79,57.10,105.19,-0.10053,-1.28
100,-810.79,57.10,99.66,-0.09739,2.24
100,144.31,57.10,90.08,-0.08796,1.23
100,810.79,57.10,83.01,-0.07854,-1.26
100,475.01,57.10,82.56,-0.06440,-2.86
100,-660.06,57.10,82.93,-0.05969,-1.35
100,-743.05,43.54,78.42,-0.05655,2.81
100,358.97,43.54,70.84,-0.05184,2.08
100,810.79,43.54,65.48,-0.04555,-0.28
100,207.49,43.54,65.50,-0.04084,-1.38
100,-535.74,43.54,65.11,-0.03770,-0.04
100,-548.62,36.77,62.29,-0.03613,1.56
100,-139.07,36.77,57.81,-0.03299,0.68
100,328.89,36.77,53.71,-0.02985,-0.44
100,697.80,36.77,50.61,-0.02356,-1.07
100,265.81,36.77,50.36,-0.02042,0.03
100,-204.19,36.77,50.20,-0.02042,1.22
100,-672.61,33.38,49.89,-0.02042,0.72
100,-396.76,33.38,46.79,-0.01885,0.04
100,194.17,33.38,43.33,-0.01728,0.04
100,752.65,33.38,40.43,-0.01414,-0.21
100,308.27,33.38,41.12,-0.01257,-0.56
100,-105.17,33.38,41.42,-0.01257,0.10
100,-287.05,31.69,40.88,-0.01257,0.69
100,-447.80,31.69,40.26,-0.01257,0.14
100,-476.30,31.69,39.28,-0.01257,0.08
100,-397.50,31.69,38.07,-0.01100,0.09
100,-206.85,31.69,36.66,-0.01100,-0.03
100,38.03,31.69,35.26,-0.00942,-0.11
100,810.79,90.85,35.35,-0.00942,-0.12
100,810.79,90.85,40.13,-0.01100,0.19
100,810.79,90.85,48.05,-0.01257,0.26
100,801.42,90.85,57.73,-0.01885,0.89
100,-648.40,90.85,66.25,-0.02356,1.10
100,-528.68,60.42,67.82,-0.02985,0.81
100,-169.92,60.42,65.67,-0.03613,0.32
100,511.00,60.42,62.82,-0.03613,-1.48
100,708.28,60.42,62.15,-0.03456,-1.38
100,127.34,60.42,63.74,-0.03456,-1.38
100,-54.19,60.42,63.89,-0.03456,-0.23
100,654.50,105.22,63.36,-0.03456,-0.03
100,810.79,105.22,65.13,-0.03613,-0.04
100,810.79,105.22,70.18,-0.03927,0.13
100,810.79,105.22,76.83,-0.04241,0.37
100,-37.30,105.22,83.93,-0.04712,0.84
100,-387.37,105.22,87.46,-0.05341,0.95
100,-796.21,67.60,87.45,-0.06126,0.74
100,-66.63,67.60,82.46,-0.06440,0.31
100,810.79,67.60,77.52,-0.06126,-1.44
100,612.56,67.60,77.68,-0.05969,-2.06
100,-232.43,67.60,79.06,-0.05812,-0.68
100,-495.94,108.81,78.41,-0.05812,0.75
100,810.79,108.81,77.08,-0.05812,-0.09
100,810.79,108.81,79.12,-0.05812,0.18
100,810.79,108.81,84.26,-0.06126,0.30
100,262.62,108.81,90.74,-0.06597,0.82
100,-315.35,108.81,94.60,-0.07069,0.95
100,-386.24,69.40,94.97,-0.07697,0.95
100,-666.14,69.40,92.66,-0.08011,0.64
100,-38.97,69.40,87.70,-0.07697,-0.53
100,746.35,69.40,83.02,-0.07069,-1.77
100,427.76,69.40,82.63,-0.06597,-1.81
100,-114.22,69.40,82.65,-0.06440,-0.73
100,-715.84,49.70,81.56,-0.06283,1.00
100,-495.09,49.70,76.60,-0.05969,0.69
100,432.70,49.70,70.33,-0.05498,-0.58
100,810.79,49.70,66.84,-0.04555,-1.62
100,58.83,49.70,67.26,-0.04084,-1.20
100,-417.15,49.70,66.57,-0.03770,1.25
100,-687.84,39.84,64.14,-0.03770,1.76
100,-97.42,39.84,59.19,-0.03456,-0.01
100,571.34,39.84,54.68,-0.02985,-0.65
100,617.19,39.84,53.01,-0.02513,-0.91
100,-0.88,39.84,53.32,-0.02356,0.54
100,-28.93,94.93,52.75,-0.02356,1.21
100,810.79,94.93,53.29,-0.02356,0.26
100,810.79,94.93,57.67,-0.02513,0.26
100,810.79,94.93,64.91,-0.02985,0.42
100,-51.97,94.93,71.84,-0.03456,1.03
100,-486.66,94.93,75.86,-0.04084,1.07
100,497.43,122.47,76.38,-0.04712,0.70
100,810.79,122.47,77.11,-0.05184,0.27
100,810.79,122.47,81.01,-0.05655,-0.57
100,810.79,122.47,86.66,-0.06126,-0.58
100,810.79,122.47,93.95,-0.06597,0.33
100,394.49,122.47,101.56,-0.07540,0.66
100,-810.79,76.23,105.92,-0.08482,1.12
100,-810.79,76.23,101.64,-0.09268,0.37
100,295.48,76.23,92.22,-0.08954,-1.21
100,810.79,76.23,85.69,-0.08168,-3.28
100,810.79,76.23,85.72,-0.07226,-3.42
100,162.66,113.12,89.45,-0.06912,-0.13
100,471.05,113.12,91.18,-0.07069,2.94
100,810.79,113.12,92.04,-0.07383,1.85
100,810.79,113.12,95.60,-0.08168,0.66
100,216.96,113.12,99.55,-0.08639,0.66
100,373.30,113.12,100.52,-0.08954,0.34
100,434.57,71.56,100.38,-0.09111,0.12
100,-507.83,71.56,99.80,-0.09111,-0.90
100,-646.62,71.56,96.47,-0.08954,-0.69
100,236.33,71.56,90.53,-0.08325,-0.60
100,810.79,71.56,86.34,-0.07697,-1.23
100,179.52,71.56,86.94,-0.07226,-1.71
100,-780.09,50.78,86.49,-0.07069,0.21
100,-782.37,50.78,81.68,-0.06754,1.62
100,558.29,50.78,73.54,-0.05969,-0.21
100,810.79,50.78,69.77,-0.05027,-1.73
100,2.54,50.78,70.73,-0.04398,-1.40
100,-662.11,50.78,70.28,-0.04241,1.52
100,810.79,100.39,67.85,-0.04084,1.98
100,810.79,100.39,69.07,-0.04241,0.41
100,810.79,100.39,73.89,-0.04398,0.55
100,696.79,100.39,80.69,-0.04869,1.00
100,-260.43,100.39,85.99,-0.05341,1.00
100,-670.59,65.19,87.99,-0.05969,1.00
100,-567.69,65.19,84.60,-0.06597,0.76
100,609.19,65.19,78.41,-0.06283,0.13
100,810.79,65.19,75.79,-0.05812,-2.02
100,127.92,65.19,77.48,-0.05655,-2.03
100,-479.65,65.19,77.80,-0.05498,-0.20
100,-739.53,47.59,75.93,-0.05498,1.10
100,-266.77,47.59,71.08,-0.05184,-0.09
100,441.46,47.59,65.64,-0.04555,-0.64
100,749.74,47.59,62.73,-0.03927,-1.47
100,97.18,47.59,62.97,-0.03456,-0.96
100,-292.89,47.59,62.27,-0.03299,-10.04
100,810.79,98.80,61.06,-0.03299,1.38
100,810.79,98.80,62.91,-0.03299,0.41
100,810.79,98.80,68.09,-0.03613,0.40
100,786.16,98.80,75.14,-0.03770,0.78
100,-318.11,98.80,81.41,-0.04398,0.92
100,-492.00,64.40,83.63,-0.04869,0.87
100,-541.56,64.40,81.14,-0.05498,0.45
100,336.97,64.40,76.20,-0.05655,-0.99
100,810.79,64.40,73.16,-0.05341,-0.99
100,223.46,64.40,74.47,-0.05184,-1.78
100,-305.44,64.40,74.83,-0.05184,-0.75
100,76.92,107.21,73.85,-0.05184,0.50
100,810.79,107.21,73.68,-0.05027,-0.11
100,810.79,107.21,77.44,-0.05184,0.14
100,810.79,107.21,83.63,-0.05812,0.34
100,-22.38,107.21,89.36,-0.06126,0.67
100,-229.59,107.21,92.01,-0.06597,0.92
100,-495.30,68.60,91.78,-0.07226,0.63
100,-556.26,68.60,88.90,-0.07540,0.21
100,92.90,68.60,84.29,-0.07226,-1.70
100,777.58,68.60,80.29,-0.06597,-1.76
100,403.37,68.60,80.21,-0.06126,-1.53
100,36.44,68.60,79.90,-0.05969,0.23
100,810.79,109.31,79.65,-0.05969,1.18
100,810.79,109.31,82.94,-0.06126,0.57
100,580.04,109.31,88.59,-0.06597,0.65
100,-3.02,109.31,92.81,-0.06912,1.01
100,288.04,109.31,93.74,-0.07383,1.01
100,810.79,129.66,93.64,-0.07854,0.77
100,810.79,129.66,96.47,-0.08168,-0.08
100,810.79,129.66,101.18,-0.08639,-0.70
100,551.89,129.66,107.55,-0.08954,0.04
100,29.17,129.66,111.72,-0.09425,0.44
100,345.35,129.66,112.73,-0.10210,0.49
100,810.79,139.84,112.74,-0.10524,0.06
100,810.79,139.84,115.47,-0.10996,-0.32
100,810.79,139.84,120.38,-0.11624,-0.21
100,153.85,139.84,124.95,-0.12095,0.23
100,64.23,139.84,126.91,-0.12566,0.41
100,628.16,139.84,126.63,-0.13195,-0.15
100,-500.83,84.91,126.82,-0.13352,-0.53
100,-810.79,84.91,123.54,-0.13352,-1.06
100,-134.13,84.91,115.09,-0.12566,-1.23
100,810.79,84.91,107.70,-0.11624,-1.90
100,721.15,84.91,106.51,-0.10681,-2.22
100,-357.26,117.46,107.41,-0.10210,0.41
100,343.53,117.46,106.35,-0.10210,0.41
100,810.79,117.46,105.83,-0.10210,2.67
100,533.61,117.46,108.73,-0.10367,0.98
100,202.77,117.46,110.71,-0.10524,0.08
100,524.52,117.46,110.44,-0.10681,0.31
100,219.71,73.73,110.73,-0.10681,0.01
100,-810.79,73.73,109.79,-0.10681,-0.02
100,-469.58,73.73,103.38,-0.10210,-0.13
100,768.03,73.73,95.86,-0.09582,-0.72
100,810.79,73.73,93.10,-0.08796,-1.75
100,-151.78,73.73,94.12,-0.08325,-1.42
100,-810.79,51.86,92.74,-0.08011,1.00
100,-584.37,51.86,85.72,-0.07540,1.43
100,733.04,51.86,77.38,-0.06754,-0.55
100,810.79,51.86,73.57,-0.05655,-2.17
100,-99.98,51.86,74.79,-0.05027,-1.11
100,-784.14,51.86,73.93,-0.04869,2.20
100,-404.27,40.93,68.55,-0.04398,1.80
100,556.50,40.93,62.07,-0.04084,-0.21
100,750.45,40.93,59.23,-0.03613,-0.21
100,-156.05,40.93,60.01,-0.03142,-1.06
100,-677.64,40.93,59.22,-0.02985,-0.12
100,-441.60,35.46,55.96,-0.02827,1.33
100,97.70,35.46,51.69,-0.02670,0.55
100,685.15,35.46,47.89,-0.02356,-0.22
100,367.37,35.46,47.58,-0.02042,-0.56
100,-148.40,35.46,47.69,-0.01885,-0.13
100,-487.70,35.46,47.28,-0.01728,0.68
100,393.85,92.74,46.08,-0.01728,0.57
100,810.79,92.74,47.09,-0.01728,0.06
100,810.79,92.74,52.42,-0.02042,0.29
100,810.79,92.74,60.23,-0.02356,0.23
100,-115.68,92.74,68.66,-0.02827,1.09
