CONTROLLER_FLAG,SL_PWM,U,SL_position,ARM_position,Sprung_acceleration_x
100,0.00,90.00,0.00,0.00000,9.93
100,810.79,145.70,2.16,0.00000,0.01
100,810.79,145.70,9.55,0.00000,-0.17
100,810.79,145.70,20.43,0.00000,0.85
100,810.79,145.70,33.95,-0.00314,-0.11
100,810.79,145.70,48.18,-0.00942,0.87
100,810.79,147.86,62.28,-0.01885,2.22
100,810.79,147.86,75.79,-0.03142,2.22
100,810.79,147.86,88.53,-0.04712,1.93
100,810.79,147.86,100.64,-0.06597,2.17
100,810.79,147.86,112.09,-0.08639,0.63
100,810.79,147.86,122.96,-0.10524,0.32
100,810.79,88.92,133.82,-0.12723,0.01
100,-810.79,88.92,141.18,-0.15080,-0.54
100,-810.79,88.92,138.43,-0.15708,-2.00
100,-810.79,88.92,129.33,-0.15237,-6.55
100,-810.79,88.92,115.54,-0.13666,-5.11
100,810.79,59.46,101.63,-0.11310,-8.19
100,810.79,59.46,95.87,-0.08954,-1.90
100,257.29,59.46,96.63,-0.08325,8.30
100,-810.79,59.46,95.67,-0.08325,10.04
100,-253.65,59.46,88.40,-0.07854,-1.82
100,810.79,59.46,80.42,-0.07069,-5.20
100,502.42,44.72,78.90,-0.06597,-3.03
100,-810.79,44.72,78.82,-0.06283,1.97
100,-728.87,44.72,73.47,-0.05655,1.65
100,759.47,44.72,65.05,-0.04712,-2.33
100,810.79,44.72,61.95,-0.03927,-0.54
100,-220.75,44.72,63.85,-0.03770,-0.54
100,543.55,97.37,64.12,-0.03770,4.24
100,810.79,97.37,65.47,-0.03927,1.54
100,810.79,97.37,70.47,-0.04241,-0.75
100,280.98,97.37,77.25,-0.04869,0.43
100,-267.23,97.37,81.39,-0.05341,1.16
100,98.17,63.68,81.88,-0.05969,0.50
100,-220.65,63.68,80.51,-0.06126,-1.52
100,-232.63,63.68,78.33,-0.06126,-2.67
100,-8.44,63.68,75.70,-0.05812,-0.09
100,360.20,63.68,72.97,-0.05498,-0.41
100,647.44,63.68,70.96,-0.05184,-0.43
100,158.58,46.84,70.90,-0.05027,0.42
100,-697.19,46.84,70.51,-0.05027,1.62
100,-422.01,46.84,66.27,-0.04712,-0.72
100,549.18,46.84,60.66,-0.04084,-1.93
100,734.39,46.84,58.64,-0.03456,-0.69
100,14.25,46.84,59.39,-0.03299,2.66
100,-558.48,38.41,58.88,-0.03299,1.25
100,-508.45,38.41,55.88,-0.03142,-1.31
100,175.70,38.41,51.52,-0.02827,-1.31
100,765.96,38.41,48.08,-0.02356,-0.31
100,-810.79,38.41,58.59,-0.02042,-0.39
100,-810.79,38.41,49.32,-0.01414,-0.63
100,810.79,34.20,38.14,-0.00471,-0.89
100,810.79,34.20,34.70,-0.00157,1.98
100,810.79,34.20,37.59,-0.00157,3.01
100,-351.68,34.20,44.57,-0.00314,2.70
100,-810.79,34.20,47.00,-0.00471,-0.88
100,-212.90,92.11,41.64,-0.00314,-0.40
100,810.79,92.11,37.04,-0.00314,0.28
100,810.79,92.11,39.65,-0.00314,0.94
100,810.79,92.11,46.95,-0.00471,-0.00
100,810.79,92.11,56.74,-0.00785,2.07
100,810.79,92.11,68.02,-0.01414,1.79
100,-810.79,61.05,78.87,-0.02356,1.50
100,-810.79,61.05,79.46,-0.03299,0.47
100,-810.79,61.05,72.10,-0.03456,-4.11
100,810.79,61.05,61.98,-0.02670,-2.90
100,810.79,61.05,58.80,-0.02042,-2.25
100,810.79,61.05,61.54,-0.01885,3.10
100,810.79,105.53,68.19,-0.02042,4.86
100,323.36,105.53,76.14,-0.02670,4.86
100,-421.82,105.53,82.21,-0.03456,2.30
100,-241.65,105.53,84.44,-0.04398,0.19
100,673.01,105.53,84.17,-0.04712,-0.48
100,810.79,127.77,86.28,-0.04869,-3.24
100,810.79,127.77,91.37,-0.05341,-0.93
100,451.27,127.77,98.39,-0.05812,1.99
100,243.64,127.77,102.58,-0.06283,1.37
100,810.79,127.77,103.75,-0.07069,-0.15
100,810.79,127.77,106.55,-0.07854,0.36
100,546.05,138.89,111.33,-0.08639,-0.01
100,721.35,138.89,114.24,-0.09268,-0.91
100,710.18,138.89,117.57,-0.09739,-1.07
100,478.21,138.89,120.91,-0.10210,0.28
100,806.78,138.89,122.19,-0.10524,-0.52
100,533.15,138.89,125.26,-0.10838,0.78
100,-749.22,84.44,126.26,-0.11310,0.01
100,-810.79,84.44,121.28,-0.11153,-2.85
100,362.26,84.44,111.99,-0.10053,-2.74
100,810.79,84.44,106.05,-0.09111,-2.44
100,271.88,84.44,106.57,-0.08482,-2.44
100,-684.10,84.44,106.83,-0.08325,3.41
100,-810.79,57.22,102.07,-0.08011,5.17
100,-39.29,57.22,92.16,-0.06754,-2.88
100,810.79,57.22,83.72,-0.05655,-2.96
100,521.84,57.22,83.10,-0.04869,-3.32
100,-769.29,57.22,83.74,-0.04398,4.98
