CONTROLLER_FLAG,SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
100,0.00,0.00,0.00,0.00,0.00,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.01,0.21,-0.59
100,800.78,145.70,0.00,8.34,0.00,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00395,0.00004,0.01,0.04,9.93
100,800.78,145.70,4.08,30.67,4.08,-0.00314,0.00000,-0.00014,-0.00335,0.00985,-0.00348,-0.00231,0.40,0.59,9.89
100,800.78,145.70,9.16,56.58,9.16,-0.01414,-0.10472,-0.00116,-0.02324,0.00837,-0.03374,0.00061,1.03,-2.18,12.07
100,800.78,145.70,10.54,80.49,10.54,-0.03770,-0.24990,-0.00337,-0.05022,0.00515,-0.07325,0.00081,-0.12,0.34,8.00
100,800.78,147.86,9.61,101.36,9.61,-0.07069,-0.54795,-0.00521,-0.04280,0.00130,-0.08940,0.00174,1.32,0.81,8.94
100,800.78,147.86,8.51,121.59,8.51,-0.10838,-0.80366,-0.00597,-0.01750,-0.00227,-0.08297,0.00149,0.32,-0.32,8.78
100,800.78,147.86,8.31,142.42,8.31,-0.14923,-0.87672,-0.00619,-0.00527,-0.00550,-0.07528,0.00043,-0.77,-1.12,10.85
100,-800.78,147.86,8.74,161.95,8.74,-0.18221,-0.94978,-0.00555,0.01484,-0.00814,-0.06135,0.00064,-0.27,0.95,7.51
100,-800.78,147.86,7.45,153.75,7.45,-0.18378,-0.74800,-0.00434,0.02884,-0.00953,-0.03296,-0.00165,-2.55,-1.28,12.30
100,-183.62,88.92,-4.16,140.87,-4.16,-0.16965,0.00000,-0.00377,0.01329,-0.00883,0.01615,-0.00415,-1.37,0.26,11.36
100,-245.84,88.92,-4.91,127.64,-4.91,-0.15708,0.37400,-0.00395,-0.00428,-0.00771,0.02667,0.00223,1.36,0.42,9.97
100,673.30,88.92,-5.86,116.33,-5.86,-0.13509,0.29224,-0.00319,0.01759,-0.00591,0.04179,-0.00048,-1.02,-0.53,8.02
100,-800.78,88.92,-4.19,113.62,-4.19,-0.13038,0.49806,-0.00332,-0.00311,-0.00445,0.03573,0.00126,1.72,0.26,12.41
100,800.78,88.92,-1.64,102.50,-1.64,-0.11781,0.10959,-0.00309,0.00542,-0.00385,0.01403,-0.00227,-0.49,-0.91,9.87
100,-800.78,59.46,-4.31,99.74,-4.31,-0.10996,0.34481,-0.00251,0.01408,-0.00216,0.04102,0.00144,-2.17,0.21,10.10
100,800.78,59.46,-1.74,81.64,-1.74,-0.08325,0.18265,-0.00244,0.00161,-0.00148,0.01587,-0.00095,0.58,1.10,6.84
100,-274.66,59.46,-7.43,81.63,-7.43,-0.07069,0.63580,-0.00149,0.02273,0.00158,0.07293,0.00271,-2.90,-1.00,11.86
100,172.99,59.46,0.34,74.27,0.34,-0.06754,0.26818,-0.00251,-0.02488,0.00144,-0.00338,-0.00225,8.21,1.47,6.27
100,184.10,44.72,-3.36,70.85,-3.36,-0.05969,0.10959,-0.00153,0.02286,0.00281,0.03175,-0.00093,-4.30,-1.00,10.15
100,-249.49,44.72,-1.14,64.96,-1.14,-0.05341,0.15325,-0.00159,-0.00167,0.00325,0.01080,0.00027,2.17,1.37,10.27
100,615.82,44.72,-2.88,58.24,-2.88,-0.04241,0.14612,-0.00097,0.01455,0.00440,0.02660,-0.00004,-1.10,-1.03,10.63
100,-595.67,44.72,-2.47,58.38,-2.47,-0.03927,0.26818,-0.00104,-0.00180,0.00524,0.02048,0.00075,0.67,-0.21,11.37
100,197.19,44.72,-0.12,52.52,-0.12,-0.03613,0.07480,-0.00126,-0.00525,0.00528,0.00098,-0.00116,0.47,-0.03,10.13
100,800.78,97.37,-2.47,51.84,-2.47,-0.03142,0.07306,-0.00066,0.01396,0.00615,0.02026,-0.00001,-0.84,0.17,9.23
100,800.78,97.37,0.17,64.95,0.17,-0.03770,0.11220,-0.00111,-0.01073,0.00609,-0.00133,0.00023,2.34,-0.26,11.04
100,-152.54,97.37,5.74,76.07,5.74,-0.05027,-0.14960,-0.00264,-0.03630,0.00402,-0.04929,0.00022,1.75,0.33,9.57
100,800.78,97.37,4.27,77.44,4.27,-0.06440,-0.33660,-0.00311,-0.01130,0.00237,-0.03927,0.00112,0.44,-0.37,9.72
100,180.66,97.37,0.65,85.10,0.65,-0.07540,-0.29920,-0.00235,0.01804,0.00211,-0.00634,-0.00026,-1.54,-0.25,8.10
100,-344.82,63.68,3.11,84.08,3.11,-0.07697,-0.26180,-0.00276,-0.00984,0.00082,-0.03148,-0.00015,-0.13,0.32,9.71
100,-130.39,63.68,-0.63,78.35,-0.63,-0.07226,-0.03740,-0.00237,0.00929,0.00108,0.00630,-0.00135,-0.82,-0.32,10.72
100,692.62,63.68,-2.41,72.51,-2.41,-0.06440,0.10959,-0.00173,0.01530,0.00210,0.02432,0.00045,-0.72,-0.15,9.53
100,103.61,63.68,-2.31,72.16,-2.31,-0.06126,0.19156,-0.00145,0.00682,0.00302,0.02234,0.00049,-0.18,-0.04,9.98
100,-292.55,63.68,-0.13,71.23,-0.13,-0.05969,0.07480,-0.00165,-0.00482,0.00307,0.00126,-0.00070,0.37,0.01,9.33
100,-355.22,46.84,-0.43,65.59,-0.43,-0.05655,0.03740,-0.00161,0.00102,0.00324,0.00408,-0.00022,0.14,0.36,9.11
100,759.92,46.84,-2.52,58.00,-2.52,-0.04241,0.10959,-0.00099,0.01430,0.00425,0.02334,0.00042,-1.85,-0.37,9.78
100,47.47,46.84,-3.09,57.40,-3.09,-0.03770,0.34481,-0.00110,-0.00270,0.00531,0.02595,0.00144,0.55,-0.40,10.95
100,18.89,46.84,-0.27,54.86,-0.27,-0.03613,0.07480,-0.00127,-0.00396,0.00541,0.00229,-0.00161,0.65,-0.09,10.05
100,369.35,38.41,-1.10,51.63,-1.10,-0.03456,0.03740,-0.00102,0.00590,0.00579,0.00911,-0.00022,0.46,0.58,8.95
100,108.47,38.41,-1.33,49.23,-1.33,-0.03142,0.03740,-0.00071,0.00734,0.00623,0.01059,0.00001,-0.51,-0.37,10.09
100,-71.63,38.41,-0.98,47.16,-0.98,-0.02827,0.07480,-0.00066,0.00116,0.00655,0.00754,0.00022,0.12,0.12,9.75
100,-112.95,38.41,-0.86,45.11,-0.86,-0.02670,0.07480,-0.00070,-0.00096,0.00678,0.00542,0.00000,0.20,-0.07,9.70
100,193.35,38.41,-0.99,42.55,-0.99,-0.02356,0.03740,-0.00054,0.00390,0.00708,0.00717,-0.00022,-0.11,0.11,9.76
100,346.53,34.20,-1.06,40.78,-1.06,-0.02199,0.07480,-0.00050,0.00083,0.00738,0.00730,0.00022,-0.08,-0.05,9.70
100,100.02,34.20,-0.70,39.95,-0.70,-0.02199,0.03740,-0.00045,0.00136,0.00758,0.00463,-0.00022,0.29,0.06,9.77
100,-350.15,34.20,-0.33,39.93,-0.33,-0.02199,0.00000,-0.00036,0.00210,0.00767,0.00213,-0.00022,0.01,-0.04,9.87
100,-446.70,34.20,0.00,38.66,0.00,-0.02042,0.00000,-0.00036,0.00000,0.00767,0.00000,0.00000,0.06,0.04,9.85
100,324.95,34.20,-0.63,35.27,-0.63,-0.01728,0.03740,-0.00033,0.00070,0.00783,0.00397,0.00022,-0.21,0.01,9.71
100,800.78,92.11,-1.38,37.73,-1.38,-0.01728,0.07480,-0.00026,0.00170,0.00818,0.00828,0.00022,-0.32,-0.06,10.02
100,800.78,92.11,1.42,53.46,1.42,-0.02356,0.00000,-0.00062,-0.00834,0.00782,-0.00851,-0.00044,1.33,0.09,9.48
100,-622.21,92.11,6.85,69.53,6.85,-0.03770,-0.14612,-0.00214,-0.03538,0.00572,-0.04865,0.00085,1.56,-0.58,12.01
100,800.78,92.11,6.29,69.49,6.29,-0.05341,-0.37400,-0.00310,-0.02289,0.00343,-0.05474,0.00136,0.37,-0.62,8.50
100,378.16,92.11,-0.11,77.58,-0.11,-0.06126,-0.34481,-0.00189,0.02942,0.00347,0.00102,-0.00018,-2.14,0.24,8.87
100,-362.66,61.05,3.58,75.77,3.58,-0.06597,-0.21918,-0.00255,-0.01526,0.00204,-0.03323,-0.00073,1.09,0.54,9.72
100,800.78,61.05,-1.43,69.12,-1.43,-0.05812,-0.07480,-0.00171,0.01993,0.00262,0.01390,-0.00086,-3.03,-0.54,9.88
100,-616.48,61.05,-2.27,71.44,-2.27,-0.05812,0.18700,-0.00147,0.00576,0.00351,0.02102,0.00067,0.87,0.43,10.26
100,473.40,61.05,0.71,65.54,0.71,-0.05498,0.00000,-0.00174,-0.00662,0.00323,-0.00664,-0.00112,-0.48,-0.47,10.45
100,590.12,105.53,-2.50,65.45,-2.50,-0.05184,0.07306,-0.00103,0.01696,0.00421,0.02316,0.00045,-0.81,0.54,9.34
100,800.78,105.53,0.16,72.65,0.16,-0.05655,0.07662,-0.00135,-0.00781,0.00414,-0.00153,0.00001,1.11,-0.16,8.84
100,-19.86,105.53,3.27,85.39,3.27,-0.06597,-0.10959,-0.00228,-0.02154,0.00283,-0.03064,0.00019,0.54,0.12,9.21
100,800.78,105.53,5.13,87.16,5.13,-0.08011,-0.26180,-0.00350,-0.02908,0.00071,-0.05042,0.00091,0.65,0.37,9.54
100,460.31,105.53,0.56,93.25,0.56,-0.08796,-0.30650,-0.00272,0.01904,0.00048,-0.00557,0.00027,-1.51,-0.30,11.15
100,800.78,127.77,2.78,95.41,2.78,-0.09425,-0.21918,-0.00311,-0.00914,-0.00066,-0.02659,-0.00051,0.33,0.05,9.80
100,800.78,127.77,0.74,102.05,0.74,-0.10053,-0.11494,-0.00304,0.00170,-0.00097,-0.00740,-0.00064,-0.89,-0.18,11.37
100,-149.11,127.77,3.12,113.89,3.12,-0.10996,-0.14612,-0.00381,-0.01790,-0.00223,-0.02946,0.00018,1.11,0.26,9.27
100,609.04,127.77,4.77,114.53,4.77,-0.12252,-0.26180,-0.00483,-0.02434,-0.00413,-0.04510,0.00069,0.90,0.64,9.19
100,379.15,127.77,0.14,118.83,0.14,-0.13195,-0.26818,-0.00398,0.02078,-0.00413,-0.00012,0.00004,-0.27,-0.01,10.47
100,800.78,138.89,1.98,120.66,1.98,-0.13666,-0.22440,-0.00398,-0.00011,-0.00488,-0.01729,-0.00029,-0.13,-0.14,10.91
100,244.78,138.89,0.76,127.21,0.76,-0.14294,-0.11494,-0.00389,0.00225,-0.00515,-0.00673,-0.00064,0.02,-0.21,11.05
100,800.78,138.89,2.64,128.28,2.64,-0.14765,-0.14960,-0.00431,-0.01006,-0.00607,-0.02238,0.00025,0.74,0.05,8.90
100,358.62,138.89,0.69,132.04,0.69,-0.15080,-0.10959,-0.00412,0.00427,-0.00625,-0.00427,-0.00025,-1.32,0.05,9.13
100,511.51,138.89,1.39,133.50,1.39,-0.15394,-0.11494,-0.00418,-0.00141,-0.00669,-0.01059,0.00003,-0.42,0.12,8.68
100,-800.78,84.44,0.73,129.31,0.73,-0.15394,-0.03740,-0.00427,-0.00225,-0.00691,-0.00534,-0.00046,0.08,-0.03,10.00
100,800.78,84.44,-2.34,110.10,-2.34,-0.13352,0.03653,-0.00366,0.01420,-0.00615,0.01768,-0.00001,-0.93,-0.11,10.52
100,-337.34,84.44,-7.85,109.39,-7.85,-0.11781,0.52360,-0.00255,0.02641,-0.00330,0.06778,0.00291,-5.23,0.65,10.16
100,264.51,84.44,0.04,100.89,0.04,-0.11310,0.30650,-0.00354,-0.02404,-0.00332,-0.00036,-0.00133,7.26,0.47,5.82
100,171.16,57.22,-3.82,97.59,-3.82,-0.10210,0.10959,-0.00238,0.02700,-0.00178,0.03570,-0.00115,-4.43,0.66,10.00
100,-629.31,57.22,-1.09,89.07,-1.09,-0.09425,0.26818,-0.00280,-0.01023,-0.00134,0.01075,0.00097,3.48,-0.01,10.19
100,800.78,57.22,-4.08,77.03,-4.08,-0.07069,0.21420,-0.00175,0.02389,0.00045,0.04078,-0.00031,-2.87,-0.18,10.88
100,-742.03,57.22,-4.47,77.30,-4.47,-0.06597,0.53637,-0.00173,0.00035,0.00222,0.04317,0.00197,0.63,1.17,9.63
100,800.78,57.22,-0.21,67.54,-0.21,-0.05812,0.10959,-0.00202,-0.00674,0.00231,0.00212,-0.00249,0.99,-0.87,9.31
100,800.78,103.61,-4.08,68.76,-4.08,-0.05498,0.19156,-0.00112,0.02202,0.00386,0.03769,0.00050,-2.20,0.05,10.75
