CONTROLLER_FLAG,SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
100,0.00,0.00,0.00,0.00,0.00,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,19.96,0.36,-1.43
100,800.78,145.70,0.00,8.22,0.00,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00395,0.00004,0.08,0.03,9.76
100,800.78,88.92,4.01,30.20,4.01,-0.00471,0.00000,-0.00014,-0.00318,0.00986,-0.00330,-0.00231,0.46,0.38,8.03
100,800.78,59.46,8.98,55.79,8.98,-0.01728,-0.10472,-0.00111,-0.02220,0.00842,-0.03267,0.00061,0.61,-0.23,11.23
100,726.13,44.72,10.21,79.56,10.21,-0.03613,-0.32130,-0.00299,-0.04262,0.00527,-0.07170,0.00122,2.24,2.85,11.58
100,-800.78,97.37,9.50,80.58,9.50,-0.06283,-0.47489,-0.00503,-0.04738,0.00149,-0.08782,0.00090,1.51,-1.03,5.18
100,800.78,63.68,-0.95,67.77,-0.95,-0.06597,-0.58448,-0.00257,0.05720,0.00189,0.00941,0.00064,-1.96,-1.36,12.81
100,-448.62,46.84,-4.65,76.10,-4.65,-0.06597,-0.03740,-0.00058,0.04739,0.00376,0.04444,-0.00327,-7.00,0.18,12.96
100,-491.43,38.41,3.62,66.70,3.62,-0.06597,0.00000,-0.00202,-0.03436,0.00231,-0.03442,-0.00022,6.21,1.02,0.52
100,800.78,34.20,-4.75,55.69,-4.75,-0.04241,0.03653,-0.00022,0.04177,0.00424,0.04482,0.00021,-9.06,-1.93,7.47
100,800.78,92.11,-3.83,57.95,-3.83,-0.03927,0.56100,-0.00081,-0.01388,0.00561,0.03247,0.00313,7.71,3.72,12.52
100,-297.21,61.05,0.99,66.52,0.99,-0.05184,0.00000,-0.00115,-0.00823,0.00526,-0.00830,-0.00335,4.04,-1.65,15.82
100,800.78,105.53,3.62,65.94,3.62,-0.05498,-0.26180,-0.00158,-0.01029,0.00391,-0.03214,0.00156,-0.83,1.62,7.10
100,800.78,127.77,-0.34,74.78,-0.34,-0.05812,-0.07480,-0.00120,0.00924,0.00404,0.00311,-0.00112,0.27,-1.28,11.15
100,800.78,138.89,3.98,89.03,3.98,-0.06754,-0.11220,-0.00239,-0.02834,0.00246,-0.03763,0.00022,1.50,0.40,9.16
100,-800.78,84.44,6.17,104.30,6.17,-0.08325,-0.22440,-0.00414,-0.04167,-0.00006,-0.05990,0.00067,1.47,0.80,6.45
100,-800.78,57.22,6.23,94.29,6.23,-0.10053,-0.37400,-0.00538,-0.02955,-0.00256,-0.05952,0.00089,0.99,1.50,9.66
