CONTROLLER_FLAG,SL_PWM,U,SL_position,ARM_position,Sprung_acceleration_x
100,0.00,90.00,0.00,-0.00157,9.99
100,810.79,145.70,2.17,-0.00157,0.03
100,810.79,145.70,9.50,-0.00157,-0.04
100,810.79,147.86,20.11,-0.00157,-0.54
100,810.79,147.86,33.46,-0.00628,1.06
100,810.79,147.86,47.87,-0.00628,-0.17
100,810.79,88.92,62.47,-0.00785,-0.36
100,810.79,88.92,76.92,-0.00785,-2.96
100,810.79,88.92,90.83,-0.00942,-3.59
100,-810.79,59.46,103.85,-0.01257,-2.05
100,-810.79,59.46,107.89,-0.01728,0.40
100,-810.79,59.46,102.48,-0.02042,0.30
100,-810.79,44.72,90.69,-0.02042,-1.46
100,-489.86,44.72,74.68,-0.01885,-1.39
100,810.79,97.37,60.49,-0.01571,0.19
100,810.79,97.37,55.14,-0.01571,-0.67
100,810.79,97.37,56.19,-0.01728,2.31
100,810.79,63.68,61.19,-0.01885,0.25
100,810.79,63.68,68.78,-0.02042,-0.52
100,810.79,63.68,77.74,-0.02042,0.23
100,-810.79,46.84,87.04,-0.02199,0.13
100,-810.79,46.84,87.69,-0.02199,0.15
100,-810.79,46.84,79.93,-0.02199,0.01
100,-248.00,38.41,66.80,-0.02042,1.16
100,810.79,38.41,55.04,-0.01885,2.95
100,810.79,38.41,51.35,-0.02042,2.36
100,810.79,34.20,53.53,-0.02199,0.72
100,-514.67,34.20,58.60,-0.02199,0.24
100,-810.79,34.20,57.86,-0.02199,-0.05
100,810.79,92.11,51.43,-0.02199,-0.05
100,810.79,92.11,49.80,-0.02199,0.50
100,810.79,61.05,53.52,-0.02199,-0.14
100,810.79,61.05,60.35,-0.02199,-0.06
100,29.68,61.05,69.09,-0.02199,0.16
100,-810.79,105.53,73.12,-0.02199,1.81
100,810.79,105.53,69.45,-0.02199,-0.81
100,810.79,105.53,68.85,-0.02199,-0.43
100,810.79,127.77,72.48,-0.02356,0.02
100,810.79,127.77,78.83,-0.02356,0.33
100,810.79,127.77,86.68,-0.02356,0.25
100,810.79,138.89,95.97,-0.02513,-0.50
100,801.34,138.89,105.92,-0.02513,0.17
100,-604.92,138.89,114.42,-0.02670,1.63
100,-810.79,84.44,115.48,-0.02985,-0.44
100,-540.17,84.44,108.30,-0.02985,-0.24
100,810.79,84.44,99.13,-0.02985,-0.06
100,810.79,57.22,96.05,-0.02985,0.28
100,-578.22,57.22,96.53,-0.03142,-0.30
100,-810.79,57.22,92.32,-0.03142,-0.30
100,810.79,103.61,83.96,-0.03142,-0.30
100,810.79,103.61,81.40,-0.03142,0.41
100,810.79,126.81,83.48,-0.03142,-0.28
100,810.79,126.81,88.49,-0.03142,0.03
100,810.79,126.81,95.57,-0.03299,0.05
100,810.79,138.41,103.79,-0.03299,0.33
100,743.78,138.41,113.16,-0.03456,-0.32
100,-810.79,138.41,121.12,-0.03613,0.73
100,-747.23,84.20,120.59,-0.03770,0.97
100,-236.55,84.20,114.00,-0.03927,-0.35
100,810.79,84.20,106.47,-0.04084,-0.45
100,485.62,57.10,103.91,-0.04084,0.09
100,-810.79,57.10,102.46,-0.04084,0.01
100,-731.35,57.10,95.25,-0.04084,0.24
100,714.09,43.54,84.72,-0.03927,0.79
100,810.79,43.54,79.10,-0.03927,0.03
100,-163.74,43.54,78.20,-0.04084,-0.23
100,-810.79,36.77,75.48,-0.04084,-0.31
