SL_PWM,U,SL_position,SL_speed,ARM_position,Sprung_acceleration_x
815.94,90.00,90.15,0.00,-4.77000,10.02
815.94,128.99,93.47,0.41,-0.09000,0.10
815.94,128.99,98.39,3.01,-0.18000,0.31
815.94,128.99,105.12,4.55,-0.36000,0.40
815.94,128.99,107.52,5.71,-0.54000,0.51
815.94,128.99,108.69,1.21,-0.63000,0.02
815.94,128.99,111.91,1.42,-0.63000,-0.41
-815.94,128.99,117.36,3.45,-0.72000,-0.24
815.94,130.50,117.34,4.12,-0.81000,-0.01
815.94,130.50,118.63,-0.64,-0.81000,-0.14
-815.94,130.50,122.50,1.87,-0.99000,0.05
815.94,130.50,122.03,2.84,-1.08000,0.11
815.94,130.50,123.77,-0.63,-1.35000,0.36
-815.94,130.50,125.46,2.33,-1.53000,0.42
815.94,130.50,124.87,-0.03,-1.80000,0.39
-815.94,89.25,127.38,0.85,-2.07000,0.10
-815.94,89.25,124.47,1.02,-2.34000,0.01
-815.94,89.25,114.88,-5.30,-2.52000,-0.02
815.94,89.25,106.99,-8.59,-2.16000,-0.93
815.94,89.25,106.44,-3.50,-1.98000,-1.50
-815.94,89.25,108.62,1.45,-1.98000,-0.44
-815.94,89.25,104.17,-0.35,-1.89000,0.36
815.94,89.25,98.81,-5.58,-1.44000,-0.33
-815.94,68.62,99.57,-1.47,-1.26000,-1.09
-815.94,68.62,96.06,-0.51,-1.17000,-0.02
815.94,68.62,87.35,-6.13,-0.45000,-0.66
815.94,68.62,84.08,-5.44,0.18000,-1.80
-815.94,68.62,86.06,0.50,0.36000,-0.32
-815.94,68.62,82.96,-0.39,0.45000,1.99
815.94,68.62,77.63,-5.17,0.81000,1.15
815.94,58.31,78.59,-0.65,0.81000,0.57
-815.94,58.31,77.29,0.53,0.81000,-0.11
815.94,58.31,70.68,-5.20,1.26000,-0.83
815.94,58.31,70.04,-2.37,1.62000,-1.07
-815.94,58.31,70.41,1.23,1.62000,0.80
815.94,58.31,65.78,-3.70,1.80000,0.61
815.94,58.31,66.56,-0.58,1.98000,0.55
-55.66,95.16,65.53,0.43,1.89000,0.23
815.94,95.16,64.50,-1.92,2.07000,-0.42
815.94,95.16,68.48,2.61,1.98000,0.83
815.94,95.16,75.07,5.09,1.71000,0.86
-815.94,95.16,82.79,6.47,1.53000,0.65
815.94,95.16,82.70,1.93,1.35000,0.40
815.94,95.16,81.87,-1.60,1.17000,-0.04
815.94,95.16,84.67,2.14,0.99000,-0.19
-815.94,71.58,88.05,3.43,0.81000,0.04
-815.94,71.58,83.32,-3.08,0.72000,-0.19
815.94,71.58,77.50,-5.39,0.90000,-0.93
815.94,71.58,77.94,-0.12,0.90000,-0.41
-815.94,71.58,81.46,3.05,0.81000,0.12
815.94,71.58,78.08,3.05,0.90000,0.12
815.94,71.58,75.04,-2.76,1.08000,-0.24
-815.94,59.79,77.31,-2.21,0.99000,-0.20
-815.94,59.79,75.19,2.05,1.08000,0.17
815.94,59.79,69.50,-2.68,1.35000,-0.21
815.94,59.79,69.92,-4.40,1.62000,-0.95
-815.94,59.79,69.46,0.96,1.62000,-0.64
815.94,59.79,65.63,-1.33,1.89000,0.62
-815.94,59.79,67.35,-2.63,1.89000,0.21
433.67,53.89,65.26,1.62,1.89000,0.72
815.94,53.89,63.34,-2.82,2.07000,-0.44
-815.94,53.89,62.83,-0.36,2.16000,-0.08
815.94,53.89,60.51,-1.84,2.25000,0.34
-815.94,53.89,60.96,-0.49,2.34000,-0.18
815.94,53.89,58.53,-1.05,2.43000,0.21
-815.94,53.89,59.38,-0.41,2.43000,-0.20
815.94,53.89,57.01,-0.98,2.52000,0.24
-815.94,50.94,58.15,-0.23,2.52000,-0.10
815.94,50.94,54.96,-0.88,2.61000,0.19
339.15,50.94,55.97,-1.79,2.70000,-0.42
-815.94,50.94,54.80,1.28,2.79000,0.29
815.94,50.94,53.51,-2.56,2.88000,-0.14
-815.94,50.94,54.92,1.44,2.88000,0.24
815.94,50.94,52.24,-1.73,2.88000,-0.08
464.50,91.48,54.08,0.19,2.97000,0.06
815.94,91.48,57.89,2.78,2.79000,0.28
-815.94,91.48,64.69,5.13,2.61000,0.54
815.94,91.48,66.76,3.22,2.52000,0.44
815.94,91.48,69.51,1.75,2.34000,0.24
815.94,91.48,74.55,3.98,2.16000,0.25
815.94,91.48,76.55,3.11,1.89000,0.25
815.94,91.48,77.48,0.15,1.80000,-0.05
-815.94,69.73,80.18,2.52,1.62000,0.03
815.94,69.73,76.31,-2.78,1.44000,-0.28
815.94,69.73,74.12,-2.21,1.44000,-0.71
-815.94,69.73,76.18,-2.21,1.44000,-0.71
815.94,69.73,74.54,1.75,1.35000,-0.18
815.94,69.73,72.72,-1.82,1.44000,-0.40
-815.94,69.73,74.68,-0.82,1.44000,0.04
815.94,100.87,71.95,1.29,1.44000,-0.03
815.94,100.87,72.44,-2.36,1.53000,-0.36
815.94,100.87,76.84,1.50,1.35000,0.40
815.94,100.87,83.31,4.30,1.17000,0.34
-815.94,100.87,89.91,5.71,1.08000,0.35
815.94,100.87,88.50,4.30,0.90000,0.46
815.94,100.87,88.18,-2.05,0.72000,0.01
815.94,100.87,91.11,0.89,0.63000,-0.15
815.94,116.44,96.24,3.26,0.36000,0.10
815.94,116.44,99.16,4.69,0.27000,0.15
815.94,116.44,100.69,1.02,0.09000,-0.16
-815.94,116.44,104.60,2.24,-0.09000,-0.08
815.94,116.44,104.89,2.42,-0.27000,0.14
815.94,116.44,106.72,0.29,-0.36000,-0.03
-815.94,116.44,108.99,2.53,-0.54000,0.08
815.94,124.22,109.25,0.10,-0.72000,-0.18
815.94,124.22,112.02,1.77,-0.81000,-0.18
815.94,124.22,113.89,3.11,-0.90000,0.04
815.94,124.22,114.92,0.01,-1.08000,0.08
-815.94,124.22,117.25,2.32,-1.26000,0.24
815.94,124.22,117.19,-0.11,-1.53000,0.17
-815.94,124.22,119.19,1.86,-1.71000,0.07
815.94,124.22,118.79,-0.35,-1.89000,-0.14
-815.94,86.11,117.75,-0.27,-1.98000,-0.15
815.94,86.11,109.77,-6.09,-2.07000,-0.40
815.94,86.11,104.49,-5.15,-1.80000,-0.81
