SL_PWM,U,SL_position,SL_speed,ARM_position,Sprung_acceleration_x
-815.94,90.00,90.49,0.00,-4.41000,25.07
815.94,128.99,92.24,0.41,-0.09000,-1.36
815.94,128.99,96.30,1.93,-0.18000,-2.45
815.94,128.99,102.03,3.85,-0.18000,0.72
815.94,128.99,108.66,5.27,-0.36000,0.17
-815.94,128.99,111.56,6.05,-0.45000,-0.92
815.94,128.99,111.77,0.30,-0.63000,-0.93
815.94,130.50,114.82,1.40,-0.81000,-0.02
-815.94,130.50,119.23,3.44,-1.17000,2.28
815.94,130.50,119.05,2.33,-1.44000,-1.68
815.94,130.50,120.93,0.29,-1.71000,-1.16
-815.94,130.50,123.15,2.71,-2.07000,-0.75
815.94,130.50,123.09,-0.34,-2.25000,-0.76
-815.94,130.50,125.54,1.99,-2.43000,0.34
-815.94,89.25,123.16,-0.76,-2.61000,-0.74
815.94,89.25,116.10,-5.70,-2.61000,-0.44
815.94,89.25,113.41,-3.23,-2.52000,0.11
-815.94,89.25,111.54,-1.23,-2.52000,-3.09
815.94,89.25,105.80,-1.23,-2.16000,-2.49
815.94,89.25,105.37,-4.94,-1.80000,-6.49
-815.94,89.25,103.73,-0.10,-1.71000,4.91
815.94,68.62,97.15,-2.31,-1.26000,3.97
-815.94,68.62,94.78,-5.83,-0.81000,-6.70
-815.94,68.62,90.98,-1.40,-0.63000,2.44
815.94,68.62,86.63,-4.67,0.00000,-2.57
-815.94,68.62,86.04,-2.17,0.18000,5.13
815.94,68.62,81.56,-1.93,0.36000,2.52
-815.94,58.31,81.62,-2.64,0.54000,-0.03
-815.94,58.31,78.35,-0.21,0.63000,-1.92
815.94,58.31,72.86,-5.29,1.08000,-7.23
-815.94,58.31,72.96,-2.03,1.35000,1.62
-815.94,58.31,70.86,0.05,1.44000,7.50
815.94,58.31,67.36,-3.85,1.71000,0.60
-815.94,58.31,68.64,0.58,1.71000,1.42
815.94,95.16,66.42,-1.40,1.80000,-2.45
815.94,95.16,68.00,0.69,1.80000,3.32
815.94,95.16,73.14,4.22,1.62000,0.64
815.94,95.16,79.95,4.22,1.53000,0.76
-815.94,95.16,83.28,6.04,1.35000,1.42
815.94,95.16,81.23,2.23,1.26000,-1.10
815.94,95.16,83.24,-1.43,1.17000,-1.38
-815.94,71.58,86.23,2.26,1.08000,1.63
-815.94,71.58,81.94,1.46,1.08000,-1.76
815.94,71.58,77.47,-4.96,1.08000,-3.37
815.94,71.58,78.62,-2.05,1.08000,2.86
-815.94,71.58,80.43,2.30,0.99000,-2.11
815.94,71.58,76.13,-1.19,1.17000,-1.90
815.94,59.79,75.53,-2.87,1.17000,-0.06
-815.94,59.79,76.13,1.16,1.17000,-0.91
815.94,59.79,70.84,-2.85,1.35000,-2.45
815.94,59.79,69.14,-3.48,1.53000,-5.06
-815.94,59.79,70.61,1.45,1.53000,4.54
815.94,59.79,66.54,-2.72,1.71000,-0.29
815.94,59.79,66.06,-1.39,1.80000,-0.99
-815.94,53.89,66.95,1.18,1.80000,-0.34
815.94,53.89,62.24,-3.89,1.98000,-0.38
815.94,53.89,61.91,-3.89,2.16000,-0.42
-815.94,53.89,62.36,-0.71,2.16000,1.42
815.94,53.89,58.71,0.03,2.34000,1.16
-815.94,53.89,60.16,-2.83,2.43000,1.18
-815.94,53.89,58.70,1.57,2.43000,1.02
815.94,50.94,56.73,-2.42,2.52000,-1.69
-815.94,50.94,57.82,-0.27,2.52000,1.14
815.94,50.94,54.71,-0.38,2.70000,-0.72
-815.94,50.94,56.04,-1.71,2.70000,-0.05
815.94,50.94,54.24,1.10,2.70000,-0.04
815.94,50.94,53.57,-2.44,2.79000,0.07
815.94,91.48,54.75,1.55,2.70000,2.34
815.94,91.48,56.63,0.39,2.70000,1.10
815.94,91.48,61.91,3.68,2.52000,-0.30
815.94,91.48,69.30,5.96,2.43000,1.33
-815.94,91.48,73.59,5.41,2.25000,-1.51
815.94,91.48,72.60,-0.90,2.07000,0.23
815.94,91.48,75.05,1.77,1.98000,1.26
-815.94,69.73,79.29,3.88,1.80000,1.41
-815.94,69.73,77.89,3.88,1.71000,1.33
815.94,69.73,72.68,-1.01,1.71000,-1.97
815.94,69.73,72.79,-4.20,1.62000,-1.71
-815.94,69.73,75.92,0.65,1.62000,2.32
815.94,69.73,73.13,2.27,1.53000,2.17
815.94,100.87,71.85,-3.10,1.62000,-7.17
815.94,100.87,74.89,0.23,1.53000,1.59
815.94,100.87,80.25,3.46,1.44000,1.61
-815.94,100.87,84.77,5.24,1.35000,0.60
815.94,100.87,84.59,1.09,1.26000,-0.09
815.94,100.87,87.32,1.22,1.17000,1.65
-815.94,100.87,91.17,3.38,0.99000,1.30
815.94,116.44,90.63,1.03,0.90000,0.08
815.94,116.44,92.66,0.82,0.72000,0.19
815.94,116.44,96.84,3.14,0.45000,1.01
-398.05,116.44,102.57,4.68,0.27000,0.83
815.94,116.44,103.25,2.22,0.09000,-2.42
815.94,116.44,104.10,0.28,-0.09000,-1.87
815.94,116.44,107.40,2.68,-0.36000,1.04
815.94,124.22,108.82,2.68,-0.54000,0.40
815.94,124.22,110.09,1.40,-0.72000,-1.77
815.94,124.22,113.57,1.29,-0.99000,0.53
815.94,124.22,114.29,3.26,-1.17000,1.63
815.94,124.22,115.15,-0.09,-1.35000,-1.35
-815.94,124.22,118.18,1.39,-1.62000,-0.93
815.94,86.11,117.55,2.54,-1.80000,1.44
-815.94,86.11,115.53,-0.86,-1.89000,-1.88
815.94,86.11,108.18,-3.98,-1.89000,-4.31
815.94,86.11,105.16,-5.66,-1.71000,0.15
-815.94,86.11,105.88,-0.05,-1.71000,5.02
752.06,86.11,101.13,-1.80,-1.53000,-2.25
815.94,86.11,97.27,-5.02,-1.08000,-6.37
-815.94,67.05,98.66,0.11,-0.99000,3.82
-815.94,67.05,95.02,-1.15,-0.72000,7.11
815.94,67.05,86.85,-6.83,-0.27000,-8.02
815.94,67.05,83.13,-4.47,0.18000,-8.62
-815.94,67.05,84.59,0.79,0.45000,9.57
-815.94,67.05,82.22,-1.33,0.63000,11.35
815.94,67.05,76.97,-1.33,0.90000,9.81
815.94,99.53,76.95,-4.58,0.99000,-8.49
815.94,99.53,80.95,0.26,0.90000,1.32
-815.94,99.53,87.26,3.90,0.72000,9.11
-815.94,99.53,88.39,5.38,0.63000,-1.65
815.94,99.53,87.24,-0.64,0.45000,-1.21
