CONTROLLER_FLAG,SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.01,0.21,-0.79
100,800.78,118.93,3.96,4.57,3.96,0.00,0.00,-0.00,-0.00,0.01,-0.00,0.00,-0.04,-0.15,9.78
100,800.78,89.46,8.98,24.91,8.98,-0.00,-0.13,-0.00,-0.01,0.01,-0.03,0.00,0.06,-1.18,11.81
100,384.39,74.73,10.41,51.86,10.41,-0.01,-0.26,-0.00,-0.05,0.01,-0.08,0.00,3.38,-1.17,11.30
100,-736.23,67.36,5.61,66.92,5.61,-0.03,-0.52,-0.00,-0.01,0.00,-0.05,0.00,0.72,2.11,8.73
100,11.50,93.68,-3.49,60.18,-3.49,-0.04,0.13,-0.00,0.02,0.00,0.03,0.00,-3.79,0.32,9.40
100,800.78,76.84,-1.05,56.25,-1.05,-0.03,0.13,-0.00,-0.00,0.01,0.01,-0.00,0.72,0.81,9.87
100,365.68,68.42,3.70,65.23,3.70,-0.03,-0.26,-0.00,-0.01,0.00,-0.03,0.00,1.54,-0.57,9.79
100,200.40,64.21,-0.01,66.89,-0.01,-0.04,0.00,-0.00,0.00,0.00,0.00,-0.00,-2.58,-0.58,9.39
100,325.71,62.10,-0.96,64.80,-0.96,-0.04,0.00,-0.00,0.01,0.00,0.01,0.00,-0.47,0.71,9.88
100,703.43,91.05,-0.57,63.44,-0.57,-0.04,0.00,-0.00,0.01,0.00,0.01,-0.00,-0.11,0.38,10.25
100,472.03,75.52,2.80,69.45,2.80,-0.04,-0.13,-0.00,-0.02,0.00,-0.03,-0.00,0.51,-0.54,8.92
100,732.36,97.77,-0.27,70.39,-0.27,-0.04,0.00,-0.00,0.00,0.00,0.00,0.00,-0.61,-0.39,9.51
100,754.55,108.89,4.16,77.17,4.16,-0.05,-0.13,-0.00,-0.02,0.00,-0.04,0.00,1.64,0.78,9.54
100,589.49,114.45,2.91,85.49,2.91,-0.06,-0.26,-0.00,-0.01,0.00,-0.03,-0.00,-0.10,0.41,9.24
100,515.06,87.22,0.04,87.28,0.04,-0.07,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-2.34,-0.60,9.73
100,361.90,73.61,-0.16,86.70,-0.16,-0.07,0.13,-0.00,-0.01,0.00,0.00,0.00,0.05,0.28,9.80
100,602.67,96.81,-0.47,85.70,-0.47,-0.07,0.00,-0.00,0.00,0.00,0.00,0.00,-0.31,0.15,10.01
100,694.81,114.21,2.06,89.18,2.06,-0.07,-0.13,-0.00,-0.01,0.00,-0.02,0.00,0.46,-0.17,9.74
100,577.17,87.10,1.58,94.59,1.58,-0.08,-0.13,-0.00,-0.01,-0.00,-0.02,-0.00,0.49,0.01,8.88
100,405.35,73.55,-0.32,94.61,-0.32,-0.08,0.00,-0.00,0.00,-0.00,0.00,0.00,-2.02,-0.44,10.72
100,196.85,66.77,-0.97,92.65,-0.97,-0.08,0.00,-0.00,0.01,-0.00,0.01,0.00,-0.29,0.52,9.46
100,10.22,63.38,-1.29,89.67,-1.29,-0.07,0.13,-0.00,0.00,-0.00,0.01,0.00,-0.34,-0.35,9.85
100,-114.35,61.69,-1.65,85.98,-1.65,-0.07,0.13,-0.00,0.01,0.00,0.02,-0.00,-0.02,-0.21,9.77
100,-91.10,60.84,-2.12,81.08,-2.12,-0.06,0.13,-0.00,0.01,0.00,0.02,-0.00,-0.39,0.24,9.75
100,263.42,90.42,-2.38,75.42,-2.38,-0.05,0.13,-0.00,0.01,0.00,0.02,-0.00,0.06,0.26,9.99
100,670.04,75.21,-0.68,73.01,-0.68,-0.05,0.00,-0.00,0.01,0.00,0.01,-0.01,0.99,-0.27,10.13
100,643.58,97.61,0.53,75.52,0.53,-0.05,0.00,-0.00,-0.01,0.00,-0.01,0.00,-0.56,-0.01,9.23
100,526.82,78.80,2.02,79.25,2.02,-0.05,-0.13,-0.00,-0.01,0.00,-0.02,0.00,1.03,0.12,10.52
100,688.41,99.40,-0.01,79.44,-0.01,-0.05,0.00,-0.00,0.00,0.00,0.00,0.00,-0.74,-0.27,10.45
100,494.45,79.70,2.10,83.17,2.10,-0.06,-0.13,-0.00,-0.01,0.00,-0.02,0.00,0.79,0.23,9.43
