SL_PWM,U,SL_position,SL_speed,ARM_position,Sprung_acceleration_x
Calculating offsets, do not move MPU6050
815.94,90.00,88.66,0.00,-3.87000,10.04
815.94,108.57,89.63,0.39,0.00000,1.38
815.94,108.57,94.61,1.37,-0.18000,0.11
815.94,108.57,101.50,4.44,-0.36000,1.18
-815.94,108.57,108.06,5.89,-0.54000,-0.09
815.94,108.57,105.44,5.00,-0.72000,-0.08
815.94,109.29,103.20,-2.93,-0.81000,-0.11
815.94,109.29,105.25,-1.18,-0.90000,-0.11
815.94,109.29,109.91,2.24,-1.08000,0.70
-815.94,109.29,110.49,4.10,-1.26000,0.31
815.94,109.29,106.65,-1.24,-1.35000,-0.11
815.94,109.29,108.07,-2.37,-1.44000,-0.78
-815.94,89.64,108.79,1.96,-1.44000,0.51
-815.94,89.64,101.28,-1.17,-1.26000,0.09
815.94,89.64,92.36,-7.34,-0.63000,-1.54
815.94,89.64,90.92,-6.23,-0.27000,-3.21
815.94,89.64,94.65,0.24,-0.27000,1.92
-815.94,79.82,96.87,3.93,-0.36000,5.80
-815.94,79.82,90.35,-0.57,-0.18000,-0.40
815.94,79.82,81.14,-6.80,0.36000,-2.17
815.94,79.82,79.22,-6.38,0.72000,-1.34
815.94,79.82,82.51,-0.00,0.81000,1.74
-815.94,74.91,86.98,3.84,0.63000,6.06
-815.94,74.91,82.85,1.55,0.63000,-0.08
815.94,74.91,75.50,-5.64,0.99000,-3.35
815.94,74.91,75.03,-4.22,1.17000,-1.30
-815.94,74.91,79.80,1.66,1.08000,2.61
-815.94,74.91,79.78,3.78,1.08000,2.08
815.94,92.46,73.89,-2.94,1.26000,-2.80
815.94,92.46,73.94,-3.66,1.26000,-0.70
815.94,92.46,79.06,2.04,1.17000,1.69
815.94,92.46,86.58,5.21,0.90000,1.31
-112.02,92.46,94.93,6.64,0.54000,0.07
-815.94,81.23,96.98,6.28,0.27000,1.47
-815.94,81.23,89.86,-1.80,0.09000,-0.25
815.94,81.23,81.66,-7.60,0.45000,-5.11
815.94,81.23,80.89,-4.44,0.63000,-3.35
815.94,81.23,84.89,1.26,0.63000,0.37
-815.94,81.23,88.49,4.54,0.45000,3.07
-815.94,75.61,83.54,-0.43,0.54000,-1.59
815.94,75.61,76.86,-6.31,0.90000,-1.02
815.94,75.61,77.32,-2.66,0.99000,-0.11
-815.94,75.61,81.66,2.66,0.90000,3.69
-815.94,75.61,78.97,1.49,0.99000,-0.73
815.94,72.80,74.24,-4.71,1.17000,-2.28
815.94,72.80,75.64,-0.96,1.17000,-0.10
-815.94,72.80,78.13,3.06,1.08000,1.34
815.94,72.80,73.36,-1.94,1.26000,-1.35
815.94,72.80,71.53,-3.61,1.44000,-0.48
815.94,72.80,75.06,1.67,1.35000,1.00
-815.94,71.40,75.97,2.74,1.26000,-1.03
815.94,71.40,70.50,-3.88,1.44000,-0.31
815.94,71.40,70.38,-1.89,1.53000,-0.93
-815.94,71.40,74.81,2.90,1.44000,1.33
-815.94,71.40,73.19,1.12,1.44000,-0.62
815.94,90.70,69.05,-4.17,1.62000,-0.28
815.94,90.70,71.26,0.47,1.53000,-0.10
815.94,90.70,77.57,4.50,1.35000,0.22
815.94,90.70,85.71,6.46,1.17000,0.11
-815.94,90.70,91.16,6.20,0.90000,0.57
815.94,90.70,86.96,-1.94,0.72000,-1.19
815.94,80.35,84.45,-3.37,0.63000,-2.36
-289.45,80.35,86.96,1.55,0.63000,0.93
-815.94,80.35,85.47,0.08,0.54000,-1.08
815.94,80.35,80.77,-4.39,0.72000,0.46
815.94,80.35,81.83,0.28,0.72000,0.03
-815.94,95.18,84.45,2.60,0.63000,0.53
815.94,95.18,82.94,-1.41,0.72000,1.06
815.94,95.18,85.87,-1.41,0.63000,1.06
815.94,95.18,91.35,2.47,0.45000,0.15
-815.94,95.18,93.36,4.87,0.36000,0.26
815.94,95.18,90.35,0.52,0.27000,-0.38
815.94,102.59,91.77,-2.22,0.18000,-0.40
815.94,102.59,95.75,1.55,0.09000,0.71
-815.94,102.59,101.37,3.80,-0.09000,1.03
815.94,102.59,99.40,4.49,-0.27000,0.78
815.94,102.59,98.37,-2.34,-0.45000,-1.35
815.94,102.59,100.98,-0.36,-0.54000,-0.50
-815.94,106.30,104.59,2.49,-0.72000,0.34
815.94,106.30,102.59,2.39,-0.72000,0.12
815.94,106.30,104.20,-1.49,-0.81000,0.02
-815.94,106.30,106.29,2.07,-0.90000,0.42
815.94,106.30,104.17,0.30,-0.99000,-0.41
-815.94,88.15,106.04,-0.84,-1.08000,-0.39
-815.94,88.15,102.87,1.12,-1.08000,0.03
815.94,88.15,93.68,-5.10,-0.72000,-1.49
815.94,88.15,89.60,-7.06,-0.27000,-2.91
815.94,88.15,91.91,-0.97,-0.18000,-0.64
-815.94,88.15,95.48,3.44,-0.27000,4.35
-815.94,79.07,91.13,0.13,-0.18000,-0.40
815.94,79.07,83.06,-6.28,0.27000,-1.68
815.94,79.07,81.93,-4.31,0.54000,-1.41
-815.94,79.07,85.67,1.70,0.54000,2.95
