CONTROLLER_FLAG,SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.01,0.04,-0.80
100,800.78,100.00,3.78,4.01,3.78,0.00,0.13,-0.00,-0.01,0.01,-0.00,0.00,-0.39,-0.05,9.76
100,800.78,80.00,9.09,24.42,9.09,0.00,0.00,-0.00,-0.02,0.01,-0.02,0.00,-0.27,0.06,9.80
100,-264.79,80.00,9.49,50.85,9.49,-0.01,-0.26,-0.00,-0.04,0.01,-0.07,0.00,2.82,-2.21,9.25
100,-485.38,80.00,0.70,57.61,0.70,-0.02,-0.13,-0.00,0.01,0.01,-0.01,-0.01,-1.63,0.73,8.28
100,507.14,100.00,-2.22,52.28,-2.22,-0.01,0.00,-0.00,0.02,0.01,0.02,-0.00,-0.50,0.70,9.75
100,800.78,80.00,2.79,55.95,2.79,-0.01,0.00,-0.00,-0.02,0.01,-0.02,0.00,2.33,-0.54,9.77
100,233.37,80.00,4.07,67.82,4.07,-0.02,-0.26,-0.00,-0.01,0.00,-0.04,0.00,1.57,-0.24,9.14
100,208.63,80.00,0.28,70.06,0.28,-0.03,0.00,-0.00,-0.00,0.00,-0.00,-0.01,-2.80,-0.06,9.78
100,465.71,80.00,-0.63,69.07,-0.63,-0.03,0.00,-0.00,0.01,0.00,0.01,-0.00,0.04,0.53,9.52
100,754.33,100.00,1.09,70.55,1.09,-0.03,0.00,-0.00,-0.01,0.00,-0.01,0.00,0.19,-0.23,9.99
100,358.24,80.00,2.61,77.87,2.61,-0.03,-0.13,-0.00,-0.01,0.00,-0.03,-0.00,1.22,-0.62,9.65
100,617.00,100.00,-0.60,77.89,-0.60,-0.04,0.00,-0.00,0.01,0.00,0.01,-0.00,-2.16,-0.19,9.94
100,659.11,100.00,2.38,81.81,2.38,-0.04,-0.13,-0.01,-0.01,0.00,-0.02,0.00,0.55,0.61,9.63
100,608.98,100.00,1.42,85.60,1.42,-0.05,-0.13,-0.01,-0.00,0.00,-0.01,-0.00,0.21,-0.28,9.53
100,497.20,80.00,-0.39,86.22,-0.39,-0.05,0.00,-0.01,0.00,0.00,0.00,0.00,-1.16,-0.36,10.26
100,492.54,80.00,-0.41,85.11,-0.41,-0.05,0.00,-0.01,0.00,0.00,0.00,0.00,-0.13,0.23,9.68
100,667.34,100.00,1.03,85.95,1.03,-0.05,0.00,-0.01,-0.01,0.00,-0.01,0.00,0.10,0.16,9.73
100,587.56,100.00,1.31,89.35,1.31,-0.05,0.00,-0.01,-0.01,0.00,-0.01,-0.00,0.56,-0.17,9.68
100,622.46,80.00,0.82,90.73,0.82,-0.05,0.00,-0.01,-0.01,-0.00,-0.01,-0.00,-0.15,-0.30,10.04
100,458.81,80.00,-0.52,90.32,-0.52,-0.05,0.00,-0.01,0.01,-0.00,0.01,-0.00,-0.56,0.21,9.64
100,500.33,80.00,-0.93,87.95,-0.93,-0.05,0.00,-0.01,0.01,0.00,0.01,0.00,0.04,0.19,9.98
100,465.83,80.00,-0.22,86.91,-0.22,-0.05,0.00,-0.01,0.00,0.00,0.00,0.00,0.04,-0.19,9.72
100,354.90,80.00,0.00,86.83,0.00,-0.05,0.00,-0.01,0.00,0.00,0.00,0.00,0.01,0.03,9.92
100,238.70,80.00,-0.01,86.81,-0.01,-0.05,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.06,9.72
100,290.71,100.00,-0.40,86.26,-0.40,-0.05,0.00,-0.00,0.00,0.00,0.00,0.00,-0.15,0.10,9.92
100,433.16,80.00,0.00,85.83,0.00,-0.05,0.00,-0.00,0.00,0.00,0.00,0.00,0.15,-0.08,9.83
100,488.75,100.00,0.00,85.83,0.00,-0.05,0.00,-0.01,0.00,0.00,0.00,0.00,-0.04,0.00,9.84
100,500.88,80.00,0.60,86.48,0.60,-0.05,-0.13,-0.00,0.00,0.00,-0.01,0.00,-0.02,0.04,9.87
100,606.34,100.00,0.23,86.24,0.23,-0.05,0.00,-0.01,-0.00,0.00,-0.00,-0.00,-0.03,-0.04,9.82
100,485.89,80.00,0.93,87.85,0.93,-0.05,0.00,-0.01,-0.01,0.00,-0.01,0.00,0.05,0.09,9.87
100,441.75,80.00,-0.40,86.84,-0.40,-0.05,0.00,-0.01,0.00,0.00,0.00,0.00,0.07,-0.02,9.84
100,420.21,80.00,-0.51,85.82,-0.51,-0.05,0.13,-0.01,-0.01,0.00,0.01,0.00,0.02,0.16,9.79
100,572.80,100.00,0.04,85.86,0.04,-0.05,0.00,-0.01,-0.00,0.00,-0.00,0.00,0.06,-0.01,9.73
100,625.95,100.00,1.06,88.02,1.06,-0.05,0.00,-0.01,-0.01,0.00,-0.01,-0.00,0.09,-0.12,9.91
100,455.56,80.00,-0.50,88.79,-0.50,-0.05,0.00,-0.01,0.01,0.00,0.01,-0.00,-0.35,0.00,9.63
100,656.74,100.00,0.05,88.39,0.05,-0.05,0.00,-0.01,-0.00,0.00,-0.00,0.00,0.06,0.18,10.21
100,471.85,80.00,-0.44,88.94,-0.44,-0.05,0.00,-0.01,0.00,0.00,0.00,0.00,-0.14,-0.06,9.61
100,481.11,100.00,-0.73,87.25,-0.73,-0.05,0.00,-0.01,0.01,0.00,0.01,-0.00,-0.07,0.13,10.01
100,620.89,80.00,1.04,88.05,1.04,-0.05,0.00,-0.01,-0.01,0.00,-0.01,0.00,0.01,-0.11,9.81
100,403.66,80.00,-0.14,88.77,-0.14,-0.05,0.00,-0.01,0.00,0.00,0.00,-0.00,-0.07,0.20,9.78
100,310.84,100.00,0.00,88.76,0.00,-0.05,0.00,-0.01,0.00,0.00,0.00,0.00,0.11,0.09,9.78
100,430.98,80.00,0.00,88.76,0.00,-0.05,0.00,-0.01,0.00,0.00,0.00,0.00,-0.08,-0.18,9.72
100,370.21,100.00,0.00,88.76,0.00,-0.05,0.00,-0.01,0.00,0.00,0.00,0.00,0.02,0.01,9.95
100,457.43,80.00,0.00,88.76,0.00,-0.05,0.00,-0.01,0.00,0.00,0.00,0.00,0.03,0.02,9.75
100,429.54,100.00,0.00,88.76,0.00,-0.05,0.00,-0.01,0.00,0.00,0.00,0.00,0.02,0.00,9.86
100,621.05,100.00,0.01,88.80,0.01,-0.05,0.00,-0.01,-0.00,0.00,-0.00,0.00,-0.04,-0.06,9.79
100,672.64,100.00,1.10,90.47,1.10,-0.05,0.00,-0.01,-0.01,-0.00,-0.01,0.00,0.33,0.05,9.95
100,439.29,80.00,0.75,92.73,0.75,-0.05,-0.13,-0.01,0.00,-0.00,-0.01,-0.00,0.12,0.20,9.48
100,572.56,100.00,-0.98,90.90,-0.98,-0.05,0.00,-0.01,0.01,-0.00,0.01,0.00,0.33,-0.08,10.13
100,473.02,80.00,0.64,91.53,0.64,-0.05,0.00,-0.01,-0.01,-0.00,-0.01,0.00,-0.02,-0.10,9.81
100,276.33,80.00,0.00,91.50,0.00,-0.05,0.00,-0.01,0.00,-0.00,0.00,0.00,0.08,0.16,9.80
100,78.05,80.00,-0.00,91.50,-0.00,-0.05,0.00,-0.01,0.00,-0.00,0.00,0.00,0.02,-0.03,9.76
100,-119.60,80.00,-0.00,91.49,-0.00,-0.05,0.00,-0.01,0.00,-0.00,0.00,0.00,0.03,-0.12,9.85
100,-34.27,100.00,-0.07,91.34,-0.07,-0.05,0.00,-0.01,0.00,-0.00,0.00,0.00,0.05,0.06,9.74
100,226.11,100.00,-0.85,90.06,-0.85,-0.05,0.00,-0.01,0.01,-0.00,0.01,0.00,-0.07,0.11,9.78
100,304.57,80.00,-0.96,87.77,-0.96,-0.05,0.00,-0.01,0.01,0.00,0.01,0.00,-0.20,-0.11,9.87
