CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,90.27,0.00,-5.22000,0.00000,10.07
100,-815.94,82.86,90.88,0.40,0.00000,20.47160,0.04
100,815.94,79.50,88.25,-0.97,0.00000,20.40280,-0.59
100,815.94,81.62,88.05,-1.53,0.09000,20.40280,0.68
100,-815.94,78.52,87.85,-1.53,0.00000,32.71800,0.68
100,815.94,78.52,86.05,-0.38,0.09000,19.49120,-1.02
100,-815.94,77.94,86.26,-1.08,0.09000,19.43960,0.39
100,815.94,77.95,84.23,-1.42,0.18000,19.49120,-0.47
100,-815.94,76.87,84.73,-1.42,0.18000,19.49120,-0.47
100,815.94,76.87,83.15,0.05,0.27000,19.49120,-0.01
100,815.94,77.08,82.02,-2.12,0.36000,19.49120,-0.12
100,-815.94,76.85,82.76,0.23,0.36000,19.81800,-0.45
100,815.94,77.38,80.87,-1.46,0.45000,19.81800,0.30
100,815.94,77.25,81.14,-1.46,0.54000,5.83440,0.30
100,-815.94,77.25,80.78,0.25,0.54000,19.76640,0.05
100,815.94,76.79,79.92,-1.29,0.54000,19.81800,0.28
100,-815.94,76.69,80.55,0.66,0.54000,19.81800,-0.02
100,815.94,76.62,78.89,0.66,0.63000,19.81800,-0.02
100,-815.94,77.36,79.86,-1.59,0.63000,19.81800,-0.38
100,815.94,77.36,78.68,0.91,0.72000,19.76640,0.32
100,815.94,77.16,78.91,-1.29,0.72000,20.14480,-0.56
100,-815.94,77.78,78.92,0.70,0.72000,20.14480,1.20
100,815.94,76.69,77.97,0.70,0.72000,4.83680,1.20
100,-815.94,76.75,79.07,-1.00,0.72000,20.14480,-0.61
100,815.94,76.75,77.66,0.56,0.81000,20.14480,1.03
100,-815.94,76.27,78.41,-0.70,0.81000,20.11040,-0.44
100,815.94,75.83,77.65,-0.70,0.81000,20.11040,-0.44
100,815.94,76.32,77.57,-0.31,0.81000,20.21360,0.17
100,-815.94,76.32,77.76,0.47,0.81000,20.14480,0.12
100,815.94,75.71,76.77,-1.13,0.90000,20.12760,-0.50
100,-815.94,76.43,77.85,0.84,0.90000,20.12760,0.31
100,815.94,76.50,76.55,0.84,0.90000,8.01880,0.31
100,815.94,77.47,76.44,-1.15,0.90000,20.14480,-0.88
100,200.00,77.47,77.84,0.41,0.90000,20.14480,0.28
100,200.00,78.12,78.15,1.20,0.90000,20.12760,-0.15
100,200.00,78.05,77.63,1.20,0.90000,20.12760,-0.15
100,815.94,78.16,77.24,-0.52,0.90000,20.14480,0.39
100,180.32,78.36,77.43,-0.05,0.90000,20.14480,-0.07
100,-96.71,78.36,77.74,-0.26,0.90000,20.12760,-0.57
100,815.94,79.72,77.45,0.22,0.90000,20.12760,-0.08
100,-815.94,80.46,78.34,0.22,0.90000,7.43400,-0.08
100,815.94,79.68,77.98,0.69,0.90000,20.12760,0.56
100,-815.94,79.54,78.53,0.10,0.90000,20.14480,0.20
100,815.94,79.54,78.17,-0.35,0.90000,20.12760,-1.03
100,-815.94,81.68,79.22,-0.35,0.90000,20.12760,-1.03
100,815.94,81.67,78.60,1.02,0.90000,20.12760,0.52
100,-815.94,81.16,79.88,-0.29,0.81000,20.14480,-0.04
100,815.94,81.16,79.01,0.37,0.90000,20.12760,-0.25
100,-815.94,82.50,80.22,0.58,0.81000,20.12760,0.87
100,815.94,81.49,79.64,0.58,0.81000,6.43640,0.87
100,815.94,83.57,80.06,-0.32,0.81000,20.12760,-1.64
100,-815.94,83.22,80.93,1.18,0.81000,20.12760,1.42
100,815.94,83.22,80.57,-0.44,0.81000,20.12760,-1.66
100,-815.94,84.22,81.65,-0.44,0.72000,20.12760,-1.66
100,815.94,84.99,81.23,1.10,0.72000,20.12760,1.04
100,-815.94,84.03,82.50,-0.08,0.72000,20.19640,-0.17
100,815.94,85.36,81.74,0.36,0.72000,20.12760,-0.17
100,-815.94,85.36,82.92,0.66,0.72000,20.12760,0.43
100,815.94,85.07,82.48,0.66,0.72000,5.97200,0.43
100,-60.66,86.44,83.47,-0.13,0.63000,20.14480,-1.10
100,815.94,86.39,83.18,1.04,0.63000,20.12760,0.91
100,-65.97,85.79,84.09,0.04,0.63000,20.14480,-0.25
100,815.94,85.79,83.68,0.04,0.63000,20.14480,-0.25
100,815.94,87.04,84.38,-0.01,0.63000,20.14480,-0.12
100,815.94,86.32,84.41,1.08,0.54000,20.14480,0.50
100,815.94,86.69,84.78,-0.48,0.54000,19.81800,-0.46
