CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,89.55,0.00,-0.99000,0.00000,10.07
100,815.94,84.35,90.66,0.40,0.00000,18.21840,0.10
100,-815.94,82.05,90.34,1.28,0.00000,18.20120,-0.07
100,815.94,84.46,87.89,-2.64,0.00000,18.20120,-0.04
100,815.94,83.55,88.38,-2.64,0.00000,31.10120,-0.04
100,-815.94,83.55,88.20,0.35,0.00000,18.20120,0.39
100,815.94,82.64,86.97,-1.23,0.00000,18.20120,-0.19
100,-815.94,83.23,87.29,0.06,-0.09000,18.20120,0.48
100,815.94,82.86,86.43,0.06,-0.09000,18.20120,0.48
100,815.94,82.86,86.10,-0.79,-0.09000,18.20120,-0.55
100,815.94,83.40,85.68,-0.68,-0.09000,18.20120,-0.14
100,815.94,84.43,85.66,0.34,-0.09000,18.20120,0.17
100,815.94,84.15,85.67,-0.51,-0.09000,18.20120,-0.07
100,815.94,84.45,85.19,-0.51,-0.09000,4.09720,-0.07
100,-815.94,84.45,85.50,-0.27,-0.09000,18.20120,-0.84
100,815.94,86.13,85.34,-0.14,-0.09000,18.20120,0.14
100,815.94,86.48,85.40,0.47,-0.09000,18.20120,0.08
100,-815.94,86.15,85.74,0.47,-0.09000,18.20120,0.08
100,815.94,86.18,85.17,0.12,-0.09000,18.20120,0.40
100,200.00,86.18,86.12,-0.29,-0.09000,18.27000,0.05
100,200.00,86.23,85.77,0.57,-0.09000,18.20120,0.20
100,815.94,86.29,85.31,-0.70,0.00000,18.20120,0.63
100,200.00,85.54,86.32,-0.70,0.09000,4.90560,0.63
100,-815.94,84.48,86.14,0.99,0.27000,17.89160,0.76
100,815.94,84.48,85.17,-0.80,0.45000,17.89160,0.89
100,-815.94,83.46,85.75,0.29,0.72000,17.56480,0.76
100,815.94,82.45,85.01,0.29,0.90000,17.56480,0.76
100,815.94,82.13,84.71,-0.68,1.26000,18.25280,0.31
100,815.94,82.13,84.31,-0.63,1.44000,17.87440,1.08
100,-815.94,80.94,84.23,0.33,1.62000,18.52800,0.84
100,815.94,79.49,83.60,-1.09,1.71000,18.52800,0.30
100,815.94,79.45,83.16,-1.09,1.71000,6.29880,0.30
100,815.94,79.67,82.73,-0.55,1.53000,19.92120,0.09
100,815.94,79.67,82.40,0.18,1.26000,19.18160,-0.57
100,815.94,80.54,82.32,-0.94,0.72000,18.85480,-0.45
100,815.94,81.76,81.99,-0.94,0.27000,18.85480,-0.45
100,815.94,84.66,81.38,-0.11,-0.54000,19.50840,-2.02
100,815.94,89.30,82.52,-0.36,-1.26000,19.49120,-2.60
100,-815.94,89.30,83.62,1.99,-2.07000,19.49120,-0.99
100,815.94,91.31,83.67,-0.20,-2.79000,19.49120,-1.06
100,-815.94,92.64,85.77,-0.20,-3.60000,5.26680,-1.06
100,815.94,94.92,85.44,2.16,-4.50000,19.49120,-0.87
100,815.94,99.58,86.58,-0.27,-4.59000,18.85480,-3.24
100,-815.94,99.58,89.25,2.71,-5.04000,19.18160,-2.03
100,815.94,103.69,89.48,2.71,-4.95000,19.18160,-2.03
100,815.94,107.96,91.58,0.80,-5.04000,17.87440,-3.57
100,-815.94,108.37,94.20,2.82,-5.04000,18.85480,0.71
100,815.94,108.37,94.26,1.32,-4.77000,18.20120,5.56
100,815.94,99.40,95.99,1.45,-4.59000,18.20120,5.79
100,-815.94,90.12,96.09,1.45,-4.50000,4.97440,5.79
100,815.94,89.16,93.63,0.07,-4.41000,18.21840,0.77
100,815.94,89.41,93.98,-2.04,-4.32000,18.21840,0.27
100,-815.94,89.41,94.00,0.91,-4.05000,17.90880,0.34
100,815.94,86.97,92.53,0.91,-3.78000,17.90880,0.34
100,-815.94,85.63,92.67,-1.68,-3.51000,18.85480,0.46
100,815.94,85.29,91.10,-0.52,-3.24000,18.54520,0.03
100,-815.94,84.46,91.25,-0.64,-2.79000,18.20120,0.44
100,815.94,84.46,89.79,-1.31,-2.43000,18.20120,0.31
100,-815.94,83.71,89.75,-1.31,-2.07000,17.89160,0.31
100,815.94,83.61,88.72,-0.31,-1.71000,18.85480,0.15
100,815.94,83.27,88.11,-0.56,-1.26000,18.56240,0.33
100,-779.00,83.27,87.95,-1.08,-0.90000,19.18160,-0.03
100,815.94,83.27,86.80,-1.08,-0.63000,19.18160,-0.03
100,-815.94,81.72,86.98,-0.86,-0.45000,18.85480,1.47
100,815.94,81.53,85.69,0.17,-0.36000,19.50840,-0.29
100,815.94,83.08,85.64,-1.45,-0.36000,20.14480,-0.28
100,815.94,83.08,85.21,0.13,-0.45000,20.14480,-0.30
100,446.54,83.39,85.37,0.13,-0.72000,6.79760,-0.30
100,200.00,85.01,84.75,0.01,-1.17000,19.56000,-1.08
100,815.94,87.93,84.03,-1.01,-1.62000,19.18160,-1.54
100,815.94,89.57,84.97,0.11,-2.52000,20.14480,-0.91
100,-815.94,89.57,86.91,0.11,-3.15000,20.14480,-0.91
100,815.94,91.90,86.09,2.10,-4.05000,20.14480,-1.63
100,815.94,94.47,87.24,-0.67,-4.68000,19.18160,-1.17
100,-815.94,99.20,88.94,2.28,-5.04000,19.50840,-3.49
100,815.94,108.43,89.02,0.12,-5.13000,19.50840,-5.84
100,815.94,108.43,91.80,0.12,-5.22000,5.49040,-5.84
100,815.94,114.64,94.28,3.20,-5.40000,18.85480,-3.72
100,815.94,116.12,95.82,2.02,-5.13000,17.89160,-1.60
100,-31.26,109.06,98.94,2.96,-5.31000,17.89160,5.63
100,815.94,109.06,99.35,2.96,-5.04000,17.89160,5.63
100,200.00,99.04,99.47,1.51,-4.59000,18.52800,7.48
100,-815.94,89.54,98.86,0.10,-4.59000,18.52800,3.76
100,-815.94,82.19,97.61,-1.44,-4.59000,18.20120,-0.18
100,815.94,82.04,95.18,-2.06,-4.50000,18.20120,-0.34
100,-815.94,82.04,94.44,-2.06,-4.23000,3.87360,-0.34
100,815.94,82.06,92.57,-1.05,-3.96000,17.87440,0.72
100,815.94,79.16,91.28,-2.62,-3.69000,18.85480,-0.24
100,-815.94,78.72,90.34,-0.48,-3.33000,18.52800,0.16
100,815.94,79.05,88.12,-0.48,-2.97000,18.52800,0.16
100,-815.94,79.05,88.26,-2.58,-2.52000,19.47400,0.16
100,815.94,78.40,86.22,-0.11,-2.16000,19.16440,0.44
100,815.94,78.12,85.57,-2.23,-1.71000,18.90640,-0.16
100,-815.94,78.62,85.26,0.05,-1.26000,18.90640,0.48
100,815.94,78.59,83.29,0.05,-0.90000,3.49520,0.48
100,815.94,78.59,83.49,-2.39,-0.54000,19.18160,0.16
100,-815.94,78.45,83.68,0.83,-0.36000,18.85480,0.82
100,815.94,78.05,81.91,-1.79,-0.18000,18.52800,-0.26
100,-815.94,78.51,82.70,-1.79,-0.18000,18.52800,-0.26
100,815.94,78.51,81.25,0.52,-0.18000,19.18160,0.20
100,815.94,79.20,81.28,-1.64,-0.36000,18.85480,-0.65
100,-815.94,80.17,81.48,0.92,-0.81000,19.50840,-0.98
100,815.94,82.36,80.95,-1.01,-1.26000,19.50840,-1.30
100,-815.94,84.71,81.85,-1.01,-1.98000,6.50520,-1.30
100,815.94,84.71,81.49,0.72,-2.61000,19.16440,-1.25
100,-815.94,87.00,82.98,0.28,-3.42000,20.45440,-0.70
100,815.94,88.60,82.66,0.65,-4.23000,20.47160,-1.21
100,-815.94,90.61,84.12,0.65,-4.41000,20.47160,-1.21
100,815.94,95.93,84.21,1.35,-4.77000,19.81800,-3.34
