SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
-800.00000,90.00,0.00000,-0.01673,0.00000,0.00000,0.00000,0.00000,-0.00000,0.01000,0.00393,0.00004,-0.004564,0.001463,0.992995
-800.00000,90.00,-0.00021,-0.64238,-1.42648,0.00000,0.00000,-0.00000,-0.00008,0.01000,-0.00008,-0.01408,0.026930,0.013426,1.020827
-800.00000,90.00,-1.42648,-1.56914,-1.42648,0.00000,0.00000,-0.00000,-0.00008,0.01000,-0.00008,0.00000,-0.010424,0.004637,0.991042
-800.00000,90.00,-3.06151,-2.66989,-3.06151,0.00000,0.00000,-0.00000,-0.00063,0.00999,-0.00066,0.00000,-0.010424,0.004637,0.991042
-800.00000,90.00,-4.53804,-4.10520,-4.53804,0.00000,0.00000,-0.00002,-0.00210,0.00998,-0.00218,0.00000,0.021315,-0.000979,1.003493
-800.00000,90.00,-5.85608,-6.10929,-5.85608,0.00000,0.00000,-0.00005,-0.00476,0.00994,-0.00494,0.00000,-0.012621,-0.017092,0.985426
-800.00000,90.00,-5.85608,-8.33755,-5.85608,0.00000,0.00000,-0.00011,-0.00861,0.00988,-0.00894,0.00000,0.046705,-0.028078,1.078932
-800.00000,90.00,-6.92385,-11.37546,-6.92385,0.00000,0.00000,-0.00021,-0.01346,0.00978,-0.01397,0.00000,-0.001391,-0.043215,1.004469
-800.00000,90.00,-8.54220,-15.60781,-8.54220,-0.00157,-0.22440,-0.00020,0.00096,0.00964,-0.02017,0.00804,-0.058275,0.030760,0.903639
-800.00000,90.00,-9.30966,-19.28810,-9.30966,-0.00157,0.00000,-0.00039,-0.02655,0.00945,-0.02760,-0.00804,0.104322,0.063963,1.027418
-800.00000,90.00,-9.91862,-25.17993,-9.91862,-0.00471,-0.22440,-0.00048,-0.01397,0.00920,-0.03579,0.00804,0.252027,-0.046145,1.162428
-800.00000,90.00,-10.17723,-28.79665,-10.17723,-0.00628,-0.22440,-0.00063,-0.02116,0.00890,-0.04331,-0.00000,0.159986,-0.088381,1.052565
-800.00000,90.00,-10.56096,-31.84796,-10.56096,-0.00785,-0.22440,-0.00084,-0.02930,0.00853,-0.05178,0.00804,-0.046557,0.137449,0.588698
-800.00000,90.00,-10.56096,-35.14684,-10.77785,-0.00785,-0.22440,-0.00110,-0.03697,0.00812,-0.05974,-0.01608,0.053053,0.156004,0.755934
-800.00000,90.00,-11.17826,-44.98996,-11.17826,-0.01100,-0.44880,-0.00177,-0.03162,0.00712,-0.07547,0.00000,-0.156664,-0.091799,0.815016
