SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
742.00000,90.00,0.00000,0.01338,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00393,0.00004,0.006806,0.001774,0.999727
742.00000,90.00,0.00014,0.21078,0.00014,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00393,0.00004,0.006806,0.001774,0.999727
742.00000,90.00,1.07056,0.64572,1.07056,0.00000,0.00000,-0.00000,-0.00004,0.01000,-0.00004,-0.01408,-0.022247,-0.017269,0.982148
742.00000,90.00,1.07056,1.17100,1.07056,0.00000,0.00000,-0.00000,-0.00004,0.01000,-0.00031,0.00000,0.001435,-0.017513,1.010225
771.00000,90.00,1.90510,2.32528,1.90510,0.00000,0.00000,-0.00000,-0.00030,0.01000,-0.00031,0.00000,0.012910,-0.005550,0.979463
771.00000,90.00,3.26172,3.99145,3.26172,-0.00157,0.00000,-0.00001,-0.00105,0.00997,-0.00260,0.00804,0.013398,0.000309,1.036836
771.00000,90.00,4.32949,6.03569,4.32949,-0.00157,-0.22440,0.00011,0.01756,0.00997,-0.00260,0.00804,0.013398,0.000309,1.036836
-15.00000,90.00,5.18872,8.36766,5.18872,-0.00157,0.00000,0.00008,-0.00469,0.00988,-0.00782,0.00000,0.040009,0.026188,1.003877
-15.00000,90.00,5.92281,10.84684,5.92281,-0.00157,0.00000,0.00003,-0.00757,0.00981,-0.00976,0.00000,0.007539,0.012272,0.986787
-15.00000,90.00,5.66421,13.00149,5.66421,-0.00314,0.00000,-0.00004,0.00918,0.00974,-0.01107,0.00804,-0.010772,-0.062679,1.052217
-408.00000,90.00,5.28048,15.41710,4.80499,-0.00314,0.00000,-0.00005,-0.01139,0.00966,-0.01175,-0.00804,0.005585,-0.057064,1.011934
-408.00000,90.00,4.80499,16.19331,4.80499,-0.00314,0.00000,-0.00005,-0.01139,0.00966,-0.01175,-0.00804,0.005585,-0.057064,1.011934
-408.00000,90.00,4.19602,17.31413,4.19602,-0.00314,0.00000,-0.00013,-0.01116,0.00957,-0.01152,0.00000,0.006318,0.033756,0.883271
-408.00000,90.00,4.19602,18.09033,4.19602,-0.00314,0.00000,-0.00013,-0.01116,0.00957,-0.01152,0.00000,0.024384,0.024235,0.962617
-605.00000,90.00,3.57871,19.18439,3.57871,-0.00471,0.00000,-0.00021,-0.01044,0.00950,-0.01078,0.00000,0.093476,-0.021175,1.056123
-605.00000,90.00,2.61104,19.31152,2.61104,-0.00471,-0.22440,-0.00012,0.01166,0.00944,-0.00836,0.00804,0.093476,-0.021175,1.056123
-605.00000,90.00,0.98435,19.43197,0.98435,-0.00471,0.00000,-0.00013,-0.00139,0.00943,-0.00144,-0.00804,0.047089,0.004948,1.067598
-605.00000,90.00,0.98435,19.37509,0.98435,-0.00471,0.00000,-0.00013,-0.00139,0.00943,-0.00144,-0.00804,0.047089,0.004948,1.067598
98.00000,90.00,-0.44769,19.24796,-0.44769,-0.00471,0.00000,-0.00012,0.00144,0.00944,0.00148,0.00000,-0.043731,0.045719,0.937227
98.00000,90.00,-0.44769,19.03717,-0.44769,-0.00471,0.00000,-0.00012,0.00144,0.00944,0.00148,0.00000,-0.043731,0.045719,0.937227
98.00000,90.00,-0.95933,18.79294,-0.95933,-0.00471,0.00000,-0.00010,0.00358,0.00946,0.00369,0.00000,-0.098907,0.016667,0.940400
98.00000,90.00,-0.95933,18.53532,-0.95933,-0.00471,0.00000,-0.00010,0.00358,0.00946,0.00369,0.00000,-0.098907,0.016667,1.003877
98.00000,90.00,-0.93430,18.10037,-0.93430,-0.00471,0.00000,-0.00008,0.00329,0.00949,0.00314,0.00000,-0.045440,0.012272,1.032197
-352.00000,90.00,-1.13451,17.58848,-1.13451,-0.00471,0.00000,-0.00004,0.00337,0.00953,0.00347,0.00000,0.010712,0.029118,1.011689
-352.00000,90.00,-1.13451,17.19368,-1.13451,-0.00471,0.00000,-0.00004,0.00337,0.00953,0.00347,0.00000,0.010712,0.029118,1.054414
-352.00000,90.00,-1.25130,16.68848,-1.25130,-0.00471,0.00000,-0.00001,0.00362,0.00956,0.00373,0.00000,0.046357,-0.033382,1.029023
-576.00000,90.00,-1.62669,15.89888,-1.62669,-0.00471,0.00000,0.00005,0.00442,0.00962,0.00456,0.00000,-0.031768,-0.024593,0.971895
-576.00000,90.00,-1.62669,15.56766,-1.62669,-0.00471,0.00000,0.00005,0.00442,0.00962,0.00456,0.00000,-0.031768,-0.024593,0.971895
-576.00000,90.00,-1.62669,15.28996,-1.62669,-0.00471,0.00000,0.00005,0.00442,0.00962,0.00456,0.00000,-0.029571,-0.016781,0.925996
-689.00000,90.00,-1.97705,14.30297,-1.97705,-0.00471,0.00000,0.00008,0.00515,0.00965,0.00530,0.00000,0.032441,-0.012875,1.000703
-689.00000,90.00,-2.35244,13.44312,-2.35244,-0.00471,0.00000,0.00012,0.00579,0.00969,0.00596,0.00000,0.032441,-0.012875,1.000703
-689.00000,90.00,-3.16161,11.93755,-3.16161,-0.00314,0.22440,0.00003,-0.01263,0.00975,0.00744,0.00804,0.021699,-0.000912,1.028047
-689.00000,90.00,-4.05421,10.94387,-4.05421,-0.00314,0.00000,0.00009,0.00827,0.00981,0.00853,-0.00804,-0.021514,0.014958,1.030732
-745.00000,90.00,-4.05421,10.08736,-4.05421,-0.00314,0.00000,0.00009,0.00827,0.00981,0.00853,-0.00804,-0.021514,0.014958,1.030732
-745.00000,90.00,-4.86338,8.90297,-4.86338,-0.00314,0.00000,0.00015,0.00849,0.00987,0.00874,0.00000,-0.031280,0.019108,1.032197
-745.00000,90.00,-4.86338,7.25353,-4.86338,-0.00314,0.00000,0.00015,0.00797,0.00992,0.00819,0.00000,-0.044952,0.005680,1.039521
-745.00000,90.00,-6.58183,4.09182,-6.58183,-0.00157,0.22440,0.00011,-0.01412,0.00997,0.00605,0.00804,-0.045440,0.026188,0.990937
27.00000,90.00,-7.18245,1.18104,-7.18245,-0.00157,0.00000,0.00014,0.00393,0.01000,0.00403,-0.00804,-0.096709,0.058170,0.988008
27.00000,90.00,-7.09069,-2.86059,-7.09069,0.00000,0.00000,0.00014,0.00047,0.01000,0.00043,0.00000,-0.002227,0.052067,0.988008
27.00000,90.00,-6.84877,-3.98810,-6.84877,0.00000,0.22440,-0.00002,-0.02297,0.00998,-0.00293,0.00804,0.073701,-0.063656,1.230928
