SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
107.72478,154.99,0.00000,0.01673,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00393,0.00004,-0.001808,0.000673,1.005298
800.78204,154.99,3.32845,4.46654,4.66317,0.00000,0.00000,-0.00002,-0.00245,0.00997,-0.00255,0.00000,0.004052,-0.013731,1.050708
800.78204,154.99,7.68297,14.41338,7.68297,0.00000,0.00000,-0.00022,-0.01375,0.00977,-0.02012,0.00000,0.036523,0.064638,1.119312
800.78204,154.99,9.99370,29.28848,9.99370,-0.00314,-0.22440,-0.00078,-0.02148,0.00890,-0.04253,0.00804,0.245507,0.237246,0.851489
800.78204,157.50,10.56930,44.12342,10.56930,-0.00628,-0.22440,-0.00214,-0.04923,0.00723,-0.07043,0.00804,0.035790,0.247500,0.893726
800.78204,157.50,10.56096,60.03569,10.56096,-0.01100,-0.22440,-0.00352,-0.06782,0.00492,-0.08849,0.00000,-0.100440,-0.088926,0.777515
800.78204,157.50,10.13552,74.95093,10.13552,-0.01728,-0.22440,-0.00554,-0.07574,0.00295,-0.09571,-0.00804,-0.056251,-0.172667,0.815845
800.78204,157.50,9.14282,88.28030,9.14282,-0.02513,-0.22440,-0.00735,-0.07243,0.00034,-0.09138,-0.00804,0.113671,-0.184141,1.297778
800.78204,88.75,8.21686,102.52305,8.21686,-0.04084,-0.44880,-0.00858,-0.04409,-0.00206,-0.08093,0.00000,0.113915,-0.150450,0.981860
577.18134,88.75,8.04168,113.81152,8.04168,-0.05655,-0.44880,-0.00919,-0.03916,-0.00370,-0.07566,-0.00804,0.095360,-0.140196,1.174731
-800.78204,88.75,5.31385,120.74721,5.31385,-0.07226,-0.67320,-0.00914,0.02695,-0.00512,-0.02770,0.00000,0.025536,-0.091124,1.046314
-800.78204,88.75,-2.35244,118.25465,-2.35244,-0.08796,-0.44880,-0.00728,0.07474,-0.00471,0.03896,-0.01608,-0.176124,0.087343,0.854907
-286.79080,54.37,-7.99997,108.13717,-7.99997,-0.09896,-0.44880,-0.00501,0.11004,-0.00331,0.07485,-0.00000,-0.553810,0.032900,0.901050
401.12271,54.37,-8.05836,96.61115,-8.05836,-0.10053,0.00000,-0.00270,0.07941,-0.00112,0.07953,0.00000,-0.297706,0.068300,0.861499
