CONTROLLER_FLAG,SL_PWM,U,SL_position,ARM_position,Sprung_acceleration_x
100,635.66,90.62,90.12,-0.06440,-0.20
100,604.09,89.79,90.25,-0.06440,-0.01
100,587.10,89.83,90.25,-0.06440,0.03
100,577.98,90.34,90.25,-0.06440,-0.05
100,581.22,90.33,90.25,-0.06440,0.03
100,577.21,89.92,90.25,-0.06440,-0.02
100,567.79,90.08,90.25,-0.06440,0.02
100,560.20,90.02,90.25,-0.06440,-0.04
100,555.81,90.21,90.25,-0.06440,0.11
100,543.20,89.72,90.24,-0.06440,-0.06
100,537.13,90.24,90.24,-0.06440,-0.02
100,535.96,90.20,90.24,-0.06440,-0.03
100,532.08,90.13,90.24,-0.06440,-0.03
100,506.46,89.29,90.23,-0.06440,0.22
100,496.77,88.62,90.06,-0.06440,0.43
100,556.26,88.82,89.71,-0.06440,-0.02
100,603.59,90.44,89.66,-0.06440,-0.09
100,627.38,90.34,89.68,-0.06440,-0.19
100,628.16,89.09,89.74,-0.06440,0.18
100,600.09,89.65,89.76,-0.06440,0.05
100,600.17,90.21,89.76,-0.06440,-0.02
100,620.43,90.52,89.76,-0.06440,-0.14
100,637.35,89.83,89.78,-0.06440,0.01
100,620.27,89.65,89.83,-0.06440,0.04
100,614.35,89.84,89.83,-0.06440,0.03
100,616.62,89.95,89.83,-0.06440,-0.00
100,622.25,90.01,89.83,-0.06440,-0.03
100,629.05,90.06,89.84,-0.06440,0.16
100,618.15,89.39,89.85,-0.06440,-0.09
100,622.00,90.25,89.85,-0.06440,0.07
100,625.21,89.84,89.85,-0.06440,-0.22
100,642.35,90.63,89.87,-0.06440,-0.22
100,591.58,89.87,90.06,-0.06440,0.02
100,580.86,90.14,90.09,-0.06440,-0.09
100,589.57,90.35,90.09,-0.06440,0.08
100,579.03,89.75,90.09,-0.06440,0.06
100,566.36,90.42,90.09,-0.06440,-0.10
100,578.00,89.85,90.09,-0.06440,0.07
100,571.89,90.67,90.09,-0.06440,-0.22
100,588.43,89.71,90.09,-0.06440,0.10
100,577.77,90.23,90.09,-0.06440,-0.10
100,580.36,89.94,90.09,-0.06440,0.04
100,577.75,90.21,90.09,-0.06440,-0.06
100,582.94,90.25,90.09,-0.06440,-0.00
100,585.14,90.00,90.09,-0.06440,-0.07
100,585.25,90.21,90.09,-0.06440,-0.12
100,594.11,90.43,90.09,-0.06440,0.00
100,597.64,89.98,90.09,-0.06440,-0.03
100,594.60,90.03,90.09,-0.06440,-0.05
100,596.92,90.22,90.09,-0.06440,-0.15
100,610.29,90.54,90.09,-0.06440,-0.15
100,607.73,89.88,90.09,-0.06440,0.03
100,607.83,90.17,90.09,-0.06440,-0.08
100,615.18,90.32,90.09,-0.06440,0.01
100,612.49,89.97,90.09,-0.06440,-0.12
100,620.49,90.37,90.10,-0.06440,-0.08
100,625.93,90.02,90.10,-0.06440,-0.02
100,619.56,90.10,90.11,-0.06440,-0.04
100,617.52,89.70,90.11,-0.06440,0.10
100,607.36,90.67,90.11,-0.06440,-0.19
100,624.82,90.29,90.12,-0.06440,-0.06
100,625.50,89.88,90.12,-0.06440,0.00
100,616.31,89.98,90.13,-0.06440,-0.00
100,612.23,90.10,90.13,-0.06440,-0.03
100,612.15,90.16,90.13,-0.06440,0.08
100,606.40,89.75,90.13,-0.06440,0.19
100,584.60,89.36,90.13,-0.06440,0.14
100,561.19,89.64,90.13,-0.06440,0.01
100,555.57,90.16,90.12,-0.06440,-0.02
100,557.77,90.19,90.12,-0.06440,-0.02
100,541.26,89.43,90.12,-0.06440,0.16
100,533.23,90.08,90.12,-0.06440,-0.03
100,521.53,89.72,90.12,-0.06440,0.13
100,506.85,89.60,90.11,-0.06440,0.08
100,508.24,89.83,90.06,-0.06440,-0.08
100,528.53,90.40,90.03,-0.06440,0.12
100,515.29,90.40,90.03,-0.06440,-0.14
100,528.58,90.12,90.03,-0.06440,-0.02
100,531.65,90.04,90.03,-0.06440,-0.03
100,530.37,89.79,90.03,-0.06440,0.05
100,524.88,90.27,90.03,-0.06440,-0.08
100,530.96,89.95,90.03,-0.06440,0.03
100,526.49,89.84,90.03,-0.06440,-0.16
100,528.98,90.57,90.03,-0.06440,-0.05
100,544.04,90.21,90.03,-0.06440,0.09
100,540.08,89.58,90.03,-0.06440,-0.05
100,533.24,90.12,90.03,-0.06440,0.06
100,532.48,89.92,90.03,-0.06440,-0.06
100,534.63,90.20,90.03,-0.06440,-0.06
100,523.17,89.43,90.03,-0.06440,0.17
100,519.88,90.22,90.03,-0.06440,-0.07
100,515.55,89.79,90.03,-0.06440,0.10
100,502.90,89.64,90.03,-0.06440,0.11
100,508.16,89.70,89.96,-0.06440,-0.12
100,556.97,90.52,89.87,-0.06440,0.11
100,552.74,89.67,89.87,-0.06440,0.03
100,546.92,89.52,89.87,-0.06440,0.14
100,534.59,89.91,89.87,-0.06440,0.04
100,536.47,89.94,89.87,-0.06440,0.04
100,540.24,90.12,89.87,-0.06440,-0.04
100,547.07,89.76,89.87,-0.06440,0.05
100,550.07,90.49,89.87,-0.06440,-0.17
100,574.46,90.55,89.87,-0.06440,-0.17
100,598.47,90.39,89.87,-0.06440,0.06
100,601.08,89.59,89.88,-0.06440,-0.06
100,598.61,90.09,89.88,-0.06440,0.32
100,585.59,88.99,89.88,-0.06440,-0.17
100,584.99,90.59,89.88,-0.06440,-0.17
100,597.85,89.98,89.88,-0.06440,0.06
100,607.53,90.24,89.88,-0.06440,-0.12
100,612.09,89.92,89.89,-0.06440,0.00
100,609.40,89.77,89.89,-0.06440,0.04
100,607.51,89.86,89.89,-0.06440,0.01
100,610.66,90.00,89.89,-0.06440,0.13
100,600.27,89.55,89.89,-0.06440,-0.11
100,614.66,90.34,89.89,-0.06440,0.14
100,603.22,90.72,89.89,-0.06440,-0.24
100,631.15,89.81,89.90,-0.06440,0.06
100,598.55,89.78,89.99,-0.06440,0.01
100,588.84,89.85,90.00,-0.06440,0.05
