SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,0.07,-0.81
800.78,145.70,3.86,4.59,3.86,-0.00,0.00,-0.00,-0.00,0.01,-0.00,0.00,0.19,0.13,9.77
800.78,88.92,8.06,23.07,8.06,-0.01,-0.13,-0.00,-0.01,0.01,-0.02,-0.00,3.06,1.35,9.83
800.78,59.46,9.50,46.42,9.50,-0.02,-0.39,-0.00,-0.03,0.01,-0.06,0.00,2.52,3.89,7.20
-93.42,44.72,8.68,67.80,8.68,-0.05,-0.39,-0.00,-0.04,0.00,-0.08,-0.01,-1.52,-1.45,8.92
-442.30,97.37,-3.51,69.04,-3.51,-0.07,-0.65,-0.00,0.09,0.00,0.03,-0.00,-0.89,1.74,8.19
800.78,63.68,-4.38,58.89,-4.38,-0.07,0.13,0.00,0.03,0.00,0.04,0.00,-5.75,-0.19,10.97
362.54,46.84,2.63,63.49,2.63,-0.07,0.00,0.00,-0.02,0.00,-0.02,0.00,6.19,1.90,8.56
86.39,38.41,-0.99,62.34,-0.99,-0.07,0.00,0.00,0.01,0.00,0.01,-0.00,-2.60,-1.39,9.28
24.57,34.20,-1.95,58.06,-1.95,-0.06,0.13,0.00,0.01,0.01,0.02,-0.00,0.15,1.11,9.76
640.45,92.11,-2.09,53.15,-2.09,-0.06,0.13,0.00,0.01,0.01,0.02,-0.00,-0.82,-0.79,9.63
538.17,61.05,3.70,58.42,3.70,-0.06,-0.13,0.00,-0.02,0.01,-0.03,0.00,2.43,0.20,10.34
800.78,105.53,0.14,61.11,0.14,-0.06,0.00,0.00,-0.00,0.00,-0.00,-0.01,-1.66,-0.08,9.89
800.78,127.77,4.42,69.45,4.42,-0.07,-0.13,-0.00,-0.03,0.00,-0.04,-0.00,0.97,0.98,9.74
800.78,138.89,6.00,83.56,6.00,-0.08,-0.26,-0.00,-0.03,0.00,-0.05,-0.00,0.94,-0.49,8.41
-36.89,84.44,3.89,96.48,3.89,-0.10,-0.39,-0.00,-0.01,-0.00,-0.04,0.00,0.88,0.37,9.02
-672.48,57.22,-0.82,95.95,-0.82,-0.12,-0.52,-0.00,0.05,-0.00,0.01,0.00,-0.19,0.09,10.01
361.06,126.81,-4.42,85.66,-4.42,-0.11,0.26,0.00,0.02,0.00,0.04,0.01,-3.45,-1.21,9.49
800.78,138.41,1.36,84.86,1.36,-0.10,0.26,-0.00,-0.03,0.00,-0.01,-0.00,2.16,0.99,9.81
800.78,84.20,5.37,96.12,5.37,-0.11,-0.26,-0.00,-0.03,-0.00,-0.05,-0.00,1.01,-0.33,8.69
-295.71,57.10,4.04,107.10,4.04,-0.13,-0.39,-0.00,-0.01,-0.00,-0.04,0.00,0.36,2.30,7.56
-725.48,43.54,-5.53,100.85,-5.53,-0.14,0.00,-0.00,0.05,-0.00,0.05,-0.01,-5.10,-0.14,8.39
-80.98,36.77,-7.53,82.54,-7.53,-0.11,0.79,0.00,0.01,0.00,0.08,0.01,-5.45,0.93,9.03
