SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.94,0.19,-0.80
800.78,145.70,4.46,5.36,4.46,0.00,0.00,-0.00,-0.00,0.01,-0.00,0.00,-0.04,-0.19,10.40
800.78,145.70,9.63,27.38,9.63,0.00,-0.13,-0.00,-0.02,0.01,-0.03,0.00,-2.56,-2.26,11.37
800.78,145.70,11.53,56.80,11.53,-0.01,-0.13,-0.00,-0.08,0.01,-0.09,-0.01,3.38,0.44,14.08
800.78,145.70,10.78,85.12,10.78,-0.03,-0.39,-0.01,-0.07,0.00,-0.10,0.00,1.70,-1.45,12.25
208.88,147.86,5.55,103.92,5.55,-0.06,-0.65,-0.01,-0.00,-0.00,-0.05,-0.00,0.36,-2.56,9.98
699.84,147.86,0.13,106.43,0.13,-0.09,-0.92,-0.01,0.07,-0.00,-0.00,0.00,-0.70,0.45,8.89
800.78,147.86,4.24,112.88,4.24,-0.11,-0.26,-0.00,-0.02,-0.00,-0.04,-0.00,-3.68,-1.01,9.61
430.78,147.86,4.42,123.99,4.42,-0.12,-0.13,-0.01,-0.03,-0.01,-0.04,0.00,0.67,0.21,10.28
688.56,147.86,0.01,125.45,0.01,-0.13,-0.26,-0.01,0.02,-0.01,-0.00,0.00,0.17,-0.56,10.01
195.77,88.92,1.23,127.59,1.23,-0.13,-0.13,-0.01,0.00,-0.01,-0.01,0.00,-0.81,0.08,9.11
-234.64,88.92,-1.52,124.88,-1.52,-0.13,0.00,-0.00,0.01,-0.01,0.01,0.00,-0.04,0.32,10.07
-400.57,88.92,-2.18,119.87,-2.18,-0.13,0.13,-0.00,0.01,-0.01,0.02,0.00,-0.52,0.13,10.19
-333.51,88.92,-2.92,113.29,-2.92,-0.12,0.26,-0.00,0.01,-0.00,0.03,0.00,-0.92,0.06,9.74
-38.93,88.92,-3.29,105.49,-3.29,-0.10,0.39,-0.00,0.00,-0.00,0.03,0.00,0.78,-0.24,9.99
-23.27,59.46,-3.70,97.17,-3.70,-0.09,0.39,-0.00,0.01,-0.00,0.04,0.00,-0.33,-0.25,10.18
116.13,59.46,-3.65,88.63,-3.65,-0.07,0.39,-0.00,0.00,-0.00,0.03,-0.00,-0.53,0.37,9.86
417.12,59.46,-3.55,79.93,-3.55,-0.06,0.26,-0.00,0.01,0.00,0.04,-0.00,0.53,0.21,9.56
