CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,90.60,0.00,-4.59000,0.00000,10.06
100,815.94,136.42,90.88,0.40,0.00000,19.16440,-0.41
100,815.94,136.42,92.69,0.99,-0.09000,19.14720,0.40
100,815.94,136.42,95.63,2.84,-0.09000,19.19880,0.12
100,815.94,136.42,99.40,2.84,-0.09000,19.19880,0.12
100,815.94,136.42,103.83,4.36,-0.09000,19.19880,-0.23
100,815.94,136.42,109.15,5.49,-0.18000,19.18160,0.47
100,815.94,136.42,114.67,6.44,-0.27000,19.18160,-0.15
100,815.94,136.42,121.50,7.20,-0.27000,19.18160,0.98
100,815.94,138.21,128.68,7.20,-0.45000,42.21240,0.98
100,815.94,138.21,136.74,7.84,-0.45000,18.85480,-0.23
100,815.94,138.21,145.27,9.16,-0.72000,18.90640,-0.21
100,-815.94,138.21,151.58,9.03,-0.72000,19.78360,1.64
100,-815.94,138.21,151.98,2.29,-0.99000,19.78360,-0.50
100,-815.94,138.21,148.66,2.29,-1.08000,3.78760,-0.50
100,-815.94,138.21,142.59,-3.84,-1.26000,19.49120,-0.24
100,815.94,138.21,134.52,-7.59,-1.35000,19.16440,0.46
100,815.94,138.21,130.22,-7.48,-1.53000,19.18160,0.45
100,815.94,89.10,130.02,-1.44,-1.53000,19.18160,-0.31
100,-815.94,89.10,131.64,-1.44,-1.62000,4.40680,-0.31
100,-815.94,89.10,129.87,1.54,-1.62000,20.14480,-0.31
100,-815.94,89.10,124.99,-3.24,-1.62000,20.14480,-0.26
100,-815.94,89.10,116.79,-7.49,-1.62000,20.14480,-0.77
100,-815.94,89.10,106.44,-10.68,-1.62000,20.14480,-2.54
100,815.94,89.10,95.42,-10.68,-1.62000,1.50000,-2.54
100,815.94,89.10,89.54,-11.07,-1.62000,20.14480,-5.76
100,815.94,64.55,87.91,-5.04,-1.62000,20.14480,1.17
100,815.94,64.55,88.96,-0.05,-1.71000,20.14480,-0.01
100,815.94,64.55,91.44,-0.05,-1.71000,20.14480,-0.01
100,-815.94,64.55,92.01,2.74,-1.71000,20.14480,0.42
100,-815.94,64.55,88.21,-0.31,-1.71000,19.78360,-0.53
100,-815.94,64.55,81.00,-5.89,-1.62000,20.12760,-0.23
100,815.94,64.55,72.39,-9.55,-1.71000,19.81800,2.32
100,815.94,64.55,67.77,-6.05,-1.62000,19.81800,1.07
100,815.94,64.55,67.07,-6.05,-1.71000,19.76640,1.07
100,815.94,52.27,68.50,-0.78,-1.71000,19.81800,-1.09
100,-815.94,52.27,71.35,2.22,-1.71000,19.81800,-0.38
100,-815.94,52.27,71.06,1.92,-1.71000,19.81800,0.37
100,-815.94,52.27,66.81,1.92,-1.71000,19.81800,0.37
100,815.94,52.27,60.06,-4.35,-1.71000,19.80080,0.11
100,815.94,52.27,55.72,-7.88,-1.62000,19.81800,-2.01
100,815.94,52.27,55.27,-2.74,-1.62000,19.81800,-0.14
100,815.94,52.27,57.06,1.39,-1.62000,19.81800,0.87
100,-815.94,52.27,60.03,1.39,-1.71000,4.56160,0.87
100,815.94,96.14,59.55,3.12,-1.71000,19.81800,-0.92
100,815.94,96.14,60.10,-0.64,-1.71000,19.81800,0.23
100,815.94,96.14,62.39,1.87,-1.71000,19.76640,-0.34
100,815.94,96.14,65.81,1.87,-1.71000,19.76640,-0.34
100,815.94,96.14,70.45,3.91,-1.71000,19.81800,0.24
100,815.94,96.14,75.41,5.41,-1.71000,19.83520,-0.43
100,815.94,96.14,81.15,6.34,-1.71000,19.83520,0.70
100,815.94,96.14,87.31,7.04,-1.80000,19.83520,-1.14
100,815.94,96.14,94.01,7.04,-1.80000,1.50000,-1.14
100,-815.94,68.07,98.86,7.30,-1.80000,19.85240,1.17
100,-815.94,68.07,97.91,3.46,-1.80000,19.81800,-0.07
100,-815.94,68.07,93.08,-4.05,-1.80000,19.81800,0.31
100,-815.94,68.07,84.87,-4.05,-1.80000,42.76280,0.31
100,-815.94,68.07,74.17,-8.76,-1.71000,19.80080,-1.92
100,815.94,68.07,65.51,-11.43,-1.62000,19.81800,0.81
100,815.94,68.07,62.06,-6.88,-1.71000,19.81800,1.12
100,815.94,68.07,61.97,-1.16,-1.71000,19.81800,1.12
100,815.94,54.03,63.76,-1.16,-1.80000,5.06040,1.12
100,815.94,54.03,66.99,2.06,-1.80000,19.85240,-0.46
100,815.94,54.03,71.24,4.14,-1.80000,19.81800,-0.60
100,-815.94,54.03,73.82,4.58,-1.80000,19.81800,0.12
100,-815.94,54.03,71.42,4.58,-1.71000,19.81800,0.12
100,-815.94,54.03,65.25,-2.16,-1.71000,19.81800,-1.23
100,815.94,54.03,57.73,-7.38,-1.80000,19.80080,1.30
100,815.94,54.03,54.41,-6.92,-1.62000,19.81800,0.02
100,200.00,54.03,54.36,-1.19,-1.62000,19.81800,-1.45
100,815.94,47.01,54.44,-1.19,-1.62000,32.52880,-1.45
100,815.94,47.01,56.40,0.23,-1.62000,20.14480,0.91
100,-815.94,47.01,59.33,2.85,-1.71000,19.81800,-0.08
100,-815.94,47.01,58.12,1.12,-1.71000,19.81800,0.26
100,815.94,47.01,53.40,1.12,-1.62000,19.81800,0.26
100,815.94,47.01,49.70,-4.90,-1.44000,20.19640,-1.34
100,815.94,47.01,49.89,-3.36,-1.35000,20.14480,-1.54
100,-815.94,47.01,52.36,1.70,-1.35000,19.14720,0.54
100,-815.94,47.01,52.48,1.32,-1.35000,19.14720,1.66
100,815.94,43.50,48.93,1.32,-1.26000,19.18160,1.66
100,815.94,43.50,47.49,-3.89,-1.17000,19.16440,-0.36
100,-815.94,43.50,48.94,-0.50,-1.17000,19.18160,-0.70
100,-815.94,43.50,47.67,0.54,-1.08000,20.45440,1.22
100,815.94,43.50,45.80,0.54,-0.99000,20.45440,1.22
100,796.09,43.50,46.57,-2.60,-0.99000,19.49120,-1.09
100,-815.94,43.50,46.19,1.07,-0.90000,19.49120,0.19
100,815.94,43.50,44.50,-1.91,-0.81000,19.49120,0.14
100,575.98,43.50,45.52,0.30,-0.81000,19.49120,0.11
100,815.94,91.76,46.23,0.30,-0.90000,4.42400,0.11
100,815.94,91.76,48.34,1.07,-0.90000,19.54280,-0.06
100,815.94,91.76,51.91,3.03,-0.99000,19.49120,0.76
100,815.94,91.76,56.54,4.87,-1.08000,19.45680,-0.32
100,815.94,91.76,61.50,4.87,-0.99000,19.45680,-0.32
100,815.94,91.76,67.57,5.92,-0.99000,19.52560,-0.06
100,815.94,91.76,73.98,7.30,-1.08000,19.54280,-0.19
100,815.94,91.76,80.87,7.55,-1.08000,19.49120,0.21
100,815.94,91.76,87.93,7.92,-1.17000,19.49120,-0.66
100,-815.94,65.87,93.46,7.92,-1.17000,42.86600,-0.66
100,-815.94,65.87,92.84,5.91,-1.17000,20.47160,0.35
100,-815.94,65.87,88.38,-2.15,-1.17000,19.14720,-0.30
100,-815.94,65.87,80.34,-7.08,-1.17000,20.45440,-1.15
100,815.94,65.87,70.09,-10.66,-1.17000,20.45440,2.03
100,815.94,65.87,61.77,-10.66,-1.08000,1.50000,2.03
100,815.94,65.87,58.73,-8.47,-1.08000,19.49120,1.34
100,815.94,65.87,59.00,-2.37,-1.17000,20.47160,0.44
100,815.94,102.94,61.19,1.70,-1.17000,19.19880,0.40
100,815.94,102.94,64.52,1.70,-1.17000,19.19880,0.40
100,815.94,102.94,69.02,3.77,-1.26000,19.16440,0.15
100,815.94,102.94,73.93,5.29,-1.17000,19.13000,-0.54
100,815.94,102.94,79.66,6.30,-1.17000,19.19880,0.25
100,815.94,102.94,86.20,6.99,-1.26000,19.19880,-0.07
100,815.94,102.94,92.86,6.99,-1.26000,42.33280,-0.07
100,815.94,102.94,99.64,7.29,-1.35000,19.13000,1.48
100,815.94,102.94,106.81,8.20,-1.35000,19.19880,-0.86
100,-815.94,121.48,112.64,7.88,-1.44000,19.14720,0.01
100,-815.94,121.48,112.37,1.18,-1.44000,19.14720,-0.56
100,815.94,121.48,110.38,1.18,-1.44000,19.16440,-0.56
100,815.94,121.48,110.96,-2.07,-1.44000,19.16440,-0.18
100,815.94,121.48,113.38,1.35,-1.44000,20.14480,0.13
100,815.94,121.48,116.86,3.68,-1.53000,20.17920,-0.10
100,-815.94,121.48,120.32,3.68,-1.53000,20.17920,-0.10
100,-815.94,121.48,119.01,4.15,-1.53000,20.14480,0.46
100,815.94,121.48,117.17,-2.09,-1.53000,20.12760,-0.53
100,815.94,130.74,118.17,-0.57,-1.53000,20.14480,0.08
100,815.94,130.74,120.98,2.69,-1.62000,20.14480,0.19
100,815.94,130.74,125.13,2.69,-1.62000,3.06520,0.19
100,-815.94,130.74,127.07,4.78,-1.71000,20.16200,-0.16
100,815.94,130.74,125.09,0.43,-1.71000,20.14480,-0.00
100,815.94,130.74,125.38,-1.22,-1.71000,19.81800,-0.39
100,815.94,130.74,127.68,-1.22,-1.80000,19.81800,-0.39
100,-815.94,130.74,129.81,2.47,-1.80000,19.81800,0.15
100,-614.92,85.37,128.31,1.87,-1.80000,19.81800,0.33
100,-815.94,85.37,124.80,-2.59,-1.80000,19.78360,-0.50
100,-815.94,85.37,118.37,-6.46,-1.80000,19.78360,-0.30
100,-815.94,85.37,109.15,-6.46,-1.80000,1.50000,-0.30
100,815.94,85.37,100.48,-9.82,-1.89000,19.83520,-1.59
100,815.94,85.37,96.95,-7.82,-1.80000,19.81800,-3.01
100,815.94,85.37,96.72,-1.83,-1.89000,19.81800,0.48
100,815.94,85.37,98.37,-1.83,-1.89000,19.81800,0.48
