CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,815.94,90.00,90.32,0.00,-3.24000,0.00000,10.05
100,815.94,136.42,91.18,0.40,-0.09000,18.20120,-0.14
100,815.94,136.42,93.41,1.61,-0.09000,18.20120,0.50
100,815.94,136.42,96.67,3.31,-0.18000,18.20120,0.40
100,815.94,136.42,100.32,3.31,-0.27000,18.20120,0.40
100,815.94,136.42,105.16,4.60,-0.27000,17.87440,0.47
100,815.94,136.42,110.51,5.60,-0.45000,18.06360,0.67
100,815.94,136.42,115.99,6.43,-0.54000,17.56480,-0.02
100,-814.66,136.42,122.64,7.08,-0.72000,17.56480,1.35
100,-815.94,138.21,125.36,7.08,-0.90000,40.68160,1.35
100,815.94,138.21,123.53,3.30,-0.99000,17.20360,0.21
100,815.94,138.21,123.54,-1.82,-1.17000,18.20120,-0.44
100,815.94,138.21,125.39,1.29,-1.35000,17.87440,-0.52
100,815.94,138.21,128.36,1.29,-1.44000,17.87440,-0.52
100,-815.94,138.21,132.01,3.63,-1.53000,17.82280,0.40
100,815.94,138.21,131.02,3.33,-1.62000,17.54760,0.35
100,815.94,138.21,130.55,-1.66,-1.71000,17.54760,-0.98
100,815.94,138.21,132.48,1.52,-1.80000,17.54760,-0.27
100,-815.94,89.10,134.49,1.52,-1.89000,1.50000,-0.27
100,-815.94,89.10,132.18,1.87,-1.89000,17.54760,-0.05
100,-815.94,89.10,126.68,-4.07,-1.98000,17.20360,-0.20
100,-815.94,89.10,117.98,-8.19,-1.89000,17.22080,-1.39
100,815.94,89.10,110.23,-9.30,-1.89000,17.22080,-2.34
100,815.94,89.10,106.92,-9.30,-1.89000,13.17880,-2.34
100,815.94,89.10,107.03,-3.80,-1.89000,17.20360,1.17
100,-815.94,89.10,109.05,0.94,-1.98000,17.23800,0.65
100,-815.94,89.10,108.19,1.09,-1.98000,17.20360,0.48
100,-815.94,64.55,103.70,1.09,-1.98000,17.20360,0.48
100,815.94,64.55,96.86,-4.66,-1.89000,17.22080,-0.93
100,815.94,64.55,92.72,-7.96,-1.98000,17.18640,-0.77
100,-815.94,64.55,92.20,-2.88,-1.98000,17.20360,-0.13
100,-815.94,64.55,89.84,-1.31,-1.98000,17.20360,-0.12
100,815.94,64.55,84.84,-1.31,-1.98000,17.20360,-0.12
100,815.94,64.55,80.94,-5.97,-1.89000,17.20360,-0.32
100,815.94,64.55,80.64,-3.61,-1.98000,17.20360,0.59
100,-815.94,64.55,81.19,0.70,-1.98000,17.18640,0.06
100,-815.94,52.27,78.00,-2.32,-1.98000,17.18640,-0.05
100,815.94,52.27,72.83,-2.32,-1.98000,1.50000,-0.05
100,815.94,52.27,70.39,-5.87,-1.98000,17.15200,-1.46
100,-815.94,52.27,70.84,-1.37,-1.98000,17.20360,0.12
100,-815.94,52.27,68.63,-0.88,-1.98000,17.20360,-0.35
100,815.94,52.27,64.67,-0.88,-1.98000,17.20360,-0.35
100,815.94,52.27,63.76,-4.60,-1.98000,17.20360,0.58
100,-815.94,52.27,64.37,-0.38,-1.98000,17.20360,0.41
100,815.94,52.27,61.58,-0.88,-1.98000,18.20120,-0.65
100,815.94,96.14,60.22,-2.65,-1.98000,18.20120,0.31
100,815.94,96.14,61.34,-2.65,-1.98000,4.01120,0.31
