SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
263.14178,150.00,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00393,0.00004,0.004990,-0.001925,1.003732
521.32343,150.00,0.10010,0.17398,0.10010,0.00000,0.00000,-0.00000,-0.00000,0.01000,-0.00000,0.00000,-0.004288,-0.004855,0.995432
738.66803,150.00,1.21793,1.88364,1.21793,0.00000,0.00000,-0.00000,-0.00015,0.00999,-0.00063,0.00000,-0.003311,-0.002902,1.008371
759.45068,150.00,5.25545,7.40074,5.25545,0.00000,0.00000,-0.00008,-0.00545,0.00992,-0.00567,0.00000,0.042099,0.021024,1.007150
538.81097,150.00,6.59017,16.75874,6.59017,-0.00157,0.00000,-0.00017,-0.01451,0.00968,-0.01502,0.00000,0.028427,-0.071750,1.013010
-97.40110,150.00,5.77266,26.23383,5.77266,-0.00471,0.00000,-0.00058,-0.00253,0.00896,-0.02288,0.00804,-0.008682,-0.117648,1.120188
-308.66858,150.00,3.43690,31.45651,3.43690,-0.00628,0.00000,-0.00086,-0.01709,0.00854,-0.01758,-0.00804,0.006210,0.106229,0.904367
-326.80521,150.00,0.89259,33.23643,0.89259,-0.00785,0.00000,-0.00089,-0.00469,0.00837,-0.00482,-0.00804,-0.070694,0.032987,1.038645
100.76002,150.00,-0.79249,32.15576,-0.79249,-0.00785,0.00000,-0.00079,0.00552,0.00847,0.00567,0.00000,0.034042,-0.000460,0.977609
405.73856,150.00,-1.15119,30.64349,-1.15119,-0.00785,0.00000,-0.00067,0.00578,0.00859,0.00593,0.00000,-0.028458,0.026639,0.988107
683.69666,150.00,0.08342,30.68364,0.90093,-0.00785,0.00000,-0.00066,-0.00445,0.00860,-0.00457,0.00000,-0.018936,-0.025119,1.020090
817.54401,150.00,3.59540,33.76840,3.59540,-0.00785,0.00000,-0.00093,-0.01898,0.00832,-0.01950,0.00000,0.033310,-0.007296,1.054514
722.55414,150.00,5.21374,41.04201,5.21374,-0.00785,0.00000,-0.00154,-0.03170,0.00770,-0.03252,0.00000,-0.037979,-0.047580,1.055002
245.65164,150.00,4.21270,47.11784,4.21270,-0.00785,0.00000,-0.00241,-0.02517,0.00681,-0.02577,0.00000,0.027207,0.029081,1.025705
128.72879,150.00,2.36912,51.03234,2.36912,-0.00785,0.00000,-0.00287,-0.01774,0.00634,-0.01813,0.00000,-0.018448,-0.039767,0.974436
173.73154,150.00,0.22523,51.73160,0.22523,-0.00785,0.00000,-0.00302,0.00147,0.00619,0.00151,0.00000,-0.005020,0.028592,0.984445
360.43298,150.00,-0.41710,51.25651,-0.41710,-0.00785,0.00000,-0.00295,0.00319,0.00626,0.00326,0.00000,-0.008926,0.013211,1.011789
570.69183,150.00,0.09176,51.05911,0.09176,-0.00785,0.00000,-0.00292,-0.00070,0.00629,-0.00071,0.00000,0.014023,-0.032931,1.017160
833.18927,150.00,1.89363,52.97955,1.89363,-0.00942,0.00000,-0.00311,-0.01463,0.00609,-0.01494,0.00000,0.003525,-0.000705,1.011545
694.91931,150.00,4.77162,59.10892,4.77162,-0.00942,0.00000,-0.00390,-0.03983,0.00515,-0.04056,0.00000,0.025009,-0.011935,0.970773
459.87729,150.00,4.01250,65.15799,4.01250,-0.00942,0.00000,-0.00466,-0.03518,0.00439,-0.03574,0.00000,-0.028213,-0.093234,1.104074
234.80571,150.00,1.44316,68.18922,1.44316,-0.00942,0.00000,-0.00529,-0.01318,0.00375,-0.01335,0.00000,0.045273,0.005155,0.969064
359.25882,150.00,-0.15850,68.24610,-0.15850,-0.00942,0.00000,-0.00533,0.00145,0.00370,0.00147,0.00000,-0.020645,0.064481,0.976633
509.90570,150.00,0.00000,68.20260,0.00000,-0.00942,0.00000,-0.00532,0.00000,0.00371,-0.00008,0.00000,0.003037,-0.038546,0.989328
653.14618,150.00,0.12513,68.31636,0.12513,-0.00942,0.00000,-0.00533,-0.00115,0.00370,-0.00116,0.00000,-0.018936,-0.002658,1.005686
779.15021,150.00,1.86026,69.92230,1.86026,-0.00942,0.00000,-0.00556,-0.01719,0.00346,-0.01741,0.00000,-0.002579,0.004422,0.982736
648.38269,150.00,3.87902,75.32900,4.19602,-0.00942,0.00000,-0.00643,-0.04005,0.00258,-0.04045,0.00000,-0.002823,-0.000705,0.960031
433.39880,150.00,3.22835,80.06320,3.22835,-0.00942,0.00000,-0.00717,-0.03151,0.00184,-0.03174,0.00000,0.003769,-0.045138,1.043527
329.61743,150.00,1.27632,81.94349,1.27632,-0.00942,0.00000,-0.00757,-0.01255,0.00144,-0.01262,0.00000,0.011337,0.021512,1.036203
383.05011,150.00,-0.26694,81.79294,-0.26694,-0.00942,0.00000,-0.00758,0.00263,0.00143,0.00264,0.00000,0.013291,-0.022189,1.002268
643.47217,150.00,0.01668,81.74275,0.01668,-0.00942,0.00000,-0.00757,-0.00016,0.00144,-0.00017,0.00000,-0.002334,-0.030246,1.012033
754.08893,150.00,0.24192,81.98364,0.24192,-0.00942,0.00000,-0.00761,-0.00238,0.00140,-0.00239,0.00000,0.018662,0.007352,1.006174
788.53168,150.00,1.97705,84.07138,1.97705,-0.00942,0.00000,-0.00789,-0.01945,0.00112,-0.01955,0.00000,-0.014297,-0.003146,0.979074
448.95084,30.00,3.35348,88.01933,3.35348,-0.00942,0.00000,-0.00848,-0.02678,0.00033,-0.02684,0.00000,-0.008194,0.000760,0.997385
134.88937,30.00,0.23358,89.46803,0.23358,-0.01100,-0.22440,-0.00878,0.01661,0.00009,-0.00234,0.00804,-0.010879,-0.009738,0.996897
-8.32606,30.00,-1.00104,88.14312,-1.33472,-0.00942,0.00000,-0.00868,0.01332,0.00032,0.01334,0.00000,-0.002823,0.007840,1.007883
21.16276,30.00,-2.12721,85.57361,-2.12721,-0.00942,0.00000,-0.00830,0.02125,0.00071,0.02131,0.00000,-0.016250,-0.009250,1.018381
153.33688,30.00,-2.99477,81.56877,-2.99477,-0.00942,0.00000,-0.00773,0.02960,0.00128,0.02974,0.00000,-0.012833,-0.006320,0.972238
348.40009,30.00,-3.43690,77.34981,-3.43690,-0.00942,0.00000,-0.00681,0.03303,0.00220,0.03328,0.00000,-0.017227,0.013944,0.979318
563.00800,30.00,-2.60270,73.32156,-2.60270,-0.00942,0.00000,-0.00621,0.02480,0.00281,0.02504,0.00000,-0.015030,-0.027072,0.967600
717.04614,30.00,-0.45881,72.39814,-0.45881,-0.00942,0.00000,-0.00599,0.00433,0.00303,0.00437,0.00000,0.015244,-0.029513,1.038645
545.52216,30.00,0.55891,73.19108,0.65902,-0.00942,0.00000,-0.00613,-0.00624,0.00289,-0.00630,0.00000,0.027939,-0.004123,0.988352
436.48993,30.00,0.08342,73.53234,0.08342,-0.00942,0.00000,-0.00619,-0.00079,0.00283,-0.00080,0.00000,0.003525,0.010282,0.995432
360.38272,30.00,0.00000,73.52900,0.00000,-0.00942,0.00000,-0.00619,0.00000,0.00284,0.00000,0.00000,-0.010147,-0.020724,1.009836
284.02063,30.00,-0.00834,73.51896,-0.00834,-0.00942,0.00000,-0.00619,0.00024,0.00284,0.00024,0.00000,0.009140,-0.005099,0.987375
208.96397,30.00,-0.06674,73.46877,-0.06674,-0.00942,0.00000,-0.00618,0.00063,0.00284,0.00064,0.00000,-0.003067,0.017118,0.994211
139.15779,30.00,-0.38373,73.07398,-0.38373,-0.00942,0.00000,-0.00613,0.00364,0.00289,0.00367,0.00000,-0.005997,-0.016818,0.980539
115.72418,30.00,-1.16788,71.63866,-1.16788,-0.00942,0.00000,-0.00596,0.01246,0.00316,0.01260,0.00000,0.004990,-0.008517,0.996652
193.57443,30.00,-1.99374,69.39033,-1.99374,-0.00942,0.00000,-0.00552,0.01849,0.00351,0.01872,0.00000,-0.005264,0.013700,1.001291
321.03122,30.00,-2.39415,66.12156,-2.39415,-0.00942,0.00000,-0.00508,0.02177,0.00395,0.02207,0.00000,-0.013077,-0.002414,0.973459
467.80450,30.00,-2.24399,63.25762,-2.24399,-0.00942,0.00000,-0.00464,0.02000,0.00440,0.02031,0.00000,-0.010147,-0.010714,0.985910
579.66956,30.00,-0.91762,61.52119,-0.91762,-0.00942,0.00000,-0.00428,0.00802,0.00477,0.00815,0.00000,-0.000381,-0.006808,0.991037
607.17493,30.00,0.21689,61.34721,0.21689,-0.00942,0.00000,-0.00425,-0.00187,0.00480,-0.00190,0.00000,0.002548,-0.009250,1.018625
542.59442,30.00,-0.00834,61.48439,-0.00834,-0.00942,0.00000,-0.00427,0.00007,0.00477,0.00007,0.00000,0.000839,-0.021212,0.976145
428.04669,30.00,0.00000,61.48439,0.00000,-0.00942,0.00000,-0.00427,0.00000,0.00477,0.00000,0.00000,0.003037,0.004422,1.008371
373.33615,30.00,-0.00834,61.47770,-0.00834,-0.00942,0.00000,-0.00427,0.00007,0.00478,0.00000,0.00000,0.002060,-0.015109,0.999338
319.94308,30.00,-0.03337,61.44089,-0.03337,-0.00942,0.00000,-0.00427,0.00029,0.00478,0.00029,0.00000,0.003525,-0.008761,1.002512
268.41791,30.00,-0.03337,61.38736,-0.03337,-0.00942,0.00000,-0.00426,0.00029,0.00479,0.00029,0.00000,0.001816,0.005155,1.003244
215.67000,30.00,0.00000,61.37398,0.00000,-0.00942,0.00000,-0.00426,0.00000,0.00479,0.00000,0.00000,-0.005508,-0.002902,0.994455
161.14748,30.00,-0.01668,61.35725,-0.01668,-0.00942,0.00000,-0.00425,0.00014,0.00479,0.00022,0.00000,-0.005752,0.002225,1.000314
107.94193,30.00,-0.03337,61.31375,-0.03337,-0.00942,0.00000,-0.00425,0.00029,0.00480,0.00029,0.00000,0.002060,-0.002658,0.992502
55.82256,30.00,0.00000,61.29703,0.00000,-0.00942,0.00000,-0.00424,0.00000,0.00480,0.00000,0.00000,0.000351,0.004911,1.005441
-52.96467,30.00,0.00000,61.29703,0.00000,-0.00942,0.00000,-0.00424,0.00000,0.00480,0.00000,0.00000,-0.001358,-0.003634,1.001047
-107.60718,30.00,0.00000,61.29368,0.00000,-0.00942,0.00000,-0.00424,0.00000,0.00480,0.00000,0.00000,-0.005752,0.002469,0.991037
-161.98280,30.00,-0.02503,61.27695,-0.02503,-0.00942,0.00000,-0.00424,0.00022,0.00481,0.00022,0.00000,0.003525,0.000272,0.994699
-213.21413,30.00,-0.10845,61.16654,-0.10845,-0.00942,0.00000,-0.00423,0.00093,0.00482,0.00095,0.00000,-0.005508,-0.001681,0.996164
-253.92099,30.00,-0.44213,60.59108,-0.44213,-0.00942,0.00000,-0.00418,0.00380,0.00487,0.00386,0.00000,0.009384,0.002958,1.003000
-249.40794,30.00,-1.48487,59.10892,-1.48487,-0.00942,0.00000,-0.00391,0.00846,0.00514,0.00860,0.00000,-0.003311,0.009061,1.022775
-181.43648,30.00,-2.68612,55.41190,-2.68612,-0.00942,0.00000,-0.00349,0.02203,0.00557,0.02245,0.00000,-0.006241,0.000516,0.994699
225.24448,30.00,-3.25338,51.30000,-3.25338,-0.00942,0.00000,-0.00297,0.02549,0.00628,0.02621,0.00000,0.000351,0.018583,1.015695
482.14908,30.00,-3.05317,46.66283,-3.05317,-0.00942,0.00000,-0.00229,0.02219,0.00679,0.02269,0.00000,0.001816,-0.000705,1.004709
668.17444,30.00,-1.48487,44.74572,-1.48487,-0.00942,0.00000,-0.00201,0.01031,0.00708,0.01054,0.00000,0.003525,-0.043429,1.049143
715.78967,30.00,1.64337,46.11747,1.64337,-0.00942,0.00000,-0.00212,-0.01151,0.00697,-0.01178,0.00000,0.032578,-0.024875,1.016672
371.11823,30.00,1.86026,48.65688,1.86026,-0.00942,0.00000,-0.00242,-0.01349,0.00667,-0.01379,0.00000,-0.012833,-0.000460,0.962473
235.59250,30.00,0.37539,49.88476,0.37539,-0.00942,0.00000,-0.00264,-0.00281,0.00644,-0.00287,0.00000,-0.018936,-0.010958,1.013742
211.83226,30.00,-0.41710,49.44981,-0.41710,-0.00942,0.00000,-0.00259,0.00311,0.00649,0.00318,0.00000,-0.006729,-0.011935,0.997385
208.94252,30.00,-0.39207,48.94126,-0.39207,-0.00942,0.00000,-0.00251,0.00290,0.00657,0.00296,0.00000,-0.005264,0.012479,0.999826
209.63422,30.00,-0.72575,48.23866,-0.72575,-0.00942,0.00000,-0.00242,0.00531,0.00666,0.00543,0.00000,-0.005020,-0.008273,0.993234
234.85765,30.00,-0.58394,47.30186,-0.58394,-0.00942,0.00000,-0.00233,0.00422,0.00675,0.00431,0.00000,-0.005997,0.000760,0.997385
