CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,89.46,0.00,-4.86000,0.00000,10.08
100,815.94,136.42,89.89,0.40,0.00000,18.85480,0.00
100,815.94,136.42,91.89,1.15,-0.09000,18.85480,0.22
100,815.94,136.42,94.52,2.98,-0.09000,19.81800,0.27
100,815.94,136.42,98.12,2.98,-0.18000,19.81800,0.27
100,815.94,136.42,102.53,4.18,-0.27000,18.56240,0.43
100,815.94,136.42,107.00,5.10,-0.45000,18.52800,0.30
100,815.94,136.42,112.11,5.71,-0.54000,19.47400,0.42
100,815.94,136.42,117.51,6.19,-0.81000,19.47400,1.32
100,815.94,136.42,122.92,6.19,-1.08000,1.50000,1.32
100,-815.94,136.42,128.88,6.57,-1.35000,18.82040,0.86
100,-815.94,136.42,131.21,6.06,-1.71000,19.50840,0.28
100,815.94,136.42,128.72,-1.14,-2.07000,19.50840,-0.15
100,815.94,136.42,127.59,-1.14,-2.43000,36.10640,-0.15
100,815.94,136.42,129.15,-1.54,-2.70000,19.81800,-0.47
100,815.94,136.42,132.17,2.37,-3.06000,19.50840,-0.57
100,-815.94,136.42,133.28,3.13,-3.33000,20.47160,-0.21
100,815.94,136.42,131.90,3.13,-3.51000,20.47160,-0.21
100,815.94,136.42,132.67,-1.36,-3.78000,20.14480,-0.71
100,-815.94,136.42,134.59,1.27,-3.96000,19.81800,-0.73
100,815.94,136.42,133.46,0.73,-4.05000,20.79840,-0.38
100,815.94,136.42,133.98,-0.31,-4.05000,20.79840,-1.52
100,-815.94,136.42,135.08,-0.31,-4.05000,4.57880,-1.52
100,815.94,136.42,134.22,0.99,-4.05000,20.79840,0.67
100,-815.94,136.42,135.62,-0.10,-4.05000,20.78120,0.21
100,815.94,136.42,134.91,0.37,-4.14000,20.83280,-0.21
100,-815.94,136.42,135.62,0.37,-4.14000,20.83280,-0.21
100,200.00,136.42,135.73,0.45,-4.14000,20.79840,0.29
100,200.00,136.42,135.66,0.03,-4.14000,20.66080,-0.46
100,200.00,136.42,135.65,-0.05,-4.14000,20.79840,0.19
100,200.00,136.42,135.70,0.07,-4.14000,20.79840,0.11
