CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,90.18,0.00,-6.03000,0.00000,10.09
100,815.94,136.42,90.49,0.41,0.00000,19.81800,-0.08
100,815.94,136.42,92.20,1.02,-0.09000,19.81800,0.24
100,815.94,136.42,94.67,2.80,-0.09000,19.81800,0.10
100,815.94,136.42,98.29,2.80,-0.09000,36.48480,0.10
100,815.94,136.42,102.64,4.20,-0.27000,19.45680,0.38
100,815.94,136.42,107.21,5.20,-0.36000,19.49120,0.04
100,815.94,136.42,112.53,5.95,-0.36000,19.52560,0.95
100,815.94,136.42,118.12,5.95,-0.63000,19.52560,0.95
100,815.94,136.42,124.15,6.37,-0.90000,19.21600,0.39
100,-815.94,136.42,130.35,7.49,-1.17000,20.09320,2.57
100,-815.94,136.42,130.94,4.51,-1.62000,20.79840,0.74
100,815.94,136.42,127.79,-2.76,-1.98000,20.79840,0.05
100,815.94,136.42,127.03,-2.76,-2.34000,3.08240,0.05
100,815.94,136.42,129.02,-0.98,-2.70000,21.17680,-1.00
100,-815.94,136.42,132.57,2.90,-2.97000,20.79840,-0.49
100,-815.94,136.42,133.27,3.13,-3.24000,20.47160,-0.20
100,815.94,136.42,131.50,3.13,-3.42000,20.47160,-0.20
100,815.94,136.42,132.25,-1.83,-3.51000,20.14480,-1.19
100,-815.94,136.42,134.72,1.34,-3.51000,21.09080,-1.93
100,815.94,136.42,133.61,1.49,-3.51000,21.10800,0.36
100,815.94,136.42,133.16,-1.39,-3.51000,21.10800,-0.40
100,-815.94,136.42,135.10,-1.39,-3.51000,5.83440,-0.40
100,200.00,136.42,135.13,2.04,-3.51000,21.10800,-0.13
100,815.94,136.42,134.70,-0.60,-3.51000,21.10800,-0.26
100,200.00,136.42,135.34,0.69,-3.51000,21.12520,0.25
100,815.94,136.42,135.12,0.69,-3.60000,21.12520,0.25
100,200.00,136.42,135.68,-0.28,-3.60000,21.10800,-0.24
100,200.00,136.42,135.43,0.42,-3.60000,21.10800,-0.35
100,200.00,136.42,135.36,-0.23,-3.60000,21.10800,0.36
100,-190.56,136.42,135.88,0.27,-3.60000,21.10800,-0.21
100,200.00,136.42,136.40,0.27,-3.60000,4.54440,-0.21
100,200.00,136.42,136.24,0.63,-3.60000,21.10800,-0.08
100,-815.94,136.42,135.94,-0.22,-3.60000,21.10800,0.05
100,200.00,136.42,135.51,-0.55,-3.60000,21.10800,-0.30
100,200.00,136.42,135.51,-0.55,-3.60000,21.10800,-0.30
100,200.00,136.42,135.51,-0.02,-3.60000,21.12520,0.24
100,200.00,136.42,136.08,0.00,-3.60000,21.10800,-0.06
100,200.00,136.42,136.80,1.02,-3.60000,21.10800,0.37
100,200.00,136.42,136.80,0.17,-3.60000,21.10800,-0.24
