CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,89.78,0.00,-6.93000,0.00000,10.10
100,815.94,136.42,90.48,0.42,0.00000,19.81800,0.08
100,815.94,136.42,92.60,1.34,-0.09000,19.81800,0.14
100,815.94,136.42,95.45,3.17,-0.18000,19.81800,0.73
100,815.94,136.42,99.40,3.17,-0.27000,19.81800,0.73
100,815.94,136.42,104.35,4.58,-0.45000,20.79840,0.57
100,815.94,136.42,109.60,5.77,-0.63000,7.53720,0.19
100,815.94,136.42,116.14,6.66,-0.81000,20.42000,1.53
100,815.94,136.42,123.15,7.56,-1.26000,20.11040,0.13
100,-815.94,136.42,127.55,5.92,-1.53000,20.11040,0.45
100,-815.94,136.42,126.44,5.92,-1.89000,20.79840,0.45
100,815.94,136.42,123.88,-1.36,-2.16000,7.52000,-0.54
100,815.94,136.42,124.70,-1.88,-2.34000,20.14480,-1.65
100,815.94,136.42,127.77,2.52,-2.52000,21.10800,-0.47
100,-815.94,136.42,131.62,2.52,-2.70000,21.10800,-0.47
100,-815.94,136.42,131.35,4.44,-2.70000,21.10800,-0.97
100,815.94,136.42,129.43,-1.10,-2.70000,20.79840,-0.97
100,815.94,136.42,130.78,-0.61,-2.70000,20.72960,-0.26
100,-815.94,136.42,133.78,3.28,-2.79000,20.72960,0.26
100,-815.94,136.42,133.08,3.28,-2.79000,5.11200,0.26
100,815.94,136.42,131.82,-0.68,-2.79000,20.78120,-0.44
100,815.94,136.42,133.56,-0.36,-2.79000,20.78120,0.55
100,-815.94,136.42,135.01,2.74,-2.79000,20.79840,-0.07
100,815.94,136.42,133.41,2.74,-2.79000,20.79840,-0.07
100,815.94,136.42,134.41,-1.40,-2.79000,20.79840,-0.02
100,200.00,136.42,135.45,1.62,-2.79000,20.74680,0.17
100,815.94,136.42,134.74,-0.08,-2.79000,20.79840,-0.67
100,-815.94,136.42,135.46,0.33,-2.79000,20.79840,0.38
100,815.94,136.42,135.06,0.33,-2.79000,7.17600,0.38
100,200.00,136.42,135.52,-0.18,-2.79000,20.79840,-0.33
100,200.00,136.42,135.18,0.15,-2.79000,20.78120,-0.58
100,200.00,136.42,135.10,-0.25,-2.79000,20.79840,0.19
100,815.94,136.42,135.52,-0.25,-2.79000,20.79840,0.19
100,200.00,136.42,136.69,0.42,-2.88000,20.79840,-0.08
100,200.00,136.42,136.88,1.17,-2.88000,20.79840,-0.16
100,-815.94,136.42,136.68,-0.06,-2.88000,20.78120,-0.04
100,815.94,136.42,134.76,-1.52,-2.88000,20.78120,0.04
100,815.94,136.42,134.70,-1.52,-2.88000,4.54440,0.04
100,200.00,136.42,137.00,-0.16,-2.88000,20.79840,0.55
100,-815.94,136.42,138.01,2.52,-2.88000,20.78120,0.27
100,200.00,136.42,135.75,-0.87,-2.88000,20.85000,-0.33
100,815.94,136.42,133.54,-0.87,-2.88000,20.85000,-0.33
100,815.94,136.42,134.86,-2.81,-2.88000,20.79840,0.09
100,200.00,136.42,137.86,2.02,-2.88000,20.79840,-0.39
100,-815.94,136.42,137.91,2.48,-2.88000,20.79840,-0.11
100,815.94,136.42,134.72,-2.83,-2.88000,20.79840,-0.38
100,815.94,136.42,133.45,-2.83,-2.88000,2.27400,-0.38
100,815.94,136.42,135.50,-1.54,-2.88000,21.09080,0.61
100,-815.94,136.42,138.74,3.16,-2.88000,20.78120,0.12
100,-815.94,136.42,137.96,1.48,-2.88000,20.79840,-0.45
100,815.94,136.42,134.62,1.48,-2.88000,20.79840,-0.45
100,815.94,136.42,133.77,-3.61,-2.88000,20.79840,0.00
100,815.94,136.42,136.10,-0.24,-2.88000,20.83280,0.32
100,-815.94,136.42,139.06,3.63,-2.88000,20.78120,0.22
100,-815.94,136.42,137.72,0.04,-2.88000,20.78120,-0.37
100,815.94,136.42,134.34,0.04,-2.88000,2.20520,-0.37
100,815.94,136.42,133.89,-3.67,-2.88000,20.79840,-0.13
100,815.94,136.42,136.41,0.62,-2.88000,20.79840,-0.04
100,-815.94,136.42,139.20,3.78,-2.88000,20.79840,0.54
100,-815.94,136.42,137.82,3.78,-2.88000,20.79840,0.54
100,815.94,136.42,134.31,-0.98,-2.88000,20.74680,-0.50
100,815.94,136.42,134.00,-3.55,-2.88000,20.79840,-0.12
100,815.94,136.42,136.57,1.25,-2.88000,20.79840,-0.21
100,-815.94,136.42,139.07,3.51,-2.88000,20.79840,0.62
100,-815.94,136.42,137.22,3.51,-2.88000,6.88360,0.62
100,815.94,136.42,134.31,-2.06,-2.88000,20.85000,-0.19
100,815.94,136.42,134.47,-2.40,-2.88000,20.79840,0.37
100,200.00,136.42,137.19,1.94,-2.88000,20.74680,-0.15
100,-815.94,136.42,138.88,1.94,-2.88000,20.74680,-0.15
100,251.13,136.42,136.37,2.37,-2.88000,20.79840,-0.27
100,815.94,136.42,134.08,-3.13,-2.88000,20.78120,0.47
100,815.94,136.42,134.83,-1.17,-2.88000,20.78120,0.12
100,200.00,136.42,137.90,2.87,-2.88000,20.78120,0.19
100,-815.94,136.42,138.65,2.87,-2.88000,2.99640,0.19
100,815.94,136.42,135.78,0.94,-2.88000,20.81560,-0.50
100,815.94,136.42,134.11,-3.37,-2.88000,20.79840,-0.52
100,815.94,136.42,135.37,0.00,-2.88000,20.79840,0.49
100,-815.94,136.42,138.48,0.00,-2.88000,20.79840,0.49
100,-815.94,136.42,138.34,3.39,-2.88000,20.79840,0.13
100,200.00,136.42,135.28,-0.95,-2.88000,20.79840,-0.45
100,815.94,136.42,134.22,-3.01,-2.88000,20.79840,0.34
100,815.94,136.42,136.07,1.20,-2.88000,20.79840,-0.44
100,-815.94,136.42,138.83,1.20,-2.88000,3.39200,-0.44
100,-815.94,136.42,137.46,2.89,-2.88000,20.79840,0.38
100,815.94,136.42,134.58,-2.67,-2.88000,20.78120,0.13
100,815.94,136.42,134.57,-1.59,-2.88000,20.79840,0.20
100,200.00,136.42,137.11,-1.59,-2.88000,20.79840,0.20
100,-815.94,136.42,138.82,2.64,-2.88000,20.76400,0.16
100,815.94,136.42,136.30,1.03,-2.88000,20.74680,-0.58
100,815.94,136.42,134.29,-3.30,-2.88000,20.78120,-0.57
100,815.94,136.42,135.35,0.13,-2.88000,20.78120,0.45
100,-815.94,136.42,138.38,0.13,-2.88000,3.92520,0.45
100,-815.94,136.42,138.10,3.22,-2.88000,20.79840,0.22
100,200.00,136.42,135.23,-1.64,-2.88000,20.79840,-0.33
100,815.94,136.42,134.38,-2.37,-2.88000,20.79840,0.35
100,815.94,136.42,136.39,-2.37,-2.88000,20.79840,0.35
100,-815.94,136.42,138.82,1.96,-2.88000,20.76400,0.02
100,-815.94,136.42,136.93,1.91,-2.88000,20.79840,-0.73
100,815.94,136.42,134.46,-3.02,-2.88000,20.76400,0.13
100,815.94,136.42,134.83,-0.72,-2.88000,20.76400,0.41
100,200.00,136.42,137.65,-0.72,-2.88000,4.45840,0.41
100,-815.94,136.42,138.52,3.13,-2.88000,20.79840,-0.03
100,815.94,138.21,135.88,-0.49,-2.88000,20.81560,-0.38
100,815.94,138.21,135.50,-2.13,-2.88000,20.78120,0.25
100,-815.94,138.21,137.70,-2.13,-2.88000,20.78120,0.25
100,200.00,138.21,139.07,2.23,-2.88000,20.72960,-0.29
100,200.00,138.21,139.38,1.28,-2.88000,20.79840,-0.04
100,200.00,138.21,139.37,0.13,-2.88000,20.71240,-0.14
100,200.00,138.21,138.17,-0.74,-2.88000,20.71240,0.25
100,815.94,138.21,136.37,-0.74,-2.88000,4.99160,0.25
100,815.94,138.21,137.47,-1.94,-2.88000,20.79840,0.20
100,200.00,138.21,138.31,1.61,-2.88000,20.83280,-0.27
