CONTROLLER_FLAG,SL_PWM,U,SL_position,ARM_position,Sprung_acceleration_x
100,810.79,89.98,86.89,-0.07069,1.63
100,-307.49,83.22,91.68,-0.07226,2.85
100,-810.79,78.85,91.37,-0.07069,2.77
100,511.73,84.39,85.96,-0.06754,2.77
100,810.79,89.26,82.87,-0.06440,0.62
100,810.79,95.28,84.34,-0.06126,-1.72
100,566.59,81.87,88.07,-0.05812,1.86
100,-491.74,77.98,90.42,-0.05812,2.64
100,-378.84,88.62,88.61,-0.05969,0.91
100,810.79,99.33,84.88,-0.06126,-1.65
100,810.79,95.57,84.33,-0.06283,-1.65
100,810.79,89.49,86.99,-0.06597,-1.22
100,7.12,86.05,90.94,-0.07226,0.03
100,-550.38,89.17,92.14,-0.07854,-0.96
100,-157.72,95.07,90.84,-0.08168,-5.48
100,810.79,109.90,89.31,-0.08325,-3.93
100,810.79,102.64,91.32,-0.08639,-3.33
100,-295.68,95.43,95.96,-0.09111,-2.10
100,-810.79,93.52,97.20,-0.09425,-0.75
100,72.59,92.86,93.54,-0.08954,-0.79
100,810.79,94.19,90.69,-0.08325,0.78
100,509.04,88.01,92.34,-0.08325,1.37
100,-426.50,86.42,94.26,-0.08325,1.37
100,-502.05,78.13,93.44,-0.08011,4.40
100,-264.16,69.86,90.66,-0.07854,6.60
100,96.74,94.71,87.22,-0.07383,-0.34
100,810.79,97.64,84.81,-0.06912,-0.54
100,810.79,84.44,86.96,-0.06754,0.99
100,-165.93,75.04,90.00,-0.06597,3.15
100,-590.74,80.65,89.49,-0.06440,2.86
100,252.70,91.66,86.09,-0.06440,0.80
100,810.79,95.51,83.71,-0.06440,-0.83
100,810.79,90.88,85.40,-0.06283,0.13
100,252.79,85.64,88.91,-0.06283,1.73
100,-348.93,82.15,90.02,-0.06440,0.84
100,-100.19,87.96,88.58,-0.06597,-0.66
100,776.22,94.64,86.22,-0.06912,-1.53
100,810.79,95.62,87.05,-0.06912,-2.98
100,352.64,97.62,90.19,-0.07226,-0.64
100,65.19,89.54,91.08,-0.07854,-2.55
