CONTROLLER_FLAG,SL_PWM,U,SL_position,ARM_position,Sprung_acceleration_x
100,-810.79,78.62,102.22,-0.08011,2.91
100,-439.93,86.44,95.86,-0.07069,2.46
100,810.79,93.87,88.95,-0.05812,-0.14
100,810.79,82.74,87.73,-0.05498,2.20
100,810.79,66.26,91.06,-0.05341,7.83
100,-810.79,50.00,94.47,-0.05498,15.25
100,-810.79,90.71,90.55,-0.05341,2.35
100,810.79,108.21,82.34,-0.04555,-3.45
100,810.79,105.72,78.32,-0.03770,-7.18
100,810.79,65.90,79.57,-0.03299,4.85
100,810.79,68.43,83.55,-0.02670,6.15
100,-11.06,76.81,89.01,-0.02199,5.26
100,-810.79,81.14,90.30,-0.02513,3.20
100,329.12,84.27,85.08,-0.02513,1.61
100,810.79,85.54,81.24,-0.02670,-1.31
100,810.79,91.13,82.27,-0.03142,-2.14
100,810.79,92.87,86.02,-0.03613,-0.85
100,-256.50,89.32,90.23,-0.04241,-0.75
100,-514.48,90.48,90.87,-0.05498,-0.75
100,226.18,98.61,89.16,-0.05969,-2.94
100,810.79,134.89,88.86,-0.05812,-16.22
100,810.79,131.90,92.92,-0.06597,-1.61
100,8.57,95.85,99.98,-0.07383,-4.71
100,-810.79,92.94,104.40,-0.08482,1.59
100,-810.79,112.49,101.28,-0.08325,-5.74
100,810.79,117.00,94.89,-0.07540,-8.35
100,810.79,101.47,93.60,-0.06912,-5.35
100,810.79,87.12,97.26,-0.06754,-0.77
100,-810.79,57.77,102.81,-0.07226,11.94
100,-810.79,43.96,101.92,-0.06912,19.18
100,-810.79,50.57,94.11,-0.06283,2.51
100,316.26,96.18,81.92,-0.04869,-8.23
100,810.79,117.86,72.46,-0.03613,-6.89
100,810.79,98.52,70.22,-0.02513,-2.16
100,810.79,79.16,72.60,-0.02042,11.74
100,810.79,48.13,77.44,-0.01728,6.49
100,810.79,71.42,83.96,-0.01728,1.99
100,-80.70,92.69,91.32,-0.02042,1.19
100,-810.79,90.52,93.91,-0.02513,1.19
100,-3.90,86.15,89.36,-0.02827,0.94
100,810.79,86.47,84.48,-0.03299,-1.25
100,810.79,91.06,84.49,-0.03770,-0.87
100,810.79,90.50,87.83,-0.04398,-1.12
100,-160.09,92.48,92.22,-0.05341,-1.25
100,-517.77,102.15,93.34,-0.06126,-4.15
100,458.51,129.54,91.93,-0.06283,-14.14
100,810.79,105.81,92.50,-0.06597,-6.59
100,611.98,105.21,97.15,-0.07226,-8.38
100,-810.79,93.54,102.69,-0.08011,-1.59
100,-810.79,96.97,101.95,-0.08168,-2.83
100,482.98,103.02,96.36,-0.07383,-4.06
100,810.79,103.64,93.67,-0.06912,-2.21
100,810.79,95.00,96.29,-0.06754,3.05
100,-698.51,80.42,100.98,-0.07069,13.00
100,-810.79,56.77,99.43,-0.06754,15.16
100,-810.79,55.34,91.30,-0.05812,-3.84
100,810.79,110.98,81.35,-0.04712,-6.97
100,810.79,114.99,77.18,-0.03927,-6.97
100,810.79,74.34,78.32,-0.03456,1.77
100,810.79,48.57,82.45,-0.02985,10.50
100,7.51,61.21,88.24,-0.02670,4.72
100,-810.79,83.00,90.30,-0.02827,4.95
100,176.39,83.80,85.72,-0.02827,1.94
100,810.79,83.75,81.80,-0.02985,1.44
100,810.79,86.65,82.56,-0.03142,0.26
100,450.44,86.61,85.95,-0.03299,0.57
100,-191.57,88.72,87.98,-0.03613,0.06
100,88.62,93.51,87.24,-0.04084,-1.37
100,810.79,94.60,85.77,-0.04712,-1.95
100,599.99,93.17,87.69,-0.05184,-10.66
100,410.26,117.21,90.22,-0.05655,-6.10
100,640.00,105.67,92.16,-0.06440,-2.36
100,-55.31,91.22,95.07,-0.06912,-2.60
100,-606.86,95.54,96.56,-0.07383,-6.48
100,65.04,110.98,95.42,-0.07226,-7.65
100,810.79,113.11,94.95,-0.06754,-2.70
100,302.23,94.94,97.48,-0.06912,-2.70
100,-730.84,83.54,99.37,-0.06912,1.34
100,-761.80,71.41,95.91,-0.06440,7.76
100,605.48,74.67,88.78,-0.05655,13.25
100,810.22,60.02,85.15,-0.05027,3.09
100,397.28,94.53,86.36,-0.04869,-0.27
100,523.42,92.40,86.86,-0.04712,-1.50
100,585.82,70.92,87.11,-0.04398,5.42
100,33.86,67.38,86.75,-0.04241,7.34
100,-200.05,75.87,85.27,-0.04084,6.34
100,286.85,95.18,83.08,-0.04084,-0.48
100,810.79,100.36,81.74,-0.03770,-3.75
100,810.79,94.82,83.99,-0.03613,2.22
100,140.08,77.99,88.21,-0.03613,2.19
100,-746.78,81.87,89.71,-0.03770,1.44
100,179.56,89.30,86.05,-0.04084,-2.25
100,810.79,97.95,83.05,-0.04398,-6.92
100,810.79,106.97,84.72,-0.04555,-7.45
100,810.79,105.76,89.54,-0.05184,-1.80
100,-482.79,89.64,95.38,-0.06126,-1.80
100,-810.79,91.78,95.87,-0.06912,-1.46
100,810.79,112.40,91.54,-0.06754,-6.94
100,810.79,111.33,91.40,-0.07069,-13.78
100,810.79,123.78,96.46,-0.07069,-12.63
100,191.80,94.21,103.73,-0.07697,-3.07
100,-810.79,53.11,107.96,-0.08639,13.32
100,-810.79,69.13,104.35,-0.08011,10.47
