CONTROLLER_FLAG,SL_PWM,U,SL_position,ARM_position,Sprung_acceleration_x
100,505.14,86.39,86.51,-0.06912,1.34
100,507.27,86.38,86.48,-0.06754,1.34
100,510.32,86.41,86.47,-0.06597,1.34
100,513.26,86.40,86.45,-0.06597,1.34
100,512.47,86.41,86.45,-0.06597,1.34
100,515.08,86.40,86.43,-0.06597,1.34
100,531.08,86.39,86.37,-0.06283,1.34
100,555.93,86.37,86.30,-0.06126,1.34
100,544.90,85.17,86.30,-0.06126,-10.04
100,562.31,88.72,86.25,-0.06126,1.64
100,810.79,108.99,86.42,-0.06283,1.05
100,810.79,115.61,88.85,-0.06283,0.80
100,516.83,96.32,93.24,-0.06440,0.69
100,-455.15,85.72,95.84,-0.06597,0.49
100,-448.39,87.00,94.49,-0.06912,0.49
100,366.15,88.53,90.97,-0.07069,0.14
100,810.79,88.01,88.65,-0.07226,-0.35
100,502.24,88.85,90.59,-0.07383,-1.84
100,37.10,91.76,91.99,-0.07540,-2.49
100,224.31,94.34,91.56,-0.07854,-2.12
100,613.30,94.90,90.74,-0.08168,-1.45
100,485.70,95.60,91.83,-0.08639,-2.32
100,241.87,94.95,93.09,-0.08796,-3.54
100,154.52,95.78,93.57,-0.08639,-3.84
100,239.06,98.62,93.59,-0.08325,-2.80
100,443.05,100.19,93.58,-0.08168,-0.75
100,635.12,98.10,93.75,-0.08011,0.93
100,566.47,93.41,94.36,-0.08011,2.95
100,454.44,88.23,94.38,-0.08011,4.35
100,338.78,83.69,93.75,-0.07854,2.63
100,271.33,81.47,92.60,-0.07697,1.15
100,336.19,79.58,90.87,-0.07226,0.71
100,637.17,81.53,88.64,-0.06754,1.17
100,618.68,85.58,88.23,-0.06597,1.17
100,542.60,88.24,88.29,-0.06440,1.69
100,555.08,87.24,88.20,-0.06440,1.95
100,479.02,85.45,88.18,-0.06440,1.61
100,420.41,84.73,87.96,-0.06440,1.09
100,506.34,85.47,87.31,-0.06440,0.49
100,639.11,86.51,86.84,-0.06440,0.06
100,559.32,87.16,87.09,-0.06440,-0.07
100,614.75,88.36,87.06,-0.06597,-0.33
100,643.58,90.08,87.29,-0.06754,-1.11
100,536.16,90.88,87.99,-0.07069,-2.04
100,564.42,92.53,88.24,-0.07226,-2.41
100,633.56,94.91,88.63,-0.07697,-1.63
100,444.68,96.30,90.09,-0.08168,-2.34
100,294.02,95.52,91.29,-0.08482,-3.26
100,326.62,95.54,91.66,-0.08482,-3.67
100,494.23,96.21,91.62,-0.08168,-2.97
100,640.65,98.16,91.85,-0.08011,-0.98
100,529.99,99.87,93.10,-0.07854,0.72
100,586.89,98.64,93.63,-0.07854,0.72
100,584.14,94.04,93.93,-0.07854,2.96
100,487.53,88.79,93.89,-0.07854,4.45
100,311.84,83.17,93.39,-0.07697,2.54
100,116.42,79.48,92.42,-0.07540,1.21
100,252.47,81.82,90.53,-0.07069,0.86
100,779.83,85.57,88.16,-0.06754,1.37
100,554.57,86.72,88.83,-0.06597,1.34
100,472.85,87.58,88.81,-0.06597,1.77
100,636.46,86.73,88.08,-0.06440,1.49
100,498.62,85.55,88.24,-0.06440,1.01
100,480.15,85.87,87.96,-0.06440,0.53
100,547.65,86.89,87.49,-0.06440,0.22
100,584.65,88.23,87.35,-0.06597,0.01
100,611.61,89.23,87.40,-0.06754,-0.36
100,594.58,89.94,87.72,-0.06754,-1.11
100,565.10,90.63,88.12,-0.07069,-1.96
100,582.97,91.09,88.37,-0.07226,-2.50
100,642.63,92.44,88.61,-0.07383,-1.68
100,481.67,94.92,89.75,-0.08011,-1.68
100,392.90,96.50,90.72,-0.08325,-2.29
100,414.59,95.39,91.26,-0.08482,-3.26
100,584.51,95.54,91.23,-0.08325,-3.67
100,624.70,97.91,91.88,-0.07854,-3.02
100,509.39,100.04,93.13,-0.08011,-0.94
100,628.35,98.60,93.46,-0.07854,0.92
100,519.46,94.22,94.00,-0.07854,3.12
100,546.82,92.07,93.73,-0.07854,4.42
100,388.74,88.65,93.67,-0.07854,2.42
100,82.38,83.09,93.42,-0.07697,1.21
100,-184.37,82.01,92.51,-0.07383,0.99
100,86.46,85.80,90.30,-0.07069,1.64
100,810.79,86.53,87.47,-0.06754,1.30
100,747.20,85.93,87.74,-0.06597,0.86
100,297.70,86.72,88.87,-0.06440,1.33
100,511.94,87.30,87.87,-0.06283,1.43
100,706.53,87.19,87.27,-0.06283,0.85
100,497.92,86.81,87.90,-0.06440,0.29
100,538.73,86.37,87.59,-0.06440,0.29
