CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,90.60,0.00,-5.04000,0.00000,10.06
100,815.94,136.42,90.88,0.40,0.00000,19.81800,-0.13
100,815.94,136.42,92.34,1.03,0.00000,19.81800,0.39
100,815.94,136.42,95.07,2.78,-0.09000,19.81800,0.39
100,815.94,136.42,98.58,2.78,-0.09000,36.00320,0.39
100,815.94,136.42,102.74,4.06,-0.27000,19.81800,0.49
100,815.94,136.42,107.04,4.98,-0.36000,19.50840,0.29
100,815.94,136.42,112.04,5.61,-0.54000,20.50600,1.60
100,815.94,136.42,117.19,5.61,-0.72000,20.50600,1.60
100,815.94,136.42,122.64,6.15,-0.99000,20.14480,0.19
100,-815.94,136.42,128.41,6.51,-1.35000,19.83520,2.05
100,-815.94,136.42,129.87,5.15,-1.71000,19.49120,-1.01
100,815.94,136.42,127.35,-2.02,-2.07000,19.49120,0.51
100,815.94,136.42,127.04,-2.02,-2.34000,3.82200,0.51
100,815.94,136.42,128.95,-0.45,-2.61000,19.78360,-0.44
100,-815.94,136.42,132.18,2.72,-2.97000,19.49120,-0.36
100,-815.94,136.42,132.29,2.55,-3.15000,19.16440,0.07
100,815.94,136.42,131.58,2.55,-3.42000,19.16440,0.07
100,815.94,136.42,133.33,-0.95,-3.60000,19.81800,-0.46
100,815.94,136.42,133.35,2.09,-3.78000,19.81800,-1.31
100,815.94,136.42,133.22,-0.88,-3.87000,19.49120,-1.58
100,-815.94,136.42,134.64,1.56,-3.87000,19.49120,-0.87
100,815.94,136.42,133.64,1.56,-3.87000,5.71400,-0.87
100,815.94,136.42,134.71,-0.81,-3.87000,19.49120,-0.17
100,608.05,136.42,134.77,1.48,-3.96000,19.49120,-0.06
100,815.94,136.42,134.93,-0.65,-3.96000,19.54280,-0.53
100,200.00,136.42,135.12,-0.65,-3.96000,19.54280,-0.53
100,815.94,136.42,135.30,0.43,-3.96000,19.49120,-0.10
100,200.00,136.42,135.62,0.56,-3.96000,19.49120,0.85
100,200.00,136.42,135.22,-0.23,-3.96000,19.49120,-0.04
100,815.94,136.42,135.23,-0.32,-3.96000,19.49120,-0.50
100,200.00,136.42,136.58,-0.32,-3.96000,4.80240,-0.50
100,200.00,136.42,136.73,1.40,-4.05000,19.49120,0.15
100,200.00,136.42,136.27,-0.13,-4.05000,19.49120,-0.14
100,200.00,136.42,135.24,-0.89,-3.96000,19.49120,0.06
100,815.94,136.42,135.21,-0.89,-3.96000,19.49120,0.06
100,200.00,136.42,136.96,-0.29,-4.05000,19.49120,0.07
100,200.00,136.42,137.55,1.87,-4.05000,19.49120,-0.08
100,200.00,136.42,137.44,0.18,-4.05000,19.42240,0.08
100,200.00,136.42,136.27,-0.72,-4.05000,19.42240,0.10
100,815.94,136.42,134.19,-0.72,-4.05000,3.23720,0.10
100,815.94,136.42,134.92,-2.25,-4.05000,19.49120,-0.30
100,200.00,136.42,137.24,1.65,-4.05000,19.49120,0.26
100,-815.94,136.42,137.62,1.83,-4.05000,19.49120,-0.67
100,815.94,136.42,134.85,1.83,-4.05000,19.49120,-0.67
100,815.94,136.42,133.64,-2.80,-4.05000,19.56000,-0.45
100,815.94,136.42,135.21,-0.75,-4.05000,19.52560,0.73
100,-815.94,136.42,138.06,2.75,-4.05000,19.49120,0.29
100,-815.94,136.42,137.54,0.96,-4.14000,19.49120,-0.38
100,815.94,136.42,134.30,0.96,-4.05000,1.77520,-0.38
100,815.94,136.42,133.61,-3.48,-4.05000,19.49120,0.36
100,815.94,136.42,135.60,0.25,-4.05000,19.52560,0.57
100,-815.94,136.42,138.60,3.39,-4.14000,19.16440,0.40
100,-815.94,136.42,137.52,3.39,-4.14000,19.16440,0.40
100,815.94,136.42,134.46,-0.46,-4.05000,19.18160,-0.71
100,815.94,136.42,134.19,-3.03,-4.05000,19.18160,-0.09
100,815.94,136.42,136.31,0.97,-4.05000,19.16440,-0.27
100,-815.94,136.42,138.50,3.03,-4.14000,19.16440,-0.40
100,815.94,136.42,136.45,3.03,-4.14000,4.85400,-0.40
100,815.94,136.42,134.28,-2.15,-4.05000,19.16440,0.06
100,815.94,136.42,135.07,-1.56,-4.05000,19.18160,0.28
100,200.00,136.42,137.74,2.42,-4.14000,19.14720,-0.06
100,-815.94,136.42,137.88,2.42,-4.14000,19.14720,-0.06
100,200.00,136.42,135.33,0.77,-4.14000,19.23320,-0.38
100,815.94,136.42,134.53,-2.80,-4.05000,19.18160,0.54
