CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,200.00,90.00,89.84,0.00,-6.75000,0.00000,10.11
100,815.94,93.01,90.04,0.42,0.00000,20.14480,0.15
100,815.94,97.52,91.47,0.59,-0.09000,20.14480,0.09
100,-499.10,101.98,92.75,2.14,-0.09000,20.14480,0.58
100,815.94,107.10,93.05,2.14,-0.18000,20.14480,0.58
100,815.94,111.03,94.80,0.24,-0.27000,21.15960,0.16
100,815.94,115.21,97.34,2.26,-0.45000,21.10800,0.58
100,-815.94,119.24,100.22,3.76,-0.54000,20.83280,0.31
100,815.94,123.41,101.05,1.36,-0.63000,20.83280,-0.54
100,815.94,127.66,103.23,1.36,-0.81000,5.83440,-0.54
100,815.94,131.07,106.62,2.53,-0.99000,21.72720,0.28
100,815.94,134.25,110.65,4.28,-1.17000,21.43480,0.42
100,-815.94,137.18,113.70,4.87,-1.35000,21.43480,0.92
100,815.94,140.25,114.65,4.87,-1.62000,21.43480,0.92
100,815.94,142.40,117.41,1.19,-1.80000,21.10800,-0.68
100,815.94,144.45,121.55,3.47,-1.98000,22.07120,0.00
100,-815.94,146.19,125.36,5.28,-2.16000,21.76160,0.31
100,815.94,147.72,126.04,1.72,-2.34000,21.76160,-0.79
100,815.94,148.94,128.28,1.72,-2.43000,6.50520,-0.79
100,-815.94,149.62,132.28,2.59,-2.61000,21.43480,-0.27
100,815.94,149.96,133.66,4.35,-2.70000,22.39800,-0.29
100,815.94,149.96,134.48,0.36,-2.79000,22.39800,-0.66
100,815.94,149.53,137.19,0.36,-2.88000,22.39800,-0.66
100,-815.94,148.94,139.15,3.28,-2.88000,22.39800,-0.36
100,815.94,147.92,138.49,1.14,-2.97000,22.39800,-0.46
100,815.94,146.58,140.36,0.64,-2.97000,22.39800,0.04
100,-815.94,144.61,141.91,2.36,-2.97000,22.39800,0.24
100,815.94,142.58,140.47,2.36,-3.06000,23.36120,0.24
100,-815.94,140.46,141.76,-1.37,-3.06000,23.37840,-0.63
100,-815.94,137.87,141.86,1.71,-3.06000,21.96800,0.43
100,815.94,135.01,139.66,-2.05,-3.06000,22.08840,-0.38
100,-815.94,131.35,140.14,-2.05,-3.06000,22.08840,-0.38
100,-815.94,128.25,139.11,0.08,-3.06000,22.07120,0.51
100,815.94,124.96,136.62,-1.88,-3.06000,22.07120,-0.39
100,-815.94,121.19,136.63,-1.32,-3.06000,22.07120,0.92
100,-815.94,116.90,133.99,-1.87,-3.06000,22.07120,-0.64
100,815.94,112.44,131.04,-1.87,-3.06000,2.10200,-0.64
100,-815.94,108.18,130.63,-3.26,-3.06000,22.08840,0.38
100,-815.94,104.19,127.36,-1.23,-2.97000,22.12280,-0.18
100,815.94,100.50,122.99,-5.21,-2.88000,23.32680,-0.14
100,-815.94,95.27,121.97,-5.21,-2.79000,23.32680,-0.14
100,-815.94,91.51,119.22,-2.05,-2.70000,22.36360,-0.25
100,815.94,87.36,114.14,-4.01,-2.52000,22.36360,-0.79
100,-815.94,82.85,112.06,-4.54,-2.25000,21.43480,-1.84
100,-815.94,77.65,109.64,-4.54,-2.07000,21.43480,-1.84
100,-815.94,73.99,104.37,-2.52,-1.80000,21.72720,1.19
100,815.94,70.03,99.71,-6.55,-1.35000,22.12280,-1.41
100,-815.94,65.83,98.56,-2.84,-1.08000,21.43480,-0.40
100,-815.94,61.43,95.12,-3.14,-0.90000,21.43480,1.50
100,815.94,57.53,88.74,-3.14,-0.45000,1.50000,1.50
100,815.94,54.13,84.54,-6.92,0.00000,20.78120,-2.10
100,-815.94,50.60,83.57,-3.26,0.27000,20.14480,-0.67
100,-815.94,47.31,80.14,-2.53,0.54000,20.47160,1.32
100,815.94,44.01,73.88,-2.53,0.99000,20.47160,1.32
100,815.94,41.68,69.57,-6.80,1.44000,20.72960,-1.09
100,-815.94,39.14,69.02,-4.06,1.71000,19.16440,-0.69
100,-815.94,36.89,65.96,-1.64,1.98000,18.52800,1.67
100,815.94,34.64,60.22,-6.14,2.34000,18.52800,-0.26
100,815.94,32.94,57.13,-6.14,2.70000,13.71200,-0.26
100,-815.94,31.70,56.80,-3.49,2.88000,17.87440,-0.97
100,-815.94,30.80,53.82,-1.09,3.06000,18.35600,1.71
100,815.94,30.27,48.70,-5.59,3.42000,17.20360,-0.54
100,815.94,30.00,47.13,-5.59,3.69000,17.20360,-0.54
100,-815.94,30.12,47.33,-2.52,3.78000,17.51320,-1.09
100,-815.94,30.57,44.26,-0.34,3.87000,17.87440,2.10
100,815.94,31.36,41.98,-4.05,4.14000,16.49840,-0.38
100,-815.94,32.60,42.34,-0.33,4.23000,16.49840,0.36
100,815.94,34.35,40.50,-0.33,4.23000,3.44360,0.36
100,815.94,36.20,39.80,-1.85,4.41000,16.84240,-0.43
100,-815.94,38.36,40.54,0.30,4.41000,17.20360,1.25
100,815.94,40.80,39.09,-1.05,4.41000,17.20360,-0.42
100,815.94,44.01,39.91,-1.05,4.41000,17.20360,-0.42
100,-815.94,46.78,41.07,0.61,4.41000,17.20360,0.84
100,815.94,50.04,40.59,0.61,4.41000,17.20360,-0.86
100,815.94,53.52,42.27,0.57,4.41000,17.20360,1.01
100,-815.94,57.53,44.86,3.06,4.23000,17.20360,0.18
100,815.94,62.09,44.94,3.06,4.23000,3.20280,0.18
100,815.94,66.17,46.60,0.39,4.23000,16.84240,-0.40
100,815.94,70.39,49.43,2.40,4.14000,16.84240,1.04
100,815.94,74.71,53.12,3.88,3.96000,17.87440,0.43
100,815.94,79.87,55.49,3.88,3.87000,17.87440,0.43
100,815.94,83.98,56.64,3.14,3.78000,16.49840,0.32
100,815.94,88.49,59.21,1.92,3.60000,17.89160,0.12
100,815.94,93.01,62.63,3.42,3.51000,17.53040,0.54
100,815.94,97.89,66.70,4.53,3.24000,17.53040,0.44
100,815.94,102.35,70.93,4.53,3.06000,1.50000,0.44
100,815.94,106.74,75.85,5.30,2.79000,18.20120,0.25
100,-815.94,111.03,80.43,5.84,2.52000,18.25280,1.16
100,815.94,115.21,82.31,3.11,2.25000,18.25280,-0.15
100,815.94,119.89,84.84,3.11,1.98000,34.35200,-0.15
100,815.94,123.73,88.47,3.23,1.71000,18.35600,-0.15
100,815.94,127.37,92.70,4.42,1.35000,18.16680,1.12
100,815.94,130.80,97.19,5.30,0.99000,20.14480,0.37
100,815.94,134.50,102.26,5.30,0.63000,20.14480,0.37
100,-815.94,136.94,107.94,6.02,0.18000,20.78120,0.81
100,815.94,139.62,109.84,5.78,-0.36000,20.14480,-0.38
100,815.94,142.02,111.34,1.47,-0.72000,20.78120,-0.25
100,815.94,144.45,114.51,3.31,-1.08000,20.78120,-0.58
100,815.94,146.32,118.94,3.31,-1.53000,19.00960,-0.58
100,815.94,147.51,124.15,5.23,-1.89000,21.17680,-0.58
100,-815.94,148.64,127.55,6.13,-2.16000,22.07120,-0.86
100,815.94,149.43,127.55,0.76,-2.43000,21.65840,0.07
100,815.94,149.92,129.37,0.76,-2.61000,21.65840,0.07
100,815.94,149.99,133.21,1.88,-2.79000,22.70760,-0.96
100,-815.94,149.77,136.91,4.70,-2.88000,22.39800,-0.54
100,815.94,149.20,136.31,2.12,-2.97000,22.38080,-0.48
100,815.94,148.21,137.70,0.61,-3.06000,22.38080,-0.58
100,-815.94,146.83,140.33,0.61,-3.06000,6.38480,-0.58
100,815.94,145.21,139.47,2.71,-3.06000,22.07120,0.66
100,815.94,143.29,140.11,-0.91,-3.06000,22.07120,-1.00
100,-815.94,141.06,141.67,1.99,-3.15000,22.07120,0.32
100,408.78,138.09,140.54,1.99,-3.15000,22.07120,0.32
100,815.94,135.50,139.95,-1.01,-3.15000,22.07120,-0.11
100,-815.94,132.43,140.29,-0.06,-3.15000,22.07120,0.41
100,815.94,129.11,137.82,-1.28,-3.15000,22.01960,-0.41
100,-815.94,125.27,137.79,-1.22,-3.15000,22.01960,1.06
100,-815.94,120.87,136.38,-1.22,-3.15000,7.57160,1.06
100,815.94,116.90,132.91,-1.57,-3.06000,22.07120,-1.00
100,-815.94,112.79,132.44,-3.21,-3.06000,22.08840,0.74
100,-815.94,108.54,130.44,-0.88,-3.06000,22.05400,-0.42
100,815.94,103.46,125.96,-0.88,-2.97000,22.05400,-0.42
100,815.94,99.76,123.89,-4.94,-2.88000,22.07120,-0.11
100,-815.94,95.65,122.86,-1.67,-2.88000,23.37840,-0.11
100,-815.94,91.51,118.40,-3.43,-2.79000,22.44960,-0.46
100,815.94,86.61,113.21,-6.11,-2.43000,22.44960,-2.15
100,-815.94,81.73,112.14,-6.11,-2.16000,5.74840,-2.15
100,-815.94,77.28,109.68,-1.57,-2.07000,21.76160,-0.03
100,-815.94,73.26,103.97,-4.26,-1.71000,21.72720,0.58
100,815.94,68.97,98.53,-7.08,-1.35000,21.10800,-1.48
100,-815.94,64.11,97.36,-2.25,-0.99000,21.10800,0.06
100,-815.94,59.78,94.98,-2.25,-0.81000,21.43480,0.06
100,-815.94,56.59,89.22,-3.18,-0.45000,21.81320,1.02
100,815.94,53.23,83.06,-7.31,0.00000,22.10560,-1.37
100,815.94,49.76,81.12,-4.34,0.45000,20.47160,-1.53
100,-815.94,46.00,79.36,-4.34,0.63000,20.47160,-1.53
100,-815.94,43.53,74.15,-1.88,1.08000,20.79840,1.56
100,815.94,41.02,68.55,-6.34,1.53000,20.16200,1.31
100,815.94,38.55,66.93,-4.75,1.80000,18.20120,-0.74
100,-815.94,36.37,65.25,-1.23,1.98000,18.20120,1.54
100,-815.94,34.21,60.30,-1.23,2.34000,37.68880,1.54
100,815.94,32.94,56.15,-5.39,2.79000,18.87200,0.55
100,-815.94,31.70,55.39,-3.70,2.97000,17.85720,-1.12
100,-815.94,30.80,52.95,-1.49,3.15000,17.23800,1.50
100,815.94,30.17,48.61,-1.49,3.51000,17.23800,1.50
100,815.94,30.00,47.42,-5.01,3.69000,17.51320,-0.17
100,-815.94,30.17,46.56,-0.73,3.78000,17.51320,1.11
100,815.94,30.68,43.00,-2.76,3.96000,16.18880,0.44
100,815.94,31.61,42.45,-2.32,4.14000,16.18880,-0.02
100,-815.94,32.82,41.97,-2.32,4.23000,1.50000,-0.02
100,815.94,34.35,39.58,-0.87,4.32000,17.87440,0.15
100,-815.94,36.20,40.38,-1.54,4.41000,16.84240,0.20
100,-259.05,38.36,39.70,0.53,4.41000,16.91120,1.88
100,815.94,41.24,38.92,0.53,4.41000,16.91120,1.88
100,-569.71,44.01,40.45,-1.14,4.41000,17.16920,-0.36
100,815.94,47.04,40.29,1.77,4.41000,16.79080,0.79
100,815.94,50.32,40.77,-0.51,4.41000,16.85960,-0.32
100,815.94,54.43,43.12,2.27,4.32000,16.85960,0.69
100,815.94,58.49,43.95,2.27,4.32000,16.85960,0.69
100,815.94,62.09,45.14,1.11,4.23000,16.84240,-0.84
100,815.94,66.17,47.63,1.89,4.23000,16.84240,0.46
100,-815.94,70.39,50.98,3.53,4.05000,17.89160,0.53
100,815.94,75.44,52.13,3.53,4.05000,17.89160,0.53
100,815.94,79.50,54.10,1.99,3.87000,16.49840,-0.12
100,815.94,83.98,56.72,2.47,3.78000,17.84000,0.22
100,815.94,88.49,60.40,3.80,3.60000,17.70240,0.26
100,815.94,93.39,64.68,4.78,3.51000,17.70240,0.76
100,-815.94,97.89,69.29,4.78,3.24000,1.50000,0.76
100,815.94,102.35,71.40,5.05,3.06000,17.23800,0.28
100,815.94,106.74,74.28,2.79,2.79000,18.20120,0.65
100,815.94,111.03,77.84,3.87,2.52000,18.20120,0.40
100,815.94,115.89,81.94,3.87,2.16000,36.24400,0.40
100,815.94,119.89,86.23,4.76,1.80000,17.53040,0.27
100,815.94,123.73,91.14,5.41,1.44000,18.20120,1.08
100,-815.94,127.37,95.75,5.92,0.99000,18.80320,0.19
100,815.94,131.35,97.44,5.92,0.63000,18.80320,0.19
100,815.94,134.25,100.55,2.71,0.36000,20.78120,-0.83
100,815.94,137.18,104.56,3.76,-0.09000,19.16440,-0.55
100,815.94,139.84,109.38,5.04,-0.45000,21.07360,-0.07
100,-815.94,142.21,114.60,6.17,-0.81000,21.07360,0.04
100,815.94,144.29,116.92,6.17,-1.08000,1.50000,0.04
100,815.94,146.06,118.13,2.88,-1.53000,21.43480,-0.38
100,815.94,147.51,121.07,2.16,-1.80000,21.10800,-0.44
100,815.94,148.64,125.10,4.45,-2.07000,21.10800,-0.64
100,-815.94,149.48,130.15,4.45,-2.34000,38.75520,-0.64
100,815.94,149.90,131.06,5.59,-2.52000,21.74440,-0.24
100,815.94,149.99,131.71,0.30,-2.70000,21.43480,-0.74
100,815.94,149.73,134.39,2.29,-2.79000,22.39800,-0.70
100,-815.94,149.01,137.56,2.29,-2.88000,22.39800,-0.70
100,815.94,148.11,137.41,3.87,-2.97000,22.39800,-0.50
100,815.94,146.83,139.06,0.03,-2.97000,22.39800,-0.67
100,-815.94,145.21,140.38,2.50,-2.97000,22.39800,-0.03
100,815.94,143.11,139.63,-0.72,-3.06000,22.39800,-0.39
100,-815.94,140.46,141.18,-0.72,-3.06000,7.36520,-0.39
100,-815.94,137.87,140.48,1.51,-3.06000,23.36120,0.16
100,815.94,135.26,139.41,-1.57,-3.06000,23.36120,-0.32
100,-815.94,132.16,139.99,0.45,-3.06000,23.37840,0.21
100,815.94,128.54,137.90,0.45,-3.06000,23.37840,0.21
100,-815.94,125.57,137.49,-2.16,-3.06000,23.37840,0.06
100,-815.94,121.83,136.01,-0.40,-3.06000,22.07120,0.43
100,815.94,118.24,133.36,-3.22,-3.06000,23.37840,-0.39
100,-815.94,113.48,133.00,-3.22,-3.06000,23.37840,-0.39
100,-815.94,109.97,130.07,-0.81,-2.97000,23.37840,-0.01
100,815.94,106.01,126.80,-4.11,-2.97000,23.37840,0.10
100,-815.94,101.61,126.05,-1.52,-2.97000,23.37840,0.16
100,-815.94,96.40,122.83,-1.52,-2.88000,34.95400,0.16
100,815.94,92.64,117.58,-4.00,-2.70000,22.39800,-1.09
100,416.64,88.12,115.97,-5.21,-2.52000,21.43480,-1.92
100,-815.94,83.60,114.37,-1.11,-2.34000,21.43480,0.78
100,-815.94,78.39,109.76,-1.11,-2.16000,37.05240,0.78
100,815.94,75.08,103.70,-5.06,-1.71000,21.76160,-0.18
100,815.94,71.10,100.89,-6.60,-1.44000,22.10560,-1.64
100,-815.94,66.86,100.14,-1.11,-1.26000,22.10560,0.90
100,-815.94,62.09,96.33,-1.11,-0.99000,35.05720,0.90
100,-815.94,58.81,89.95,-4.12,-0.54000,20.48880,1.69
100,815.94,55.04,84.55,-8.11,-0.18000,20.81560,-2.68
100,-815.94,51.46,83.55,-3.05,0.27000,20.14480,-1.77
100,-815.94,47.57,81.77,-3.05,0.45000,20.14480,-1.77
100,-815.94,44.74,76.23,-1.94,0.90000,19.47400,2.26
100,815.94,42.13,69.71,-6.73,1.35000,19.76640,0.09
100,815.94,39.54,67.83,-5.54,1.71000,17.89160,-3.27
100,-815.94,37.24,66.84,-0.97,1.89000,17.89160,1.74
100,-815.94,34.93,62.52,-0.97,2.25000,36.20960,1.74
100,815.94,33.55,57.13,-4.68,2.61000,17.56480,0.88
100,815.94,32.18,55.78,-5.36,2.88000,17.87440,-2.73
100,-815.94,31.13,54.64,-0.78,3.06000,18.14960,2.00
100,815.94,30.34,50.32,-0.78,3.33000,18.14960,2.00
100,815.94,30.04,47.46,-4.66,3.60000,17.20360,0.74
100,-815.94,30.04,47.48,-2.42,3.69000,17.46160,-0.55
100,-815.94,30.38,44.66,-1.01,3.87000,17.49600,0.96
100,815.94,31.13,42.35,-3.74,4.14000,17.49600,-1.23
100,-815.94,32.38,42.69,-3.74,4.23000,2.99640,-1.23
100,815.94,33.81,40.46,0.06,4.23000,16.49840,1.41
100,815.94,35.55,39.60,-2.71,4.41000,16.84240,-0.91
100,-815.94,37.60,40.69,0.92,4.41000,16.84240,1.49
100,815.94,40.38,39.11,0.92,4.41000,16.84240,1.49
