SL_PWM,U,SL_position,SL_speed,ARM_position,Sprung_acceleration_x
0.00,90.00,-0.05,0.00,0.54000,9.66
696.00,90.00,0.05,-0.00,0.00000,-0.20
696.00,90.00,0.47,0.75,0.00000,0.54
696.00,90.00,1.21,1.85,0.00000,0.73
696.00,90.00,2.10,1.85,0.00000,0.73
696.00,90.00,3.19,2.64,0.00000,0.96
696.00,90.00,4.54,3.64,0.00000,0.83
723.00,90.00,6.09,4.30,0.00000,0.75
723.00,90.00,7.82,4.84,0.00000,0.46
723.00,90.00,9.57,4.84,0.00000,0.46
723.00,90.00,11.74,5.36,-0.09000,0.73
723.00,90.00,13.94,6.09,-0.09000,0.41
723.00,90.00,16.22,6.48,-0.09000,0.31
-14.00,90.00,18.44,6.62,-0.18000,0.14
-14.00,90.00,20.37,6.62,-0.18000,0.14
-14.00,90.00,22.45,6.01,-0.27000,-0.06
-14.00,90.00,23.95,5.57,-0.27000,-0.02
-14.00,90.00,25.53,4.89,-0.36000,0.10
-382.00,90.00,26.92,4.26,-0.36000,0.38
-382.00,90.00,28.04,4.26,-0.45000,0.38
-382.00,90.00,28.98,3.44,-0.54000,0.24
-382.00,90.00,29.82,2.89,-0.54000,-0.59
-382.00,90.00,30.45,2.21,-0.63000,-0.86
-382.00,90.00,30.90,1.51,-0.63000,-1.92
-566.00,90.00,31.13,1.51,-0.72000,-1.92
-566.00,90.00,31.13,0.72,-0.72000,-1.93
-566.00,90.00,30.93,-0.13,-0.72000,-2.40
-566.00,90.00,30.55,-0.88,-0.72000,-2.83
-566.00,90.00,30.06,-1.33,-0.72000,-2.50
-566.00,90.00,29.53,-1.33,-0.72000,-2.50
-566.00,90.00,28.92,-1.59,-0.72000,-2.80
92.00,90.00,28.24,-2.00,-0.72000,-2.59
92.00,90.00,27.56,-2.06,-0.63000,-2.35
92.00,90.00,26.91,-1.90,-0.63000,-1.45
92.00,90.00,26.33,-1.90,-0.63000,-1.45
92.00,90.00,25.79,-1.75,-0.63000,-0.28
92.00,90.00,25.22,-1.73,-0.63000,0.16
-329.00,90.00,24.66,-1.73,-0.63000,0.12
-329.00,90.00,24.12,-1.55,-0.63000,-0.23
-329.00,90.00,23.62,-1.55,-0.63000,-0.23
-329.00,90.00,23.16,-1.49,-0.63000,-0.93
-329.00,90.00,22.65,-1.49,-0.63000,-1.17
-329.00,90.00,22.15,-1.53,-0.72000,-0.73
-540.00,90.00,21.66,-1.42,-0.81000,-1.76
-540.00,90.00,21.20,-1.42,-0.81000,-1.76
-540.00,90.00,20.72,-1.41,-0.81000,-3.45
-540.00,90.00,20.20,-1.53,-0.81000,-3.63
-540.00,90.00,19.66,-1.58,-0.81000,-3.12
-540.00,90.00,19.12,-1.60,-0.81000,-3.88
-645.00,90.00,18.55,-1.60,-0.81000,-3.88
-645.00,90.00,17.82,-1.70,-0.81000,-3.13
-645.00,90.00,16.84,-2.49,-0.72000,-3.34
-645.00,90.00,15.70,-3.17,-0.63000,-2.77
-645.00,90.00,14.41,-3.60,-0.63000,-1.70
-645.00,90.00,13.09,-3.60,-0.54000,-1.70
-698.00,90.00,11.39,-4.00,-0.54000,-1.13
-698.00,90.00,9.61,-4.84,-0.54000,-0.57
-698.00,90.00,7.96,-5.44,-0.45000,-0.15
-698.00,90.00,5.82,-5.98,-0.36000,1.10
-698.00,90.00,3.72,-5.98,-0.36000,1.10
26.00,90.00,1.17,-6.61,-0.36000,1.57
26.00,90.00,-1.21,-7.00,-0.36000,0.93
26.00,90.00,-3.47,-6.69,-0.36000,1.64
26.00,90.00,-5.38,-6.41,-0.27000,2.14
26.00,90.00,-7.33,-6.41,-0.27000,2.14
26.00,90.00,-9.46,-6.07,-0.45000,3.29
-362.00,90.00,-11.37,-5.74,-0.54000,2.86
-362.00,90.00,-13.20,-5.43,-0.54000,-0.25
-362.00,90.00,-14.92,-5.15,-0.54000,0.97
-362.00,90.00,-16.44,-5.15,-0.54000,0.97
-362.00,90.00,-17.83,-4.70,-0.63000,2.76
-362.00,90.00,-19.29,-4.48,-0.63000,1.23
194.00,90.00,-20.63,-4.14,-0.72000,1.35
194.00,90.00,-21.88,-3.73,-0.72000,0.46
194.00,90.00,-22.90,-3.73,-0.72000,0.46
194.00,90.00,-23.82,-3.16,-0.72000,0.85
194.00,90.00,-24.70,-2.87,-0.90000,1.99
194.00,90.00,-25.46,-2.46,-0.90000,0.40
472.00,90.00,-26.11,-2.00,-0.90000,-0.10
472.00,90.00,-26.57,-2.00,-0.90000,-0.10
472.00,90.00,-26.89,-1.42,-0.90000,1.16
472.00,90.00,-27.12,-0.94,-0.90000,1.04
472.00,90.00,-27.24,-0.56,-0.90000,0.80
472.00,90.00,-27.26,-0.15,-0.90000,0.07
611.00,90.00,-27.20,-0.15,-0.90000,0.07
611.00,90.00,-27.00,0.16,-0.90000,0.38
611.00,90.00,-26.61,0.77,-0.90000,0.86
