SL_PWM,U,SL_position,SL_speed,ARM_position,Sprung_acceleration_x
0.00,90.00,0.00,0.00,0.00000,10.07
756.00,90.00,0.12,0.00,0.00000,-0.01
756.00,90.00,0.61,0.86,0.00000,-0.02
756.00,90.00,1.47,2.14,0.00000,0.07
756.00,90.00,2.58,2.14,0.00000,0.07
756.00,90.00,3.93,3.27,0.00000,-0.01
756.00,90.00,5.69,4.65,0.00000,-0.08
756.00,90.00,7.74,5.58,-0.09000,0.12
756.00,90.00,9.98,6.31,-0.09000,0.03
785.00,90.00,12.23,6.31,-0.09000,0.03
785.00,90.00,15.09,7.02,-0.09000,-0.20
785.00,90.00,17.88,7.98,-0.09000,-0.04
785.00,90.00,20.60,8.02,-0.18000,0.69
785.00,90.00,24.21,8.83,-0.18000,0.68
785.00,90.00,27.90,9.08,-0.27000,1.12
785.00,90.00,31.63,9.34,-0.36000,0.67
785.00,90.00,35.42,9.42,-0.45000,0.38
-15.00,90.00,39.22,9.55,-0.45000,0.59
-15.00,90.00,42.63,8.92,-0.45000,0.08
-15.00,90.00,45.27,8.04,-0.54000,0.01
-15.00,90.00,47.49,8.04,-0.54000,0.01
-15.00,90.00,49.84,7.02,-0.54000,0.30
-15.00,90.00,51.72,6.19,-0.63000,0.36
-15.00,90.00,53.32,5.10,-0.72000,0.19
-15.00,90.00,54.62,4.11,-0.81000,-0.30
-415.00,90.00,55.58,4.11,-0.81000,-0.30
-415.00,90.00,56.24,2.95,-0.90000,0.00
-415.00,90.00,56.71,1.95,-0.90000,0.37
-415.00,90.00,56.85,0.96,-0.90000,0.36
-415.00,90.00,56.72,-0.14,-0.99000,-0.09
-415.00,90.00,56.44,-0.14,-0.99000,-0.09
-415.00,90.00,56.07,-0.79,-1.08000,-0.41
-415.00,90.00,55.57,-1.26,-1.17000,-0.57
-415.00,90.00,54.94,-1.69,-1.17000,-0.69
-615.00,90.00,54.14,-2.10,-1.17000,-0.68
-615.00,90.00,53.21,-2.10,-1.26000,-0.68
-615.00,90.00,51.87,-2.79,-1.26000,-0.58
-615.00,90.00,50.44,-3.80,-1.26000,-0.64
-615.00,90.00,48.84,-4.45,-1.26000,-0.52
-615.00,90.00,47.12,-4.91,-1.26000,-0.33
-615.00,90.00,45.39,-4.91,-1.26000,-0.33
-615.00,90.00,43.28,-5.32,-1.26000,-0.34
100.00,90.00,41.28,-5.82,-1.17000,-0.51
100.00,90.00,39.25,-5.84,-1.17000,-1.13
100.00,90.00,37.24,-5.85,-1.08000,-0.38
100.00,90.00,35.41,-5.85,-0.99000,-0.38
100.00,90.00,33.32,-5.73,-0.99000,-0.35
100.00,90.00,31.40,-5.70,-0.90000,-0.59
100.00,90.00,29.85,-5.46,-0.90000,-0.85
100.00,90.00,28.06,-5.27,-0.81000,-0.95
-358.00,90.00,26.42,-5.27,-0.72000,-0.95
-358.00,90.00,24.56,-5.02,-0.63000,-1.23
-358.00,90.00,22.83,-5.11,-0.63000,-1.10
-358.00,90.00,21.16,-4.98,-0.54000,-0.87
-358.00,90.00,19.49,-4.86,-0.45000,-0.60
-358.00,90.00,17.99,-4.86,-0.36000,-0.60
-358.00,90.00,16.56,-4.64,-0.27000,-0.07
-358.00,90.00,15.01,-4.66,-0.27000,0.79
-358.00,90.00,13.47,-4.57,-0.18000,1.40
-587.00,90.00,11.93,-4.43,-0.18000,1.61
-587.00,90.00,10.49,-4.43,-0.09000,1.61
-587.00,90.00,8.81,-4.41,-0.09000,1.59
-587.00,90.00,7.23,-4.62,-0.09000,1.59
-587.00,90.00,5.67,-4.60,-0.09000,1.08
-587.00,90.00,4.42,-4.52,-0.09000,0.56
-587.00,90.00,2.99,-4.52,-0.09000,0.56
-587.00,90.00,1.33,-4.36,-0.09000,0.20
-701.00,90.00,-0.24,-4.53,-0.09000,-0.15
-701.00,90.00,-2.01,-4.89,-0.09000,-0.11
-701.00,90.00,-3.98,-5.50,-0.09000,-0.10
-701.00,90.00,-5.94,-5.50,-0.09000,-0.10
-701.00,90.00,-8.38,-6.13,-0.09000,0.22
-701.00,90.00,-10.46,-6.72,-0.09000,0.15
-701.00,90.00,-12.90,-6.83,-0.09000,-0.18
-701.00,90.00,-15.44,-7.33,-0.09000,0.04
-758.00,90.00,-17.84,-7.33,-0.09000,0.04
-758.00,90.00,-20.86,-7.68,-0.18000,0.14
-758.00,90.00,-24.10,-8.31,-0.18000,0.12
-758.00,90.00,-27.61,-8.58,-0.27000,0.10
-758.00,90.00,-31.26,-8.89,-0.27000,-0.02
-758.00,90.00,-34.92,-8.04,-0.36000,2.14
-758.00,90.00,-38.51,-9.09,-0.45000,2.21
-758.00,90.00,-42.21,-9.16,-0.54000,1.30
28.00,90.00,-45.73,-9.20,-0.54000,-0.05
28.00,90.00,-48.85,-9.70,-0.63000,0.91
28.00,90.00,-51.27,-7.39,-0.81000,0.96
28.00,90.00,-53.43,-6.54,-0.90000,0.72
28.00,90.00,-55.30,-5.76,-0.90000,0.47
28.00,90.00,-56.82,-5.76,-1.08000,0.47
28.00,90.00,-58.26,-4.69,-1.17000,1.08
28.00,90.00,-59.34,-3.75,-1.26000,0.51
-394.00,90.00,-60.16,-2.84,-1.44000,-0.22
-394.00,90.00,-60.74,-1.94,-1.44000,-0.30
-394.00,90.00,-61.05,-1.94,-1.53000,-0.30
