SL_PWM,U,SL_position,SL_speed,ARM_position,Sprung_acceleration_x
0.00,90.00,0.00,0.00,0.00000,10.04
-600.00,90.00,0.00,0.00,0.00000,10.04
-600.00,90.00,-0.00,0.00,0.00000,10.04
-600.00,90.00,-0.02,-0.00,0.00000,0.01
-600.00,90.00,-0.05,-0.00,0.00000,0.01
-600.00,90.00,-0.09,-0.00,0.00000,0.01
-600.00,90.00,-0.16,-0.00,0.00000,0.01
-600.00,90.00,-0.24,-0.00,0.00000,0.01
-600.00,90.00,-0.34,-0.00,0.00000,0.01
-600.00,90.00,-0.45,-0.00,0.00000,0.01
-600.00,90.00,-0.57,-0.00,0.00000,0.01
-600.00,90.00,-0.70,-0.00,0.00000,0.01
-600.00,90.00,-0.83,-0.00,0.00000,0.01
-600.00,90.00,-0.97,-0.00,0.00000,0.01
-600.00,90.00,-1.11,-0.83,0.00000,-0.03
-600.00,90.00,-1.27,-0.83,0.00000,-0.03
-600.00,90.00,-1.43,-0.83,0.00000,-0.03
-600.00,90.00,-1.61,-0.83,0.00000,-0.03
-600.00,90.00,-1.79,-0.83,0.00000,-0.03
-600.00,90.00,-1.97,-0.83,0.00000,-0.03
-600.00,90.00,-2.16,-0.83,0.00000,-0.03
-600.00,90.00,-2.35,-0.83,0.00000,-0.03
-600.00,90.00,-2.55,-0.83,0.00000,-0.03
-600.00,90.00,-2.75,-0.83,0.00000,-0.03
-600.00,90.00,-2.96,-0.83,0.00000,-0.03
-600.00,90.00,-3.19,-1.60,0.00000,0.20
-600.00,90.00,-3.41,-1.60,0.00000,0.20
-600.00,90.00,-3.62,-1.60,0.00000,0.20
-600.00,90.00,-3.85,-1.60,0.00000,0.20
-600.00,90.00,-4.08,-1.60,0.00000,0.20
-600.00,90.00,-4.31,-1.60,0.00000,0.20
-600.00,90.00,-4.55,-1.60,0.00000,0.20
-600.00,90.00,-4.78,-1.60,-0.09000,0.20
-600.00,90.00,-5.02,-1.60,-0.09000,0.20
-600.00,90.00,-5.26,-1.60,-0.09000,0.20
-600.00,90.00,-5.50,-1.60,-0.09000,0.20
-600.00,90.00,-5.73,-2.01,-0.09000,0.18
-600.00,90.00,-5.98,-2.01,-0.09000,0.18
-600.00,90.00,-6.23,-2.01,-0.09000,0.18
-600.00,90.00,-6.47,-2.01,-0.09000,0.18
-600.00,90.00,-6.71,-2.01,-0.09000,0.18
-600.00,90.00,-6.96,-2.01,-0.09000,0.18
-600.00,90.00,-7.21,-2.01,-0.09000,0.18
-600.00,90.00,-7.46,-2.01,-0.09000,0.18
-600.00,90.00,-7.70,-2.01,-0.09000,0.18
-600.00,90.00,-7.95,-2.01,-0.09000,0.18
-600.00,90.00,-8.20,-2.01,-0.09000,0.18
-600.00,90.00,-8.44,-2.15,-0.09000,0.26
-600.00,90.00,-8.70,-2.15,-0.09000,0.26
-600.00,90.00,-8.95,-2.15,-0.18000,0.26
-600.00,90.00,-9.20,-2.15,-0.18000,0.26
-600.00,90.00,-9.44,-2.15,-0.18000,0.26
600.00,90.00,-9.68,-2.15,-0.18000,0.26
600.00,90.00,-9.89,-2.15,-0.18000,0.26
600.00,90.00,-10.06,-2.15,-0.18000,0.26
600.00,90.00,-10.18,-2.15,-0.18000,0.26
600.00,90.00,-10.25,-2.15,-0.18000,0.26
600.00,90.00,-10.28,-2.15,-0.18000,0.26
600.00,90.00,-10.26,-1.60,-0.18000,-0.37
600.00,90.00,-10.20,-1.60,-0.18000,-0.37
600.00,90.00,-10.11,-1.60,-0.18000,-0.37
600.00,90.00,-9.99,-1.60,-0.18000,-0.37
600.00,90.00,-9.85,-1.60,-0.18000,-0.37
600.00,90.00,-9.69,-1.60,-0.18000,-0.37
600.00,90.00,-9.51,-1.60,-0.18000,-0.37
600.00,90.00,-9.31,-1.60,-0.18000,-0.37
600.00,90.00,-9.09,-1.60,-0.18000,-0.37
600.00,90.00,-8.85,-1.60,-0.18000,-0.37
600.00,90.00,-8.58,-1.60,-0.18000,-0.37
600.00,90.00,-8.30,1.41,-0.18000,-0.60
600.00,90.00,-8.02,1.41,-0.18000,-0.60
600.00,90.00,-7.72,1.41,-0.18000,-0.60
600.00,90.00,-7.40,1.41,-0.18000,-0.60
600.00,90.00,-7.06,1.41,-0.18000,-0.60
600.00,90.00,-6.71,1.41,-0.18000,-0.60
600.00,90.00,-6.36,1.41,-0.18000,-0.60
