SL_PWM,U,SL_position,SL_speed,ARM_position,Sprung_acceleration_x
0.00,90.00,0.00,0.00,0.00000,10.02
696.00,90.00,0.00,0.00,0.00000,10.02
696.00,90.00,0.01,0.00,0.00000,10.02
696.00,90.00,0.03,0.00,0.00000,-0.01
696.00,90.00,0.10,0.00,0.00000,-0.01
696.00,90.00,0.22,0.00,0.00000,-0.01
696.00,90.00,0.37,0.00,0.00000,-0.01
696.00,90.00,0.57,0.00,0.00000,-0.01
696.00,90.00,0.80,0.00,0.00000,-0.01
696.00,90.00,1.06,0.00,0.00000,-0.01
696.00,90.00,1.36,0.00,0.00000,-0.01
696.00,90.00,1.67,0.00,0.00000,-0.01
696.00,90.00,2.04,0.00,0.00000,-0.01
696.00,90.00,2.42,0.00,0.00000,-0.01
696.00,90.00,2.82,2.10,0.00000,-0.04
696.00,90.00,3.25,2.10,0.09000,-0.04
696.00,90.00,3.71,2.10,0.09000,-0.04
696.00,90.00,4.21,2.10,0.09000,-0.04
696.00,90.00,4.71,2.10,0.09000,-0.04
696.00,90.00,5.23,2.10,0.09000,-0.04
696.00,90.00,5.79,2.10,0.09000,-0.04
696.00,90.00,6.36,2.10,0.09000,-0.04
696.00,90.00,6.94,2.10,0.09000,-0.04
696.00,90.00,7.57,2.10,0.09000,-0.04
696.00,90.00,7.99,2.10,0.09000,-0.04
696.00,90.00,8.36,2.10,0.09000,-0.04
696.00,90.00,9.16,4.59,0.09000,0.22
696.00,90.00,9.85,4.59,0.09000,0.22
723.00,90.00,10.53,4.59,0.09000,0.22
723.00,90.00,11.25,4.59,0.09000,0.22
723.00,90.00,11.97,4.59,0.09000,0.22
723.00,90.00,12.74,4.59,0.09000,0.22
723.00,90.00,13.50,4.59,0.09000,0.22
723.00,90.00,14.32,4.59,0.09000,0.22
723.00,90.00,15.14,4.59,0.09000,0.22
723.00,90.00,15.95,4.59,0.09000,0.22
723.00,90.00,16.53,4.59,0.09000,0.22
723.00,90.00,17.63,6.61,0.09000,-0.84
723.00,90.00,18.50,6.61,0.09000,-0.84
723.00,90.00,19.38,6.61,0.09000,-0.84
723.00,90.00,20.24,6.61,0.09000,-0.84
723.00,90.00,21.16,6.61,0.09000,-0.84
723.00,90.00,22.07,6.61,0.09000,-0.84
723.00,90.00,23.02,6.61,0.09000,-0.84
723.00,90.00,23.76,6.61,0.09000,-0.84
723.00,90.00,24.69,6.61,0.09000,-0.84
723.00,90.00,25.67,6.61,0.09000,-0.84
723.00,90.00,26.32,6.61,0.09000,-0.84
723.00,90.00,27.57,8.04,0.09000,0.70
723.00,90.00,28.54,8.04,0.09000,0.70
723.00,90.00,29.52,8.04,0.09000,0.70
723.00,90.00,30.51,8.04,0.09000,0.70
723.00,90.00,31.52,8.04,0.09000,0.70
-14.00,90.00,32.50,8.04,0.09000,0.70
-14.00,90.00,33.13,8.04,0.00000,0.70
-14.00,90.00,34.41,8.04,0.00000,0.70
-14.00,90.00,35.35,8.04,0.00000,0.70
-14.00,90.00,36.29,8.04,0.00000,0.70
-14.00,90.00,36.82,8.04,0.00000,0.70
-14.00,90.00,37.98,8.35,0.00000,0.70
