SL_PWM,U,SL_position,SL_speed,ARM_position,Sprung_acceleration_x
0.00,90.00,0.00,0.00,0.00000,10.03
756.00,90.00,0.00,0.00,0.00000,10.03
756.00,90.00,0.01,0.00,0.00000,10.03
756.00,90.00,0.04,0.00,0.00000,-0.02
756.00,90.00,0.14,0.00,0.00000,-0.02
756.00,90.00,0.28,0.00,0.00000,-0.02
756.00,90.00,0.49,0.00,0.00000,-0.02
756.00,90.00,0.74,0.00,0.00000,-0.02
756.00,90.00,1.03,0.00,0.00000,-0.02
756.00,90.00,1.37,0.00,0.00000,-0.02
756.00,90.00,1.75,0.00,0.09000,-0.02
756.00,90.00,2.16,0.00,0.09000,-0.02
756.00,90.00,2.62,0.00,0.09000,-0.02
756.00,90.00,3.11,0.00,0.09000,-0.02
756.00,90.00,3.64,2.71,0.09000,-0.34
756.00,90.00,4.21,2.71,0.09000,-0.34
756.00,90.00,4.81,2.71,0.09000,-0.34
756.00,90.00,5.46,2.71,0.09000,-0.34
756.00,90.00,6.12,2.71,0.09000,-0.34
756.00,90.00,6.81,2.71,0.09000,-0.34
756.00,90.00,7.55,2.71,0.09000,-0.34
756.00,90.00,8.31,2.71,0.09000,-0.34
756.00,90.00,9.09,2.71,0.18000,-0.34
756.00,90.00,9.88,2.71,0.18000,-0.34
756.00,90.00,10.44,2.71,0.18000,-0.34
756.00,90.00,11.55,6.03,0.18000,-0.22
756.00,90.00,12.47,6.03,0.18000,-0.22
756.00,90.00,13.38,6.03,0.18000,-0.22
756.00,90.00,14.31,6.03,0.18000,-0.22
756.00,90.00,15.25,6.03,0.18000,-0.22
756.00,90.00,16.24,6.03,0.18000,-0.22
756.00,90.00,17.73,6.03,0.18000,-0.22
756.00,90.00,19.24,6.03,0.27000,-0.22
756.00,90.00,20.63,6.03,0.27000,-0.22
756.00,90.00,22.24,8.23,0.27000,-0.90
756.00,90.00,23.86,8.23,0.27000,-0.90
756.00,90.00,25.50,8.23,0.27000,-0.90
756.00,90.00,27.18,8.23,0.27000,-0.90
756.00,90.00,28.92,8.23,0.27000,-0.90
756.00,90.00,30.63,8.23,0.36000,-0.90
756.00,90.00,32.39,8.23,0.36000,-0.90
756.00,90.00,34.08,8.23,0.27000,-0.90
756.00,90.00,35.83,9.89,0.27000,0.77
756.00,90.00,37.61,9.89,0.27000,0.77
756.00,90.00,39.45,9.89,0.27000,0.77
785.00,90.00,41.24,9.89,0.27000,0.77
785.00,90.00,43.11,9.89,0.27000,0.77
785.00,90.00,44.94,9.89,0.27000,0.77
785.00,90.00,46.76,9.89,0.27000,0.77
785.00,90.00,48.54,9.89,0.18000,0.77
785.00,90.00,50.41,10.57,0.09000,0.49
785.00,90.00,52.26,10.57,0.09000,0.49
785.00,90.00,54.17,10.57,0.09000,0.49
785.00,90.00,56.07,10.57,0.09000,0.49
785.00,90.00,57.92,10.57,0.00000,0.49
785.00,90.00,59.76,10.57,0.00000,0.49
785.00,90.00,61.61,10.57,-0.09000,0.49
785.00,90.00,63.35,10.57,-0.18000,0.49
785.00,90.00,65.17,10.74,-0.27000,3.47
785.00,90.00,66.96,10.74,-0.27000,3.47
785.00,90.00,68.74,10.74,-0.27000,3.47
785.00,90.00,70.52,10.74,-0.27000,3.47
785.00,90.00,72.29,10.74,-0.27000,3.47
785.00,90.00,74.04,10.74,-0.36000,3.47
785.00,90.00,75.77,10.74,-0.45000,3.47
785.00,90.00,77.48,10.74,-0.45000,3.47
785.00,90.00,79.17,10.18,-0.54000,1.23
785.00,90.00,80.85,10.18,-0.63000,1.23
785.00,90.00,82.50,10.18,-0.63000,1.23
785.00,90.00,84.14,10.18,-0.63000,1.23
785.00,90.00,85.76,10.18,-0.63000,1.23
785.00,90.00,87.39,10.18,-0.72000,1.23
785.00,90.00,89.01,10.18,-0.81000,1.23
785.00,90.00,90.54,10.18,-0.90000,1.23
785.00,90.00,92.14,9.43,-0.99000,0.09
785.00,90.00,93.71,9.43,-0.99000,0.09
785.00,90.00,95.23,9.43,-0.99000,0.09
785.00,90.00,96.26,9.43,-0.99000,0.09
785.00,90.00,97.29,9.43,-1.08000,0.09
-15.00,90.00,98.32,9.43,-1.08000,0.09
-15.00,90.00,99.28,9.43,-1.17000,0.09
-15.00,90.00,100.19,9.43,-1.17000,0.09
-15.00,90.00,100.98,9.43,-1.26000,0.09
-15.00,90.00,101.56,9.43,-1.26000,0.09
-15.00,90.00,102.64,8.73,-1.35000,0.07
-15.00,90.00,103.42,8.73,-1.35000,0.07
-15.00,90.00,104.16,8.73,-1.44000,0.07
-15.00,90.00,104.86,8.73,-1.44000,0.07
-15.00,90.00,105.51,8.73,-1.44000,0.07
-15.00,90.00,106.12,8.73,-1.44000,0.07
-15.00,90.00,106.71,8.73,-1.53000,0.07
-15.00,90.00,107.26,8.73,-1.53000,0.07
-15.00,90.00,107.77,8.73,-1.62000,0.07
-15.00,90.00,108.24,8.73,-1.62000,0.07
-15.00,90.00,108.65,8.73,-1.71000,0.07
-15.00,90.00,109.04,5.36,-1.80000,0.40
-15.00,90.00,109.40,5.36,-1.80000,0.40
-15.00,90.00,109.70,5.36,-1.89000,0.40
-15.00,90.00,109.98,5.36,-1.89000,0.40
-15.00,90.00,110.21,5.36,-1.98000,0.40
-15.00,90.00,110.42,5.36,-1.98000,0.40
-15.00,90.00,110.59,5.36,-1.98000,0.40
-15.00,90.00,110.72,5.36,-2.07000,0.40
-15.00,90.00,110.82,5.36,-2.07000,0.40
-15.00,90.00,110.87,5.36,-2.16000,0.40
-15.00,90.00,110.88,5.36,-2.16000,0.40
-15.00,90.00,110.85,1.67,-2.16000,-0.02
-15.00,90.00,110.81,1.67,-2.25000,-0.02
-15.00,90.00,110.74,1.67,-2.25000,-0.02
-15.00,90.00,110.64,1.67,-2.34000,-0.02
-15.00,90.00,110.53,1.67,-2.43000,-0.02
-15.00,90.00,110.40,1.67,-2.43000,-0.02
-15.00,90.00,110.25,1.67,-2.43000,-0.02
-15.00,90.00,110.09,1.67,-2.52000,-0.02
-15.00,90.00,109.93,1.67,-2.52000,-0.02
-15.00,90.00,109.75,1.67,-2.52000,-0.02
-15.00,90.00,109.55,1.67,-2.61000,-0.02
-15.00,90.00,109.33,-1.10,-2.61000,-0.52
-15.00,90.00,109.11,-1.10,-2.70000,-0.52
-15.00,90.00,108.87,-1.10,-2.70000,-0.52
-15.00,90.00,108.62,-1.10,-2.79000,-0.52
-15.00,90.00,108.36,-1.10,-2.79000,-0.52
-15.00,90.00,108.09,-1.10,-2.79000,-0.52
-15.00,90.00,107.81,-1.10,-2.88000,-0.52
-15.00,90.00,107.51,-1.10,-2.88000,-0.52
-15.00,90.00,107.20,-1.10,-2.97000,-0.52
