SL_PWM,U,SL_position,SL_speed,ARM_position,Sprung_acceleration_x
0.00,90.00,0.00,0.00,0.00000,10.08
756.00,90.00,0.00,0.00,0.00000,10.08
756.00,90.00,0.01,0.00,0.00000,10.08
756.00,90.00,0.04,0.00,0.00000,0.01
756.00,90.00,0.12,0.00,0.00000,0.01
756.00,90.00,0.24,0.00,0.00000,0.01
756.00,90.00,0.40,0.00,0.00000,0.01
756.00,90.00,0.60,0.00,0.00000,0.01
756.00,90.00,0.84,0.00,0.00000,0.01
756.00,90.00,1.13,0.00,0.00000,0.01
756.00,90.00,1.46,0.00,0.00000,0.01
756.00,90.00,1.82,0.00,0.00000,0.01
756.00,90.00,2.21,0.00,0.00000,0.01
756.00,90.00,2.65,0.00,0.00000,0.01
756.00,90.00,3.11,2.30,0.00000,0.09
756.00,90.00,3.61,2.30,0.00000,0.09
756.00,90.00,4.13,2.30,0.00000,0.09
756.00,90.00,4.68,2.30,0.00000,0.09
756.00,90.00,5.25,2.30,0.00000,0.09
756.00,90.00,5.84,2.30,0.00000,0.09
756.00,90.00,6.46,2.30,0.00000,0.09
756.00,90.00,7.12,2.30,0.00000,0.09
756.00,90.00,7.78,2.30,-0.09000,0.09
756.00,90.00,8.47,2.30,-0.09000,0.09
756.00,90.00,8.94,2.30,-0.09000,0.09
756.00,90.00,9.29,2.30,-0.09000,0.09
756.00,90.00,10.27,5.14,-0.09000,0.33
756.00,90.00,11.03,5.14,-0.09000,0.33
785.00,90.00,11.77,5.14,-0.09000,0.33
785.00,90.00,12.57,5.14,-0.09000,0.33
785.00,90.00,13.39,5.14,-0.09000,0.33
785.00,90.00,14.22,5.14,-0.09000,0.33
785.00,90.00,15.09,5.14,-0.09000,0.33
785.00,90.00,15.95,5.14,-0.09000,0.33
785.00,90.00,16.81,5.14,-0.18000,0.33
785.00,90.00,17.72,5.14,-0.18000,0.33
785.00,90.00,18.33,5.14,-0.18000,0.33
785.00,90.00,19.51,7.35,-0.18000,1.42
785.00,90.00,20.46,7.35,-0.27000,1.42
785.00,90.00,21.39,7.35,-0.27000,1.42
785.00,90.00,22.33,7.35,-0.27000,1.42
785.00,90.00,23.26,7.35,-0.27000,1.42
785.00,90.00,24.24,7.35,-0.36000,1.42
785.00,90.00,25.07,7.35,-0.36000,1.42
785.00,90.00,26.05,7.35,-0.36000,1.42
785.00,90.00,27.03,7.35,-0.36000,1.42
785.00,90.00,28.02,7.35,-0.45000,1.42
785.00,90.00,28.72,7.35,-0.45000,1.42
785.00,90.00,30.00,8.39,-0.45000,0.08
785.00,90.00,31.51,8.39,-0.45000,0.08
785.00,90.00,32.16,8.39,-0.45000,0.08
785.00,90.00,33.53,8.39,-0.45000,0.08
-15.00,90.00,34.20,8.39,-0.45000,0.08
-15.00,90.00,35.51,8.39,-0.45000,0.08
-15.00,90.00,36.46,8.39,-0.54000,0.08
-15.00,90.00,37.38,8.39,-0.54000,0.08
-15.00,90.00,38.27,8.39,-0.54000,0.08
-15.00,90.00,38.71,8.39,-0.63000,0.08
-15.00,90.00,39.79,8.33,-0.63000,-0.32
-15.00,90.00,40.58,8.33,-0.63000,-0.32
-15.00,90.00,41.33,8.33,-0.63000,-0.32
-15.00,90.00,42.08,8.33,-0.63000,-0.32
-15.00,90.00,42.79,8.33,-0.63000,-0.32
-15.00,90.00,43.48,8.33,-0.72000,-0.32
-15.00,90.00,44.15,8.33,-0.72000,-0.32
-15.00,90.00,44.76,8.33,-0.72000,-0.32
-15.00,90.00,45.35,8.33,-0.72000,-0.32
-15.00,90.00,45.91,8.33,-0.81000,-0.32
-15.00,90.00,46.45,8.33,-0.81000,-0.32
-15.00,90.00,46.93,5.89,-0.81000,0.47
-15.00,90.00,47.41,5.89,-0.90000,0.47
-15.00,90.00,47.83,5.89,-0.90000,0.47
-15.00,90.00,48.24,5.89,-0.90000,0.47
-15.00,90.00,48.60,5.89,-0.90000,0.47
-15.00,90.00,48.93,5.89,-0.90000,0.47
-15.00,90.00,49.23,5.89,-0.90000,0.47
-15.00,90.00,49.50,5.89,-0.99000,0.47
-415.00,90.00,49.74,5.89,-0.99000,0.47
-415.00,90.00,49.95,5.89,-0.99000,0.47
-415.00,90.00,50.12,5.89,-0.99000,0.47
-415.00,90.00,50.26,2.82,-1.08000,0.06
-415.00,90.00,50.37,2.82,-1.08000,0.06
-415.00,90.00,50.43,2.82,-1.08000,0.06
-415.00,90.00,50.46,2.82,-1.08000,0.06
-415.00,90.00,50.46,2.82,-1.17000,0.06
-415.00,90.00,50.43,2.82,-1.17000,0.06
-415.00,90.00,50.39,2.82,-1.17000,0.06
-415.00,90.00,50.32,2.82,-1.17000,0.06
-415.00,90.00,50.23,2.82,-1.17000,0.06
-415.00,90.00,50.13,2.82,-1.26000,0.06
-415.00,90.00,50.00,2.82,-1.26000,0.06
-415.00,90.00,49.86,-0.15,-1.26000,-0.87
-415.00,90.00,49.71,-0.15,-1.26000,-0.87
-415.00,90.00,49.56,-0.15,-1.26000,-0.87
-415.00,90.00,49.39,-0.15,-1.26000,-0.87
-415.00,90.00,49.21,-0.15,-1.35000,-0.87
-415.00,90.00,49.01,-0.15,-1.35000,-0.87
-415.00,90.00,48.80,-0.15,-1.35000,-0.87
-415.00,90.00,48.58,-0.15,-1.35000,-0.87
-415.00,90.00,48.35,-0.15,-1.35000,-0.87
-415.00,90.00,48.10,-0.15,-1.35000,-0.87
-415.00,90.00,47.85,-0.15,-1.35000,-0.87
-615.00,90.00,47.59,-1.73,-1.35000,-0.65
-615.00,90.00,47.30,-1.73,-1.35000,-0.65
-615.00,90.00,46.98,-1.73,-1.35000,-0.65
-615.00,90.00,46.65,-1.73,-1.35000,-0.65
-615.00,90.00,46.29,-1.73,-1.35000,-0.65
-615.00,90.00,45.90,-1.73,-1.35000,-0.65
-615.00,90.00,45.48,-1.73,-1.35000,-0.65
-615.00,90.00,45.05,-1.73,-1.44000,-0.65
-615.00,90.00,44.60,-1.73,-1.44000,-0.65
-615.00,90.00,44.14,-1.73,-1.44000,-0.65
-615.00,90.00,43.65,-1.73,-1.44000,-0.65
-615.00,90.00,43.14,-3.41,-1.44000,-0.49
-615.00,90.00,42.60,-3.41,-1.44000,-0.49
-615.00,90.00,42.06,-3.41,-1.44000,-0.49
-615.00,90.00,41.50,-3.41,-1.44000,-0.49
-615.00,90.00,40.93,-3.41,-1.44000,-0.49
-615.00,90.00,40.34,-3.41,-1.44000,-0.49
-615.00,90.00,39.74,-3.41,-1.44000,-0.49
-615.00,90.00,39.15,-3.41,-1.44000,-0.49
-615.00,90.00,38.53,-3.41,-1.35000,-0.49
-615.00,90.00,37.88,-3.41,-1.35000,-0.49
-615.00,90.00,37.46,-3.41,-1.35000,-0.49
-615.00,90.00,36.60,-5.04,-1.35000,-1.84
-615.00,90.00,35.94,-5.04,-1.35000,-1.84
-615.00,90.00,35.26,-5.04,-1.26000,-1.84
100.00,90.00,34.60,-5.04,-1.26000,-1.84
100.00,90.00,33.95,-5.04,-1.26000,-1.84
100.00,90.00,33.27,-5.04,-1.26000,-1.84
100.00,90.00,32.61,-5.04,-1.26000,-1.84
100.00,90.00,31.92,-5.04,-1.26000,-1.84
100.00,90.00,31.25,-5.04,-1.17000,-1.84
100.00,90.00,30.61,-5.04,-1.17000,-1.84
100.00,90.00,30.17,-5.04,-1.17000,-1.84
100.00,90.00,29.83,-5.04,-1.17000,-1.84
100.00,90.00,28.97,-5.72,-1.17000,-1.37
100.00,90.00,28.32,-5.72,-1.08000,-1.37
100.00,90.00,27.68,-5.72,-1.08000,-1.37
100.00,90.00,27.02,-5.72,-1.08000,-1.37
100.00,90.00,26.40,-5.72,-1.08000,-1.37
100.00,90.00,25.76,-5.72,-0.99000,-1.37
100.00,90.00,25.14,-5.72,-0.99000,-1.37
100.00,90.00,24.83,-5.72,-0.99000,-1.37
100.00,90.00,24.23,-5.72,-0.99000,-1.37
100.00,90.00,23.62,-5.72,-0.90000,-1.37
100.00,90.00,23.01,-5.72,-0.90000,-1.37
100.00,90.00,22.44,-5.62,-0.90000,-1.32
100.00,90.00,21.85,-5.62,-0.81000,-1.32
100.00,90.00,21.27,-5.62,-0.81000,-1.32
100.00,90.00,20.68,-5.62,-0.81000,-1.32
100.00,90.00,20.10,-5.62,-0.72000,-1.32
100.00,90.00,19.55,-5.62,-0.72000,-1.32
-358.00,90.00,18.98,-5.62,-0.72000,-1.32
-358.00,90.00,18.40,-5.62,-0.63000,-1.32
-358.00,90.00,17.85,-5.62,-0.63000,-1.32
-358.00,90.00,17.27,-5.62,-0.63000,-1.32
-358.00,90.00,16.91,-5.62,-0.54000,-1.32
-358.00,90.00,16.59,-5.62,-0.54000,-1.32
-358.00,90.00,15.88,-4.86,-0.54000,-0.37
-358.00,90.00,15.33,-4.86,-0.54000,-0.37
-358.00,90.00,14.79,-4.86,-0.45000,-0.37
-358.00,90.00,14.23,-4.86,-0.45000,-0.37
-358.00,90.00,13.70,-4.86,-0.45000,-0.37
-358.00,90.00,13.16,-4.86,-0.45000,-0.37
-358.00,90.00,12.63,-4.86,-0.36000,-0.37
-358.00,90.00,12.09,-4.86,-0.36000,-0.37
-358.00,90.00,11.55,-4.86,-0.36000,-0.37
-358.00,90.00,11.36,-4.86,-0.36000,-0.37
-358.00,90.00,10.83,-4.86,-0.27000,-0.37
-358.00,90.00,10.32,-4.80,-0.27000,1.30
-358.00,90.00,9.80,-4.80,-0.27000,1.30
-358.00,90.00,9.29,-4.80,-0.27000,1.30
-358.00,90.00,8.78,-4.80,-0.18000,1.30
-358.00,90.00,8.26,-4.80,-0.18000,1.30
-358.00,90.00,7.77,-4.80,-0.18000,1.30
-358.00,90.00,7.25,-4.80,-0.18000,1.30
-358.00,90.00,6.75,-4.80,-0.18000,1.30
-587.00,90.00,6.25,-4.80,-0.18000,1.30
-587.00,90.00,5.75,-4.80,-0.18000,1.30
-587.00,90.00,5.26,-4.80,-0.18000,1.30
-587.00,90.00,4.75,-4.41,-0.18000,1.30
-587.00,90.00,4.24,-4.41,-0.18000,1.30
-587.00,90.00,3.75,-4.41,-0.18000,1.30
-587.00,90.00,3.24,-4.41,-0.09000,1.30
-587.00,90.00,2.71,-4.41,-0.09000,1.30
-587.00,90.00,2.20,-4.41,-0.09000,1.30
-587.00,90.00,1.70,-4.41,-0.09000,1.30
-587.00,90.00,1.20,-4.41,-0.09000,1.30
-587.00,90.00,0.67,-4.41,-0.09000,1.30
-587.00,90.00,0.16,-4.41,-0.09000,1.30
-587.00,90.00,-0.35,-4.41,-0.09000,1.30
-587.00,90.00,-0.85,-4.46,-0.09000,0.40
-587.00,90.00,-1.35,-4.46,-0.09000,0.40
-587.00,90.00,-1.86,-4.46,-0.09000,0.40
-587.00,90.00,-2.05,-4.46,-0.09000,0.40
-587.00,90.00,-2.55,-4.46,-0.09000,0.40
-587.00,90.00,-3.06,-4.46,-0.09000,0.40
-587.00,90.00,-3.57,-4.46,-0.09000,0.40
-587.00,90.00,-4.07,-4.46,-0.09000,0.40
-587.00,90.00,-4.56,-4.46,-0.09000,0.40
-587.00,90.00,-5.08,-4.46,-0.09000,0.40
-587.00,90.00,-5.57,-4.46,-0.09000,0.40
-701.00,90.00,-6.09,-4.40,-0.09000,-0.37
-701.00,90.00,-6.61,-4.40,-0.09000,-0.37
-701.00,90.00,-7.16,-4.40,-0.09000,-0.37
-701.00,90.00,-7.72,-4.40,-0.09000,-0.37
-701.00,90.00,-8.30,-4.40,-0.09000,-0.37
-701.00,90.00,-8.93,-4.40,-0.09000,-0.37
-701.00,90.00,-9.55,-4.40,-0.09000,-0.37
-701.00,90.00,-10.22,-4.40,-0.09000,-0.37
-701.00,90.00,-10.88,-4.40,-0.09000,-0.37
-701.00,90.00,-11.58,-4.40,-0.09000,-0.37
-701.00,90.00,-12.04,-4.40,-0.09000,-0.37
-701.00,90.00,-13.00,-5.31,-0.09000,0.94
-701.00,90.00,-13.75,-5.31,-0.09000,0.94
-701.00,90.00,-14.51,-5.31,-0.09000,0.94
-701.00,90.00,-15.27,-5.31,-0.09000,0.94
-701.00,90.00,-15.73,-5.31,-0.09000,0.94
-701.00,90.00,-16.50,-5.31,-0.09000,0.94
-701.00,90.00,-17.31,-5.31,-0.09000,0.94
-701.00,90.00,-18.13,-5.31,-0.09000,0.94
-701.00,90.00,-18.97,-5.31,-0.09000,0.94
-701.00,90.00,-19.78,-5.31,-0.09000,0.94
-701.00,90.00,-20.36,-5.31,-0.09000,0.94
-701.00,90.00,-21.46,-6.88,-0.09000,-0.62
-701.00,90.00,-22.32,-6.88,-0.09000,-0.62
-701.00,90.00,-23.20,-6.88,-0.09000,-0.62
