SL_PWM,U,SL_position,SL_speed,ARM_position,Sprung_acceleration_x
0.00,90.00,0.00,0.00,0.09000,20.05
-815.94,90.00,0.00,0.00,0.09000,20.05
-815.94,90.00,-0.01,0.00,0.00000,20.05
-815.94,90.00,-0.05,-0.00,0.00000,0.04
-815.94,90.00,-0.14,-0.00,0.00000,0.04
-815.94,90.00,-0.30,-0.00,0.00000,0.04
-815.94,90.00,-0.51,-0.00,0.00000,0.04
-815.94,90.00,-0.77,-0.00,-0.09000,0.04
-815.94,90.00,-1.09,-0.00,-0.09000,0.04
-815.94,90.00,-1.47,-0.00,-0.09000,0.04
-815.94,90.00,-1.89,-0.00,-0.09000,0.04
-815.94,90.00,-2.35,-0.00,-0.09000,0.04
-815.94,90.00,-2.87,-0.00,-0.09000,0.04
-815.94,90.00,-3.45,-0.00,-0.09000,0.04
-815.94,90.00,-4.02,-3.02,-0.09000,0.16
-815.94,90.00,-4.69,-3.02,-0.09000,0.16
-815.94,90.00,-5.35,-3.02,-0.09000,0.16
-815.94,90.00,-6.09,-3.02,-0.09000,0.16
-815.94,90.00,-6.83,-3.02,-0.09000,0.16
-815.94,90.00,-7.64,-3.02,-0.09000,0.16
-815.94,90.00,-8.46,-3.02,-0.09000,0.16
-815.94,90.00,-9.29,-3.02,-0.09000,0.16
-815.94,90.00,-10.18,-3.02,-0.09000,0.16
-815.94,90.00,-11.08,-3.02,-0.09000,0.16
-815.94,90.00,-11.73,-3.02,-0.18000,0.16
-815.94,90.00,-12.97,-6.81,-0.18000,2.79
-815.94,90.00,-14.44,-6.81,-0.18000,2.79
-815.94,90.00,-15.71,-6.81,-0.18000,2.79
-815.94,90.00,-17.27,-6.81,-0.27000,2.79
-815.94,90.00,-18.89,-6.81,-0.27000,2.79
-815.94,90.00,-20.58,-6.81,-0.27000,2.79
-815.94,90.00,-22.23,-6.81,-0.36000,2.79
-815.94,90.00,-23.92,-6.81,-0.36000,2.79
-815.94,90.00,-25.62,-9.14,-0.36000,3.68
-815.94,90.00,-27.33,-9.14,-0.36000,3.68
-815.94,90.00,-28.99,-9.14,-0.45000,3.68
-815.94,90.00,-30.76,-9.14,-0.54000,3.68
-815.94,90.00,-32.55,-9.14,-0.54000,3.68
