SL_PWM,U,SL_position,SL_speed,ARM_position,Sprung_acceleration_x
0.00,90.00,0.00,0.00,0.00000,10.05
696.00,90.00,0.09,0.00,0.00000,0.01
696.00,90.00,0.46,0.65,0.00000,-0.05
696.00,90.00,1.12,1.64,0.00000,-0.01
696.00,90.00,1.98,1.64,0.00000,-0.01
696.00,90.00,3.04,2.52,0.00000,-0.02
696.00,90.00,4.41,3.60,0.00000,0.03
723.00,90.00,6.00,4.37,0.00000,-0.05
723.00,90.00,7.81,5.01,0.00000,0.05
723.00,90.00,9.65,5.01,0.00000,0.05
723.00,90.00,12.01,5.66,0.00000,-0.10
723.00,90.00,14.34,6.65,0.00000,-0.24
723.00,90.00,16.81,6.91,0.00000,0.02
-14.00,90.00,19.23,7.12,0.00000,0.05
-14.00,90.00,21.14,7.12,0.00000,0.05
-14.00,90.00,23.58,6.74,0.00000,0.50
-14.00,90.00,25.71,6.59,0.00000,0.69
-14.00,90.00,27.73,6.01,0.00000,-0.51
-382.00,90.00,29.60,5.56,-0.09000,-0.80
-382.00,90.00,31.17,5.56,-0.09000,-0.80
-382.00,90.00,32.81,4.91,-0.09000,0.18
-382.00,90.00,33.86,4.34,-0.09000,0.64
-382.00,90.00,35.00,3.65,-0.09000,0.68
-382.00,90.00,35.92,2.89,-0.18000,0.54
-566.00,90.00,36.59,2.89,-0.18000,0.54
-566.00,90.00,36.97,2.05,-0.18000,0.43
-566.00,90.00,37.05,1.01,-0.18000,0.15
-566.00,90.00,36.89,-0.14,-0.18000,-0.44
-566.00,90.00,36.55,-0.82,-0.18000,-0.63
-566.00,90.00,36.12,-0.82,-0.18000,-0.63
92.00,90.00,35.63,-1.26,-0.18000,-0.44
92.00,90.00,35.06,-1.63,-0.18000,-0.52
92.00,90.00,34.50,-1.73,-0.18000,-0.63
92.00,90.00,33.98,-1.54,-0.18000,-0.27
92.00,90.00,33.50,-1.54,-0.18000,-0.27
92.00,90.00,33.05,-1.43,-0.18000,0.10
-329.00,90.00,32.58,-1.43,-0.18000,0.09
-329.00,90.00,32.11,-1.40,-0.18000,0.10
-329.00,90.00,31.64,-1.38,-0.18000,0.02
-329.00,90.00,31.22,-1.38,-0.18000,0.02
-329.00,90.00,30.79,-1.27,-0.18000,-0.12
-329.00,90.00,30.32,-1.41,-0.18000,-0.05
-540.00,90.00,29.87,-1.36,-0.18000,0.01
-540.00,90.00,29.39,-1.36,-0.18000,0.06
-540.00,90.00,28.92,-1.36,-0.18000,0.06
-540.00,90.00,28.46,-1.39,-0.18000,0.10
-540.00,90.00,27.90,-1.54,-0.18000,0.05
-540.00,90.00,27.35,-1.69,-0.18000,-0.06
