CONTROLLER_FLAG,SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
100,0.00,90.00,0.00,0.00,0.00000,0.00000,10.05
100,756.00,90.00,0.00,0.00,0.00000,0.00000,10.05
100,756.00,90.00,0.01,0.00,0.00000,0.00000,10.05
100,756.00,90.00,0.07,0.00,0.00000,0.00000,-0.01
100,756.00,90.00,0.16,0.00,0.00000,17.44440,-0.01
100,756.00,90.00,0.31,0.00,0.00000,17.44440,-0.01
100,756.00,90.00,0.50,0.00,0.00000,17.44440,-0.01
100,756.00,90.00,0.71,0.00,0.00000,17.44440,-0.01
100,756.00,90.00,0.97,0.00,0.00000,17.44440,-0.01
100,756.00,90.00,1.25,0.00,0.00000,17.44440,-0.01
100,756.00,90.00,1.58,0.00,0.00000,17.44440,-0.01
100,756.00,90.00,1.93,0.00,0.00000,17.44440,-0.01
100,756.00,90.00,2.19,0.00,0.00000,17.44440,-0.01
100,756.00,90.00,2.73,2.11,0.00000,17.44440,0.01
100,756.00,90.00,3.18,2.11,0.00000,17.44440,0.01
100,756.00,90.00,3.65,2.11,0.00000,34.57560,0.01
100,756.00,90.00,4.16,2.11,0.00000,34.57560,0.01
100,756.00,90.00,4.66,2.11,0.00000,34.57560,0.01
100,756.00,90.00,5.21,2.11,0.00000,34.57560,0.01
100,756.00,90.00,5.78,2.11,-0.09000,34.57560,0.01
100,756.00,90.00,6.37,2.11,-0.09000,34.57560,0.01
100,756.00,90.00,6.96,2.11,-0.09000,34.57560,0.01
100,756.00,90.00,7.39,2.11,-0.09000,34.57560,0.01
100,756.00,90.00,8.21,4.66,-0.09000,34.57560,0.47
100,756.00,90.00,8.86,4.66,-0.09000,34.57560,0.47
100,756.00,90.00,9.54,4.66,-0.09000,34.98840,0.47
100,756.00,90.00,10.24,4.66,-0.09000,34.98840,0.47
100,785.00,90.00,10.95,4.66,-0.09000,34.98840,0.47
100,785.00,90.00,11.68,4.66,-0.09000,34.98840,0.47
100,785.00,90.00,12.45,4.66,-0.09000,34.98840,0.47
100,785.00,90.00,13.21,4.66,-0.09000,34.98840,0.47
100,785.00,90.00,13.99,4.66,-0.18000,34.98840,0.47
100,785.00,90.00,14.52,4.66,-0.18000,34.98840,0.47
100,785.00,90.00,15.62,4.66,-0.18000,34.98840,0.47
100,785.00,90.00,16.64,6.31,-0.18000,34.98840,-0.07
100,785.00,90.00,17.93,6.31,-0.18000,7.00400,-0.07
100,785.00,90.00,19.21,6.31,-0.27000,7.00400,-0.07
100,785.00,90.00,20.52,6.31,-0.27000,7.00400,-0.07
100,785.00,90.00,21.87,6.31,-0.27000,7.00400,-0.07
100,785.00,90.00,23.24,6.31,-0.27000,7.00400,-0.07
100,785.00,90.00,24.60,6.31,-0.27000,7.00400,-0.07
100,785.00,90.00,25.97,7.71,-0.27000,7.00400,1.97
100,785.00,90.00,27.36,7.71,-0.27000,8.25960,1.97
100,785.00,90.00,28.79,7.71,-0.27000,8.25960,1.97
100,785.00,90.00,30.10,7.71,-0.36000,8.25960,1.97
100,785.00,90.00,31.56,7.71,-0.36000,8.25960,1.97
100,-15.00,90.00,32.98,7.71,-0.45000,8.25960,1.97
100,-15.00,90.00,34.28,7.71,-0.45000,8.25960,1.97
100,-15.00,90.00,35.52,8.07,-0.45000,8.25960,-0.71
100,-15.00,90.00,36.76,8.07,-0.45000,8.58640,-0.71
100,-15.00,90.00,37.93,8.07,-0.45000,8.58640,-0.71
100,-15.00,90.00,39.03,8.07,-0.45000,8.58640,-0.71
100,-15.00,90.00,39.73,8.07,-0.45000,8.58640,-0.71
100,-15.00,90.00,40.41,8.07,-0.54000,8.58640,-0.71
100,-15.00,90.00,41.07,8.07,-0.54000,8.58640,-0.71
100,-15.00,90.00,41.48,8.07,-0.54000,8.58640,-0.71
100,-15.00,90.00,42.27,6.20,-0.63000,8.58640,-0.24
100,-15.00,90.00,42.84,6.20,-0.63000,8.58640,-0.24
100,-15.00,90.00,43.27,6.20,-0.63000,32.75240,-0.24
100,-15.00,90.00,43.78,6.20,-0.63000,32.75240,-0.24
100,-15.00,90.00,44.25,6.20,-0.63000,32.75240,-0.24
100,-15.00,90.00,44.70,6.20,-0.63000,32.75240,-0.24
100,-15.00,90.00,45.11,6.20,-0.63000,32.75240,-0.24
100,-15.00,90.00,45.49,6.20,-0.63000,32.75240,-0.24
100,-15.00,90.00,45.86,6.20,-0.63000,32.75240,-0.24
100,-15.00,90.00,46.09,6.20,-0.63000,32.75240,-0.24
100,-15.00,90.00,46.49,4.14,-0.63000,32.75240,-0.10
100,-15.00,90.00,46.75,4.14,-0.72000,32.75240,-0.10
100,-415.00,90.00,46.99,4.14,-0.72000,33.80160,-0.10
100,-415.00,90.00,47.20,4.14,-0.72000,33.80160,-0.10
100,-415.00,90.00,47.38,4.14,-0.72000,33.80160,-0.10
100,-415.00,90.00,47.52,4.14,-0.72000,33.80160,-0.10
100,-415.00,90.00,47.63,4.14,-0.72000,33.80160,-0.10
100,-415.00,90.00,47.70,4.14,-0.72000,33.80160,-0.10
100,-415.00,90.00,47.72,4.14,-0.72000,33.80160,-0.10
100,-415.00,90.00,47.72,4.14,-0.72000,33.80160,-0.10
100,-415.00,90.00,47.70,1.26,-0.72000,33.80160,0.28
100,-415.00,90.00,47.67,1.26,-0.81000,33.80160,0.28
100,-415.00,90.00,47.63,1.26,-0.81000,28.81360,0.28
100,-415.00,90.00,47.57,1.26,-0.81000,28.81360,0.28
100,-415.00,90.00,47.50,1.26,-0.81000,28.81360,0.28
100,-415.00,90.00,47.41,1.26,-0.81000,28.81360,0.28
100,-415.00,90.00,47.32,1.26,-0.81000,28.81360,0.28
100,-415.00,90.00,47.23,1.26,-0.81000,28.81360,0.28
100,-415.00,90.00,47.13,1.26,-0.81000,28.81360,0.28
100,-415.00,90.00,47.04,1.26,-0.81000,28.81360,0.28
100,-415.00,90.00,46.95,-0.61,-0.81000,28.81360,-0.34
100,-415.00,90.00,46.85,-0.61,-0.81000,28.81360,-0.34
100,-415.00,90.00,46.75,-0.61,-0.81000,29.39840,-0.34
100,-415.00,90.00,46.63,-0.61,-0.81000,29.39840,-0.34
100,-415.00,90.00,46.51,-0.61,-0.81000,29.39840,-0.34
100,-415.00,90.00,46.39,-0.61,-0.90000,29.39840,-0.34
100,-415.00,90.00,46.25,-0.61,-0.90000,29.39840,-0.34
100,-615.00,90.00,46.10,-0.61,-0.90000,29.39840,-0.34
100,-615.00,90.00,45.92,-0.61,-0.90000,29.39840,-0.34
100,-615.00,90.00,45.72,-0.61,-0.90000,29.39840,-0.34
100,-615.00,90.00,45.50,-1.15,-0.90000,29.39840,-0.56
100,-615.00,90.00,45.26,-1.15,-0.90000,29.39840,-0.56
100,-615.00,90.00,45.00,-1.15,-0.90000,28.38360,-0.56
100,-615.00,90.00,44.72,-1.15,-0.90000,28.38360,-0.56
100,-615.00,90.00,44.40,-1.15,-0.90000,28.38360,-0.56
100,-615.00,90.00,44.08,-1.15,-0.90000,28.38360,-0.56
100,-615.00,90.00,43.72,-1.15,-0.90000,28.38360,-0.56
100,-615.00,90.00,43.35,-1.15,-0.90000,28.38360,-0.56
100,-615.00,90.00,42.98,-1.15,-0.90000,28.38360,-0.56
100,-615.00,90.00,42.70,-1.15,-0.90000,28.38360,-0.56
100,-615.00,90.00,42.16,-2.90,-0.90000,28.38360,-0.51
100,-615.00,90.00,41.73,-2.90,-0.90000,28.38360,-0.51
100,-615.00,90.00,41.27,-2.90,-0.90000,34.95400,-0.51
100,-615.00,90.00,40.79,-2.90,-0.90000,34.95400,-0.51
100,-615.00,90.00,40.32,-2.90,-0.90000,34.95400,-0.51
100,-615.00,90.00,39.81,-2.90,-0.90000,34.95400,-0.51
100,-615.00,90.00,39.31,-2.90,-0.90000,34.95400,-0.51
100,-615.00,90.00,38.77,-2.90,-0.90000,34.95400,-0.51
100,-615.00,90.00,38.24,-2.90,-0.90000,34.95400,-0.51
100,-615.00,90.00,37.87,-2.90,-0.90000,34.95400,-0.51
100,-615.00,90.00,37.15,-4.31,-0.90000,34.95400,0.14
100,-615.00,90.00,36.59,-4.31,-0.90000,34.95400,0.14
100,100.00,90.00,36.03,-4.31,-0.90000,34.71320,0.14
100,100.00,90.00,35.46,-4.31,-0.90000,34.71320,0.14
100,100.00,90.00,34.92,-4.31,-0.90000,34.71320,0.14
100,100.00,90.00,34.36,-4.31,-0.90000,34.71320,0.14
100,100.00,90.00,33.82,-4.31,-0.90000,34.71320,0.14
100,100.00,90.00,33.26,-4.31,-0.90000,34.71320,0.14
100,100.00,90.00,32.73,-4.31,-0.90000,34.71320,0.14
100,100.00,90.00,32.34,-4.31,-0.90000,34.71320,0.14
100,100.00,90.00,31.64,-4.81,-0.90000,34.71320,0.08
100,100.00,90.00,31.12,-4.81,-0.90000,34.71320,0.08
100,100.00,90.00,30.58,-4.81,-0.90000,34.61000,0.08
100,100.00,90.00,30.06,-4.81,-0.90000,34.61000,0.08
100,100.00,90.00,29.80,-4.81,-0.90000,34.61000,0.08
100,100.00,90.00,29.28,-4.81,-0.90000,34.61000,0.08
100,100.00,90.00,28.75,-4.81,-0.90000,34.61000,0.08
100,100.00,90.00,28.23,-4.81,-0.90000,34.61000,0.08
100,100.00,90.00,27.72,-4.81,-0.90000,34.61000,0.08
100,100.00,90.00,27.35,-4.81,-0.90000,34.61000,0.08
100,100.00,90.00,26.65,-4.60,-0.90000,34.61000,0.10
100,100.00,90.00,26.16,-4.60,-0.90000,34.61000,0.10
100,100.00,90.00,25.64,-4.60,-0.90000,34.02520,0.10
100,100.00,90.00,25.12,-4.60,-0.90000,34.02520,0.10
100,100.00,90.00,24.61,-4.60,-0.90000,34.02520,0.10
100,100.00,90.00,24.12,-4.60,-0.90000,34.02520,0.10
100,100.00,90.00,23.61,-4.60,-0.90000,34.02520,0.10
100,-358.00,90.00,23.12,-4.60,-0.90000,34.02520,0.10
100,-358.00,90.00,22.63,-4.60,-0.90000,34.02520,0.10
100,-358.00,90.00,22.29,-4.60,-0.90000,34.02520,0.10
100,-358.00,90.00,21.66,-4.38,-0.90000,34.02520,0.13
100,-358.00,90.00,21.20,-4.38,-0.90000,34.02520,0.13
100,-358.00,90.00,20.73,-4.38,-0.90000,34.83360,0.13
100,-358.00,90.00,20.26,-4.38,-0.90000,34.83360,0.13
100,-358.00,90.00,19.78,-4.38,-0.90000,34.83360,0.13
100,-358.00,90.00,19.32,-4.38,-0.90000,34.83360,0.13
100,-358.00,90.00,18.87,-4.38,-0.90000,34.83360,0.13
100,-358.00,90.00,18.41,-4.38,-0.90000,34.83360,0.13
100,-358.00,90.00,17.95,-4.38,-0.90000,34.83360,0.13
100,-358.00,90.00,17.64,-4.38,-0.90000,34.83360,0.13
100,-358.00,90.00,17.06,-4.04,-0.90000,34.83360,-0.14
100,-358.00,90.00,16.62,-4.04,-0.90000,34.83360,-0.14
100,-358.00,90.00,16.48,-4.04,-0.90000,34.59280,-0.14
100,-358.00,90.00,16.04,-4.04,-0.90000,34.59280,-0.14
100,-358.00,90.00,15.59,-4.04,-0.90000,34.59280,-0.14
100,-358.00,90.00,15.15,-4.04,-0.90000,34.59280,-0.14
100,-358.00,90.00,14.71,-4.04,-0.90000,34.59280,-0.14
100,-358.00,90.00,14.28,-4.04,-0.90000,34.59280,-0.14
100,-358.00,90.00,13.84,-4.04,-0.90000,34.59280,-0.14
100,-358.00,90.00,13.53,-4.04,-0.90000,34.59280,-0.14
100,-358.00,90.00,12.96,-3.85,-0.90000,34.59280,0.05
100,-358.00,90.00,12.54,-3.85,-0.90000,34.59280,0.05
100,-587.00,90.00,12.10,-3.85,-0.90000,34.55840,0.05
100,-587.00,90.00,11.68,-3.85,-0.90000,34.55840,0.05
100,-587.00,90.00,11.23,-3.85,-0.90000,34.55840,0.05
100,-587.00,90.00,10.79,-3.85,-0.90000,34.55840,0.05
100,-587.00,90.00,10.36,-3.85,-0.90000,34.55840,0.05
100,-587.00,90.00,9.93,-3.85,-0.90000,34.55840,0.05
100,-587.00,90.00,9.49,-3.85,-0.90000,34.55840,0.05
100,-587.00,90.00,9.19,-3.85,-0.90000,34.55840,0.05
100,-587.00,90.00,8.62,-3.80,-0.90000,34.55840,0.07
100,-587.00,90.00,8.18,-3.80,-0.90000,34.55840,0.07
100,-587.00,90.00,7.74,-3.80,-0.90000,34.42080,0.07
100,-587.00,90.00,7.30,-3.80,-0.90000,34.42080,0.07
100,-587.00,90.00,6.88,-3.80,-0.90000,34.42080,0.07
100,-587.00,90.00,6.43,-3.80,-0.90000,34.42080,0.07
100,-587.00,90.00,6.01,-3.80,-0.90000,34.42080,0.07
100,-587.00,90.00,5.56,-3.80,-0.90000,34.42080,0.07
100,-587.00,90.00,5.13,-3.80,-0.90000,34.42080,0.07
100,-587.00,90.00,4.83,-3.80,-0.90000,34.42080,0.07
100,-587.00,90.00,4.25,-3.80,-0.90000,34.42080,-0.23
100,-587.00,90.00,3.82,-3.80,-0.90000,34.42080,-0.23
100,-587.00,90.00,3.39,-3.80,-0.90000,34.11120,-0.23
100,-587.00,90.00,2.93,-3.80,-0.90000,34.11120,-0.23
100,-587.00,90.00,2.81,-3.80,-0.90000,34.11120,-0.23
100,-587.00,90.00,2.38,-3.80,-0.90000,34.11120,-0.23
100,-587.00,90.00,1.93,-3.80,-0.90000,34.11120,-0.23
100,-701.00,90.00,1.46,-3.80,-0.90000,34.11120,-0.23
100,-701.00,90.00,0.99,-3.80,-0.90000,34.11120,-0.23
100,-701.00,90.00,0.62,-3.80,-0.90000,34.11120,-0.23
100,-701.00,90.00,-0.07,-3.99,-0.90000,34.11120,0.11
100,-701.00,90.00,-0.63,-3.99,-0.90000,34.11120,0.11
100,-701.00,90.00,-1.22,-3.99,-0.90000,35.48720,0.11
100,-701.00,90.00,-1.81,-3.99,-0.90000,35.48720,0.11
100,-701.00,90.00,-2.43,-3.99,-0.90000,35.48720,0.11
100,-701.00,90.00,-3.07,-3.99,-0.90000,35.48720,0.11
100,-701.00,90.00,-3.74,-3.99,-0.90000,35.48720,0.11
100,-701.00,90.00,-4.41,-3.99,-0.90000,35.48720,0.11
