SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
815.94,90.00,90.05,0.00,-4.41000,0.00000,10.07
756.00,90.00,90.23,0.00,0.00000,0.00000,10.07
756.00,90.00,90.37,0.39,0.00000,0.00000,0.03
756.00,90.00,90.53,0.39,0.00000,0.00000,0.03
756.00,90.00,90.70,0.39,0.00000,26.93880,0.03
756.00,90.00,90.56,0.39,0.00000,26.93880,0.03
756.00,90.00,90.75,0.39,0.00000,26.93880,0.03
756.00,90.00,90.96,0.39,0.00000,26.93880,0.03
756.00,90.00,91.17,0.39,0.00000,26.93880,0.03
756.00,90.00,91.40,0.39,0.00000,26.93880,0.03
756.00,90.00,91.62,0.39,0.00000,26.93880,0.03
756.00,90.00,91.78,0.39,0.00000,26.93880,0.03
756.00,90.00,92.10,1.80,0.00000,26.93880,0.45
756.00,90.00,92.35,1.80,-0.09000,26.93880,0.45
756.00,90.00,92.61,1.80,-0.09000,33.37160,0.45
756.00,90.00,92.86,1.80,-0.09000,33.37160,0.45
756.00,90.00,93.12,1.80,-0.09000,33.37160,0.45
756.00,90.00,93.39,1.80,-0.09000,33.37160,0.45
756.00,90.00,93.65,1.80,-0.09000,33.37160,0.45
756.00,90.00,93.94,1.80,-0.09000,33.37160,0.45
756.00,90.00,94.21,1.80,-0.09000,33.37160,0.45
756.00,90.00,94.40,1.80,-0.09000,33.37160,0.45
756.00,90.00,94.77,2.31,-0.09000,33.37160,0.23
756.00,90.00,95.06,2.31,-0.09000,33.37160,0.23
756.00,90.00,95.36,2.31,-0.09000,33.83600,0.23
756.00,90.00,95.65,2.31,-0.09000,33.83600,0.23
785.00,90.00,95.95,2.31,-0.18000,33.83600,0.23
785.00,90.00,96.27,2.31,-0.18000,33.83600,0.23
785.00,90.00,96.60,2.31,-0.18000,33.83600,0.23
785.00,90.00,96.93,2.31,-0.18000,33.83600,0.23
785.00,90.00,97.27,2.31,-0.18000,33.83600,0.23
785.00,90.00,97.53,2.31,-0.18000,33.83600,0.23
785.00,90.00,97.98,2.76,-0.18000,33.83600,0.23
785.00,90.00,98.35,2.76,-0.18000,33.83600,0.23
785.00,90.00,98.73,2.76,-0.18000,33.66400,0.23
785.00,90.00,99.12,2.76,-0.27000,33.66400,0.23
785.00,90.00,99.52,2.76,-0.27000,33.66400,0.23
785.00,90.00,99.77,2.76,-0.27000,33.66400,0.23
785.00,90.00,100.31,2.76,-0.27000,33.66400,0.23
785.00,90.00,100.73,2.76,-0.27000,33.66400,0.23
785.00,90.00,101.16,2.76,-0.36000,33.66400,0.23
785.00,90.00,101.48,2.76,-0.36000,33.66400,0.23
785.00,90.00,102.02,3.32,-0.36000,33.66400,0.11
785.00,90.00,102.53,3.32,-0.36000,17.22080,0.11
785.00,90.00,103.13,3.32,-0.36000,17.22080,0.11
785.00,90.00,103.44,3.32,-0.36000,17.22080,0.11
785.00,90.00,104.06,3.32,-0.45000,17.22080,0.11
785.00,90.00,104.46,3.32,-0.45000,17.22080,0.11
785.00,90.00,105.17,3.32,-0.45000,17.22080,0.11
-15.00,90.00,105.90,3.32,-0.45000,17.22080,0.11
-15.00,90.00,106.48,4.07,-0.54000,17.22080,0.29
-15.00,90.00,106.97,4.07,-0.54000,9.29160,0.29
-15.00,90.00,107.25,4.07,-0.54000,9.29160,0.29
-15.00,90.00,107.48,4.07,-0.54000,9.29160,0.29
-15.00,90.00,107.67,4.07,-0.54000,9.29160,0.29
-15.00,90.00,107.81,4.07,-0.54000,9.29160,0.29
-15.00,90.00,107.90,4.07,-0.63000,9.29160,0.29
-15.00,90.00,107.96,4.07,-0.63000,9.29160,0.29
-15.00,90.00,107.97,4.07,-0.63000,9.29160,0.29
-15.00,90.00,107.96,1.70,-0.63000,9.29160,0.13
-15.00,90.00,107.93,1.70,-0.72000,9.29160,0.13
-15.00,90.00,107.88,1.70,-0.72000,29.62200,0.13
-15.00,90.00,107.83,1.70,-0.72000,29.62200,0.13
-15.00,90.00,107.78,1.70,-0.72000,29.62200,0.13
-15.00,90.00,107.71,1.70,-0.72000,29.62200,0.13
-15.00,90.00,107.64,1.70,-0.81000,29.62200,0.13
-15.00,90.00,107.56,1.70,-0.81000,29.62200,0.13
-15.00,90.00,107.47,1.70,-0.81000,29.62200,0.13
-15.00,90.00,107.40,1.70,-0.81000,29.62200,0.13
-15.00,90.00,107.25,-0.54,-0.81000,29.62200,-0.42
-15.00,90.00,107.14,-0.54,-0.81000,17.20360,-0.42
-15.00,90.00,107.01,-0.54,-0.81000,17.20360,-0.42
-15.00,90.00,106.89,-0.54,-0.90000,17.20360,-0.42
-415.00,90.00,106.76,-0.54,-0.90000,17.20360,-0.42
-415.00,90.00,106.63,-0.54,-0.90000,17.20360,-0.42
-415.00,90.00,106.50,-0.54,-0.90000,17.20360,-0.42
-415.00,90.00,106.35,-0.54,-0.90000,17.20360,-0.42
-415.00,90.00,106.21,-0.54,-0.90000,17.20360,-0.42
-415.00,90.00,106.09,-0.54,-0.90000,17.20360,-0.42
-415.00,90.00,105.88,-1.17,-0.90000,17.20360,-0.17
-415.00,90.00,105.71,-1.17,-0.99000,17.20360,-0.17
-415.00,90.00,105.53,-1.17,-0.99000,35.28080,-0.17
-415.00,90.00,105.35,-1.17,-0.99000,35.28080,-0.17
-415.00,90.00,105.17,-1.17,-0.99000,35.28080,-0.17
-415.00,90.00,104.99,-1.17,-0.99000,35.28080,-0.17
-415.00,90.00,104.79,-1.17,-0.99000,35.28080,-0.17
-415.00,90.00,104.59,-1.17,-0.99000,35.28080,-0.17
-415.00,90.00,104.37,-1.17,-0.99000,35.28080,-0.17
-415.00,90.00,104.22,-1.17,-0.99000,35.28080,-0.17
-415.00,90.00,103.93,-1.67,-1.08000,35.28080,-0.40
-415.00,90.00,103.79,-1.67,-1.08000,35.28080,-0.40
-415.00,90.00,103.48,-1.67,-1.08000,35.28080,-0.40
-415.00,90.00,103.23,-1.67,-1.08000,1.50000,-0.40
-415.00,90.00,102.97,-1.67,-1.08000,1.50000,-0.40
-415.00,90.00,102.72,-1.67,-1.08000,1.50000,-0.40
