SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.02,0.14,-0.79
800.78,145.70,4.21,4.99,4.21,0.00,0.13,-0.00,-0.01,0.01,-0.00,0.00,-0.04,0.03,9.49
800.78,145.70,9.37,26.11,9.37,0.00,0.00,-0.00,-0.03,0.01,-0.03,0.00,-1.56,-0.85,10.43
800.78,147.86,11.22,54.75,11.22,-0.01,-0.13,-0.00,-0.07,0.01,-0.08,-0.01,1.50,-0.51,11.33
800.78,147.86,10.62,81.94,10.62,-0.03,-0.65,-0.01,-0.04,0.00,-0.10,0.01,-1.65,-2.30,11.88
365.92,147.86,7.86,104.22,7.86,-0.06,-0.52,-0.01,-0.03,-0.00,-0.08,-0.01,0.32,-1.37,9.50
-6.42,88.92,2.22,111.07,2.22,-0.09,-0.79,-0.01,0.04,-0.00,-0.02,-0.00,-0.69,-1.40,10.93
-148.29,88.92,-1.55,108.31,-1.55,-0.11,-0.13,-0.00,0.02,-0.00,0.01,-0.01,-6.52,-0.26,10.44
-106.18,88.92,-1.71,104.20,-1.71,-0.10,0.26,-0.00,-0.00,-0.00,0.02,0.00,-0.68,-0.05,11.45
-150.69,59.46,-2.54,98.59,-2.54,-0.09,0.13,-0.00,0.01,-0.00,0.03,-0.00,0.91,0.03,9.77
-200.74,59.46,-2.86,91.79,-2.86,-0.08,0.26,-0.00,0.01,-0.00,0.03,0.00,-1.41,-0.87,9.48
-102.88,59.46,-3.28,84.60,-3.28,-0.07,0.39,-0.00,0.00,0.00,0.03,0.00,0.44,0.04,10.45
30.34,44.72,-3.53,76.48,-3.53,-0.05,0.26,-0.00,0.01,0.00,0.03,-0.00,-0.02,0.75,9.46
287.39,44.72,-3.59,67.75,-3.59,-0.04,0.39,-0.00,0.00,0.00,0.03,0.00,0.28,-0.16,10.23
565.25,44.72,-3.12,60.55,-3.12,-0.03,0.26,-0.00,0.01,0.00,0.03,-0.00,1.06,-0.12,9.66
800.78,97.37,3.26,63.22,3.26,-0.03,0.00,-0.00,-0.03,0.00,-0.03,0.00,1.21,0.27,9.34
433.68,97.37,4.64,74.36,4.64,-0.04,-0.26,-0.00,-0.02,0.00,-0.04,0.00,1.18,-0.23,11.09
626.83,63.68,-0.11,76.30,-0.11,-0.05,0.00,-0.00,0.00,0.00,0.00,-0.01,-2.59,-0.38,9.95
425.45,63.68,-0.21,76.09,-0.21,-0.05,0.00,-0.00,0.00,0.00,0.00,0.00,0.76,0.14,9.74
219.07,63.68,0.00,76.01,0.00,-0.05,0.00,-0.00,0.00,0.00,0.00,0.00,-0.24,-0.00,10.07
-25.11,46.84,-0.06,75.88,-0.06,-0.05,0.00,-0.00,0.00,0.00,0.00,0.00,0.12,0.04,9.67
-345.35,46.84,-1.25,73.80,-1.25,-0.05,0.00,-0.00,0.01,0.00,0.01,0.00,-0.20,-0.13,9.87
