SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
460.76068,180.00,0.00000,0.00335,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00393,0.00004,0.000976,0.002234,0.997511
800.78204,180.00,0.15016,0.08699,0.15016,0.00000,0.00000,-0.00000,-0.00000,0.01000,-0.00000,0.00000,0.007324,-0.002893,1.009230
800.78204,180.00,4.00415,3.70706,4.00415,0.00000,0.00000,-0.00002,-0.00169,0.00998,-0.00175,0.00000,0.009277,-0.024866,0.976759
800.78204,180.00,6.98224,13.26580,6.98224,-0.00157,0.00000,-0.00014,-0.01585,0.00971,-0.01640,-0.00804,0.039550,-0.058557,1.073927
800.78204,180.00,9.20121,28.44535,9.20121,-0.00942,-0.22440,-0.00028,-0.01950,0.00886,-0.04011,-0.00804,0.147705,0.017371,0.883009
176.96117,180.00,7.54950,39.75390,7.54950,-0.01571,-0.22440,-0.00077,-0.02401,0.00794,-0.04436,-0.00804,0.085693,0.029822,0.761183
-6.71261,180.00,4.02084,46.03383,4.02084,-0.02199,-0.22440,-0.00106,-0.00557,0.00696,-0.02511,-0.00804,0.028320,0.145789,0.905959
42.57481,180.00,1.38477,48.73717,1.38477,-0.03142,-0.44880,-0.00073,0.02773,0.00661,-0.01034,0.00804,-0.034424,-0.062708,1.045607
296.30991,180.00,-0.69238,48.12825,-0.69238,-0.03927,-0.44880,-0.00004,0.04282,0.00664,0.00519,0.00804,-0.034668,-0.017786,0.959425
239.23410,0.00,-1.33472,46.44535,-1.33472,-0.03927,0.00000,0.00032,0.00970,0.00688,0.00979,0.00000,-0.330323,-0.000208,0.966750
237.74806,0.00,-1.50990,44.58848,-1.50990,-0.03770,0.22440,0.00041,-0.00825,0.00709,0.01070,0.00804,0.010253,-0.065393,1.088576
268.49048,0.00,-1.64337,42.42714,-1.64337,-0.03613,0.00000,0.00064,0.01120,0.00733,0.01131,0.00000,-0.054200,0.015417,0.980421
311.87634,0.00,-1.70177,39.72045,-1.68508,-0.03299,0.22440,0.00055,-0.00811,0.00764,0.01099,-0.00000,0.024414,0.029333,0.993361
358.13910,0.00,-1.61835,37.66283,-1.61835,-0.03142,0.00000,0.00063,0.00990,0.00786,0.01002,-0.00804,0.032470,-0.022668,1.051710
399.56165,0.00,-1.26798,36.00669,-1.26798,-0.02985,0.00000,0.00068,0.00701,0.00809,0.00710,0.00000,-0.024659,-0.002161,0.958449
408.33096,0.00,-0.77580,34.71859,-0.77580,-0.02827,0.00000,0.00071,0.00440,0.00820,0.00445,-0.00804,0.013916,-0.009729,0.997267
373.68967,0.00,-0.38373,34.06952,-0.18352,-0.02670,0.00000,0.00065,0.00102,0.00828,0.00103,0.00000,0.025390,0.003943,1.018019
295.45511,0.00,0.00000,34.03271,0.00000,-0.02670,0.00000,0.00065,0.00000,0.00829,0.00000,0.00000,0.026855,0.014441,0.992628
208.28893,0.00,0.00000,34.03271,0.00000,-0.02670,0.00000,0.00065,0.00000,0.00829,0.00000,0.00000,-0.001221,-0.003625,0.982130
121.12274,0.00,0.00000,34.03271,0.00000,-0.02670,0.00000,0.00065,0.00000,0.00829,0.00000,0.00000,0.000976,-0.018518,1.013136
33.95656,0.00,0.00000,34.02937,0.00000,-0.02670,0.00000,0.00065,0.00000,0.00829,0.00000,0.00000,-0.007569,-0.006555,0.990919
-52.94590,0.00,-0.01668,34.01264,-0.01668,-0.02670,0.00000,0.00065,0.00009,0.00829,0.00009,0.00000,0.003173,0.008582,0.992140
322.76761,180.00,0.00000,34.00260,0.00000,-0.02670,0.00000,0.00066,0.00000,0.00829,0.00000,0.00000,-0.008301,0.000769,0.998732
800.78204,180.00,2.11886,36.05353,2.11886,-0.02670,0.00000,0.00049,-0.01210,0.00813,-0.01227,0.00000,0.034179,0.009558,1.049025
800.78204,180.00,4.87172,41.57063,4.87172,-0.02985,-0.22440,0.00025,-0.01156,0.00761,-0.03104,-0.00000,0.054931,-0.043909,1.018752
800.78204,180.00,6.38996,50.22268,6.38996,-0.03613,-0.22440,-0.00044,-0.03160,0.00638,-0.05100,0.00000,0.192382,0.043738,0.896925
80.41299,0.00,6.15639,58.67063,6.15639,-0.04398,-0.44880,-0.00093,-0.01414,0.00522,-0.05187,0.00804,0.021484,0.061316,0.855910
-800.78204,0.00,0.08342,62.50149,0.08342,-0.05341,-0.44880,-0.00077,0.03619,0.00460,-0.00074,0.00804,-0.082032,-0.057581,1.093214
-691.45862,0.00,-5.61416,56.80706,-5.61416,-0.05655,0.00000,0.00029,0.04825,0.00527,0.04842,-0.00804,-0.527588,-0.045862,0.550978
-171.42876,0.00,-8.09173,46.39182,-8.09173,-0.04869,0.44880,0.00119,0.02250,0.00696,0.06006,-0.00000,-0.217041,-0.084924,1.174025
424.15646,0.00,-7.54950,35.93643,-7.54950,-0.03456,0.67320,0.00107,-0.01070,0.00803,0.04660,-0.00804,-0.345459,-0.033167,1.088576
800.78204,0.00,-4.49633,28.97063,-4.49633,-0.02042,0.44880,0.00079,-0.01602,0.00870,0.02280,-0.00804,-0.048829,-0.008997,0.968703
800.78204,0.00,1.76850,29.27509,1.76850,-0.01571,0.00000,0.00014,-0.00841,0.00873,-0.00858,-0.00804,0.678222,0.207312,0.775832
635.35541,0.00,4.76328,35.82602,4.76328,-0.02042,-0.44880,-0.00003,0.01205,0.00814,-0.02704,0.00804,0.243164,0.006628,0.971388
139.86723,0.00,3.79560,41.17249,3.79560,-0.02827,-0.22440,-0.00002,-0.00481,0.00760,-0.02428,-0.00804,-0.057618,-0.092981,1.131300
-242.57027,0.00,0.72575,43.59814,0.72575,-0.03456,0.00000,0.00016,-0.00493,0.00725,-0.00499,-0.00804,-0.254151,-0.028040,1.045607
-437.16470,0.00,-0.92596,42.62119,-0.92596,-0.03299,0.00000,0.00036,0.00627,0.00731,0.00634,0.00000,0.017822,-0.014612,1.024611
-453.67502,0.00,-1.70177,40.56022,-1.70177,-0.03299,0.00000,0.00051,0.01236,0.00760,0.01250,0.00000,0.025878,0.041296,1.013625
-362.70795,0.00,-2.41083,37.11413,-2.41083,-0.02985,0.22440,0.00054,-0.00437,0.00791,0.01487,0.00804,-0.068848,0.007605,0.971877
-234.77768,0.00,-2.61104,33.81190,-2.61104,-0.02670,0.22440,0.00059,-0.00430,0.00833,0.01466,-0.00804,-0.039795,-0.033655,1.022658
65.91093,0.00,-2.63607,29.35539,-2.63607,-0.02199,0.22440,0.00067,-0.00631,0.00871,0.01319,0.00804,-0.011231,-0.006555,0.952834
227.73064,0.00,-2.60270,25.39740,-2.60270,-0.01728,0.22440,0.00065,-0.00787,0.00897,0.01094,0.00000,0.009765,0.015906,0.980666
800.78204,180.00,-0.40876,23.48699,-0.40876,-0.01414,0.00000,0.00059,0.00159,0.00919,0.00162,0.00000,0.104492,0.007361,1.032423
800.78204,180.00,3.80395,28.11078,3.80395,-0.01571,0.00000,0.00022,-0.02154,0.00881,-0.02197,0.00000,0.046386,-0.022424,1.008253
800.78204,180.00,6.79038,37.21784,6.79038,-0.02199,-0.22440,-0.00005,-0.01835,0.00812,-0.03833,-0.00000,0.220214,0.049597,0.935255
760.49506,180.00,7.78307,47.30186,7.78307,-0.02985,-0.22440,-0.00062,-0.03475,0.00672,-0.05446,0.00000,0.123046,0.101355,0.777541
-55.21674,0.00,7.21582,57.86097,7.21582,-0.04084,-0.44880,-0.00109,-0.02148,0.00545,-0.05955,0.00000,0.025390,-0.146692,1.147658
-760.25983,0.00,-0.28363,61.10967,-0.28363,-0.05498,-0.44880,-0.00080,0.03948,0.00470,0.02228,0.00000,-0.024170,-0.033899,1.059767
