CONTROLLER_FLAG,SL_PWM,U,SL_position,ARM_position,Sprung_acceleration_x
100,-502.89,90.00,90.52,0.00157,0.07
100,-497.89,90.00,90.44,0.00157,0.02
100,-510.38,90.00,90.43,0.00157,-0.11
100,-516.58,90.00,90.39,0.00157,-0.03
100,-515.85,90.00,90.34,0.00157,0.03
100,-524.95,90.00,90.33,0.00157,0.11
100,-523.99,90.00,90.29,0.00157,0.02
100,-528.73,90.00,90.27,0.00157,-0.06
100,-525.47,90.00,90.22,0.00157,-0.06
100,-521.47,90.00,90.18,0.00157,0.05
100,-523.20,90.00,90.17,0.00157,0.02
100,-523.44,90.00,90.15,0.00157,0.02
100,-508.31,90.00,90.08,0.00157,-0.00
100,-504.89,90.00,90.06,0.00157,0.08
100,-507.19,90.00,90.06,0.00157,0.01
100,-509.50,90.00,90.06,0.00157,-0.06
100,-510.80,90.00,90.06,0.00157,0.10
100,-512.96,90.00,90.06,0.00157,0.01
100,-810.79,30.00,88.47,0.00157,-0.52
100,-810.79,30.00,81.81,0.00157,-0.52
100,-810.79,30.00,71.01,0.00157,0.86
100,810.79,30.00,59.36,0.00000,0.52
100,810.79,30.00,54.89,0.00000,-1.96
100,91.44,30.00,57.16,0.00157,-0.72
100,-810.79,30.00,58.76,0.00157,-0.33
100,-810.79,30.00,53.96,0.00157,0.12
100,370.40,30.00,45.60,0.00157,0.27
100,810.79,30.00,40.32,0.00000,0.98
100,727.32,30.00,42.08,0.00157,0.13
100,-810.79,30.00,46.22,0.00157,-0.51
100,-810.79,30.00,44.61,0.00157,0.31
100,32.60,30.00,38.37,0.00157,0.26
100,810.79,30.00,33.56,0.00157,-0.20
100,716.09,30.00,35.38,0.00157,-0.50
100,-810.79,30.00,39.69,0.00157,-0.00
100,-810.79,30.00,38.74,0.00157,-0.26
100,263.97,30.00,33.32,0.00157,-0.59
100,810.79,30.00,30.26,0.00157,-0.07
100,442.30,30.00,32.81,0.00157,-0.07
