CONTROLLER_FLAG,SL_PWM,U,SL_position,ARM_position,Sprung_acceleration_x
100,-41.09,30.00,30.11,0.00000,0.06
100,-45.47,30.00,30.11,0.00000,-0.02
100,-49.84,30.00,30.11,0.00000,0.00
100,-54.22,30.00,30.11,0.00000,0.05
100,-58.59,30.00,30.11,0.00000,0.03
100,-62.97,30.00,30.11,0.00000,0.04
100,-67.35,30.00,30.11,0.00000,-0.01
100,-71.72,30.00,30.11,0.00000,-0.03
100,-76.10,30.00,30.11,0.00000,0.10
100,-80.48,30.00,30.11,0.00000,0.01
100,-84.85,30.00,30.11,0.00000,-0.06
100,-89.23,30.00,30.11,0.00000,-0.04
100,-93.61,30.00,30.11,0.00000,-0.04
100,-96.70,30.00,30.11,0.00000,-0.01
100,-99.92,30.00,30.11,0.00000,-0.01
100,-101.95,30.00,30.10,0.00000,-0.01
100,-103.75,30.00,30.09,0.00000,-0.02
100,-106.36,30.00,30.09,0.00000,0.19
100,-108.82,30.00,30.09,0.00000,0.04
100,-110.14,30.00,30.08,0.00000,-0.03
100,-111.22,30.00,30.07,0.00000,-0.02
100,-113.03,30.00,30.07,0.00000,0.04
100,-113.62,30.00,30.06,0.00000,0.06
100,-115.02,30.00,30.06,0.00000,0.08
100,-115.27,30.00,30.05,0.00000,-0.06
100,-116.35,30.00,30.05,0.00000,0.10
100,-117.30,30.00,30.05,0.00000,0.05
100,-118.10,30.00,30.04,0.00000,-0.05
100,-118.79,30.00,30.04,0.00000,0.03
100,-119.35,30.00,30.04,0.00000,-0.08
100,-119.78,30.00,30.03,0.00000,-0.01
100,-120.08,30.00,30.03,0.00000,-0.04
100,-120.28,30.00,30.03,0.00000,-0.04
100,-121.28,30.00,30.03,0.00000,0.02
100,-121.27,30.00,30.02,0.00000,0.04
100,-121.20,30.00,30.02,0.00000,0.02
100,-122.00,30.00,30.02,0.00000,0.09
100,810.79,150.00,30.87,0.00000,0.01
100,810.79,150.00,36.43,0.00000,0.51
100,810.79,150.00,45.52,0.00000,-0.45
100,810.79,150.00,58.41,0.00000,-1.52
100,810.79,150.00,73.78,0.00000,-1.39
100,810.79,150.00,90.80,0.00000,-8.60
100,810.79,150.00,110.35,0.00157,0.83
100,-810.79,150.00,126.90,0.00157,2.47
100,-810.79,150.00,132.95,0.00157,-0.25
100,-810.79,150.00,131.45,0.00157,-1.30
100,-397.04,150.00,124.83,0.00157,-0.05
100,810.79,150.00,119.18,0.00157,1.86
100,810.79,150.00,119.95,0.00157,1.95
100,810.79,150.00,126.03,0.00157,-0.74
100,810.79,150.00,135.57,0.00157,-1.67
100,-810.79,150.00,145.84,0.00157,-3.24
100,-810.79,150.00,147.51,0.00157,1.21
100,-810.79,150.00,143.15,0.00157,0.30
100,810.79,150.00,136.55,0.00157,0.73
100,810.79,150.00,135.96,0.00157,0.32
100,810.79,150.00,141.25,0.00157,-0.47
100,-810.79,150.00,149.18,0.00157,1.67
100,-810.79,150.00,151.39,0.00157,1.67
100,-739.33,150.00,147.62,0.00157,-0.87
100,810.79,150.00,141.88,0.00157,0.84
100,810.79,150.00,142.01,0.00157,0.54
100,240.20,150.00,147.54,0.00157,-0.90
100,-810.79,150.00,152.66,0.00157,0.62
100,-810.79,150.00,151.10,0.00157,-0.28
100,578.05,150.00,145.54,0.00157,0.18
100,810.79,150.00,143.88,0.00157,0.75
100,359.12,150.00,148.22,0.00157,-0.93
100,-810.79,150.00,153.12,0.00157,-0.25
100,-810.79,150.00,151.41,0.00157,0.18
100,681.53,150.00,146.22,0.00157,-0.36
100,810.79,150.00,145.44,0.00157,1.43
100,-16.75,150.00,150.12,0.00157,-0.20
100,-810.79,150.00,153.48,0.00157,0.19
100,-427.85,150.00,150.33,0.00157,0.58
100,810.79,150.00,145.97,0.00157,-0.10
100,810.79,150.00,146.88,0.00157,-0.54
100,-451.25,150.00,151.76,0.00157,-0.54
100,-810.79,150.00,153.21,0.00157,0.16
100,60.20,150.00,148.99,0.00157,-0.10
100,810.79,150.00,146.10,0.00157,-0.52
100,399.30,150.00,149.09,0.00157,0.42
100,-810.79,150.00,153.33,0.00157,0.64
100,-649.56,150.00,151.63,0.00157,0.03
100,684.33,150.00,147.18,0.00157,0.54
100,810.79,150.00,147.29,0.00157,0.30
100,-379.03,150.00,151.76,0.00157,-0.39
100,-810.79,150.00,153.00,0.00157,-0.76
100,127.14,150.00,149.01,0.00157,0.94
100,810.79,150.00,146.64,0.00157,-0.39
100,147.51,150.00,150.02,0.00157,-0.30
100,-810.79,150.00,153.29,0.00157,0.16
100,-340.03,150.00,150.65,0.00157,1.01
100,810.79,150.00,146.95,0.00157,0.40
100,580.27,150.00,148.46,0.00157,-0.04
100,-642.56,150.00,152.56,0.00157,-0.62
100,-715.38,150.00,152.17,0.00157,-0.62
100,391.00,150.00,148.25,0.00157,0.02
100,810.79,150.00,147.18,0.00157,-0.32
100,-121.70,150.00,150.93,0.00157,0.31
100,-810.79,150.00,153.06,0.00157,-0.68
100,-74.37,150.00,149.79,0.00157,-0.40
100,810.79,150.00,146.90,0.00157,-0.37
100,361.50,150.00,149.27,0.00157,0.07
100,-770.40,150.00,152.90,0.00157,0.20
100,-526.84,150.00,151.41,0.00157,0.30
100,610.62,150.00,147.63,0.00157,0.16
100,757.51,150.00,147.77,0.00157,0.48
100,-346.86,150.00,151.68,0.00157,0.21
100,-810.79,150.00,152.70,0.00157,-1.02
100,150.23,150.00,149.08,0.00157,0.64
100,810.79,150.00,147.01,0.00157,0.95
100,165.14,150.00,149.99,0.00157,-0.17
100,-810.79,150.00,153.07,0.00157,0.57
100,-345.72,150.00,150.78,0.00157,0.45
100,729.91,150.00,147.37,0.00157,0.45
100,673.90,150.00,148.11,0.00157,0.10
100,-448.11,150.00,152.00,0.00157,-0.83
100,-781.44,150.00,152.47,0.00157,-0.41
100,250.75,150.00,148.76,0.00157,0.35
100,810.79,150.00,147.12,0.00157,0.12
100,65.86,150.00,150.32,0.00157,0.06
100,-810.79,150.00,153.08,0.00157,-0.59
100,-256.72,150.00,150.47,0.00157,-0.82
100,776.89,150.00,147.22,0.00157,-0.13
100,562.10,150.00,148.57,0.00157,-0.19
100,-567.77,150.00,152.36,0.00157,-0.20
100,-694.35,150.00,152.11,0.00157,-0.02
100,379.77,150.00,148.36,0.00157,-0.01
100,810.79,150.00,147.31,0.00157,1.04
100,-62.12,150.00,150.77,0.00157,0.57
100,-810.79,150.00,153.02,0.00157,-0.72
100,-131.48,150.00,150.05,0.00157,0.35
100,810.79,150.00,147.11,0.00157,0.12
100,453.35,150.00,148.88,0.00157,0.12
100,-612.21,150.00,152.47,0.00157,-0.51
100,-810.79,90.00,151.86,0.00157,0.62
100,-810.79,90.00,145.86,0.00157,0.53
100,-810.79,90.00,136.03,0.00157,-0.25
100,-319.64,90.00,122.74,0.00314,2.76
100,810.79,90.00,111.59,0.00314,7.11
100,810.79,90.00,108.27,0.00157,0.91
100,810.79,90.00,111.14,0.00314,-0.33
100,-810.79,90.00,116.11,0.00314,-1.14
100,-810.79,90.00,114.85,0.00314,1.39
100,-810.79,90.00,108.45,0.00314,-0.40
100,731.36,90.00,99.64,0.00314,0.78
100,810.79,90.00,95.20,0.00314,2.02
100,810.79,90.00,97.56,0.00314,1.93
100,-810.79,90.00,103.13,0.00314,-1.84
100,-810.79,90.00,103.25,0.00314,0.54
100,-535.41,90.00,97.79,0.00314,0.08
100,810.79,90.00,91.78,0.00314,-0.54
100,810.79,90.00,91.46,0.00314,0.59
100,-160.79,90.00,96.02,0.00314,0.79
100,-810.79,90.00,98.46,0.00314,0.79
100,-540.74,90.00,94.84,0.00314,0.52
100,810.79,90.00,89.70,0.00314,0.67
100,810.79,90.00,90.07,0.00314,0.59
100,-471.34,90.00,94.64,0.00314,-0.81
100,-810.79,90.00,95.49,0.00314,-0.16
100,55.44,90.00,91.14,0.00314,-0.04
100,810.79,90.00,88.09,0.00314,-0.17
100,454.62,90.00,90.50,0.00314,-0.08
100,-810.79,90.00,94.47,0.00314,0.54
100,-703.97,90.00,93.15,0.00314,-0.83
100,513.77,90.00,88.84,0.00314,-0.33
100,810.79,90.00,88.23,0.00314,0.04
100,-253.42,90.00,92.13,0.00314,0.23
100,-810.79,90.00,93.69,0.00314,-0.58
100,-30.45,90.00,90.20,0.00314,-0.30
100,810.79,90.00,87.43,0.00314,0.55
100,260.73,90.00,90.04,0.00314,0.21
100,-801.55,90.00,93.31,0.00314,0.39
100,-462.35,90.00,91.58,0.00314,0.39
100,569.55,90.00,88.05,0.00314,0.27
100,674.40,90.00,88.29,0.00314,0.39
100,-385.25,90.00,91.94,0.00314,-0.58
100,-743.23,90.00,92.52,0.00314,0.13
100,193.18,90.00,89.12,0.00314,-0.33
100,800.59,90.00,87.53,0.00314,-0.01
100,30.03,90.00,90.46,0.00314,-0.40
100,-772.81,90.00,92.81,0.00314,-0.07
100,-264.94,90.00,90.62,0.00314,-0.47
100,608.82,90.00,87.82,0.00314,-0.17
100,490.71,90.00,88.72,0.00314,-0.16
100,-377.47,90.00,91.67,0.00314,0.28
100,-649.41,90.00,92.10,0.00314,-0.04
100,36.39,90.00,89.57,0.00314,0.04
100,640.48,90.00,87.82,0.00314,0.23
100,265.81,90.00,89.45,0.00314,0.06
100,-440.01,90.00,91.74,0.00314,0.17
100,-544.14,90.00,91.70,0.00314,-0.22
100,23.56,90.00,89.66,0.00314,-0.22
100,506.70,90.00,88.18,0.00314,0.36
100,388.93,90.00,88.91,0.00314,0.14
100,-163.18,90.00,90.84,0.00314,-0.20
100,-454.62,90.00,91.54,0.00314,-0.26
100,-134.29,90.00,90.26,0.00314,0.07
100,253.66,90.00,89.02,0.00314,-0.28
100,298.23,90.00,89.07,0.00314,-0.10
100,43.79,90.00,90.02,0.00314,-0.37
100,-153.36,90.00,90.64,0.00314,-0.14
100,-237.29,90.00,90.79,0.00314,-0.33
100,-222.69,90.00,90.65,0.00314,-0.27
100,-243.20,90.00,90.64,0.00314,-0.07
100,-267.55,90.00,90.64,0.00314,-0.21
100,-288.88,90.00,90.63,0.00314,-0.26
100,-290.35,90.00,90.55,0.00314,-0.20
100,-229.07,90.00,90.26,0.00314,-0.24
100,-71.67,90.00,89.72,0.00314,-0.03
100,87.37,90.00,89.27,0.00314,0.04
100,67.24,90.00,89.44,0.00314,-0.21
100,65.23,90.00,89.50,0.00314,-0.21
100,83.28,90.00,89.50,0.00314,0.08
100,102.28,90.00,89.50,0.00314,0.22
100,121.27,90.00,89.50,0.00314,0.03
100,140.27,90.00,89.50,0.00314,0.01
100,159.26,90.00,89.50,0.00314,0.25
100,178.26,90.00,89.50,0.00314,0.06
100,196.24,90.00,89.50,0.00314,0.14
100,215.13,90.00,89.50,0.00314,-0.11
100,227.87,90.00,89.52,0.00314,-0.10
100,232.48,90.00,89.57,0.00314,-0.07
100,242.60,90.00,89.59,0.00314,0.13
100,256.27,90.00,89.60,0.00314,-0.19
100,259.41,90.00,89.64,0.00314,-0.08
100,248.43,90.00,89.72,0.00314,-0.12
100,226.14,90.00,89.83,0.00314,-0.26
100,168.78,90.00,90.04,0.00314,-0.32
100,92.19,90.00,90.28,0.00314,-0.22
100,69.94,90.00,90.31,0.00314,-0.24
100,58.20,90.00,90.31,0.00314,0.05
100,46.47,90.00,90.31,0.00314,0.05
100,35.33,90.00,90.31,0.00314,0.21
100,23.59,90.00,90.31,0.00314,-0.11
100,-810.79,30.00,89.48,0.00314,-0.09
100,-810.79,30.00,84.07,0.00314,-0.25
100,-810.79,30.00,75.06,0.00314,1.24
100,411.98,30.00,62.76,0.00314,-0.63
100,810.79,30.00,54.69,0.00471,-2.55
100,810.79,30.00,54.36,0.00471,-0.27
100,-810.79,30.00,58.11,0.00471,0.53
100,-810.79,30.00,56.76,0.00471,-1.05
