CONTROLLER_FLAG,SL_PWM,U,SL_position,ARM_position,Sprung_acceleration_x
100,30.11,90.00,89.53,0.02356,-0.30
100,266.64,90.00,88.75,0.02356,0.34
100,485.88,90.00,88.08,0.02356,-0.13
100,650.28,90.00,87.67,0.02356,-0.13
100,729.30,90.00,87.47,0.02356,-0.51
100,760.33,90.00,87.50,0.02356,0.05
100,711.10,90.00,87.80,0.02356,-0.23
100,581.98,90.00,88.36,0.02356,0.15
100,387.31,90.00,89.03,0.02356,0.15
100,208.20,90.00,89.73,0.02356,-0.06
100,-29.19,90.00,90.56,0.02356,0.27
100,-264.44,90.00,91.32,0.02356,0.17
100,-482.38,90.00,91.94,0.02356,0.17
100,-619.50,90.00,92.35,0.02356,-0.40
100,-722.91,90.00,92.57,0.02356,-0.05
100,-742.51,90.00,92.50,0.02356,-0.07
100,-678.46,90.00,92.19,0.02356,-0.07
100,-570.83,90.00,91.70,0.02356,-0.07
100,-382.56,90.00,90.97,0.02356,0.10
100,-166.77,90.00,90.20,0.02356,0.02
100,58.33,90.00,89.50,0.02356,0.02
100,232.81,90.00,88.88,0.02356,-0.00
100,438.04,90.00,88.24,0.02356,0.00
100,595.00,90.00,87.82,0.02356,0.17
100,682.00,90.00,87.64,0.02356,0.17
100,697.03,90.00,87.69,0.02356,-0.27
100,646.96,90.00,87.99,0.02356,-0.20
100,523.97,90.00,88.51,0.02356,0.09
100,345.63,90.00,89.13,0.02356,0.09
100,184.58,90.00,89.75,0.02356,-0.16
100,-28.33,90.00,90.49,0.02356,0.31
100,-237.31,90.00,91.17,0.02356,0.13
100,-434.06,90.00,91.73,0.02356,0.13
100,-558.74,90.00,92.10,0.02356,-0.40
100,-650.95,90.00,92.30,0.02356,0.10
100,-662.01,90.00,92.21,0.02356,-0.09
100,-595.21,90.00,91.90,0.02356,-0.09
100,-494.27,90.00,91.45,0.02356,-0.12
100,-327.37,90.00,90.82,0.02356,-0.14
100,-141.67,90.00,90.15,0.02356,-0.23
100,52.32,90.00,89.56,0.02356,-0.23
100,201.75,90.00,89.03,0.02356,0.25
100,375.02,90.00,88.48,0.02356,-0.13
100,514.93,90.00,88.10,0.02356,0.01
100,590.35,90.00,87.95,0.02356,0.01
100,602.05,90.00,88.00,0.02356,-0.26
100,557.95,90.00,88.25,0.02356,-0.13
100,452.18,90.00,88.70,0.02356,0.20
100,307.57,90.00,89.20,0.02356,0.20
100,175.54,90.00,89.71,0.02356,-0.00
100,0.50,90.00,90.32,0.02356,0.06
100,-170.41,90.00,90.88,0.02356,0.23
100,-332.83,90.00,91.35,0.02356,0.23
100,-444.79,90.00,91.70,0.02356,-0.22
100,-537.10,90.00,91.92,0.02356,-0.01
100,-564.32,90.00,91.91,0.02356,-0.17
100,-528.19,90.00,91.71,0.02356,-0.17
100,-462.32,90.00,91.40,0.02356,0.03
100,-344.29,90.00,90.93,0.02356,-0.00
100,-209.08,90.00,90.44,0.02356,0.02
