SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
-800.00000,90.00000,0.00000,-0.08030,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00161,0.00001,0.00000,0.00000,0.00000
-800.00000,90.00000,-126.97270,-4.35613,-4.72017,0.00000,0.00000,-0.00002,-0.00245,0.00998,-0.00254,0.00000,-0.01078,-0.08383,-3.33027
-800.00000,90.00000,-219.64969,-14.83494,-8.16542,0.00000,0.00000,-0.00027,-0.01659,0.00972,-0.01723,0.00000,-0.07425,-0.07784,-1.01549
-800.00000,90.00000,-276.98375,-29.02416,-10.29679,0.00000,0.00000,-0.00103,-0.04193,0.00893,-0.04341,0.00000,0.25627,-0.20717,-0.15807
-800.00000,90.00000,-312.06487,-45.70929,-11.60092,0.00000,0.00000,-0.00295,-0.07805,0.00696,-0.08026,0.00000,-0.25148,-0.39159,-0.07185
-800.00000,90.00000,-329.60543,-63.08364,-12.25299,0.00000,0.00000,-0.00524,-0.10465,0.00461,-0.11196,0.00000,0.45865,-0.11137,0.04551
-800.00000,90.00000,-313.11207,-86.94535,-11.63985,0.00000,0.00000,-0.00939,-0.11569,0.00042,-0.11613,0.00000,0.04790,-0.09221,0.00240
-800.00000,90.00000,-309.44688,-106.59480,-11.50360,0.00000,0.00000,-0.01291,-0.11595,-0.00309,-0.11481,0.00000,-0.44787,-0.30417,0.09101
800.00000,90.00000,-263.89378,-125.66208,-9.81018,0.00000,0.00000,-0.01539,-0.08505,-0.00553,-0.06163,0.00000,-0.67180,-0.26944,-0.19759
800.00000,90.00000,-38.22271,-129.76729,-1.42092,0.00000,0.00000,-0.01627,-0.01124,-0.00639,-0.01097,0.00000,0.25986,-0.14011,0.03712
800.00000,90.00000,114.66813,-125.57844,4.26276,0.00000,0.00000,-0.01584,0.03468,-0.00597,0.03388,0.00000,0.04790,-0.18681,0.00838
800.00000,90.00000,209.96311,-116.67546,7.80532,0.00000,0.00000,-0.01445,0.06966,-0.00461,0.06841,0.00000,-0.06467,-0.01677,-0.04072
800.00000,90.00000,265.46458,-102.06468,9.86857,0.00000,0.00000,-0.01237,0.09578,-0.00255,0.09480,0.00000,-0.00120,0.02635,0.27423
800.00000,90.00000,303.68729,-83.87398,11.28949,0.00000,0.26180,-0.00933,0.08801,0.00062,0.11293,0.01095,-0.30896,0.17723,-0.20358
800.00000,90.00000,328.55823,-66.24201,12.22379,0.00000,-0.26180,-0.00579,0.13667,0.00405,0.11374,0.01095,0.21555,0.00120,-0.00120
800.00000,90.00000,338.24481,-47.32862,12.57416,0.00157,0.00000,-0.00294,0.08483,0.00711,0.08707,-0.01095,-0.53050,-0.09460,-0.29219
800.00000,90.00000,314.42106,-25.07955,11.97075,0.00157,0.00000,-0.00101,0.05180,0.00910,0.05353,0.00000,-0.10418,-0.16047,-0.15328
800.00000,90.00000,297.92770,-2.45242,11.07538,0.00157,0.00000,-0.00014,0.00518,0.01000,-0.00334,0.00000,0.95681,0.21795,0.02874
-800.00000,90.00000,315.73006,23.67770,11.80530,0.00157,0.00000,-0.00096,-0.04224,0.00915,-0.04386,0.00000,0.80592,0.07065,0.16526
-800.00000,90.00000,123.04571,34.88253,4.57419,0.00157,0.00000,-0.00186,-0.02480,0.00821,-0.02563,0.00000,-0.80712,-0.14490,-0.19639
-800.00000,90.00000,-87.17920,33.10595,-3.24086,0.00157,0.26180,-0.00192,-0.00507,0.00830,0.01841,0.01095,0.35446,0.10418,-0.07664
-800.00000,90.00000,-193.99335,24.12268,-7.21165,0.00157,0.00000,-0.00110,0.03169,0.00901,0.03284,0.00000,-0.03712,-0.07904,0.00000
800.00000,90.00000,-236.92845,10.15093,-8.80775,0.00157,0.00000,-0.00044,0.01733,0.00984,0.01812,-0.01095,-0.30776,0.13891,-0.30177
800.00000,90.00000,-20.15855,5.24944,-0.74939,0.00314,0.00000,-0.00032,0.00067,0.00996,0.00070,-0.01095,-0.28740,-0.03952,-0.24070
800.00000,90.00000,106.29055,9.18401,3.95132,0.00314,0.00000,-0.00023,-0.00477,0.00990,-0.00499,0.00000,-0.04431,-0.20477,0.01078
800.00000,90.00000,207.86871,19.40520,7.72746,0.00314,0.26180,-0.00083,-0.04830,0.00942,-0.02615,0.01095,0.14610,-0.11137,0.00958
800.00000,90.00000,277.24555,34.37398,10.30653,0.00314,0.26180,-0.00182,-0.05509,0.00806,-0.05700,-0.01095,0.08622,0.06227,-0.21196
800.00000,90.00000,307.09068,52.06283,11.41601,0.00314,0.00000,-0.00395,-0.08478,0.00621,-0.08707,-0.01095,-0.32932,0.15448,-0.23232
800.00000,90.00000,333.27062,70.87918,12.38924,0.00157,-0.26180,-0.00691,-0.09152,0.00305,-0.11557,0.01095,0.24788,0.09221,-0.03353
800.00000,90.00000,340.60100,89.38104,12.35031,0.00314,0.26180,-0.00996,-0.11518,-0.00058,-0.11518,-0.01095,-0.42751,-0.13771,-0.17364
800.00000,90.00000,318.34806,110.75353,11.83450,0.00314,0.00000,-0.01341,-0.11431,-0.00332,-0.11302,0.00000,-0.66103,-0.10418,-0.22274
800.00000,90.00000,310.75587,131.54052,11.55226,0.00314,0.00000,-0.01652,-0.09393,-0.00637,-0.08979,0.00000,-0.21914,0.08502,0.07425
800.00000,90.00000,314.68286,153.98364,11.66905,0.00471,0.26180,-0.01935,-0.08018,-0.00928,-0.05076,0.00000,1.06459,0.19040,0.46463
800.00000,90.00000,320.18065,181.12751,11.90263,0.00314,-0.26180,-0.02027,0.02411,-0.00999,0.00074,0.00000,-0.31974,0.18082,0.07904
800.00000,90.00000,302.37829,212.14907,11.24083,0.00471,-0.26180,-0.01903,0.07895,-0.00865,0.05316,-0.01095,1.29211,0.19519,0.47781
800.00000,90.00000,317.03906,233.34089,11.78584,0.00471,-0.26180,-0.01668,0.09921,-0.00577,0.09707,-0.01095,1.21906,0.07065,0.41434
-800.00000,90.00000,132.73229,246.49963,4.93429,0.00628,0.00000,-0.01446,0.04549,-0.00404,0.04484,-0.01095,-0.98316,-0.25627,-0.37362
-800.00000,90.00000,-34.81932,245.71673,-1.29440,0.00628,0.00000,-0.01438,-0.01216,-0.00396,-0.01200,0.00000,0.41434,0.12334,0.01916
-800.00000,90.00000,-174.62019,237.78067,-6.49146,0.00628,0.00000,-0.01543,-0.06197,-0.00536,-0.06086,0.00000,-0.00359,-0.10418,-0.07664
-800.00000,90.00000,-253.16001,225.51859,-9.41115,0.00628,0.00000,-0.01751,-0.07313,-0.00703,-0.07141,-0.01095,-0.20477,0.02395,-0.06706
800.00000,90.00000,-93.98598,216.30112,-3.49390,0.00628,0.26180,-0.01855,-0.04594,-0.00804,-0.02101,0.00000,0.18801,-0.33171,0.22633
800.00000,90.00000,40.57891,217.43197,1.50851,0.00628,0.00000,-0.01855,0.00917,-0.00804,0.00892,0.00000,0.25866,-0.12694,0.11137
800.00000,90.00000,189.01916,226.00037,7.02673,0.00628,0.00000,-0.01751,0.05029,-0.00703,0.04905,0.00000,0.03593,0.08023,-0.10418
800.00000,90.00000,262.32299,240.98922,9.75178,0.00628,0.00000,-0.01534,0.08515,-0.00490,0.08364,0.00000,0.07784,0.06586,-0.29099
-800.00000,90.00000,48.43289,247.95836,1.80048,0.00628,0.00000,-0.01418,0.01687,-0.00376,0.01665,0.00000,-0.10418,-0.09700,0.10059
-800.00000,90.00000,-118.59512,244.20446,-4.40874,0.00628,0.00000,-0.01471,-0.04066,-0.00428,-0.04008,0.00000,0.04431,-0.08742,0.07544
-800.00000,90.00000,-219.91149,234.84981,-8.17515,0.00628,0.00000,-0.01617,-0.06962,-0.00571,-0.06829,0.00000,0.10897,-0.12095,0.01677
-800.00000,90.00000,-274.10396,221.65762,-10.18974,0.00628,0.00000,-0.01792,-0.07234,-0.00743,-0.07055,0.00000,-0.38320,0.14131,-0.27902
-800.00000,90.00000,-312.06487,202.99517,-11.60092,0.00628,0.00000,-0.01976,-0.04932,-0.00922,-0.04788,0.00000,0.15687,-0.00359,0.13891
-800.00000,90.00000,-337.98301,181.15093,-12.56442,0.00628,0.00000,-0.02056,-0.00845,-0.01000,0.00089,0.00000,0.11376,0.13412,-0.17005
-800.00000,90.00000,-325.67844,161.05985,-11.63012,0.00628,0.00000,-0.01999,0.03559,-0.00946,0.03395,0.00000,-0.53768,-0.11616,-0.15208
-800.00000,90.00000,-304.47269,138.07807,-11.31869,0.00628,0.00000,-0.01775,0.08002,-0.00730,0.07745,0.00000,0.20837,0.01437,0.11017
-800.00000,90.00000,-626.22414,113.51375,-12.01941,0.00628,0.00000,-0.01428,0.11072,-0.00391,0.10883,0.00000,0.83466,0.21675,0.12095
-800.00000,90.00000,-317.82446,86.48699,-12.17513,0.00785,0.00000,-0.01001,0.12317,0.00108,0.12365,0.00000,-1.02746,-0.07065,-0.11855
800.00000,90.00000,-191.89895,68.70112,-7.13379,0.00628,0.00000,-0.00692,0.06642,0.00345,0.06738,-0.01095,1.01429,0.20717,0.37123
800.00000,90.00000,67.54424,68.97546,2.51094,0.00628,0.00000,-0.00660,-0.02288,0.00378,-0.02327,0.00000,-0.24788,-0.14370,-0.11975
800.00000,90.00000,202.89453,78.05911,7.54255,0.00628,0.00000,-0.00824,-0.07257,0.00211,-0.07334,0.00000,0.08622,-0.07664,0.00719
800.00000,90.00000,259.44319,91.29814,9.64473,0.00628,0.00000,-0.01039,-0.09632,-0.00005,-0.09650,0.00000,-0.20717,-0.12454,0.04431
800.00000,90.00000,303.16369,116.40112,11.27003,0.00628,0.00000,-0.01486,-0.10479,-0.00448,-0.10303,0.00000,0.05149,-0.15089,0.12933
800.00000,90.00000,344.26619,140.69777,12.79800,0.00628,0.00000,-0.01835,-0.08312,-0.00788,-0.08040,0.00000,-0.36404,0.04551,-0.21196
