SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
-815.94,90.00,90.26,0.00,-5.49000,0.00000,10.09
815.94,136.42,90.75,0.41,0.00000,7.52000,-0.44
815.94,136.42,92.90,1.18,-0.09000,7.52000,0.24
815.94,136.42,96.12,3.25,-0.18000,7.58880,0.58
815.94,136.42,99.90,3.25,-0.27000,7.58880,0.58
815.94,136.42,104.27,4.42,-0.45000,7.52000,0.63
815.94,136.42,108.64,5.05,-0.54000,7.48560,0.01
815.94,136.42,113.65,5.56,-0.72000,7.52000,0.85
815.94,136.42,118.87,6.03,-0.99000,7.52000,0.03
815.94,138.21,124.08,6.03,-1.26000,1.50000,0.03
815.94,138.21,129.90,6.35,-1.53000,7.57160,1.74
815.94,138.21,136.21,6.85,-1.98000,7.52000,0.73
815.94,138.21,143.15,7.35,-2.43000,7.50280,1.75
-815.94,138.21,150.05,7.91,-2.97000,7.50280,0.06
-815.94,138.21,152.09,7.91,-3.42000,1.50000,0.06
-815.94,138.21,149.88,2.29,-3.87000,7.52000,0.21
-815.94,138.21,144.79,-3.83,-4.14000,7.55440,-1.53
815.94,138.21,137.18,-7.56,-4.14000,7.52000,-3.19
815.94,89.10,132.91,-5.84,-3.96000,7.52000,-4.05
-815.94,89.10,132.08,-5.84,-3.87000,7.52000,-4.05
-815.94,89.10,128.83,-1.35,-3.69000,7.52000,0.33
-815.94,89.10,123.00,-4.60,-3.42000,7.52000,-0.33
-815.94,89.10,114.85,-7.85,-2.70000,7.57160,-1.94
-815.94,89.10,104.74,-10.38,-1.98000,7.57160,-3.70
815.94,89.10,94.80,-10.38,-0.90000,59.03400,-3.70
815.94,89.10,90.69,-10.35,-0.18000,7.48560,-1.11
815.94,89.10,90.33,-3.23,0.27000,7.52000,2.83
815.94,64.55,91.68,0.83,0.45000,17.20360,8.79
-815.94,64.55,93.05,0.83,0.36000,17.20360,8.79
-815.94,64.55,90.33,1.64,0.27000,7.52000,4.73
-815.94,64.55,84.46,-3.66,0.45000,17.82280,-0.29
-815.94,64.55,76.14,-7.65,0.81000,7.48560,-3.56
815.94,64.55,69.82,-8.83,1.53000,7.52000,-4.59
815.94,64.55,68.46,-2.75,1.89000,7.52000,-3.02
815.94,64.55,69.86,-2.75,2.07000,7.52000,-3.02
-815.94,52.27,72.68,1.68,2.16000,15.79320,4.20
-815.94,52.27,72.23,2.62,2.16000,15.75880,6.53
-815.94,52.27,67.98,-3.22,2.16000,7.52000,-1.25
815.94,52.27,60.98,-7.34,2.52000,7.52000,-4.55
815.94,52.27,56.34,-7.34,2.79000,9.68720,-4.55
815.94,52.27,56.31,-4.98,3.06000,16.13720,-2.09
815.94,52.27,58.80,1.02,3.06000,16.87680,1.70
-815.94,52.27,59.79,2.66,3.06000,16.84240,5.51
-815.94,52.27,56.65,2.66,3.06000,16.84240,5.51
815.94,96.14,53.64,-3.22,3.24000,7.53720,-1.09
815.94,96.14,54.37,-2.60,3.24000,16.84240,-0.83
815.94,96.14,57.19,2.03,3.15000,7.52000,0.43
815.94,96.14,61.31,4.40,3.06000,7.52000,0.88
815.94,96.14,66.06,4.40,2.88000,1.50000,0.88
815.94,96.14,71.27,5.57,2.79000,7.52000,0.88
815.94,96.14,76.69,6.12,2.61000,7.52000,0.49
815.94,96.14,81.79,6.41,2.34000,7.52000,0.13
815.94,96.14,87.37,6.41,2.16000,7.52000,0.13
815.94,68.07,93.04,6.53,1.80000,7.52000,1.03
-815.94,68.07,98.57,6.59,1.53000,7.52000,0.45
-815.94,68.07,99.54,4.70,1.17000,7.52000,0.50
-815.94,68.07,96.03,-2.72,0.99000,7.52000,-0.83
-815.94,68.07,89.51,-2.72,0.81000,1.50000,-0.83
-815.94,68.07,79.91,-7.41,0.90000,7.46840,-3.52
