SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
881.00000,90.00000,0.00000,0.01673,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00167,0.00001,0.00000,0.00000,0.00000
881.00000,90.00000,118.07152,4.42974,4.38928,0.00000,0.00000,-0.00001,-0.00139,0.00997,-0.00356,0.00000,-0.00599,-0.09460,-3.33985
881.00000,90.00000,277.24555,17.13680,10.30653,0.00000,0.00000,-0.00041,-0.02558,0.00958,-0.02654,0.00000,-0.12334,-0.07065,-0.88256
881.00000,90.00000,343.48080,35.89294,12.76880,-0.00157,0.00000,-0.00156,-0.04631,0.00795,-0.07130,0.01095,-0.38320,-0.41673,0.31614
916.00000,90.00000,316.51546,55.34833,11.76637,0.00000,0.26180,-0.00455,-0.10553,0.00531,-0.10791,-0.01095,0.10897,0.00000,-0.13532
916.00000,90.00000,457.36353,106.76208,17.53764,0.00000,-0.26180,-0.01533,-0.16386,-0.00643,-0.12029,0.00000,0.75563,-0.26824,0.28501
-18.00000,90.00000,368.61354,179.84275,13.70311,0.00000,0.00000,-0.02000,0.00266,-0.00998,0.00256,0.00000,0.50535,0.02635,0.15208
-18.00000,90.00000,312.32667,203.51041,11.60092,0.00000,0.00000,-0.01910,0.04523,-0.00913,0.04361,0.00000,-0.05748,-0.15089,0.01677
-484.00000,90.00000,337.98301,228.04796,12.56442,0.00000,0.00000,-0.01649,0.08430,-0.00660,0.08210,0.00000,0.19280,0.02874,0.10778
-484.00000,90.00000,211.53391,241.99628,7.86371,0.00000,0.00000,-0.01464,0.06947,-0.00480,0.06816,0.01095,-0.14250,-0.47302,0.25507
-484.00000,90.00000,120.42772,251.40446,4.47687,0.00000,0.26180,-0.01303,0.01811,-0.00321,0.04221,0.00000,-0.24309,-0.49936,0.52092
-484.00000,90.00000,52.35988,255.24201,1.94646,0.00000,0.00000,-0.01237,0.01897,-0.00255,0.01879,0.00000,-0.05748,-0.34848,0.16166
-718.00000,90.00000,-41.36430,255.21524,-1.53771,0.00000,0.00000,-0.01236,-0.01502,-0.00254,-0.01489,0.00000,0.06826,-0.26465,0.09460
-718.00000,90.00000,-125.66371,249.34349,-4.67151,0.00000,0.00000,-0.01323,-0.04477,-0.00341,-0.04423,0.00000,-0.00240,-0.18202,0.11257
-718.00000,90.00000,-174.35839,240.97584,-6.48172,0.00000,0.00000,-0.01454,-0.05879,-0.00470,-0.05780,0.00000,0.03712,-0.19400,0.04910
-718.00000,90.00000,-212.84290,229.75762,-7.91238,0.00000,0.00000,-0.01604,-0.06498,-0.00655,-0.06332,0.00000,0.01198,-0.16047,0.01078
116.00000,90.00000,-217.81709,217.28141,-8.09729,0.00000,0.00000,-0.01786,-0.05243,-0.00793,-0.05087,0.00000,-0.32572,0.02036,-0.42033
116.00000,90.00000,-194.25515,206.94312,-7.22138,0.00000,0.00000,-0.01885,-0.03561,-0.00890,-0.03441,-0.01095,-0.18921,0.08502,-0.28740
116.00000,90.00000,-174.09659,198.23086,-6.47199,0.00000,-0.26180,-0.01921,-0.00050,-0.00951,-0.02052,0.00000,0.19998,-0.00359,0.15328
116.00000,90.00000,-154.19984,190.25465,-5.73234,0.00000,0.00000,-0.01977,-0.01338,-0.00978,-0.01038,0.00000,0.15089,-0.07664,0.14729
-418.00000,90.00000,-138.75368,182.91413,-5.15813,0.00000,0.00000,-0.01998,-0.00369,-0.00999,-0.00355,0.00000,-0.14370,0.07305,-0.22393
-418.00000,90.00000,-142.94247,175.96840,-5.31385,0.00000,0.00000,-0.01999,0.00140,-0.00999,0.00302,0.00000,0.03832,-0.08023,0.02395
