SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
950.93048,145.70,0.00000,-18.39145,0.00000,0.07540,0.00000,0.00000,0.00000,0.00949,0.00046,0.00000,1.02173,0.00513,-0.06958
950.93048,145.70,5.43898,-12.26877,5.43898,0.07540,0.00000,0.00023,0.01536,0.00971,0.01412,0.00000,0.98340,-0.04297,-0.00366
142.24455,88.91,2.43266,100.75985,2.43266,0.00314,-0.09077,-0.00424,-0.00577,-0.00171,-0.01448,0.00003,1.02466,-0.04053,-0.08472
-316.96115,88.91,5.93950,109.70967,5.93950,-0.00314,0.00000,-0.00536,-0.05723,-0.00322,-0.05661,-0.01407,0.80811,-0.06152,-0.02539
-808.79224,88.91,-0.26694,110.81375,-0.26694,-0.00785,-0.22440,-0.00529,0.02553,-0.00351,0.02522,-0.00804,0.90259,-0.13721,-0.11084
-357.34924,88.91,-6.97077,102.65019,-6.97077,-0.01414,-0.19635,-0.00330,0.08469,-0.00224,0.06761,0.00068,0.89209,0.04956,-0.09546
334.54831,88.91,-5.99372,92.75019,-5.99372,-0.01571,0.00000,-0.00151,0.06437,-0.00059,0.06420,-0.00105,0.86401,-0.05444,0.04956
645.50934,88.91,-3.54581,87.06580,-5.98213,-0.01571,0.00000,-0.00034,0.05969,0.00059,0.05978,0.00000,0.84229,0.07129,-0.23413
950.93048,88.91,-1.81855,81.87323,-0.00834,-0.01571,0.00000,0.00048,0.00008,0.00141,0.00008,0.00000,0.92822,0.18213,-0.20386
950.93048,88.91,4.33783,86.68773,4.33783,-0.01571,0.00000,-0.00013,-0.04311,0.00079,-0.04327,0.00000,0.97852,-0.03589,0.04956
681.50751,88.91,4.10350,93.10483,4.10350,-0.01728,0.00000,-0.00136,-0.03573,-0.00057,-0.03572,-0.00224,1.10840,0.02563,-0.08447
301.60150,88.91,5.10530,101.45242,5.10530,-0.01728,0.00000,-0.00264,-0.05057,-0.00184,-0.05034,0.00000,0.98096,0.14795,-0.22681
-454.71439,88.91,0.68404,104.67435,0.68404,-0.01728,0.00000,-0.00334,-0.00667,-0.00254,-0.00662,0.00000,0.96387,-0.02222,-0.06885
-436.96283,88.91,-1.89363,102.77398,-1.89363,-0.01728,0.00000,-0.00309,0.01861,-0.00229,0.01849,0.00000,1.06519,-0.03589,0.01172
-237.80293,88.91,-3.62876,97.98959,-3.62876,-0.01728,0.00000,-0.00216,0.03958,-0.00137,0.03942,0.00000,1.05835,0.01074,-0.08569
89.91016,88.91,-4.62146,91.32825,-4.62146,-0.01728,0.00000,-0.00122,0.04619,-0.00043,0.04613,0.00000,1.00610,-0.00024,-0.06226
791.92657,59.43,-3.33680,85.06840,-1.49322,-0.01728,0.00000,0.00006,0.01484,0.00086,0.01488,0.00000,1.04468,-0.03052,0.03955
862.34521,59.43,2.86130,87.44387,2.86130,-0.01728,0.00000,-0.00026,-0.02857,0.00053,-0.02864,0.00000,1.05225,0.00903,-0.05981
567.06598,59.43,3.70384,92.76022,3.70384,-0.01728,0.00000,-0.00113,-0.03703,-0.00034,-0.03703,0.00000,0.98364,0.01807,-0.11353
-57.05819,59.43,1.50156,95.08216,0.63399,-0.01728,0.00000,-0.00168,-0.00633,-0.00089,-0.00632,0.00000,1.01025,0.00903,-0.06763
-108.99564,59.43,-0.54223,94.60706,-0.54223,-0.01728,0.00000,-0.00161,0.00533,-0.00082,0.00532,0.00000,1.00732,0.00000,-0.07422
-86.03506,59.43,-1.45151,92.78030,-1.45151,-0.01728,0.00000,-0.00137,0.01451,-0.00058,0.01449,0.00000,1.03345,0.01904,-0.05981
4.10478,59.43,-2.26902,89.95651,-2.26902,-0.01728,0.00000,-0.00081,0.02277,-0.00002,0.02277,0.00000,1.01807,0.00391,-0.08887
151.92577,59.43,-2.84462,86.51710,-2.84462,-0.01728,0.00000,-0.00025,0.02828,0.00054,0.02833,0.00000,1.01123,-0.00146,-0.08618
565.54211,59.43,-2.76954,81.80297,-2.76954,-0.01728,0.00000,0.00056,0.02744,0.00135,0.02756,0.00000,1.03369,0.00928,-0.03491
712.25574,59.43,-1.37643,79.91264,-1.37643,-0.01728,0.00000,0.00094,0.01349,0.00174,0.01357,0.00000,1.01880,0.00684,-0.07959
663.21143,59.43,1.10114,81.21413,1.09280,-0.01728,0.00000,0.00074,-0.01082,0.00154,-0.01087,0.00000,0.99316,-0.00952,-0.03296
525.90790,59.43,0.60062,82.28810,0.60062,-0.01728,0.00000,0.00055,-0.00592,0.00135,-0.00595,0.00000,1.02612,-0.00732,-0.11499
438.03403,59.43,-0.02503,82.29480,-0.02503,-0.01728,0.00000,0.00055,0.00025,0.00134,0.00025,0.00000,1.01538,0.01099,-0.03052
399.97046,59.43,0.00000,82.29145,0.00000,-0.01728,0.00000,0.00055,0.00000,0.00134,0.00000,0.00000,1.01416,-0.02661,-0.07080
322.11395,59.43,-0.04171,82.25130,-0.04171,-0.01728,0.00000,0.00055,0.00041,0.00135,0.00041,0.00000,1.01416,0.00000,-0.07300
292.50378,59.43,-0.21689,82.01041,-0.21689,-0.01728,0.00000,0.00058,0.00214,0.00138,0.00215,0.00000,1.02539,0.01758,-0.06519
286.10138,59.43,-0.60897,81.33457,-0.60897,-0.01728,0.00000,0.00068,0.00600,0.00147,0.00610,0.00000,1.02393,-0.00879,-0.07178
268.95450,44.70,-0.24192,80.85613,-0.24192,-0.01728,0.00000,0.00078,0.00238,0.00158,0.00239,0.00000,1.01245,0.00610,-0.05200
225.73241,44.70,-0.07508,80.70558,-0.07508,-0.01728,0.00000,0.00082,0.00074,0.00162,0.00074,0.00000,1.02368,0.00806,-0.07300
117.45209,44.70,-0.15016,80.57175,-0.15016,-0.01728,0.00000,0.00084,0.00147,0.00164,0.00148,0.00000,1.01221,0.01392,-0.06323
92.59441,44.70,-0.65068,79.91933,-0.65068,-0.01728,0.00000,0.00094,0.00637,0.00174,0.00641,0.00000,1.02002,-0.00195,-0.07446
85.04149,44.70,-0.67570,79.10297,-0.67570,-0.01728,0.00000,0.00107,0.00660,0.00186,0.00664,0.00000,1.01001,0.01196,-0.06641
107.43142,44.70,-1.30135,77.42007,-1.30135,-0.01728,0.00000,0.00136,0.01263,0.00216,0.01272,0.00000,1.00391,0.01709,-0.08203
166.93735,44.70,-1.66840,75.43271,-1.66840,-0.01728,0.00000,0.00168,0.01606,0.00248,0.01619,0.00000,1.02734,0.01001,-0.05615
232.50075,44.70,-1.77684,73.10743,-1.83524,-0.01728,0.00000,0.00210,0.01744,0.00290,0.01760,0.00000,1.02637,0.00244,-0.05713
437.21390,44.70,-1.50156,71.14015,-1.50156,-0.01728,0.00000,0.00242,0.01417,0.00323,0.01432,0.00000,1.01953,0.00220,-0.06030
491.82721,44.70,-0.72575,69.73494,-0.72575,-0.01728,0.00000,0.00266,0.00472,0.00347,0.00478,0.00000,1.01514,-0.00269,-0.06494
481.88571,44.70,0.00000,69.56431,0.00000,-0.01728,0.00000,0.00268,0.00000,0.00349,0.00000,0.00000,1.01807,0.00586,-0.05688
394.63263,44.70,0.00000,69.56431,0.00000,-0.01728,0.00000,0.00268,0.00000,0.00349,0.00000,0.00000,1.02124,-0.00146,-0.07959
351.00607,44.70,0.00000,69.56431,0.00000,-0.01728,0.00000,0.00268,0.00000,0.00349,0.00000,0.00000,1.01831,0.00879,-0.06689
307.37955,44.70,0.00000,69.56431,0.00000,-0.01728,0.00000,0.00268,0.00000,0.00349,0.00000,0.00000,1.01538,0.00220,-0.06128
263.75299,44.70,0.00000,69.56431,0.00000,-0.01728,0.00000,0.00268,0.00000,0.00349,0.00000,0.00000,1.02710,0.01172,-0.06055
220.12645,44.70,0.00000,69.56097,0.00000,-0.01728,0.00000,0.00268,0.00000,0.00349,0.00000,0.00000,1.02490,0.01074,-0.05664
225.51917,97.36,0.00000,69.56097,0.00000,-0.01728,0.00000,0.00268,0.00000,0.00349,0.00000,0.00000,1.01025,0.00488,-0.07446
274.27750,97.36,0.00000,69.56097,0.00000,-0.01728,0.00000,0.00268,0.00000,0.00349,0.00000,0.00000,1.02270,0.00317,-0.06299
323.03583,97.36,0.00000,69.56097,0.00000,-0.01728,0.00000,0.00268,0.00000,0.00349,0.00000,0.00000,1.02515,0.00562,-0.06909
371.79413,97.36,0.00000,69.56097,0.00000,-0.01728,0.00000,0.00268,0.00000,0.00349,0.00000,0.00000,1.01587,0.00220,-0.06519
